SUA_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
5000,1449,5000,90,6543,36902,7451,125,51021,259,3771,30,4061,31182,4269,77,39579,60,548,9,614,13754,1983,18,16368,7,34,5,46,3610,703,12,4366,43606,16287,2865,62763,167627,47874,1532,279792
5001,182,572,9,767,3659,236,11,4668,27,466,6,493,3413,230,0,4141,3,80,0,90,2321,178,3,2598,0,10,0,10,985,121,0,1110,5002,1923,315,7234,19121,1896,47,28296
5002,73,235,0,305,2031,483,9,2824,15,236,0,247,2093,330,12,2687,6,46,0,54,678,147,0,882,0,0,0,0,84,26,0,111,2572,923,172,3661,10196,2833,123,16818
5003,326,1470,20,1817,6813,414,14,9065,70,1106,3,1181,5700,369,11,7257,26,178,0,202,3485,263,3,3962,6,10,0,19,1246,266,0,1528,12594,4423,726,17749,37544,3610,89,58989
5004,195,724,7,924,4008,334,10,5276,35,844,6,882,4128,313,5,5322,3,128,0,132,2484,221,4,2845,0,6,0,8,924,105,0,1036,6520,2364,341,9225,21002,2031,63,32316
5005,51,219,0,271,1205,154,4,1630,5,138,0,146,1018,143,0,1302,0,43,0,44,675,121,0,838,0,6,0,8,242,22,0,271,1676,688,109,2470,6155,1112,23,9751
5006,192,672,7,872,3680,357,8,4916,32,503,6,538,3128,284,3,3962,9,86,0,91,1797,234,9,2128,0,6,0,9,680,138,5,833,5602,2130,339,8076,19514,2959,42,30597
5007,136,359,0,498,2623,479,14,3617,18,171,0,181,1422,312,19,1934,6,41,0,48,557,82,0,690,0,3,0,3,163,34,0,199,4922,1205,236,6358,14006,3106,75,23545
5008,49,189,0,243,1214,421,19,1889,3,89,0,91,543,155,11,797,0,9,0,9,145,30,3,187,0,0,0,0,12,3,0,22,3568,644,172,4384,7536,3006,94,15017
5009,11446,33483,508,45441,175054,8469,927,229888,2368,37429,194,39986,135013,7307,793,183104,476,7853,55,8381,85348,6943,263,100938,69,435,0,498,34693,5403,78,40673,353189,121683,14878,489761,1083030,82394,4948,1660133
5010,63,164,0,228,1359,515,7,2116,6,71,0,75,557,178,8,813,0,6,0,8,140,45,0,196,0,0,0,0,29,9,0,34,2928,605,161,3691,7403,3327,56,14480
