SUA_CODE_2021,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_vis,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_vis,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_vis,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_vis,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_vis,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_vis,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_vis,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_vis,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_vis,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_vis,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_vis,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_vis,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_vis,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_vis,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_vis,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_vis,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_vis,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_vis,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_vis,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_vis,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_vis,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_vis,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_vis,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_vis,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_vis,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_vis,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_vis,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_vis,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_vis,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_vis,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_vis,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_vis,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_vis,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_vis,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_vis,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_vis,P_Tot_Tot
5000,75,7192,841,3,8115,722,15549,2029,15,18313,232,6494,907,8,7635,152,6533,1874,167,8728,255,18181,6874,362,25676,285,19689,7087,206,27268,481,21369,6729,142,28721,829,22257,5024,86,28195,1254,17733,2383,41,21411,1141,6672,861,4,8683,638,1079,224,3,1944,6070,142751,34834,1041,184690,63,6678,758,0,7498,345,14853,1922,10,17133,122,5930,758,7,6820,108,5504,1052,96,6764,216,15120,2685,229,18253,299,15836,2382,57,18575,602,16925,2460,29,20019,948,19507,2330,45,22826,1190,15281,1665,33,18167,1229,5655,792,9,7691,1095,1046,272,7,2419,6224,122327,17073,526,146160,138,13868,1596,3,15606,1066,30391,3956,25,35444,360,12425,1661,14,14459,263,12040,2924,260,15493,473,33298,9563,593,43929,584,35528,9461,263,45840,1085,38296,9188,171,48735,1777,41767,7352,125,51021,2442,33014,4046,77,39579,2367,12326,1659,18,16368,1733,2129,494,12,4366,12296,265074,51905,1564,330848
5001,17,836,35,0,887,138,1950,116,0,2213,56,1032,58,0,1146,39,728,70,8,845,65,1631,235,4,1936,45,1569,197,9,1817,61,1814,158,0,2034,111,1946,123,3,2180,139,1733,100,0,1986,244,853,60,4,1162,175,264,26,0,471,1092,14348,1187,31,16665,6,807,32,0,845,72,1945,96,0,2114,33,971,40,0,1046,27,708,43,0,779,50,1700,92,4,1853,56,1846,102,0,2006,88,2131,99,0,2318,127,2239,113,3,2490,154,1914,92,0,2158,289,1084,69,0,1437,304,300,37,0,644,1210,15650,811,19,17689,19,1639,65,0,1733,216,3899,214,0,4326,88,1995,102,0,2190,72,1432,109,6,1621,115,3334,327,13,3791,101,3418,297,6,3822,142,3942,260,0,4350,241,4183,234,11,4668,296,3650,195,0,4141,529,1939,126,3,2598,482,565,68,0,1110,2304,30001,2001,47,34351
5002,9,514,87,0,608,43,1107,195,0,1345,10,318,61,0,386,11,333,82,9,432,11,1016,221,33,1276,8,1104,204,6,1324,34,1016,230,0,1285,29,1040,221,6,1297,59,1159,150,7,1374,33,396,75,0,503,13,33,11,0,56,257,8051,1537,56,9897,0,494,85,0,582,23,1044,190,0,1263,3,370,68,0,438,5,416,78,19,515,11,1420,317,37,1778,24,1315,219,6,1559,27,1067,220,3,1309,32,1250,239,0,1526,54,1078,173,8,1314,35,281,59,0,375,20,19,10,0,56,236,8756,1656,74,10724,14,1008,174,0,1193,69,2157,389,0,2614,12,687,128,0,829,12,746,164,25,947,25,2436,534,67,3059,28,2424,421,12,2885,57,2080,452,5,2594,65,2297,464,9,2824,111,2239,321,12,2687,71,678,131,0,882,31,55,27,0,111,493,16804,3198,128,20620
5003,36,2202,96,0,2340,329,4933,236,0,5500,136,2111,99,4,2351,83,1713,148,0,1948,121,3868,411,14,4419,105,4220,380,9,4714,137,4124,323,6,4591,226,3893,225,5,4347,292,2998,179,0,3476,319,1384,100,3,1808,199,304,70,0,569,1980,31759,2265,43,36060,32,2057,107,0,2195,167,4713,226,3,5117,64,2218,88,0,2373,56,1735,86,0,1875,107,4391,239,7,4746,118,4775,198,4,5091,160,4703,215,6,5072,237,4282,190,7,4711,339,3287,155,3,3784,406,1616,127,7,2153,461,372,124,0,959,2142,34145,1749,49,38077,60,4265,202,0,4533,500,9648,459,4,10610,199,4333,185,6,4723,138,3454,229,3,3824,230,8257,651,26,9164,218,8993,577,8,9802,295,8827,532,9,9668,458,8174,413,14,9065,630,6278,333,11,7257,733,2995,228,3,3962,658,680,198,0,1528,4119,65902,4016,92,74137
5004,11,975,65,0,1053,129,2600,138,8,2874,53,1074,48,0,1172,27,676,31,0,729,42,1604,145,12,1802,47,2045,151,0,2242,63,2256,142,5,2469,95,2158,150,6,2413,154,2264,135,0,2556,200,1083,86,4,1374,153,219,32,0,396,964,16968,1117,40,19088,17,996,51,0,1057,51,2512,169,3,2745,36,986,62,0,1084,17,615,37,0,665,43,1842,131,12,2030,50,2578,138,3,2769,59,2660,133,4,2863,98,2583,171,7,2860,153,2473,138,5,2773,235,1145,90,0,1468,340,274,29,0,643,1096,18662,1161,38,20949,25,1969,118,4,2109,181,5115,305,14,5614,79,2061,115,0,2256,42,1284,69,0,1395,82,3448,278,23,3833,98,4626,286,5,5015,132,4921,272,13,5330,199,4744,323,10,5276,307,4744,278,5,5322,436,2226,176,4,2845,488,492,61,0,1036,2065,35629,2275,74,40044
5005,6,303,36,0,344,36,716,104,0,859,9,350,41,0,401,10,245,42,5,301,15,561,85,4,662,10,598,74,0,692,25,685,107,0,817,27,718,76,5,822,33,544,58,0,641,64,285,51,0,400,40,55,7,0,100,273,5072,682,14,6039,0,291,30,0,322,19,686,100,0,805,0,307,29,0,337,0,257,25,0,283,12,617,65,4,699,12,641,88,0,746,23,694,63,0,780,35,708,66,3,812,25,581,59,0,663,69,330,39,0,439,81,69,13,0,170,277,5167,591,6,6043,6,595,64,0,666,54,1403,202,0,1664,15,650,72,0,739,13,500,68,5,583,24,1179,145,9,1362,24,1244,167,0,1429,42,1376,174,0,1599,60,1426,142,4,1630,59,1128,119,0,1302,127,613,93,0,838,120,131,21,0,271,549,10244,1273,23,12083
5006,19,1040,97,0,1156,151,2362,256,4,2775,60,1086,126,0,1275,34,844,102,4,983,52,1838,275,5,2167,46,1897,291,0,2234,48,2117,219,0,2385,109,2108,208,3,2426,154,1628,128,0,1907,190,726,102,5,1018,144,173,35,3,357,1000,15811,1841,27,18679,3,1029,124,0,1158,71,2304,270,0,2648,38,1058,95,0,1190,29,915,103,0,1046,42,2096,222,10,2360,59,2161,250,0,2462,79,2374,197,3,2652,125,2202,171,3,2490,179,1730,143,0,2051,246,765,87,4,1104,242,179,57,0,480,1102,16809,1716,19,19644,22,2066,217,0,2315,222,4668,534,7,5419,93,2144,222,0,2458,58,1758,205,5,2025,91,3933,495,11,4530,105,4054,541,0,4704,131,4489,417,7,5037,229,4306,376,8,4916,332,3352,273,3,3962,439,1489,195,9,2128,381,352,93,5,833,2098,32616,3562,47,38325
5007,11,1016,112,0,1141,87,1842,248,0,2182,25,738,82,0,853,15,923,156,0,1098,29,2150,384,11,2583,28,2023,368,6,2425,31,1830,299,4,2171,43,1679,306,8,2033,69,823,179,3,1082,63,249,50,0,362,25,32,10,0,66,437,13306,2199,47,15978,3,959,89,0,1053,39,1773,203,5,2021,17,664,74,0,750,11,809,87,9,918,27,2071,264,10,2367,24,1841,232,3,2089,31,1637,177,3,1852,60,1342,180,4,1582,93,639,117,9,855,74,226,23,0,328,79,42,18,0,136,457,11996,1468,40,13964,16,1973,200,3,2198,128,3609,457,3,4205,42,1405,156,5,1600,26,1730,243,4,2015,63,4220,647,22,4949,57,3859,596,9,4519,68,3474,475,10,4022,100,3018,483,14,3617,159,1461,293,19,1934,140,474,71,0,690,98,71,24,0,199,896,25297,3664,85,29946
5008,13,671,106,0,789,54,1246,224,6,1529,13,411,78,0,506,9,413,118,4,547,7,1451,397,22,1876,4,1685,508,14,2213,8,1279,421,8,1721,11,876,305,14,1207,10,347,95,0,458,21,59,26,3,113,0,3,6,0,9,152,8451,2291,75,10965,4,608,70,0,683,32,1211,227,0,1467,7,351,50,0,406,0,352,84,8,436,4,1412,274,8,1697,15,1342,229,0,1587,7,946,177,0,1127,16,551,110,4,681,14,259,60,9,339,14,58,10,0,77,5,0,4,0,13,109,7092,1290,27,8520,12,1280,178,0,1472,82,2458,450,3,2998,18,762,132,0,913,16,759,199,8,986,10,2863,672,27,3576,20,3025,738,16,3799,20,2225,594,9,2847,26,1430,420,19,1889,28,608,152,11,797,33,115,32,3,187,5,8,5,0,22,267,15542,3578,99,19488
5009,1021,62328,2807,69,66222,6722,125823,5887,119,138546,2280,57666,2524,63,62538,1594,60107,3431,209,65341,2448,130141,8084,581,141247,2278,133699,7295,400,143672,3148,118386,5780,377,127696,4561,100878,4470,408,110322,6578,76594,3375,345,86890,7947,36249,2487,123,46802,6205,7911,1546,28,15696,44782,909791,47686,2715,1004978,598,59310,2596,70,62571,3254,122348,5608,115,131325,1492,55809,2436,71,59808,1169,60029,2809,191,64199,2271,141876,7215,488,151848,2620,143880,6385,247,153127,3769,127039,4987,268,136051,5582,109492,3975,517,119568,7495,84792,3473,447,96213,11294,39671,3032,140,54135,12771,9579,2583,50,24977,52302,953828,45090,2603,1053827,1618,121646,5397,142,128796,9975,248176,11496,238,269879,3778,113479,4959,134,122343,2764,120135,6241,394,129538,4717,272018,15298,1069,293094,4899,277576,13677,649,296804,6911,245425,10763,641,263742,10144,210371,8445,927,229888,14072,161388,6847,793,183104,19236,75915,5519,263,100938,18974,17496,4132,78,40673,97079,1863620,92781,5323,2058802
