SUA_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
5000,402,6140,1089,8,7635,368,6266,1936,167,8728,1074,17201,7038,362,25676,1670,18130,7261,206,27268,2265,19470,6847,142,28721,2610,20353,5150,86,28195,1844,16992,2533,41,21411,775,6837,1056,4,8683,182,1455,305,3,1944,11187,112846,33209,1020,158262,355,5487,971,7,6820,428,5131,1105,96,6764,1429,13859,2734,229,18253,2287,13805,2427,57,18575,3135,14342,2504,29,20019,3816,16545,2422,45,22826,2364,13970,1800,33,18167,783,5881,1017,9,7691,126,1874,414,7,2419,14719,90903,15391,514,121528,760,11622,2062,14,14459,791,11397,3038,260,15493,2497,31059,9771,593,43929,3958,31937,9688,263,45840,5402,33818,9353,171,48735,6419,36896,7571,125,51021,4207,30964,4339,77,39579,1560,12726,2067,18,16368,304,3336,719,12,4366,25904,203747,48609,1532,279792
5001,54,1011,76,0,1146,39,726,70,8,845,94,1588,250,4,1936,162,1443,206,9,1817,256,1613,159,0,2034,341,1715,127,3,2180,227,1642,111,0,1986,131,955,69,4,1162,62,366,41,0,471,1373,11062,1108,27,13564,56,930,57,0,1046,43,683,49,0,779,181,1569,101,4,1853,326,1579,97,0,2006,461,1762,96,0,2318,563,1807,111,3,2490,364,1679,118,0,2158,207,1129,105,0,1437,44,523,74,0,644,2252,11664,799,19,14731,114,1944,131,0,2190,85,1410,123,6,1621,273,3152,347,13,3791,486,3027,309,6,3822,717,3378,251,0,4350,911,3522,235,11,4668,592,3316,229,0,4141,336,2083,170,3,2598,107,890,120,0,1110,3621,22720,1907,47,28296
5002,16,301,77,0,386,21,310,93,9,432,43,961,240,33,1276,87,999,233,6,1324,83,949,249,0,1285,69,993,238,6,1297,74,1138,160,7,1374,31,397,81,0,503,5,39,15,0,56,411,6090,1388,55,7936,16,331,89,0,438,20,394,93,19,515,101,1300,342,37,1778,126,1182,239,6,1559,139,941,222,3,1309,179,1094,248,0,1526,112,1018,176,8,1314,27,285,63,0,375,0,40,15,0,56,728,6590,1490,74,8879,30,635,168,0,829,36,698,188,25,947,145,2258,583,67,3059,212,2188,470,12,2885,220,1894,474,5,2594,248,2085,486,9,2824,182,2157,337,12,2687,52,689,151,0,882,6,84,26,0,111,1131,12682,2870,123,16818
5003,87,2140,122,4,2351,78,1712,160,0,1948,224,3730,452,14,4419,401,3887,417,9,4714,479,3785,325,6,4591,599,3512,231,5,4347,422,2848,201,0,3476,202,1491,116,3,1808,44,438,91,0,569,2533,23535,2113,44,28217,127,2139,107,0,2373,106,1678,93,0,1875,400,4058,278,7,4746,759,4108,218,4,5091,942,3918,204,6,5072,1094,3435,175,7,4711,618,2992,169,3,3784,247,1729,171,7,2153,44,731,181,0,959,4333,24786,1608,41,30766,217,4274,226,6,4723,184,3384,257,3,3824,623,7790,724,26,9164,1160,8001,633,8,9802,1421,7702,530,9,9668,1695,6946,412,14,9065,1040,5836,366,11,7257,446,3219,287,3,3962,89,1166,274,0,1528,6871,48320,3713,89,58989
5004,38,1065,73,0,1172,25,668,33,0,729,88,1553,151,12,1802,161,1929,150,0,2242,255,2061,149,5,2469,343,1902,161,6,2413,256,2153,145,0,2556,157,1113,104,4,1374,42,300,53,0,396,1360,12749,1016,31,15162,49,942,87,0,1084,37,581,49,0,665,160,1710,146,12,2030,361,2260,144,3,2769,524,2203,135,4,2863,609,2070,176,7,2860,443,2164,161,5,2773,183,1157,128,0,1468,38,548,54,0,643,2413,13632,1077,32,17155,86,2009,157,0,2256,59,1253,79,0,1395,249,3267,297,23,3833,529,4187,297,5,5015,771,4266,276,13,5330,949,3978,338,10,5276,703,4313,305,5,5322,341,2267,231,4,2845,79,850,115,0,1036,3771,26388,2095,63,32316
5005,13,332,52,0,401,17,243,42,5,301,29,537,96,4,662,51,557,79,0,692,81,620,117,0,817,104,628,85,5,822,50,516,70,0,641,37,297,72,0,400,9,78,13,0,100,396,3811,619,14,4839,18,274,41,0,337,16,236,31,0,283,64,564,67,4,699,99,560,83,0,746,135,571,69,0,780,133,606,68,3,812,96,499,70,0,663,41,336,55,0,439,12,145,15,0,170,614,3791,496,6,4917,36,606,96,0,739,29,482,74,5,583,94,1100,160,9,1362,148,1114,162,0,1429,215,1189,189,0,1599,239,1234,155,4,1630,148,1017,139,0,1302,77,637,128,0,838,20,228,23,0,271,1009,7605,1118,23,9751
5006,61,1057,150,0,1275,46,824,112,4,983,92,1778,291,5,2167,181,1749,299,0,2234,246,1897,234,0,2385,301,1914,204,3,2426,193,1584,141,0,1907,100,799,115,5,1018,33,263,55,3,357,1257,11866,1600,21,14754,53,1028,106,0,1190,49,883,107,0,1046,220,1899,232,10,2360,367,1840,254,0,2462,446,2007,197,3,2652,512,1819,160,3,2490,291,1597,160,0,2051,112,856,129,4,1104,19,370,85,0,480,2075,12303,1451,16,15838,119,2089,257,0,2458,99,1706,215,5,2025,314,3678,527,11,4530,556,3587,555,0,4704,691,3907,435,7,5037,805,3732,368,8,4916,480,3181,298,3,3962,216,1659,247,9,2128,59,627,142,5,833,3332,24169,3048,42,30597
5007,17,741,92,0,853,27,897,166,0,1098,87,2073,411,11,2583,128,1902,386,6,2425,145,1698,325,4,2171,155,1567,304,8,2033,82,799,192,3,1082,24,285,53,0,362,3,48,13,0,66,673,10011,1934,42,12662,24,640,87,0,750,41,775,102,9,918,135,1960,275,10,2367,210,1649,234,3,2089,220,1448,185,3,1852,202,1196,181,4,1582,93,623,130,9,855,31,261,34,0,328,5,110,17,0,136,950,8657,1239,36,10888,38,1378,177,5,1600,69,1667,268,4,2015,221,4028,681,22,4949,339,3551,621,9,4519,367,3147,509,10,4022,359,2768,480,14,3617,174,1426,315,19,1934,55,542,87,0,690,10,162,34,0,199,1625,18670,3169,75,23545
5008,6,423,77,0,506,14,410,123,4,547,62,1385,410,22,1876,125,1556,515,14,2213,85,1193,431,8,1721,67,822,312,14,1207,16,339,100,0,458,5,79,21,3,113,0,3,6,0,9,373,6204,2000,65,8646,16,327,60,0,406,11,335,83,8,436,79,1330,285,8,1697,129,1219,237,0,1587,104,848,178,0,1127,55,514,118,4,681,24,247,60,9,339,7,59,4,0,77,0,6,4,0,13,441,4877,1027,25,6368,28,749,137,0,913,28,740,209,8,986,141,2712,697,27,3576,258,2771,754,16,3799,189,2041,609,9,2847,119,1332,423,19,1889,45,588,160,11,797,12,135,30,3,187,0,13,3,0,22,812,11084,3027,94,15017
5009,2493,57041,2935,63,62538,2893,58297,3944,209,65341,7044,124306,9321,581,141247,11158,123895,8221,400,143672,14319,106710,6290,377,127696,15237,90003,4671,408,110322,10643,72205,3695,345,86890,5201,38351,3131,123,46802,1575,12071,2014,28,15696,70562,682884,44236,2529,800206,2825,54042,2871,71,59808,3820,56925,3259,191,64199,11518,131758,8086,488,151848,18946,127020,6924,247,153127,24768,105735,5280,268,136051,26465,88497,4088,517,119568,16430,75360,3973,447,96213,6179,43720,4092,140,54135,1198,20137,3585,50,24977,112157,703193,42161,2421,859927,5320,111084,5810,134,122343,6713,115220,7208,394,129538,18556,256062,17407,1069,293094,30104,250911,15145,649,296804,39083,212447,11573,641,263742,41706,178499,8758,927,229888,27077,147563,7666,793,183104,11377,82073,7223,263,100938,2774,32214,5605,78,40673,182715,1386072,86395,4948,1660133
