SUA_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_mo_con_0_14,M_1_mo_con_15_24,M_1_mo_con_25_34,M_1_mo_con_35_44,M_1_mo_con_45_54,M_1_mo_con_55_64,M_1_mo_con_65_74,M_1_mo_con_75_84,M_1_mo_con_85_over,M_1_mo_con_Tot,M_2_mo_con_0_14,M_2_mo_con_15_24,M_2_mo_con_25_34,M_2_mo_con_35_44,M_2_mo_con_45_54,M_2_mo_con_55_64,M_2_mo_con_65_74,M_2_mo_con_75_84,M_2_mo_con_85_over,M_2_mo_con_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_OM_Lterm_Health_Tot_0_14,M_OM_Lterm_Health_Tot_15_24,M_OM_Lterm_Health_Tot_25_34,M_OM_Lterm_Health_Tot_35_44,M_OM_Lterm_Health_Tot_45_54,M_OM_Lterm_Health_Tot_55_64,M_OM_Lterm_Health_Tot_65_74,M_OM_Lterm_Health_Tot_75_84,M_OM_Lterm_Health_Tot_85_ov,M_OM_Lterm_Health_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_mo_con_0_14,F_1_mo_con_15_24,F_1_mo_con_25_34,F_1_mo_con_35_44,F_1_mo_con_45_54,F_1_mo_con_55_64,F_1_mo_con_65_74,F_1_mo_con_75_84,F_1_mo_con_85_over,F_1_mo_con_Tot,F_2_mo_con_0_14,F_2_mo_con_15_24,F_2_mo_con_25_34,F_2_mo_con_35_44,F_2_mo_con_45_54,F_2_mo_con_55_64,F_2_mo_con_65_74,F_2_mo_con_75_84,F_2_mo_con_85_over,F_2_mo_con_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_OM_Lterm_Health_Tot_0_14,F_OM_Lterm_Health_Tot_15_24,F_OM_Lterm_Health_Tot_25_34,F_OM_Lterm_Health_Tot_35_44,F_OM_Lterm_Health_Tot_45_54,F_OM_Lterm_Health_Tot_55_64,F_OM_Lterm_Health_Tot_65_74,F_OM_Lterm_Health_Tot_75_84,F_OM_Lterm_Health_Tot_85_ov,F_OM_Lterm_Health_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_mo_con_0_14,P_1_mo_con_15_24,P_1_mo_con_25_34,P_1_mo_con_35_44,P_1_mo_con_45_54,P_1_mo_con_55_64,P_1_mo_con_65_74,P_1_mo_con_75_84,P_1_mo_con_85_over,P_1_mo_con_Tot,P_2_mo_con_0_14,P_2_mo_con_15_24,P_2_mo_con_25_34,P_2_mo_con_35_44,P_2_mo_con_45_54,P_2_mo_con_55_64,P_2_mo_con_65_74,P_2_mo_con_75_84,P_2_mo_con_85_over,P_2_mo_con_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_OM_Lterm_Health_Tot_0_14,P_OM_Lterm_Health_Tot_15_24,P_OM_Lterm_Health_Tot_25_34,P_OM_Lterm_Health_Tot_35_44,P_OM_Lterm_Health_Tot_45_54,P_OM_Lterm_Health_Tot_55_64,P_OM_Lterm_Health_Tot_65_74,P_OM_Lterm_Health_Tot_75_84,P_OM_Lterm_Health_Tot_85_ov,P_OM_Lterm_Health_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
5000,20596,11043,15136,15677,15794,13844,8457,2566,484,103607,2058,1759,2489,3199,4172,5912,6040,2594,591,28807,96,197,320,521,992,1843,2616,1417,353,8351,6,21,48,111,303,871,1408,1010,258,4046,2159,1971,2858,3829,5473,8621,10068,5023,1207,41202,3653,3182,7312,7553,7314,5645,2847,1085,252,38835,26407,16191,25313,27061,28580,28106,21374,8671,1941,183651,19719,8930,11503,11537,11336,11414,7189,2205,490,84322,1418,2011,2905,3275,3958,5444,5181,2423,768,27381,95,359,590,857,1318,2027,2384,1233,475,9337,4,38,80,186,562,1056,1302,827,370,4430,1519,2409,3581,4317,5836,8523,8875,4484,1611,41146,3380,2138,2936,2659,2812,2848,2078,993,316,20161,24614,13479,18024,18522,19987,22782,18138,7677,2411,145633,40313,19972,26641,27219,27136,25262,15644,4773,976,187932,3479,3766,5394,6464,8132,11351,11220,5018,1364,56193,191,560,912,1378,2307,3865,5008,2648,826,17688,12,58,137,298,863,1925,2713,1843,626,8478,3677,4381,6443,8143,11304,17140,18943,9507,2810,82350,7027,5320,10250,10214,10122,8496,4924,2078,568,58997
5001,2439,1393,1237,1147,1250,1115,783,310,103,9785,383,331,341,327,387,547,587,376,159,3442,20,46,56,57,116,222,278,230,89,1109,0,3,8,18,39,97,170,155,84,564,403,384,402,399,548,864,1041,762,325,5119,256,202,293,266,236,201,158,81,34,1728,3093,1981,1927,1811,2034,2178,1981,1154,471,16633,2464,1172,1140,1240,1349,1264,866,403,115,10022,236,400,448,446,522,610,649,484,195,4000,21,84,103,125,197,270,307,267,147,1520,0,11,13,40,71,150,187,183,118,775,256,489,566,609,793,1035,1142,937,462,6292,239,153,138,152,170,189,149,98,65,1356,2957,1825,1847,2003,2315,2484,2158,1437,642,17670,4905,2570,2377,2391,2601,2375,1653,719,222,19802,611,733,788,776,912,1156,1239,862,359,7444,40,134,162,176,320,494,583,496,231,2632,0,10,24,51,114,245,360,342,199,1341,655,878,971,1003,1343,1898,2181,1695,788,11416,492,359,431,423,404,389,303,181,98,3080
5002,1504,568,878,925,788,663,652,170,11,6147,106,66,121,135,179,276,339,144,16,1379,5,3,8,26,38,77,134,70,7,360,0,0,0,3,4,30,68,42,10,154,105,66,132,159,222,381,538,253,30,1891,345,177,239,236,269,254,183,85,12,1802,1957,813,1247,1319,1277,1301,1367,503,56,9841,1465,637,1158,1013,746,801,577,126,18,6545,84,122,212,230,228,289,369,102,10,1644,0,18,24,40,61,115,112,51,9,423,0,0,3,15,21,33,43,32,3,154,84,141,245,283,305,436,525,182,23,2223,296,165,336,263,256,287,204,67,10,1885,1848,941,1747,1553,1306,1519,1307,378,56,10651,2969,1207,2039,1932,1535,1463,1223,297,30,12695,187,185,339,358,405,564,715,245,24,3025,3,20,33,65,94,186,246,119,18,782,0,0,3,18,30,59,109,71,18,302,192,206,378,437,527,816,1063,437,53,4109,642,340,572,501,528,540,382,154,27,3688
5003,6238,3112,2997,3209,2860,2325,1326,524,123,22704,924,648,709,807,916,1091,1112,545,169,6921,57,75,143,144,256,391,473,351,115,2001,0,8,25,47,83,174,312,259,99,997,986,732,869,988,1255,1657,1896,1152,377,9920,609,453,534,505,472,365,245,131,63,3390,7836,4293,4403,4710,4583,4346,3465,1804,569,36010,6056,2799,3015,3307,2985,2344,1449,616,157,22730,603,931,1082,1054,1205,1225,1150,687,275,8219,43,167,234,296,399,531,562,368,169,2770,5,12,31,95,147,283,373,295,210,1447,650,1113,1346,1446,1747,2042,2090,1345,657,12433,598,337,372,326,343,316,239,188,146,2866,7308,4246,4733,5084,5073,4702,3778,2147,959,38032,12292,5911,6012,6522,5838,4667,2777,1144,279,45439,1530,1581,1791,1858,2115,2321,2263,1233,442,15136,104,248,375,440,652,926,1040,717,280,4772,6,21,56,137,233,456,683,548,315,2449,1634,1848,2218,2437,3001,3701,3980,2497,1035,22353,1208,786,909,831,816,686,488,314,215,6250
5004,3213,1467,1278,1561,1651,1318,1121,426,84,12107,361,258,278,406,474,616,740,424,107,3665,21,29,34,65,108,190,355,236,84,1108,3,0,9,7,36,75,153,177,80,550,379,287,320,477,619,885,1248,837,267,5323,322,157,201,205,200,206,187,106,39,1615,3919,1904,1794,2238,2461,2412,2556,1367,396,19049,3145,1224,1317,1891,1798,1560,1161,439,112,12650,281,313,433,516,616,684,867,500,216,4419,21,42,74,120,158,256,337,263,159,1430,0,6,10,34,58,115,192,158,117,685,302,357,519,674,836,1049,1397,917,488,6537,347,168,177,210,226,247,205,114,37,1730,3794,1750,2015,2766,2861,2855,2770,1467,643,20919,6360,2687,2596,3448,3447,2883,2283,860,200,24762,644,575,713,927,1088,1300,1601,924,320,8089,41,67,105,176,267,442,696,495,239,2538,3,6,14,48,92,191,348,335,192,1237,686,644,836,1154,1455,1933,2645,1755,757,11858,670,320,375,408,424,448,397,224,80,3345
5005,918,487,446,464,496,433,259,98,23,3628,108,97,97,107,144,191,189,116,33,1079,6,6,9,21,38,58,81,74,19,320,0,0,5,7,7,33,43,44,14,153,118,111,109,129,188,287,312,236,68,1554,172,107,107,89,135,101,65,65,13,845,1204,699,658,684,818,823,640,398,100,6028,888,420,466,460,455,441,264,126,31,3543,82,101,115,143,171,185,207,137,55,1197,0,9,26,40,48,59,83,77,38,392,0,0,11,11,22,42,35,52,27,190,86,120,153,191,237,285,325,262,117,1781,155,76,77,93,88,81,82,47,22,716,1125,618,696,746,779,805,663,439,170,6037,1801,904,904,923,954,876,517,230,57,7168,190,202,212,251,314,377,398,248,86,2280,14,19,41,57,84,123,162,159,57,710,0,3,11,13,29,74,73,88,41,346,200,227,261,323,424,572,640,500,185,3337,324,186,184,181,221,177,144,115,25,1565
5006,2999,1571,1422,1414,1434,1201,744,291,60,11139,409,327,334,400,446,639,537,284,106,3480,21,36,52,57,143,204,278,175,67,1026,0,0,10,13,54,116,176,154,77,589,429,358,396,467,637,953,987,617,252,5097,495,318,348,350,316,268,175,116,32,2419,3924,2249,2161,2230,2383,2423,1911,1021,352,18649,2966,1435,1478,1496,1522,1210,756,290,83,11224,281,433,490,495,566,668,604,344,109,3996,21,72,117,125,194,221,282,190,99,1313,0,0,15,44,99,161,204,153,120,796,304,507,617,666,854,1053,1095,693,324,6101,537,288,270,307,278,230,198,118,71,2298,3801,2235,2357,2464,2651,2492,2045,1104,479,19624,5964,3005,2896,2911,2957,2406,1503,577,146,22365,687,759,826,893,1009,1307,1141,634,218,7477,40,109,167,185,332,423,558,358,167,2341,0,0,22,54,148,271,374,311,193,1386,732,874,1007,1135,1486,2004,2082,1307,579,11200,1031,604,616,657,589,497,374,238,113,4713
5007,2641,1427,1820,1590,1333,1036,375,90,9,10325,236,197,268,344,356,426,289,103,16,2228,7,16,32,39,78,121,115,71,15,494,0,5,8,9,25,70,92,48,19,271,245,219,308,391,459,611,493,215,40,2995,427,303,442,438,371,371,197,53,10,2616,3318,1943,2570,2419,2166,2024,1075,362,64,15935,2530,1138,1524,1392,1072,788,321,91,14,8877,149,256,405,323,361,356,213,94,34,2189,7,44,94,78,138,139,102,60,32,692,0,5,12,24,32,81,75,51,29,308,155,301,511,423,532,575,385,204,95,3189,383,221,325,274,244,222,135,36,22,1858,3072,1659,2362,2093,1848,1579,841,328,136,13922,5177,2566,3346,2984,2404,1827,698,179,27,19202,387,451,672,660,719,783,504,197,42,4418,16,64,122,114,212,259,211,131,44,1184,0,4,23,38,67,146,170,95,48,580,408,520,820,814,996,1184,880,420,137,6184,808,522,763,715,618,594,335,90,31,4478
5008,1784,712,1226,1408,956,553,183,20,0,6843,137,102,177,211,244,220,110,35,3,1232,3,3,29,20,41,61,28,15,0,200,0,0,0,3,9,20,27,11,0,72,140,105,206,240,293,303,163,59,3,1503,393,233,424,550,466,344,109,27,6,2549,2312,1052,1854,2198,1711,1189,455,108,9,10895,1702,546,1103,1045,659,344,140,26,0,5565,96,111,243,231,203,141,78,17,8,1122,11,19,40,40,48,30,31,10,0,224,0,0,7,7,12,25,13,12,0,74,103,131,293,274,261,196,119,41,4,1424,348,161,301,272,201,139,74,9,4,1504,2150,837,1695,1585,1126,682,332,77,13,8490,3485,1263,2324,2452,1616,895,324,48,0,12410,226,213,422,444,445,357,186,52,12,2350,13,26,67,58,86,91,61,28,3,430,0,3,6,11,21,45,35,23,0,147,241,232,497,509,553,497,276,100,11,2923,739,392,724,822,670,482,183,33,5,4055
5009,172862,99119,106450,106114,86529,63058,36528,13853,3356,687866,16686,16772,20006,22116,24085,27342,26882,14810,4698,173397,917,1759,2738,3711,5493,8351,11546,8493,3058,46067,44,133,316,725,1696,3841,6553,6363,2774,22442,17643,18667,23055,26556,31268,39532,44985,29665,10529,241909,14076,9820,11165,10607,9523,7331,5028,3165,1784,72482,204586,127610,140668,143273,127319,109917,86545,46683,15668,1002264,167339,88303,107179,108262,87788,65732,40863,15329,4687,685465,12277,22630,27552,27300,28343,30194,29149,18103,7843,203391,795,3681,5744,6306,8025,10796,12873,9719,5071,63020,48,289,708,1428,2924,5316,7410,6814,4425,29367,13115,26603,34003,35036,39292,46311,49440,34633,17341,295769,13259,8845,10173,9580,8706,7006,5469,4030,2906,69984,193715,123746,151361,152879,135784,119048,95763,53990,24929,1051221,340202,187421,213631,214374,174316,128790,77390,29180,8046,1373337,28962,39402,47559,49421,52423,57537,56033,32913,12538,376786,1712,5444,8477,10016,13522,19151,24421,18216,8134,109086,91,426,1022,2153,4625,9149,13970,13175,7194,51805,30765,45267,57061,61592,70560,85840,94428,64306,27865,537679,27335,18666,21340,20193,18227,14337,10499,7194,4683,142464
