SUA_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5000,3238,4280,11644,12999,14211,13115,3783,560,27,63860,2846,1344,3784,3243,3369,7372,12635,6164,1982,42745,728,1038,2590,2277,2398,2304,1718,957,399,14410,6813,6671,18024,18522,19987,22782,18138,7677,2411,121020,2118,6398,18978,19968,22350,18278,4638,661,52,93459,3391,2134,5678,7487,7536,8256,3893,825,75,39286,300,529,2087,2184,2340,3043,955,104,12,11551,238,304,650,594,577,503,244,127,31,3275,6047,9367,27399,30235,32807,30086,9723,1719,172,147559,312,445,730,631,669,659,116,3,0,3574,409,194,315,353,355,391,140,13,5,2175,724,636,1043,984,1029,1051,260,16,7,5744,6772,10002,28445,31218,33833,31136,9986,1742,178,153310,6067,2568,6398,5910,6143,12675,25461,12679,3495,81388,1608,2652,8495,8455,8594,7086,4067,1936,683,43569,14442,15226,43334,45579,48566,50894,39509,16351,4355,278261
5001,663,593,1335,1566,1853,1586,428,48,5,8072,341,145,427,347,380,791,1643,1298,570,5936,43,45,92,90,88,104,93,93,69,702,1044,778,1847,2003,2315,2484,2158,1437,642,14710,326,704,1661,1716,2164,1631,339,29,4,8567,833,396,833,1089,1070,1219,547,81,8,6085,30,43,149,100,136,182,55,10,7,712,24,34,49,37,52,27,14,4,0,241,1214,1167,2693,2937,3418,3065,956,119,18,15601,38,48,67,49,50,44,10,0,0,314,95,26,59,31,36,59,18,0,0,323,136,75,128,80,90,99,24,0,0,634,1353,1248,2818,3019,3514,3164,984,123,20,16238,743,289,765,617,640,1294,2959,2316,986,10602,100,80,196,179,202,204,190,156,105,1407,2190,1611,3782,3816,4349,4661,4135,2593,1112,28249
5002,243,311,1184,1147,936,806,241,34,0,4909,128,100,241,193,159,471,889,286,41,2513,65,84,318,213,214,244,171,58,12,1379,438,502,1747,1553,1306,1519,1307,378,56,8809,100,319,1318,1354,1225,867,207,13,0,5411,263,147,425,522,362,369,230,41,0,2358,16,51,194,177,184,274,144,24,0,1066,14,19,61,51,28,25,5,6,0,213,392,532,1995,2098,1808,1535,585,85,0,9046,35,29,56,35,36,31,3,0,0,223,19,15,27,26,19,14,3,0,0,117,45,45,76,60,53,47,5,0,0,336,441,582,2075,2164,1861,1584,597,85,0,9387,258,172,384,313,295,778,1756,660,80,4699,129,170,529,400,430,458,321,141,22,2608,829,927,2989,2875,2589,2819,2670,882,111,16695
5003,1532,1469,3399,3959,4072,2879,624,46,3,17990,763,321,1091,943,819,1652,2998,1956,797,11330,77,85,242,178,184,179,156,151,158,1404,2374,1873,4733,5084,5073,4702,3778,2147,959,30727,614,1716,4326,4769,5094,3613,590,24,0,20744,1722,918,1899,2486,2198,1861,802,89,3,11978,109,133,399,288,296,317,81,10,0,1625,41,58,121,113,90,46,17,4,6,493,2486,2834,6743,7645,7672,5839,1489,124,13,34843,124,137,222,172,166,142,21,0,0,987,272,102,137,119,117,86,26,5,0,854,392,240,354,285,281,229,42,5,0,1839,2877,3070,7102,7934,7953,6075,1532,127,13,36690,1669,561,1554,1464,1310,2622,5400,3579,1283,19440,162,196,486,392,394,351,319,248,231,2775,4714,3821,9139,9792,9656,9050,7242,3957,1528,58900
5004,753,545,1508,2210,2397,1803,499,51,5,9768,273,80,373,439,341,884,2120,1300,590,6395,63,36,136,122,124,163,148,120,45,955,1081,665,2015,2766,2861,2855,2770,1467,643,17125,306,606,1739,2249,2611,1756,357,35,5,9672,992,427,944,1527,1532,1462,715,85,10,7679,84,54,191,238,210,217,64,10,0,1061,35,23,42,65,52,33,14,8,3,266,1406,1111,2916,4074,4406,3468,1156,138,19,18679,25,42,74,48,61,36,8,0,0,290,91,22,44,56,45,49,23,0,0,325,119,58,118,105,104,87,24,0,0,613,1524,1163,3035,4177,4515,3550,1174,138,19,19289,632,155,504,577,562,1394,3856,2483,939,11103,106,69,277,253,251,315,292,216,84,1860,2257,1392,3807,5011,5319,5265,5321,2841,1039,32252
5005,185,221,476,535,610,498,128,19,0,2669,121,39,153,119,101,252,461,366,150,1768,31,29,58,87,64,62,72,52,14,469,337,283,696,746,779,805,663,439,170,4907,143,295,643,683,846,644,127,18,0,3400,199,114,278,333,318,331,144,27,0,1742,16,15,66,45,44,60,15,8,0,271,17,13,23,25,18,21,4,3,0,118,372,439,1002,1089,1226,1058,291,52,0,5530,15,12,13,16,22,8,0,0,0,83,25,10,4,14,9,19,8,0,0,82,38,22,15,30,27,28,12,0,0,167,409,454,1024,1116,1254,1082,302,49,0,5696,256,58,188,154,165,406,867,675,241,3007,67,67,145,154,177,140,142,110,26,1027,739,581,1355,1428,1596,1628,1304,840,271,9731
5006,758,754,1619,1812,2072,1577,401,31,9,9029,340,190,527,412,398,761,1501,959,393,5479,86,100,218,238,178,150,148,112,82,1317,1190,1044,2357,2464,2651,2492,2045,1104,479,15821,362,811,2017,2182,2472,1875,384,25,5,10142,894,491,910,1033,1099,994,434,61,3,5919,35,67,194,142,166,209,65,10,0,886,20,22,71,39,64,33,10,11,7,272,1310,1386,3197,3400,3804,3112,886,105,14,17211,57,84,97,94,104,81,9,0,0,533,118,43,64,69,59,75,20,0,0,442,175,121,159,165,164,156,33,0,0,972,1483,1510,3349,3566,3967,3267,920,106,8,18182,759,337,756,651,688,1305,2753,1787,679,9723,217,176,412,477,378,337,283,228,141,2640,2460,2027,4521,4697,5036,4909,3954,2119,829,30545
5007,463,675,1681,1518,1451,1049,223,15,0,7079,219,148,428,363,234,358,496,278,113,2632,68,88,258,210,169,179,123,28,20,1143,747,912,2362,2093,1848,1579,841,328,136,10852,373,1073,2675,2522,2402,1802,354,17,0,11218,472,261,708,688,515,497,198,23,0,3365,28,58,164,102,114,130,30,0,0,628,11,49,78,52,49,40,11,6,0,297,884,1445,3629,3358,3088,2467,593,51,0,15512,35,46,62,69,67,42,3,0,0,338,61,21,33,27,17,31,6,0,0,200,99,76,103,99,85,75,10,0,0,539,980,1518,3730,3456,3169,2536,598,51,0,16044,481,259,621,523,413,603,1008,561,165,4635,136,226,578,528,432,466,310,83,32,2782,1599,2003,4932,4508,4016,3605,1919,690,197,23468
5008,240,304,1155,1159,831,398,86,4,0,4169,115,44,263,203,125,171,188,62,11,1180,50,85,273,228,172,118,62,11,4,994,406,437,1695,1585,1126,682,332,77,13,6346,156,525,1821,2021,1586,886,167,0,0,7158,301,107,450,555,337,168,47,9,0,1968,18,22,183,146,80,101,27,6,0,578,14,10,52,34,17,17,3,0,0,143,488,667,2498,2749,2024,1169,243,13,0,9842,17,21,38,29,29,25,0,0,0,158,42,11,24,17,9,9,3,0,0,110,60,25,59,49,47,27,4,0,0,268,543,691,2561,2795,2067,1194,248,13,0,10110,247,77,315,256,181,259,387,137,16,1875,126,203,676,734,588,413,154,32,5,2936,913,978,3550,3787,2837,1873,785,181,22,14920
5009,35156,51422,117406,118606,107932,76597,18613,1607,112,527458,22481,9892,27107,28430,23350,38888,73619,48597,21452,293822,2104,2692,6841,5845,4501,3558,3535,3782,3368,36229,59739,64010,151361,152879,135784,119048,95763,53990,24929,857508,9555,43515,148874,154585,142581,94400,17613,1073,54,612254,44584,47268,63155,69001,57973,50306,22401,3318,205,358222,1858,2891,11538,8985,6343,6810,2099,239,24,40793,869,2114,4659,3280,2510,1627,528,183,63,15836,56872,95792,228225,235857,209408,153140,42645,4812,350,1027100,2290,4334,7015,5746,5677,4405,666,44,3,30178,9413,4043,4367,3779,2944,2832,966,87,8,28453,11705,8378,11382,9529,8624,7241,1631,130,11,58632,68574,104169,239614,245380,218034,160384,44272,4945,356,1085734,49333,19207,38384,38459,35350,60965,131218,89127,34997,497033,4302,5763,14028,12313,9724,7619,6818,6606,5248,72411,122210,129144,292027,296152,263105,228967,182307,100675,40595,1655184
