SUA_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
5000,53,433,4,490,6035,1109,8,7635,377,329,34,740,5905,1918,167,8728,5183,579,238,5997,12328,6984,362,25676,9945,521,469,10937,8959,7168,206,27268,5758,752,203,6712,15089,6784,142,28721,1063,1582,45,2684,20328,5097,86,28195,171,1499,12,1682,17175,2520,41,21411,28,235,4,267,7382,1022,4,8683,3,12,0,17,1623,299,3,1944,22580,5930,1013,29528,94816,32904,1020,158262,92,731,25,849,5004,957,7,6820,722,497,78,1300,4284,1085,96,6764,6234,816,573,7626,7727,2666,229,18253,9462,750,844,11057,5119,2339,57,18575,3997,1535,262,5792,11736,2453,29,20019,389,3419,46,3859,16572,2352,45,22826,82,2275,19,2379,14007,1751,33,18167,32,310,8,346,6371,958,9,7691,0,20,5,24,1986,400,7,2419,21017,10355,1854,33235,72811,14971,514,121528,140,1162,39,1341,11043,2058,14,14459,1100,828,108,2039,10192,3002,260,15493,11417,1397,810,13624,20057,9657,593,43929,19405,1274,1319,22001,14073,9508,263,45840,9756,2288,457,12504,26822,9241,171,48735
5001,0,72,0,82,989,74,0,1146,30,38,0,71,695,69,8,845,535,48,16,593,1087,251,4,1936,899,42,46,985,630,201,9,1817,621,66,21,714,1161,161,0,2034,127,151,8,288,1766,126,3,2180,16,165,0,181,1681,119,0,1986,4,33,0,39,1043,72,4,1162,0,7,0,7,422,41,0,471,2240,614,89,2946,9478,1110,27,13564,7,99,3,108,883,56,0,1046,87,56,12,152,576,44,0,779,800,100,62,961,794,93,4,1853,1189,85,105,1377,541,92,0,2006,608,194,36,844,1380,92,0,2318,56,423,6,481,1891,110,3,2490,11,297,0,312,1737,114,0,2158,4,45,0,55,1280,108,0,1437,0,5,0,5,564,75,0,644,2757,1305,223,4286,9642,783,19,14731,6,175,0,185,1875,132,0,2190,114,93,12,223,1273,119,6,1621,1335,144,80,1550,1879,344,13,3791,2090,124,147,2364,1164,289,6,3822,1232,257,57,1550,2539,252,0,4350
5002,8,14,0,19,294,74,0,386,16,16,0,38,290,92,9,432,215,30,15,264,749,238,33,1276,558,29,28,616,476,226,6,1324,300,37,14,352,682,244,0,1285,50,64,0,109,952,237,6,1297,11,93,0,100,1107,155,7,1374,6,20,0,26,397,83,0,503,0,0,0,0,47,15,0,56,1163,304,54,1526,4999,1362,55,7936,3,39,0,45,306,86,0,438,41,33,0,73,338,93,19,515,375,69,24,471,933,338,37,1778,685,64,67,813,508,235,6,1559,282,71,14,365,722,225,3,1309,28,172,0,201,1076,246,0,1526,0,140,0,147,985,170,8,1314,0,28,0,32,284,67,0,375,0,0,0,0,39,15,0,56,1407,619,112,2139,5201,1470,74,8879,10,49,0,67,604,167,0,829,59,47,0,113,635,185,25,947,590,104,40,735,1683,579,67,3059,1243,90,94,1426,986,458,12,2885,577,109,30,718,1402,463,5,2594
5003,13,119,0,134,2092,123,4,2351,121,72,4,192,1596,152,0,1948,1287,123,47,1457,2506,445,14,4419,2500,100,109,2706,1599,404,9,4714,1359,143,39,1544,2727,315,6,4591,229,399,9,640,3476,229,5,4347,43,419,0,461,2802,197,0,3476,10,78,0,88,1614,107,3,1808,0,4,0,4,472,90,0,569,5561,1457,210,7226,18889,2064,44,28217,16,205,0,225,2044,104,0,2373,243,133,15,396,1396,89,0,1875,2152,201,169,2525,1951,261,7,4746,3138,163,240,3545,1333,201,4,5091,1340,392,76,1804,3055,204,6,5072,91,1071,15,1183,3339,186,7,4711,29,685,0,717,2895,168,3,3784,12,100,0,116,1877,159,7,2153,6,8,0,11,777,175,0,959,7035,2963,521,10518,18661,1545,41,30766,25,328,4,356,4138,226,6,4723,364,205,16,592,2994,243,3,3824,3438,323,215,3978,4459,704,26,9164,5637,264,352,6258,2929,610,8,9802,2698,537,116,3357,5785,520,9,9668
5004,4,51,0,60,1043,77,0,1172,23,26,0,49,650,35,0,729,484,45,18,548,1100,141,12,1802,1268,37,44,1351,751,141,0,2242,915,59,27,995,1324,142,5,2469,143,183,5,332,1919,159,6,2413,21,316,0,338,2071,145,0,2556,3,66,0,70,1205,97,4,1374,0,3,0,4,335,58,0,396,2862,785,93,3740,10397,995,31,15162,0,84,0,86,914,80,0,1084,43,42,4,92,530,43,0,665,816,83,63,969,915,140,12,2030,1798,86,115,1997,634,137,3,2769,926,148,52,1128,1606,127,4,2863,51,537,3,590,2093,173,7,2860,14,526,6,548,2059,167,5,2773,0,63,0,63,1279,126,0,1468,0,6,0,9,584,50,0,643,3655,1585,249,5480,10608,1037,32,17155,10,138,0,147,1957,158,0,2256,68,66,4,138,1178,77,0,1395,1302,135,78,1513,2015,279,23,3833,3064,120,160,3342,1385,279,5,5015,1841,205,79,2128,2928,266,13,5330
5005,4,14,0,13,331,53,0,401,11,6,0,22,240,41,5,301,169,27,11,200,365,89,4,662,330,15,11,357,249,75,0,692,201,26,10,241,462,111,0,817,28,74,0,109,629,86,5,822,0,46,0,47,520,74,0,641,0,15,0,16,320,63,0,400,0,0,0,0,94,6,0,100,747,228,34,1008,3204,612,14,4839,3,33,0,38,252,41,0,337,34,20,0,58,200,28,0,283,290,40,22,349,278,64,4,699,408,29,45,482,182,85,0,746,169,79,7,254,459,69,0,780,17,145,0,167,574,66,3,812,3,90,0,97,499,71,0,663,5,27,0,30,352,56,0,439,0,3,0,5,145,18,0,170,924,459,80,1459,2947,503,6,4917,4,46,0,55,590,101,0,739,42,24,0,74,443,64,5,583,456,63,31,551,639,157,9,1362,740,42,55,837,432,158,0,1429,373,100,18,495,915,182,0,1599
5006,0,54,0,54,1064,148,0,1275,45,34,5,80,795,107,4,983,617,71,24,708,1171,282,5,2167,1013,42,33,1090,844,297,0,2234,627,62,23,710,1445,228,0,2385,122,193,3,322,1901,195,3,2426,18,177,0,197,1575,138,0,1907,0,39,0,43,863,110,5,1018,0,0,0,0,295,53,3,357,2448,680,84,3215,9956,1555,21,14754,9,107,0,118,965,102,0,1190,128,71,5,207,734,105,0,1046,977,104,75,1158,971,226,10,2360,1358,89,118,1566,647,252,0,2462,608,220,39,862,1593,197,3,2652,67,475,8,547,1779,164,3,2490,11,330,6,345,1554,151,0,2051,3,49,0,51,928,125,4,1104,0,6,0,6,387,87,0,480,3160,1450,253,4862,9557,1402,16,15838,12,167,0,181,2026,255,0,2458,172,104,10,289,1524,214,5,2025,1593,175,102,1866,2143,512,11,4530,2374,133,151,2660,1495,545,0,4704,1226,282,59,1571,3040,420,7,5037
5007,0,39,0,47,720,88,0,853,66,28,0,94,835,165,0,1098,648,52,19,713,1445,408,11,2583,1008,44,38,1093,945,384,6,2425,463,49,9,523,1329,311,4,2171,98,116,0,218,1503,297,8,2033,4,59,0,69,821,185,3,1082,3,17,0,23,289,50,0,362,0,0,0,0,51,13,0,66,2301,410,74,2780,7931,1899,42,12662,8,71,0,79,593,78,0,750,123,51,6,180,631,100,9,918,950,81,75,1106,984,271,10,2367,1124,71,61,1251,618,222,3,2089,366,153,18,530,1140,178,3,1852,35,240,0,276,1122,184,4,1582,9,105,0,114,602,128,9,855,0,28,0,25,264,33,0,328,0,3,0,3,110,17,0,136,2618,798,159,3577,6072,1204,36,10888,13,108,0,123,1310,164,5,1600,186,75,13,277,1468,257,4,2015,1595,130,97,1826,2428,676,22,4949,2130,113,99,2343,1563,606,9,4519,828,198,28,1057,2467,495,10,4022
5008,0,18,0,23,407,77,0,506,18,13,0,31,382,123,4,547,418,35,9,459,978,414,22,1876,915,33,23,973,711,517,14,2213,404,38,9,451,830,430,8,1721,40,69,0,106,781,309,14,1207,6,41,0,41,319,94,0,458,0,7,0,7,83,21,3,113,0,0,0,0,3,6,0,9,1811,251,42,2094,4491,1992,65,8646,3,35,0,39,308,61,0,406,34,22,3,63,288,86,8,436,594,54,50,696,719,281,8,1697,833,45,60,936,413,234,0,1587,285,65,20,370,585,174,0,1127,12,120,0,131,437,111,4,681,0,46,0,49,227,60,9,339,0,0,0,0,69,4,0,77,0,0,0,0,8,4,0,13,1759,395,132,2287,3047,1014,25,6368,11,52,0,62,715,137,0,913,50,41,3,96,668,209,8,986,1013,89,58,1159,1697,690,27,3576,1750,78,84,1910,1127,748,16,3799,692,99,30,820,1414,605,9,2847
5009,201,2952,22,3178,56517,2781,63,62538,1386,2057,45,3487,57885,3762,209,65341,30146,3398,800,34351,97339,8978,581,141247,73192,2586,2079,77855,57632,7792,400,143672,43619,3062,1148,47821,73552,5944,377,127696,7910,8709,215,16831,88581,4506,408,110322,1402,13702,58,15161,67862,3522,345,86890,256,3548,21,3822,39866,2991,123,46802,36,182,0,223,13518,1930,28,15696,158139,40197,4385,202724,552749,42206,2529,800206,311,4798,48,5158,51858,2721,71,59808,3493,4034,204,7729,53159,3120,191,64199,52354,6485,2609,61447,82223,7693,488,151848,91865,4695,5249,101808,44586,6487,247,153127,42270,8420,1920,52608,78168,5004,268,136051,3537,24774,298,28608,86475,3965,517,119568,968,23724,137,24829,67159,3785,447,96213,227,4305,32,4557,45484,3947,140,54135,35,250,0,282,21177,3474,50,24977,195051,81486,10499,287033,530283,40188,2421,859927,514,7749,74,8334,108375,5506,134,122343,4879,6084,245,11213,111051,6879,394,129538,82504,9886,3411,95798,179560,16671,1069,293094,165057,7281,7328,179667,102212,14276,649,296804,85886,11480,3067,100434,151724,10947,641,263742
