SUA_CODE_2021,AG_15_19_Nbr_ch_ev_brn_No,AG_15_19_Nbr_ch_ev_brn_1,AG_15_19_Nbr_ch_ev_brn_2,AG_15_19_Nbr_ch_ev_brn_3,AG_15_19_Nbr_ch_ev_brn_4,AG_15_19_Nbr_ch_ev_brn_5,AG_15_19_Nbr_ch_ev_brn_6m,AG_15_19_Nbr_ch_ev_brn_Ns,AG_15_19_Tot,AG_20_24_Nbr_ch_ev_brn_No,AG_20_24_Nbr_ch_ev_brn_1,AG_20_24_Nbr_ch_ev_brn_2,AG_20_24_Nbr_ch_ev_brn_3,AG_20_24_Nbr_ch_ev_brn_4,AG_20_24_Nbr_ch_ev_brn_5,AG_20_24_Nbr_ch_ev_brn_6m,AG_20_24_Nbr_ch_ev_brn_Ns,AG_20_24_Tot,AG_25_29_Nbr_ch_ev_brn_No,AG_25_29_Nbr_ch_ev_brn_1,AG_25_29_Nbr_ch_ev_brn_2,AG_25_29_Nbr_ch_ev_brn_3,AG_25_29_Nbr_ch_ev_brn_4,AG_25_29_Nbr_ch_ev_brn_5,AG_25_29_Nbr_ch_ev_brn_6m,AG_25_29_Nbr_ch_ev_brn_Ns,AG_25_29_Tot,AG_30_34_Nbr_ch_ev_brn_No,AG_30_34_Nbr_ch_ev_brn_1,AG_30_34_Nbr_ch_ev_brn_2,AG_30_34_Nbr_ch_ev_brn_3,AG_30_34_Nbr_ch_ev_brn_4,AG_30_34_Nbr_ch_ev_brn_5,AG_30_34_Nbr_ch_ev_brn_6m,AG_30_34_Nbr_ch_ev_brn_Ns,AG_30_34_Tot,AG_35_39_Nbr_ch_ev_brn_No,AG_35_39_Nbr_ch_ev_brn_1,AG_35_39_Nbr_ch_ev_brn_2,AG_35_39_Nbr_ch_ev_brn_3,AG_35_39_Nbr_ch_ev_brn_4,AG_35_39_Nbr_ch_ev_brn_5,AG_35_39_Nbr_ch_ev_brn_6m,AG_35_39_Nbr_ch_ev_brn_Ns,AG_35_39_Tot,AG_40_44_Nbr_ch_ev_brn_No,AG_40_44_Nbr_ch_ev_brn_1,AG_40_44_Nbr_ch_ev_brn_2,AG_40_44_Nbr_ch_ev_brn_3,AG_40_44_Nbr_ch_ev_brn_4,AG_40_44_Nbr_ch_ev_brn_5,AG_40_44_Nbr_ch_ev_brn_6m,AG_40_44_Nbr_ch_ev_brn_Ns,AG_40_44_Tot,AG_45_49_Nbr_ch_ev_brn_No,AG_45_49_Nbr_ch_ev_brn_1,AG_45_49_Nbr_ch_ev_brn_2,AG_45_49_Nbr_ch_ev_brn_3,AG_45_49_Nbr_ch_ev_brn_4,AG_45_49_Nbr_ch_ev_brn_5,AG_45_49_Nbr_ch_ev_brn_6m,AG_45_49_Nbr_ch_ev_brn_Ns,AG_45_49_Tot,AG_50_54_Nbr_ch_ev_brn_No,AG_50_54_Nbr_ch_ev_brn_1,AG_50_54_Nbr_ch_ev_brn_2,AG_50_54_Nbr_ch_ev_brn_3,AG_50_54_Nbr_ch_ev_brn_4,AG_50_54_Nbr_ch_ev_brn_5,AG_50_54_Nbr_ch_ev_brn_6m,AG_50_54_Nbr_ch_ev_brn_Ns,AG_50_54_Tot,AG_55_59_Nbr_ch_ev_brn_No,AG_55_59_Nbr_ch_ev_brn_1,AG_55_59_Nbr_ch_ev_brn_2,AG_55_59_Nbr_ch_ev_brn_3,AG_55_59_Nbr_ch_ev_brn_4,AG_55_59_Nbr_ch_ev_brn_5,AG_55_59_Nbr_ch_ev_brn_6m,AG_55_59_Nbr_ch_ev_brn_Ns,AG_55_59_Tot,AG_60_64_Nbr_ch_ev_brn_No,AG_60_64_Nbr_ch_ev_brn_1,AG_60_64_Nbr_ch_ev_brn_2,AG_60_64_Nbr_ch_ev_brn_3,AG_60_64_Nbr_ch_ev_brn_4,AG_60_64_Nbr_ch_ev_brn_5,AG_60_64_Nbr_ch_ev_brn_6m,AG_60_64_Nbr_ch_ev_brn_Ns,AG_60_64_Tot,AG_65_69_Nbr_ch_ev_brn_No,AG_65_69_Nbr_ch_ev_brn_1,AG_65_69_Nbr_ch_ev_brn_2,AG_65_69_Nbr_ch_ev_brn_3,AG_65_69_Nbr_ch_ev_brn_4,AG_65_69_Nbr_ch_ev_brn_5,AG_65_69_Nbr_ch_ev_brn_6m,AG_65_69_Nbr_ch_ev_brn_Ns,AG_65_69_Tot,AG_70_74_Nbr_ch_ev_brn_No,AG_70_74_Nbr_ch_ev_brn_1,AG_70_74_Nbr_ch_ev_brn_2,AG_70_74_Nbr_ch_ev_brn_3,AG_70_74_Nbr_ch_ev_brn_4,AG_70_74_Nbr_ch_ev_brn_5,AG_70_74_Nbr_ch_ev_brn_6m,AG_70_74_Nbr_ch_ev_brn_Ns,AG_70_74_Tot,AG_75_79_Nbr_ch_ev_brn_No,AG_75_79_Nbr_ch_ev_brn_1,AG_75_79_Nbr_ch_ev_brn_2,AG_75_79_Nbr_ch_ev_brn_3,AG_75_79_Nbr_ch_ev_brn_4,AG_75_79_Nbr_ch_ev_brn_5,AG_75_79_Nbr_ch_ev_brn_6m,AG_75_79_Nbr_ch_ev_brn_Ns,AG_75_79_Tot,AG_80_84_Nbr_ch_ev_brn_No,AG_80_84_Nbr_ch_ev_brn_1,AG_80_84_Nbr_ch_ev_brn_2,AG_80_84_Nbr_ch_ev_brn_3,AG_80_84_Nbr_ch_ev_brn_4,AG_80_84_Nbr_ch_ev_brn_5,AG_80_84_Nbr_ch_ev_brn_6m,AG_80_84_Nbr_ch_ev_brn_Ns,AG_80_84_Tot,AG_85_over_Nbr_ch_ev_brn_No,AG_85_over_Nbr_ch_ev_brn_1,AG_85_over_Nbr_ch_ev_brn_2,AG_85_over_Nbr_ch_ev_brn_3,AG_85_over_Nbr_ch_ev_brn_4,AG_85_over_Nbr_ch_ev_brn_5,AG_85_over_Nbr_ch_ev_brn_6m,AG_85_over_Nbr_ch_ev_brn_Ns,AG_85_over_Tot,Tot_Num_child_evr_brn_No,Tot_Num_child_evr_brn_1,Tot_Num_child_evr_brn_2,Tot_Num_child_evr_brn_3,Tot_Num_child_evr_brn_4,Tot_Num_child_evr_brn_5,Tot_Num_child_evr_brn_6m,Tot_Num_child_evr_brn_Ns,Tot_Tot
5000,5491,103,13,0,5,0,8,1193,6813,4503,606,287,58,9,0,3,1196,6671,4423,1192,1001,392,111,27,13,1414,8564,3078,1410,1995,1048,339,116,52,1410,9458,1785,1168,2737,1705,609,174,124,1279,9585,1357,944,2689,1709,695,198,190,1155,8934,1329,981,2884,1779,729,254,194,1284,9433,1397,1096,3344,2053,822,292,221,1321,10551,1380,1019,3565,2485,1017,316,211,1386,11385,1162,892,3697,2788,1167,337,184,1179,11400,863,719,3387,2546,1124,322,165,1109,10241,507,496,2639,2058,879,272,164,884,7899,284,283,1366,1285,648,208,138,654,4867,117,99,550,740,511,218,151,424,2808,107,93,368,534,453,243,222,398,2411,27786,11116,30542,21187,9109,2973,2027,16291,121020
5001,954,6,0,0,0,0,0,86,1044,606,84,21,8,0,0,0,65,778,500,148,133,48,12,3,0,51,897,279,161,288,121,31,11,8,62,954,166,134,347,189,70,23,11,51,995,155,141,349,190,72,29,20,53,1010,148,130,428,230,91,27,26,52,1133,174,130,405,257,113,38,26,51,1186,192,132,417,252,94,26,20,71,1209,192,126,459,264,111,38,23,56,1277,145,110,397,275,102,30,20,50,1131,109,79,346,263,110,31,21,65,1028,62,61,272,211,93,30,27,62,814,34,23,147,169,122,48,33,52,626,39,40,120,156,118,53,36,84,642,3756,1510,4124,2629,1122,378,279,903,14710
5002,348,0,0,0,0,0,0,88,438,349,37,17,0,0,0,0,98,502,516,57,71,21,5,0,0,159,823,390,121,134,56,17,4,9,186,923,238,123,210,99,41,10,3,132,860,146,74,168,136,39,18,11,108,693,101,75,210,91,31,14,12,102,628,105,74,190,105,48,11,14,126,678,95,78,204,136,37,15,16,123,696,97,63,262,175,66,18,9,136,830,59,50,242,222,72,8,12,111,774,34,27,210,122,50,10,11,59,532,19,13,85,63,27,8,5,51,279,10,3,17,32,14,0,10,20,103,8,7,7,14,6,3,4,14,56,2506,803,2022,1272,464,132,108,1507,8809
5003,2202,20,0,0,0,0,0,152,2374,1441,228,71,16,0,0,0,120,1873,1148,431,303,104,36,11,3,160,2208,686,500,764,306,89,36,11,132,2527,400,405,1018,486,137,48,25,112,2620,277,339,971,510,182,52,30,97,2464,278,287,1033,537,184,59,32,97,2511,289,329,989,550,205,60,29,110,2561,258,223,908,571,210,46,28,107,2357,208,198,883,617,245,77,43,89,2349,153,130,728,554,193,61,46,94,1956,138,120,698,477,197,53,30,96,1821,73,54,382,361,190,63,36,92,1258,41,47,219,226,150,75,46,90,889,30,34,145,224,181,100,75,175,959,7631,3342,9111,5532,2203,743,437,1726,30727
5004,976,0,0,0,0,0,0,99,1081,539,47,13,0,0,0,0,62,665,507,161,100,31,3,0,0,81,876,399,221,285,115,27,11,3,83,1138,220,232,540,239,61,16,9,78,1393,172,157,575,303,82,20,8,62,1373,182,193,580,321,87,21,14,64,1457,189,187,553,274,90,22,15,70,1400,214,130,462,315,121,25,11,94,1369,173,126,517,399,135,32,18,96,1484,144,121,539,389,124,33,11,83,1451,113,119,474,339,137,32,8,95,1318,74,46,316,241,98,30,5,76,891,35,26,141,172,96,37,15,57,581,32,38,120,151,142,62,40,53,643,3971,1803,5220,3288,1204,330,164,1153,17125
5005,291,3,0,0,0,0,0,43,337,215,26,8,3,0,0,0,27,283,169,49,49,22,6,4,0,32,326,108,67,95,38,16,3,0,38,368,55,39,127,77,27,9,6,46,394,44,36,119,69,29,12,8,39,352,47,44,151,75,25,8,5,41,398,35,36,134,86,36,6,7,34,380,43,44,164,89,35,14,8,33,434,25,30,119,104,40,17,3,32,374,21,34,122,82,37,14,10,37,355,19,17,106,79,36,3,3,37,309,5,4,70,81,47,17,8,41,271,3,8,34,36,37,10,14,20,164,4,0,22,36,38,22,16,23,170,1092,453,1309,881,422,138,89,534,4907
5006,1027,17,0,0,0,0,0,143,1190,743,102,44,16,0,0,4,131,1044,546,182,199,63,21,3,5,111,1126,342,239,284,163,63,16,10,123,1233,217,158,395,221,75,25,20,122,1236,129,134,422,241,106,34,31,120,1225,158,165,474,261,74,34,31,99,1294,169,167,459,299,99,36,23,95,1353,136,128,412,326,119,36,24,92,1270,93,113,404,301,151,37,32,89,1218,88,70,413,310,110,29,22,90,1133,38,47,320,261,114,40,13,79,915,43,29,164,163,118,33,25,64,627,20,22,80,130,84,43,25,64,472,11,25,69,107,87,52,47,81,479,3760,1590,4145,2871,1235,404,309,1511,15821
5007,636,15,0,0,0,0,0,96,747,641,109,36,8,4,0,5,113,912,586,192,164,54,9,0,0,153,1151,352,223,305,138,50,15,3,122,1205,193,164,368,184,83,21,13,133,1156,119,125,305,165,78,29,18,92,933,134,112,297,164,95,25,12,89,925,126,102,275,179,94,19,17,111,929,86,81,242,221,81,34,16,97,858,53,61,220,158,85,37,18,98,719,34,30,128,131,67,14,15,89,504,18,15,87,90,42,20,11,54,341,11,15,45,57,25,13,7,17,192,8,14,19,24,25,7,13,20,135,0,15,16,15,15,20,20,28,136,2993,1267,2509,1582,758,264,166,1304,10852
5008,341,6,0,0,0,0,0,63,406,298,40,8,3,0,0,0,89,437,413,105,68,17,7,0,0,129,739,282,170,211,105,20,4,0,156,951,151,119,311,144,45,15,4,134,933,88,74,218,123,50,4,3,95,658,70,68,192,127,42,8,10,90,615,52,59,147,89,39,13,11,83,513,33,28,110,68,26,9,8,51,344,16,33,107,69,36,5,8,61,336,10,15,61,41,16,6,3,38,193,4,5,43,27,17,8,0,30,143,0,6,9,15,4,3,6,10,49,5,0,0,0,3,5,5,0,28,0,0,0,3,0,0,0,3,13,1753,720,1484,864,319,99,58,1047,6346
5009,55131,292,17,4,0,0,11,4283,59739,55131,3011,1088,249,31,5,8,4484,64010,47607,9711,6058,1886,480,114,49,4628,70527,32760,17982,17754,5821,1686,443,241,4146,80837,18278,15824,28716,10654,3006,880,520,3679,81550,11746,11234,28041,12150,3586,1072,743,2765,71334,10167,10065,27182,12772,3866,1192,820,2676,68742,9625,9491,26608,12757,4014,1254,867,2435,67044,8343,7930,24065,12934,4397,1214,823,2177,61890,6705,6695,21975,13197,4622,1276,703,1993,57158,5277,5619,19755,12152,4400,1170,706,1984,51072,3710,4249,17577,10978,4154,1117,640,2268,44692,2232,2400,10910,8214,3404,1020,645,2184,31008,1424,1452,6281,6220,3401,1184,789,2237,22982,1403,1491,5509,5785,3824,1707,1504,3712,24929,269535,107442,241545,125770,44858,13645,9062,45646,857508
