SUA_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
5000,558,93,114,20,788,284,44,71,9,409,203,62,274,14,554,180,46,363,17,605,1037,251,581,52,1923,626,258,806,36,1731,3530,525,850,90,4983,2209,648,985,121,3961,2251,995,929,101,4284,2552,1344,763,77,4730,1277,1312,521,37,3148,1707,1461,397,46,3617,3408,3285,612,76,7374,2385,2741,283,27,5441,1874,2319,172,27,4386,1054,1455,78,14,2605,2482,3438,168,32,6121,2564,4692,921,53,8226,690,305,275,47,1316,30882,25266,9156,886,66192
5001,56,13,17,0,90,38,5,7,4,50,21,3,11,0,37,22,0,38,0,61,108,12,88,4,214,82,11,139,5,236,550,39,162,5,762,379,60,159,10,603,384,122,197,20,728,428,228,145,18,822,224,228,114,5,576,265,234,80,6,589,518,551,104,13,1183,340,457,34,3,845,216,358,29,7,607,111,190,4,0,309,218,389,17,0,619,248,444,108,8,806,69,20,21,5,115,4293,3352,1478,118,9245
5002,16,0,6,0,24,5,3,0,0,6,0,0,16,0,21,0,0,35,0,35,17,5,30,0,47,9,7,39,0,54,44,15,44,0,95,27,12,44,9,87,47,27,51,7,129,42,32,44,3,129,31,35,48,0,111,36,57,34,3,130,155,167,74,4,394,164,175,21,3,359,143,196,16,0,354,92,130,4,3,227,156,321,22,3,504,164,227,78,9,481,31,23,37,0,84,1163,1435,633,56,3283
5003,129,12,43,0,188,52,4,14,0,69,56,7,38,0,105,37,9,95,0,144,211,21,161,8,406,157,36,322,4,521,978,79,356,13,1419,620,118,410,23,1166,644,235,430,16,1326,680,391,327,31,1430,383,424,228,30,1063,495,502,199,20,1209,1019,1242,311,27,2599,733,1103,122,16,1973,584,995,76,8,1657,275,592,32,3,898,626,1329,58,3,2015,602,1300,293,16,2206,87,61,39,0,191,8363,8444,3556,240,20598
5004,71,20,19,0,106,49,3,9,0,53,33,0,17,0,58,27,0,30,5,62,137,7,65,0,220,101,17,108,4,231,570,46,178,4,794,383,60,195,11,644,515,127,209,11,858,506,218,141,6,872,264,241,93,7,602,304,239,72,7,620,576,586,119,9,1286,375,553,47,0,972,251,455,25,3,731,147,263,7,0,417,365,664,24,5,1059,400,788,135,3,1321,76,37,17,0,128,5155,4310,1496,82,11044
5005,16,6,13,0,30,13,0,5,0,18,0,4,10,0,19,0,0,16,0,18,24,4,38,0,64,20,10,27,5,54,141,7,35,3,185,87,13,53,3,156,104,32,38,6,174,107,64,37,10,217,66,62,18,4,151,84,75,16,0,180,180,180,44,4,414,116,136,16,7,267,92,128,9,0,230,32,67,5,0,102,120,145,11,0,278,128,211,51,0,390,22,12,9,0,47,1348,1149,452,49,3001
5006,79,8,32,5,117,28,5,13,0,47,25,7,39,4,69,9,4,60,4,73,92,9,97,4,198,80,17,142,6,248,451,35,165,15,664,267,63,200,21,552,268,83,204,10,572,318,178,140,12,650,218,187,126,9,533,216,200,105,10,538,479,559,143,15,1198,371,514,74,7,966,304,411,43,9,767,144,289,19,3,456,338,594,28,0,964,378,667,153,15,1207,67,19,29,3,123,4133,3845,1809,164,9955
5007,28,7,16,6,53,13,4,10,0,27,10,0,15,0,40,6,0,25,0,33,28,3,38,0,73,28,8,79,0,114,111,13,72,3,206,67,33,80,3,186,87,43,82,10,223,127,60,84,9,274,68,90,74,7,239,102,124,61,5,293,325,398,130,7,857,319,376,56,19,770,303,445,42,16,805,203,294,18,3,520,488,958,52,13,1508,206,430,73,6,710,39,33,41,5,122,2551,3312,1054,114,7026
5008,8,0,6,0,19,0,0,4,0,5,0,0,3,0,7,0,4,8,0,10,6,6,11,0,25,3,0,15,3,23,8,0,17,0,30,3,3,20,0,31,11,15,22,0,55,22,31,26,0,69,12,40,37,0,89,38,69,34,0,140,147,204,49,3,405,119,204,15,5,339,175,243,34,5,456,130,179,8,0,313,441,896,32,0,1368,144,259,28,4,427,12,13,8,0,25,1269,2162,371,33,3839
5009,4303,820,1552,165,6838,1579,213,508,86,2385,1252,362,1107,135,2857,903,354,1994,85,3342,4583,846,3410,248,9084,3575,1276,5923,293,11062,18609,2684,6540,444,28286,13241,4077,8205,853,26376,14684,7441,9059,844,32024,16442,11056,7977,978,36464,10037,11845,6256,687,28824,11510,13136,5300,665,30618,25222,33004,8981,1250,68453,19118,29137,3961,756,52966,15292,27493,2791,472,46052,9472,18836,1115,260,29682,24924,63481,3266,439,92109,14869,31022,6493,347,52727,2541,1615,1083,130,5366,212152,258688,85539,9135,565513
5010,14,0,14,0,32,0,5,4,0,9,0,0,11,0,13,0,0,21,0,16,9,10,22,4,39,7,5,23,0,34,20,10,22,4,53,14,17,26,0,56,19,18,30,4,75,15,20,39,7,81,18,25,40,0,87,43,44,39,0,126,104,156,62,15,330,116,171,17,3,312,165,209,26,4,406,129,162,14,0,299,350,626,31,4,1005,137,205,38,3,381,23,27,22,3,74,1173,1704,494,62,3436
