SUA_CODE_2021,M_SEO_Before_2005,M_SEO_2005_2010,M_SEO_2011_2015,M_SEO_2016,M_SEO_2017,M_SEO_2018,M_SEO_2019,M_SEO_2020,M_SEO_2021,M_SEO_Yr_arr_ns,M_SEO_Tot,M_Sol_sp_En_Vww_B_2005,M_Sol_sp_En_Vww_2005_2010,M_Sol_sp_En_Vww_2011_2015,M_Sol_sp_En_Vww_2016,M_Sol_sp_En_Vww_2017,M_Sol_sp_En_Vww_2018,M_Sol_sp_En_Vww_2019,M_Sol_sp_En_Vww_2020,M_Sol_sp_En_Vww_2021,M_Sol_sp_En_Vww_Yr_arr_ns,M_Sol_sp_En_Vww_Tot,M_Sol_sp_En_Nwna_B_2005,M_Sol_sp_En_Nwna_2005_2010,M_Sol_sp_En_Nwna_2011_2015,M_Sol_sp_En_Nwna_2016,M_Sol_sp_En_Nwna_2017,M_Sol_sp_En_Nwna_2018,M_Sol_sp_En_Nwna_2019,M_Sol_sp_En_Nwna_2020,M_Sol_sp_En_Nwna_2021,M_Sol_sp_En_Nwna_Yr_arr_ns,M_Sol_sp_En_Nwna_Tot,M_Sol_sp_E_Pr_E_ns_B_2005,M_Sol_sp_E_Pr_E_ns_2005_2010,M_Sol_sp_E_Pr_E_ns_2011_2015,M_Sol_sp_E_Pr_E_ns_2016,M_Sol_sp_E_Pr_E_ns_2017,M_Sol_sp_E_Pr_E_ns_2018,M_Sol_sp_E_Pr_E_ns_2019,M_Sol_sp_E_Pr_E_ns_2020,M_Sol_sp_E_Pr_E_ns_2021,M_So_sp_E_Pr_E_ns_Yr_ar_ns,M_Sol_sp_E_Pr_E_ns_Tot,M_Sol_sp_En_Tot_B_2005,M_Sol_sp_En_Tot_2005_2010,M_Sol_sp_En_Tot_2011_2015,M_Sol_sp_En_Tot_2016,M_Sol_sp_En_Tot_2017,M_Sol_sp_En_Tot_2018,M_Sol_sp_En_Tot_2019,M_Sol_sp_En_Tot_2020,M_Sol_sp_En_Tot_2021,M_Sol_sp_En_Tot_Yr_arr_ns,M_Sol_sp_En_Tot_YoA_Tot,M_LanProf_En_ns_B_2005,M_LanProf_En_ns_2005_2010,M_LanProf_En_ns_2011_2015,M_LanProf_En_ns_2016,M_LanProf_En_ns_2017,M_LanProf_En_ns_2018,M_LanProf_En_ns_2019,M_LanProf_En_ns_2020,M_LanProf_En_ns_2021,M_LanProf_En_ns_Yr_arr_ns,M_LanProf_En_ns_Tot,M_Tot_B_2005,M_Tot_2005_2010,M_Tot_2011_2015,M_Tot_2016,M_Tot_2017,M_Tot_2018,M_Tot_2019,M_Tot_2020,M_Tot_2021,M_Tot_Yr_arrival_ns,M_Tot_YoA_Tot,F_SEO_B_2005,F_SEO_2005_2010,F_SEO_2011_2015,F_SEO_2016,F_SEO_2017,F_SEO_2018,F_SEO_2019,F_SEO_2020,F_SEO_2021,F_SEO_Yr_arr_ns,F_SEO_Tot,F_Sol_sp_En_Vww_B_2005,F_Sol_sp_En_Vww_2005_2010,F_Sol_sp_En_Vww_2011_2015,F_Sol_sp_En_Vww_2016,F_Sol_sp_En_Vww_2017,F_Sol_sp_En_Vww_2018,F_Sol_sp_En_Vww_2019,F_Sol_sp_En_Vww_2020,F_Sol_sp_En_Vww_2021,F_Sol_sp_En_Vww_Yr_arr_ns,F_Sol_sp_En_Vww_Tot,F_Sol_sp_En_Nwna_B_2005,F_Sol_sp_En_Nwna_2005_2010,F_Sol_sp_En_Nwna_2011_2015,F_Sol_sp_En_Nwna_2016,F_Sol_sp_En_Nwna_2017,F_Sol_sp_En_Nwna_2018,F_Sol_sp_En_Nwna_2019,F_Sol_sp_En_Nwna_2020,F_Sol_sp_En_Nwna_2021,F_Sol_sp_En_Nwna_Yr_arr_ns,F_Sol_sp_En_Nwna_Tot,F_Sol_sp_En_Pr_En_ns_B_2005,F_Sol_sp_E_Pr_En_ns_2005_2010,F_Sol_sp_E_Pr_En_ns_2011_2015,F_Sol_sp_En_Prof_En_ns_2016,F_Sol_sp_En_Prof_En_ns_2017,F_Sol_sp_En_Prof_En_ns_2018,F_Sol_sp_En_Prof_En_ns_2019,F_Sol_sp_En_Prof_En_ns_2020,F_Sol_sp_En_Prof_En_ns_2021,F_So_sp_En_Pro_En_ns_Yr_ar_ns,F_Sol_sp_En_Prof_En_ns_Tot,F_Sol_sp_En_Tot_B_2005,F_Sol_sp_En_Tot_2005_2010,F_Sol_sp_En_Tot_2011_2015,F_Sol_sp_En_Tot_2016,F_Sol_sp_En_Tot_2017,F_Sol_sp_En_Tot_2018,F_Sol_sp_En_Tot_2019,F_Sol_sp_En_Tot_2020,F_Sol_sp_En_Tot_2021,F_Sol_sp_En_Tot_Yr_arr_ns,F_Sol_sp_En_Tot_YoA_Tot,F_LanProf_En_ns_B_2005,F_LanProf_En_ns_2005_2010,F_LanProf_En_ns_2011_2015,F_LanProf_En_ns_2016,F_LanProf_En_ns_2017,F_LanProf_En_ns_2018,F_LanProf_En_ns_2019,F_LanProf_En_ns_2020,F_LanProf_En_ns_2021,F_LanProf_En_ns_Yr_arr_ns,F_LanProf_En_ns_Tot,F_Tot_B_2005,F_Tot_2005_2010,F_Tot_2011_2015,F_Tot_2016,F_Tot_2017,F_Tot_2018,F_Tot_2019,F_Tot_2020,F_Tot_2021,F_Tot_Yr_arrival_ns,F_Tot_YoA_Tot,P_SEO_B_2005,P_SEO_2005_2010,P_SEO_2011_2015,P_SEO_2016,P_SEO_2017,P_SEO_2018,P_SEO_2019,P_SEO_2020,P_SEO_2021,P_SEO_Yr_arr_ns,P_SEO_Tot,P_Sol_sp_En_Vww_B_2005,P_Sol_sp_En_Vww_2005_2010,P_Sol_sp_En_Vww_2011_2015,P_Sol_sp_En_Vww_2016,P_Sol_sp_En_Vww_2017,P_Sol_sp_En_Vww_2018,P_Sol_sp_En_Vww_2019,P_Sol_sp_En_Vww_2020,P_Sol_sp_En_Vww_2021,P_Sol_sp_En_Vww_Yr_arr_ns,P_Sol_sp_En_Vww_Tot,P_Sol_sp_En_Nwna_B_2005,P_Sol_sp_En_Nwna_2005_2010,P_Sol_sp_En_Nwna_2011_2015,P_Sol_sp_En_Nwna_2016,P_Sol_sp_En_Nwna_2017,P_Sol_sp_En_Nwna_2018,P_Sol_sp_En_Nwna_2019,P_Sol_sp_En_Nwna_2020,P_Sol_sp_En_Nwna_2021,P_Sol_sp_En_Nwna_Yr_arr_ns,P_Sol_sp_En_Nwna_Tot,P_Sol_sp_En_Pr_En_ns_B_2005,P_Sol_sp_E_Pr_En_ns_2005_2010,P_Sol_sp_E_Pr_En_ns_2011_2015,P_Sol_sp_En_Prof_En_ns_2016,P_Sol_sp_En_Prof_En_ns_2017,P_Sol_sp_En_Prof_En_ns_2018,P_Sol_sp_En_Prof_En_ns_2019,P_Sol_sp_En_Prof_En_ns_2020,P_Sol_sp_En_Prof_En_ns_2021,P_So_sp_En_Pro_En_ns_Yr_ar_ns,P_Sol_sp_En_Prof_En_ns_Tot,P_Sol_sp_En_Tot_B_2005,P_Sol_sp_En_Tot_2005_2010
5000,15476,3096,2059,226,179,257,403,135,96,843,22784,1798,1819,1527,254,253,330,549,228,161,219,7140,123,84,85,21,21,60,77,38,28,86,623,20,16,7,0,0,0,5,4,7,11,75,1944,1919,1617,275,273,393,632,267,200,313,7832,79,25,15,0,0,0,5,6,0,818,947,17505,5036,3692,500,455,650,1043,409,299,1975,31565,13706,2210,1645,257,193,243,356,150,61,759,19573,1527,1223,1299,271,259,367,561,235,101,167,6009,142,98,100,24,36,52,97,39,20,36,639,9,0,6,0,0,0,7,0,5,9,44,1682,1327,1404,293,296,421,665,276,127,219,6697,44,0,5,0,3,0,9,0,0,70,135,15427,3538,3050,548,492,662,1030,432,186,1046,26400,29188,5309,3700,479,378,498,761,286,157,1601,42354,3328,3047,2826,522,512,695,1106,462,263,382,13146,264,187,179,40,53,115,177,75,46,126,1269,31,13,17,0,3,0,9,4,14,25,120,3626,3243
5001,1664,232,138,21,12,10,27,11,17,71,2218,154,223,153,36,29,24,22,4,26,13,703,13,20,15,12,0,9,8,0,6,0,80,0,0,0,0,0,0,0,0,0,0,0,161,246,170,48,29,36,29,9,35,18,785,4,0,0,0,0,0,0,0,0,83,90,1834,478,308,70,44,47,58,19,56,175,3089,2078,254,140,34,21,25,34,16,3,77,2674,223,274,188,37,30,43,50,13,4,12,875,19,30,22,14,0,9,4,0,0,5,103,0,0,0,0,0,0,0,0,0,0,0,242,301,208,47,30,49,60,15,5,10,978,14,0,0,0,0,0,0,0,0,4,15,2334,556,347,83,57,77,89,29,8,95,3669,3747,482,276,53,37,36,59,28,26,151,4895,374,499,344,73,63,65,73,17,30,21,1572,28,47,38,29,0,15,13,4,7,9,185,3,0,0,0,0,0,0,0,0,0,0,406,549
5002,709,131,110,9,9,13,24,7,0,37,1044,73,114,84,16,16,25,54,19,7,10,416,0,3,0,0,3,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,6,80,113,81,14,16,25,54,27,11,10,432,0,0,0,0,0,0,0,0,0,7,7,791,244,196,24,26,39,79,30,11,54,1489,785,167,130,19,24,17,28,15,0,37,1212,112,101,141,29,30,36,101,36,3,16,604,9,5,4,0,0,0,11,4,0,0,32,0,0,0,0,0,0,0,0,0,0,4,118,106,147,26,35,42,108,43,3,16,641,4,0,0,0,0,0,0,0,0,3,3,904,272,275,44,57,53,138,57,3,52,1856,1491,293,240,22,33,32,50,24,0,73,2257,181,213,229,47,43,60,152,62,14,24,1026,8,4,3,3,4,0,13,4,0,0,49,0,0,0,0,0,0,0,0,0,0,4,197,222
5003,3129,873,568,42,46,49,59,36,17,116,4937,424,594,583,79,92,73,93,43,17,32,2016,29,29,17,3,10,21,29,9,7,3,150,0,3,5,0,0,0,0,0,0,0,7,451,623,600,81,101,99,123,54,20,32,2180,5,0,0,0,3,0,0,0,0,83,92,3587,1496,1165,122,145,148,186,84,29,235,7210,3318,909,588,63,61,58,74,48,14,124,5265,543,612,665,118,121,102,124,59,18,41,2404,49,35,39,9,19,18,43,22,4,0,246,3,0,3,0,0,0,0,0,0,0,9,596,657,707,123,142,126,169,82,24,40,2662,3,0,0,0,0,0,0,0,0,4,12,3919,1567,1296,188,203,186,239,125,37,167,7936,6448,1784,1157,108,101,111,129,78,35,247,10201,963,1207,1244,195,217,175,215,97,36,67,4426,79,62,54,5,29,47,75,30,3,5,399,6,5,3,0,0,0,0,0,0,0,21,1048,1274
5004,2065,327,246,25,29,17,30,19,8,110,2893,159,155,151,26,28,34,32,13,3,11,605,3,7,28,3,0,0,8,0,3,3,71,0,0,0,0,0,0,0,0,0,0,0,162,159,185,29,28,35,43,18,8,11,677,4,0,0,0,0,0,0,0,0,13,19,2234,484,434,56,62,56,67,41,22,136,3593,2416,374,303,37,31,30,50,40,5,92,3371,217,209,215,47,30,36,44,13,10,13,825,10,7,15,4,0,3,8,4,5,3,64,6,0,0,0,0,0,0,0,0,0,0,224,215,232,53,29,40,54,18,17,14,890,0,0,0,0,0,0,3,0,0,6,15,2645,589,533,91,65,67,100,54,19,116,4269,4485,695,551,67,60,45,79,63,17,204,6264,374,359,368,69,61,72,74,25,10,20,1431,15,15,47,10,3,3,20,4,9,6,130,6,0,0,0,0,0,0,0,0,0,5,387,376
5005,397,69,44,7,5,6,11,9,0,25,568,31,47,39,5,3,6,13,0,0,0,145,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,34,48,39,5,4,6,13,4,0,0,159,0,0,0,0,0,0,0,0,0,0,0,426,116,84,15,18,6,23,9,0,29,724,448,72,59,4,11,3,10,10,4,24,650,53,56,61,8,17,16,19,8,3,6,230,0,0,0,0,0,3,10,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,49,57,58,8,17,17,24,14,3,9,252,0,0,0,0,0,0,0,0,0,0,0,506,131,115,11,31,19,36,17,3,31,897,847,136,107,11,24,8,22,12,3,45,1217,81,102,94,12,17,14,30,7,3,6,381,3,3,0,0,0,3,8,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,83,105
5006,1134,239,191,16,21,20,14,16,3,54,1714,185,219,220,37,37,38,22,28,15,17,812,24,4,3,0,0,0,9,0,5,4,52,0,0,0,0,0,0,0,0,0,0,3,213,220,220,33,38,36,29,29,20,19,866,4,0,0,0,0,0,0,0,0,11,11,1351,466,417,52,64,58,43,40,23,77,2591,1256,268,215,22,32,15,15,14,8,50,1897,242,250,287,52,42,36,42,33,15,12,1005,43,8,26,6,0,7,5,6,4,3,110,0,0,0,0,0,0,0,0,0,0,4,287,257,305,53,47,45,48,41,17,19,1124,8,0,0,0,0,0,0,0,0,10,21,1550,526,524,77,80,62,68,55,23,78,3037,2391,510,407,36,60,34,29,26,8,109,3611,426,470,500,82,85,74,68,61,30,24,1814,66,9,26,9,4,8,10,10,6,8,168,0,0,0,0,0,0,0,0,0,0,4,497,482
5007,1000,445,376,30,41,72,63,23,11,58,2126,171,413,399,59,76,79,130,57,29,29,1439,8,9,12,4,8,3,12,9,12,3,72,0,3,0,0,0,0,0,0,0,0,3,174,426,406,55,82,90,143,68,36,30,1512,4,4,0,0,0,0,0,0,0,17,19,1179,874,787,89,126,160,203,92,46,107,3661,822,457,374,42,36,66,53,33,9,25,1912,216,346,418,66,74,109,121,37,17,15,1419,19,10,16,9,3,5,19,12,7,3,106,0,0,0,0,0,0,0,0,0,0,4,237,356,433,77,77,111,137,57,27,19,1532,0,8,0,0,0,0,0,0,0,7,19,1053,816,807,117,116,183,191,83,37,59,3463,1818,903,751,70,79,138,116,54,18,88,4038,384,760,813,121,151,189,255,100,44,43,2858,29,22,27,12,11,7,25,21,19,11,177,0,6,0,0,0,0,0,0,0,0,9,412,783
5008,638,282,223,14,15,22,22,12,9,29,1276,137,223,224,44,35,33,50,24,7,20,789,6,10,12,0,0,4,0,4,0,0,33,0,4,0,0,0,0,0,0,0,0,5,143,236,236,44,34,36,53,28,7,20,826,0,0,0,0,0,0,0,0,0,0,7,785,514,459,59,54,57,75,36,18,52,2113,443,194,186,23,15,13,32,16,6,15,942,109,176,237,65,41,47,60,39,12,21,810,4,16,13,0,0,3,7,0,0,4,50,0,0,0,0,0,0,0,0,0,0,0,112,189,249,67,44,57,70,45,12,24,862,0,0,0,0,0,0,0,0,0,0,0,555,383,438,87,64,64,99,62,13,35,1805,1089,476,414,32,36,32,53,31,15,46,2218,238,399,463,108,76,85,109,68,18,36,1595,13,17,20,0,3,5,13,3,0,3,83,0,4,0,0,0,0,0,0,0,0,4,247,424
5009,120495,34750,26252,2765,2441,2537,2821,1671,746,3813,198291,43070,36285,30466,5625,5126,6121,7578,3030,605,2095,139994,6106,2797,2575,634,645,728,1379,647,180,559,16246,114,77,53,12,11,13,37,30,20,76,438,49286,39156,33094,6271,5775,6863,9001,3699,801,2736,156680,167,56,49,10,9,8,16,16,9,782,1122,169954,73965,59396,9043,8226,9410,11839,5383,1554,7330,356093,126442,33742,26569,3107,2703,2756,3177,1749,762,3804,204817,49131,36775,36222,7028,6345,7041,8089,3408,766,2285,157102,9481,4477,4270,997,952,1087,2137,1183,311,833,25733,133,64,63,12,11,17,34,13,9,98,455,58746,41315,40559,8043,7315,8146,10257,4607,1084,3216,183282,194,51,48,15,10,13,10,8,3,532,880,185381,75108,67167,11164,10025,10913,13451,6368,1849,7554,388980,246937,68489,52823,5874,5146,5288,6003,3418,1505,7617,403111,92202,73057,66686,12652,11473,13163,15672,6439,1365,4379,297096,15582,7271,6838,1639,1593,1815,3508,1835,494,1399,41979,248,137,118,27,22,29,73,38,27,172,889,108033,80470
