SUA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Oth_lt_health_cond_0_14,F_Oth_lt_health_cond_15_24,F_Oth_lt_health_cond_25_34,F_Oth_lt_health_cond_35_44,F_Oth_lt_health_cond_45_54,F_Oth_lt_health_cond_55_64,F_Oth_lt_health_cond_65_74,F_Oth_lt_health_cond_75_84,F_Oth_lt_health_cond_85_over,F_Oth_lt_health_cond_Tot,F_No_lt_health_cond_0_14,F_No_lt_health_cond_15_24,F_No_lt_health_cond_25_34,F_No_lt_health_cond_35_44,F_No_lt_health_cond_45_54,F_No_lt_health_cond_55_64,F_No_lt_health_cond_65_74,F_No_lt_health_cond_75_84,F_No_lt_health_cond_85_over,F_No_lt_health_cond_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Oth_lt_health_cond_0_14,P_Oth_lt_health_cond_15_24,P_Oth_lt_health_cond_25_34,P_Oth_lt_health_cond_35_44,P_Oth_lt_health_cond_45_54,P_Oth_lt_health_cond_55_64,P_Oth_lt_health_cond_65_74,P_Oth_lt_health_cond_75_84,P_Oth_lt_health_cond_85_over,P_Oth_lt_health_cond_Tot,P_No_lt_health_cond_0_14,P_No_lt_health_cond_15_24,P_No_lt_health_cond_25_34,P_No_lt_health_cond_35_44,P_No_lt_health_cond_45_54,P_No_lt_health_cond_55_64,P_No_lt_health_cond_65_74,P_No_lt_health_cond_75_84,P_No_lt_health_cond_85_over,P_No_lt_health_cond_Tot
5000,17,9,32,69,146,202,295,268,108,1148,32,19,23,65,249,623,928,499,149,2589,385,1561,2200,2299,2352,2371,1354,442,187,13158,7,8,18,50,113,192,315,285,141,1113,634,547,940,1281,1761,2241,1738,782,368,10287,19226,8616,11009,10858,10531,10491,6565,1946,416,79646,3380,2138,2936,2659,2812,2848,2078,993,316,20161,24614,13479,18024,18522,19987,22782,18138,7677,2411,145633,51,166,491,1245,3208,7085,9148,4746,1458,27598,2627,2026,2873,3204,3309,3537,3048,1181,272,22076,47,56,134,341,897,2173,3177,1873,435,9133,0,7,10,14,36,86,272,562,539,1529,81,198,410,917,2168,3781,4544,2328,546,14969,85,90,149,307,1035,2662,4286,2805,947,12374,45,31,72,143,298,471,671,581,204,2514,65,40,64,131,473,1288,2090,1207,289,5648,869,2450,3422,3814,4070,4183,2646,890,283,22630,8,12,30,85,224,458,834,693,255,2603,1619,1118,1552,2234,3135,4214,3544,1547,604,19564,39074,19286,25732,25918,25484,23366,14258,4249,827,178192
5001,0,0,4,3,16,21,34,38,24,142,4,7,4,8,28,92,111,90,43,384,76,359,378,361,397,360,209,136,53,2329,0,0,3,4,11,13,54,60,54,199,117,123,144,197,249,323,269,200,103,1728,2376,1120,1085,1142,1242,1124,766,341,96,9300,239,153,138,152,170,189,149,98,65,1356,2957,1825,1847,2003,2315,2484,2158,1437,642,17670,10,24,66,159,387,800,1045,890,416,3802,491,388,409,392,411,400,348,198,63,3092,7,0,15,38,114,232,394,320,120,1238,0,0,0,6,3,15,37,161,183,402,10,23,49,91,228,419,528,428,138,1911,5,11,14,34,84,282,482,479,277,1672,8,3,10,13,24,41,85,72,44,299,5,12,4,8,49,153,223,194,89,745,168,573,606,555,601,614,394,205,79,3787,0,0,5,10,22,47,118,144,102,442,304,236,245,291,417,536,476,341,159,3003,4683,2450,2258,2234,2404,2132,1461,615,190,18429
5002,0,0,4,7,11,13,18,9,5,69,0,0,6,0,13,35,50,23,8,141,20,86,140,138,115,96,59,13,0,666,0,0,0,0,5,12,12,3,0,43,43,37,72,78,85,108,95,23,3,541,1434,616,1116,959,696,747,541,119,14,6245,296,165,336,263,256,287,204,67,10,1885,1848,941,1747,1553,1306,1519,1307,378,56,10651,0,10,24,58,109,287,469,211,22,1183,125,77,152,158,153,154,171,44,9,1034,0,0,6,28,38,124,181,91,5,489,0,0,0,0,0,6,21,17,5,51,6,12,23,51,101,164,212,83,10,671,16,11,14,23,38,134,253,145,22,648,7,4,8,19,19,24,39,15,4,147,6,0,0,3,22,61,93,47,11,261,37,118,192,193,187,162,117,33,4,1043,0,0,0,0,10,27,32,23,3,103,102,58,106,130,153,194,205,49,9,992,2885,1170,1966,1846,1429,1364,1132,278,27,12101
5003,5,3,4,20,33,46,66,54,54,290,13,10,9,25,50,165,238,171,71,758,181,792,899,810,789,642,370,169,105,4753,0,0,5,14,27,56,97,89,62,351,292,269,363,438,507,627,473,268,189,3430,5835,2667,2846,3086,2753,2088,1273,548,130,21229,598,337,372,326,343,316,239,188,146,2866,7308,4246,4733,5084,5073,4702,3778,2147,959,38032,20,63,190,433,934,1600,1991,1334,558,7130,1228,771,901,967,835,736,642,324,100,6501,15,16,43,116,231,494,675,449,165,2204,0,0,4,8,7,32,83,228,254,608,28,62,116,237,520,824,1093,621,219,3720,23,23,38,72,190,496,818,731,384,2775,11,4,25,34,70,96,135,144,97,616,21,16,24,41,103,294,451,365,115,1438,397,1181,1378,1274,1252,1069,664,279,152,7644,0,0,16,20,57,111,198,174,101,691,699,487,555,708,830,1086,836,474,263,5946,11792,5630,5729,6138,5435,4169,2465,1006,236,42602
5004,3,0,0,11,3,25,32,36,38,158,6,0,0,4,24,75,126,102,41,390,95,244,349,389,385,313,246,113,64,2208,0,4,3,4,14,16,50,57,48,195,119,101,146,190,256,307,311,188,89,1704,3053,1158,1248,1789,1665,1411,1036,391,92,11853,347,168,177,210,226,247,205,114,37,1730,3794,1750,2015,2766,2861,2855,2770,1467,643,20919,11,22,50,178,398,818,1265,923,427,4079,476,287,303,445,413,415,416,232,105,3102,5,0,19,62,124,284,477,340,120,1443,0,0,0,0,3,18,54,126,141,340,12,3,37,71,175,324,553,355,136,1666,10,6,12,25,96,218,540,486,261,1639,8,3,3,21,24,59,74,87,59,337,12,8,12,15,38,137,257,216,79,770,192,386,531,605,646,539,417,210,82,3608,0,4,6,10,26,46,123,121,74,412,285,209,218,305,425,513,554,329,135,2980,6145,2551,2468,3275,3210,2625,2049,779,163,23262
5005,0,0,3,0,12,5,7,16,5,43,3,0,0,6,9,27,36,33,7,114,20,77,90,108,95,92,42,27,10,556,0,0,0,0,3,3,11,10,12,42,31,19,34,44,58,74,53,41,38,387,863,410,446,434,433,413,246,114,29,3381,155,76,77,93,88,81,82,47,22,716,1125,618,696,746,779,805,663,439,170,6037,0,7,25,49,103,219,290,248,89,1027,152,112,119,143,137,140,113,70,19,1002,3,5,5,15,40,69,97,90,33,349,0,0,0,0,0,4,11,36,38,89,3,13,18,26,83,130,152,122,39,590,3,4,4,7,38,89,132,156,61,489,3,3,15,3,15,13,16,24,3,98,3,3,0,5,14,49,64,62,19,224,48,119,147,161,153,165,83,37,10,937,0,0,0,0,3,13,34,27,18,98,74,40,58,66,103,125,102,82,57,702,1746,883,869,886,900,829,487,209,44,6854
5006,0,3,9,12,19,36,57,61,32,229,3,0,5,18,42,79,124,88,35,388,74,319,396,363,373,297,179,97,74,2160,0,0,3,10,18,23,52,39,34,178,129,122,173,208,254,268,234,143,76,1611,2875,1378,1393,1395,1392,1098,675,259,67,10529,537,288,270,307,278,230,198,118,71,2298,3801,2235,2357,2464,2651,2492,2045,1104,479,19624,7,27,74,159,423,726,972,662,286,3330,574,427,417,451,458,424,363,170,63,3347,5,6,22,40,124,255,372,261,113,1201,0,0,0,7,11,21,48,131,158,374,13,29,66,128,277,541,604,359,120,2139,10,12,20,36,137,316,476,391,236,1623,4,6,12,23,36,73,124,115,73,473,15,10,4,24,74,169,243,170,72,770,150,483,604,568,618,525,314,157,112,3532,0,4,4,12,35,53,96,100,56,354,339,235,272,337,395,474,416,248,124,2841,5718,2872,2748,2719,2739,2203,1351,524,123,21005
5007,6,0,12,8,10,21,25,18,13,111,3,4,4,4,19,36,57,26,14,164,33,203,302,227,205,114,47,18,28,1173,0,0,4,0,10,16,18,17,8,77,79,68,136,149,147,151,96,44,35,903,2470,1101,1451,1309,1003,714,290,79,16,8433,383,221,325,274,244,222,135,36,22,1858,3072,1659,2362,2093,1848,1579,841,328,136,13922,11,12,69,148,281,453,405,212,67,1656,313,256,371,293,252,255,114,61,14,1935,0,9,18,45,89,125,144,80,23,548,0,0,0,0,0,9,21,37,41,112,8,15,54,102,224,364,298,128,28,1226,13,5,12,15,86,211,221,117,50,727,7,4,17,14,33,43,59,39,22,239,7,4,7,14,33,89,132,64,16,361,66,291,424,370,341,211,105,35,34,1877,0,5,4,7,22,43,44,31,12,166,186,140,205,235,271,299,174,78,44,1633,5030,2472,3220,2841,2251,1687,636,163,30,18321
5008,0,0,6,4,3,5,3,5,0,27,6,0,0,3,8,3,8,10,0,42,28,68,156,135,82,44,10,3,0,534,0,0,0,0,3,4,0,4,0,15,59,32,65,70,72,51,15,13,0,377,1653,528,1057,996,615,323,131,24,0,5327,348,161,301,272,201,139,74,9,4,1504,2150,837,1695,1585,1126,682,332,77,13,8490,0,6,46,55,148,189,114,48,7,611,170,111,229,210,155,99,53,11,0,1029,0,3,9,35,45,59,48,17,5,220,0,0,0,0,0,0,9,5,0,14,11,10,25,44,107,132,85,18,3,430,8,8,11,19,41,84,52,33,4,253,0,0,10,7,12,9,8,12,0,54,4,3,4,4,17,22,25,16,0,96,62,123,242,213,165,100,37,8,0,951,0,0,0,6,6,6,9,12,0,36,123,72,109,127,141,105,51,22,0,745,3383,1216,2252,2367,1523,842,305,34,0,11927
5009,142,167,278,483,701,1061,1577,1711,1212,7334,211,148,265,496,1376,3244,5005,4184,1799,16725,3714,18498,22469,19085,16372,13268,7850,3956,2496,107693,59,50,120,312,651,1096,1760,2072,1541,7656,6447,7423,10475,12429,13473,14795,12621,7570,4593,89823,162311,84252,101797,101297,80650,58826,35762,13196,3653,641743,13259,8845,10173,9580,8706,7006,5469,4030,2906,69984,193715,123746,151361,152879,135784,119048,95763,53990,24929,1051221,369,1298,3841,8285,17811,32157,42882,31961,14273,152872,22001,19441,23329,23597,20514,17532,14616,7978,2755,151764,386,488,1208,2976,6320,11406,16603,12239,4544,56168,16,36,33,70,159,557,1847,5154,6188,14069,631,1305,2607,6290,12364,19964,25103,16048,5385,89687,498,494,802,1834,5456,13018,21590,19173,9644,72516,361,324,525,971,1417,2313,3512,3838,2276,15543,486,310,523,972,2523,5952,9577,8160,3281,31802,7889,27870,34693,30933,27152,21907,13534,6627,3501,174101,98,109,221,612,1306,2520,4276,4738,2753,16636,16158,13476,16595,20041,23101,25746,22603,13037,7012,157766,327752,179333,204353,202523,161293,116124,67955,25319,6440,1291101
