SUA_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5000,175,139,397,427,684,1073,2071,2147,935,8058,29,37,133,170,248,227,202,198,96,1333,1630,2751,8917,8861,9014,7642,4730,2396,844,46784,7649,15207,43315,45552,48535,50877,39500,16346,4355,271331
5001,8,12,41,45,47,99,195,329,222,996,0,5,18,27,38,19,19,12,17,145,95,87,221,203,222,236,242,259,179,1744,992,1613,3782,3815,4349,4660,4135,2593,1110,27046
5002,8,4,12,23,29,36,105,76,25,306,3,0,8,13,14,7,7,8,8,63,122,166,549,429,448,482,331,151,29,2712,442,927,2988,2872,2589,2818,2670,882,111,16298
5003,17,22,59,70,88,165,377,534,307,1636,5,0,30,19,28,48,32,34,24,219,173,195,523,432,457,439,429,350,297,3288,2036,3821,9139,9792,9655,9046,7239,3952,1531,56201
5004,10,11,21,26,34,72,166,256,232,828,0,4,34,9,17,15,12,8,13,107,110,71,293,279,273,339,344,269,164,2141,912,1392,3807,5011,5320,5265,5320,2833,1039,30898
5005,6,0,3,7,17,41,68,108,66,318,0,0,0,3,0,7,10,0,5,25,67,73,152,167,199,149,161,143,37,1157,348,581,1355,1428,1590,1628,1302,840,271,9343
5006,17,15,22,36,62,147,275,361,201,1131,0,12,16,21,22,30,35,43,28,198,213,185,431,483,410,381,318,273,148,2858,1234,2027,4519,4693,5032,4906,3958,2119,829,29307
5007,10,13,25,56,59,91,131,104,46,543,3,4,12,29,23,17,14,3,3,113,140,227,587,544,452,514,354,126,72,3015,873,2004,4932,4503,4011,3598,1915,685,197,22722
5008,3,3,12,16,35,25,42,28,7,165,5,6,9,12,3,6,3,8,0,39,127,205,681,745,609,434,161,37,8,3008,424,976,3542,3781,2834,1870,787,181,22,14423
5009,474,459,1663,2616,3369,4943,9064,11281,7109,40989,93,237,1328,1872,2108,2176,1915,1564,1153,12444,4309,5828,14526,12953,10646,9040,9417,9508,7372,83589,54273,128894,291804,295964,262923,228785,182170,100576,40560,1585956
5010,6,8,19,31,39,48,48,27,8,233,0,0,7,10,20,8,11,4,0,64,130,212,799,750,674,527,184,48,13,3333,452,922,3557,3397,2606,2102,808,189,34,14079
