SUA_CODE_2021,Aus_Both_prnts_born_os,Aus_Father_only_born_os,Aus_Mother_only_born_os,Aus_Both_prnts_born_Aus,Aus_bp_ns,Aus_Tot_R,Aus_Abor_Both_pare_brn_os,Aus_Abor_Father_only_brn_os,Aus_Abor_Mother_only_brn_os,Aus_Abor_Both_pare_brn_Aus,Aus_Abor_bp_ns,Aus_Aborigin_Tot_R,Chin_Both_prnts_born_os,Chin_Father_only_born_os,Chin_Mother_only_born_os,Chin_Bth_prnts_born_Aus,Chin_bp_ns,Chin_Tot_R,Croat_Both_prnts_born_os,Croat_Father_only_born_os,Croat_Mother_only_born_os,Croat_Bth_parnts_born_Aus,Croat_bp_ns,Croat_Tot_R,Dutch_Both_prnts_born_os,Dutch_Father_only_born_os,Dutch_Mother_only_born_os,Dutch_Both_prnts_born_Aus,Dutch_bp_ns,Dutch_Tot_R,Eng_Both_prnts_born_os,Eng_Father_only_born_os,Eng_Mother_only_born_os,Eng_Both_prnts_born_Aus,Eng_bp_ns,Eng_Tot_R,Fili_Both_prnts_born_os,Fili_Father_only_born_os,Fili_Mother_only_born_os,Fili_Both_prnts_born_Aus,Fili_bp_ns,Fili_Tot_R,Fren_Both_prnts_born_os,Fren_Father_only_born_os,Fren_Mother_only_born_os,Fren_Both_prnts_born_Aus,Fren_bp_ns,Fren_Tot_R,Ger_Both_prnts_born_os,Ger_Father_only_born_os,Ger_Mother_only_born_os,Ger_Both_prnts_born_Aus,Ger_bp_ns,Ger_Tot_R,Greek_Both_prnts_born_os,Greek_Father_only_born_os,Greek_Mother_only_born_os,Greek_Both_prnts_born_Aus,Greek_bp_ns,Greek_Tot_R,Hung_Bth_prnts_born_os,Hung_Father_only_born_os,Hung_Mother_only_born_os,Hung_Bth_prents_brn_Aus,Hung_bp_ns,Hung_Tot_R,Ind_Both_prnts_born_os,Ind_Father_only_born_os,Ind_Mother_only_born_os,Ind_Both_prnts_born_Aus,Ind_bp_ns,Ind_Tot_R,Irish_Both_prnts_born_os,Irish_Father_only_born_os,Irish_Mother_only_born_os,Irish_Both_prnts_born_Aus,Irish_bp_ns,Irish_Tot_R,Ital_Both_prnts_born_os,Ital_Father_only_born_os,Ital_Mother_only_born_os,Ital_Bth_prnts_born_Aus,Ital_bp_ns,Ital_Tot_R,Kor_Both_prnts_born_os,Kor_Father_only_born_os,Kor_Mother_only_born_os,Kor_Both_prnts_born_Aus,Kor_bp_ns,Kor_Tot_R,Leb_Both_prnts_born_os,Leb_Father_only_born_os,Leb_Mother_only_born_os,Leb_Bth_prents_born_Aus,Leb_bp_ns,Leb_Tot_R,Mac_Bth_parnts_born_os,Mac_Father_only_brn_os,Mac_Mother_only_brn_os,Mac_Bth_prnts_brn_Aus,Mac_bp_ns,Mac_Tot_R,Malt_Both_prnts_born_os,Malt_Father_only_born_os,Malt_Mother_only_born_os,Malt_Bth_prnts_born_Aus,Malt_bp_ns,Malt_Tot_R,Maori_Both_prnts_born_os,Maori_Father_only_born_os,Maori_Mother_only_born_os,Maori_Both_prnts_born_Aus,Maori_bp_ns,Maori_Tot_R,NZ_Both_prnts_born_os,NZ_Father_only_born_os,NZ_Mother_only_born_os,NZ_Both_prnts_born_Aus,NZ_bp_ns,NZ_Tot_R,Pol_Both_prnts_born_os,Pol_Father_only_born_os,Pol_Mother_only_born_os,Pol_Both_prnts_born_Aus,Pol_bp_ns,Pol_Tot_R,Russ_Both_prnts_born_os,Russ_Father_only_born_os,Russ_Mother_only_born_os,Russ_Bth_prnts_born_Aus,Russ_bp_ns,Russ_Tot_R,Samoan_Both_prnts_born_os,Samoan_Father_only_born_os,Samoan_Mother_only_born_os,Samoan_Bth_prnts_born_Aus,Samoan_bp_ns,Samoan_Tot_R,Scott_Both_prnts_born_os,Scott_Father_only_born_os,Scott_Mother_only_born_os,Scott_Bth_prnts_brn_Aus,Scott_bp_ns,Scott_Tot_R,Serb_Both_prnts_born_os,Serb_Father_only_born_os,Serb_Mother_only_born_os,Serb_Bth_prnts_born_Aus,Serb_bp_ns,Serb_Tot_R,SthA_Both_prnts_born_os,SthA_Father_only_born_os,SthA_Mother_only_born_os,SthA_Bth_prnts_born_Aus,SthA_bp_ns,SthA_Tot_R,Span_Both_prnts_born_os,Span_Father_only_born_os,Span_Mother_only_born_os,Span_Bth_prnts_born_Aus,Span_bp_ns,Span_Tot_R,Sri_Lkn_Bth_prnts_born_os,Sri_Lkn_Father_only_born_os,Sri_Lkn_Mother_only_born_os,Sri_Lkn_Bth_prents_brn_Aus,Sri_Lkn_bp_ns,Sri_Lkn_Tot_R,Viet_Bth_prnts_brn_os,Viet_Father_only_brn_os,Viet_Mother_only_brn_os,Viet_Bth_prnts_brn_Aus,Viet_bp_ns,Viet_Tot_R,Welsh_Both_prnts_born_os,Welsh_Father_only_born_os,Welsh_Mother_only_born_os,Welsh_Both_prnts_born_Aus,Welsh_bp_ns,Welsh_Tot_R,Oth_Both_prnts_born_os,Oth_Father_only_born_os,Oth_Mother_only_born_os,Oth_Both_prnts_born_Aus,Oth_bp_ns,Oth_Tot_R,Ancest_ns_Bth_parnts_brn_os,Ancest_ns_Fther_only_brn_os,Ancest_ns_Mther_only_brn_os,Ancest_ns_Bth_prnt_brn_Aus,Ancest_ns_bp_ns,Ancest_ns_Tot_R,Tot_P_Bth_parnts_brn_os,Tot_P_Fther_only_brn_os,Tot_P_Mther_only_brn_os,Tot_P_Bth_prnts_brn_Aus,Tot_P_bp_ns,Tot_P_Tot_R
5000,2294,11750,10372,83916,1444,109781,81,730,354,23589,517,25263,1754,89,118,315,24,2301,519,208,104,642,20,1486,2961,899,568,1569,44,6045,33198,11254,9777,69339,1694,125259,3197,20,290,74,33,3619,998,95,116,393,5,1607,3315,818,809,5926,106,10978,283,126,69,339,7,824,264,72,44,87,4,474,1269,131,77,136,14,1624,6571,1952,1505,16875,321,27222,3347,1341,635,5826,105,11259,186,5,16,0,0,215,66,17,8,41,6,135,251,62,32,143,5,486,191,81,34,154,4,462,2513,320,275,111,57,3281,1904,692,482,223,37,3335,1044,218,148,617,19,2043,262,30,46,120,7,472,178,18,11,6,3,214,7849,2413,2052,16327,268,28910,234,35,17,53,0,335,1603,171,157,53,6,1993,572,54,39,255,9,936,133,25,15,19,0,198,486,11,33,12,6,556,1193,246,178,748,10,2375,11587,1650,1511,3177,263,18184,703,163,138,1483,48996,51481,71441,20828,17265,166834,52916,329284
5001,319,1615,1420,10035,142,13535,4,68,34,1064,18,1185,211,5,28,37,0,285,40,17,14,57,0,131,546,166,92,429,6,1242,4140,1648,1379,8895,175,16237,638,8,44,16,3,707,98,17,11,40,0,170,370,98,117,682,13,1284,23,8,0,42,0,82,39,3,5,8,0,60,151,7,9,28,4,190,617,231,190,1903,26,2970,345,141,63,660,10,1212,18,0,8,4,0,24,6,0,0,3,0,10,10,0,0,13,0,26,17,5,4,10,0,37,107,21,24,11,0,173,134,83,44,42,0,307,199,46,26,131,3,405,32,0,6,12,0,48,3,0,0,0,0,3,908,320,274,1937,21,3461,21,4,0,10,0,34,240,26,16,15,0,306,53,4,4,19,0,81,21,4,5,0,0,29,32,0,0,3,0,37,189,38,42,104,7,373,1268,210,209,339,18,2041,82,21,17,176,1736,2031,8638,2796,2322,18442,2097,34302
5002,141,618,554,4981,43,6350,4,167,38,2815,84,3109,160,31,16,97,5,302,43,14,8,30,0,96,168,60,34,93,4,357,1689,585,448,4071,70,6862,235,4,20,19,0,286,94,9,10,24,0,140,212,50,27,338,7,641,19,14,3,35,0,75,21,4,3,7,0,32,92,9,4,16,0,125,366,126,73,1255,5,1824,271,78,38,283,0,672,18,0,3,0,0,20,8,0,0,6,0,8,14,4,0,12,0,23,16,8,9,13,0,47,75,19,6,4,5,98,90,27,17,13,3,148,52,11,9,29,0,105,20,4,0,11,0,34,6,0,3,0,0,13,431,131,108,1065,8,1744,14,0,0,0,0,15,83,15,12,0,0,113,71,0,12,17,0,100,14,3,5,5,0,26,27,0,0,0,0,27,68,12,10,42,0,137,746,153,106,447,28,1477,70,7,6,107,2969,3163,4193,1252,912,10958,3176,20493
5003,631,3370,2612,21541,205,28352,13,156,67,2228,40,2514,718,19,49,57,5,859,69,34,31,139,0,272,757,239,153,436,5,1586,7999,3372,2637,19075,250,33324,1053,8,110,22,6,1198,172,37,15,136,0,362,719,197,139,1356,19,2431,98,41,13,194,6,353,42,14,6,29,0,95,715,30,19,53,3,813,1694,503,424,4351,37,7001,1067,516,201,2625,20,4427,135,4,16,0,0,157,65,13,10,9,0,96,18,10,9,38,0,73,31,22,16,32,0,101,911,148,99,43,13,1215,431,223,111,81,5,858,325,83,81,233,5,725,121,9,15,30,0,175,47,3,6,0,0,56,1901,650,560,4154,46,7308,47,6,8,12,0,66,842,54,62,29,0,990,139,17,22,101,0,277,47,3,8,5,0,62,115,5,17,3,3,140,252,83,48,210,4,588,3261,430,438,790,48,4959,194,41,32,329,3488,4081,19323,6004,4610,40076,4028,74044
5004,328,1996,1730,11634,176,15862,3,52,34,694,9,798,212,12,28,39,0,300,50,13,15,83,4,169,416,112,91,257,4,888,5262,1977,1548,10416,194,19396,151,10,42,15,0,217,183,20,24,77,0,306,452,134,112,712,12,1420,38,22,7,83,0,159,37,16,3,29,0,82,130,16,17,31,0,197,1009,374,239,2635,24,4285,391,168,87,913,15,1581,47,0,6,0,0,58,10,4,3,5,0,16,11,10,8,25,0,43,28,12,4,26,0,74,135,45,33,23,4,231,234,157,84,35,9,523,125,32,32,58,3,255,48,9,13,26,0,92,9,0,0,0,0,4,1107,408,297,2401,20,4236,18,4,0,7,0,29,275,52,32,16,0,374,64,16,7,68,0,159,37,7,5,8,0,53,61,8,7,8,0,79,187,48,25,102,0,362,1446,283,313,367,23,2426,73,31,25,215,2019,2362,9733,3480,2774,21559,2418,39963
5005,74,531,437,4018,83,5155,0,19,6,486,12,530,64,4,0,9,0,81,5,4,0,31,0,40,79,20,20,51,0,174,936,464,345,3001,85,4835,85,0,19,0,0,104,23,0,7,24,0,55,132,37,34,318,3,525,7,4,0,6,0,22,7,3,0,0,0,14,45,6,4,3,0,52,172,67,49,737,6,1033,59,42,17,240,0,358,4,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,5,0,7,74,21,17,16,4,129,86,35,22,8,0,146,20,3,0,16,0,49,12,0,3,5,0,19,5,0,0,0,0,4,266,113,83,727,13,1197,0,0,0,6,0,7,63,5,9,0,0,79,6,3,3,4,0,21,13,0,0,0,0,13,15,0,0,0,0,18,32,5,6,30,0,72,302,83,68,132,10,593,20,10,10,73,1190,1304,2038,876,671,7117,1372,12063
5006,224,1512,1164,11786,132,14816,9,140,58,3165,44,3416,220,13,22,68,0,326,35,18,7,105,3,167,298,90,61,203,5,650,2842,1365,1059,9626,138,15033,485,13,79,21,4,600,89,18,15,47,0,170,317,81,74,820,6,1294,32,22,15,29,0,101,26,10,0,12,0,46,278,20,12,35,0,346,516,270,172,2570,18,3554,366,165,81,864,18,1489,6,0,0,4,0,10,6,0,0,3,0,14,34,8,5,31,0,82,26,18,4,23,0,70,199,37,39,27,4,303,120,72,61,40,0,293,78,23,20,84,0,207,39,6,5,23,0,76,18,0,4,5,0,25,664,277,214,2149,24,3325,6,0,0,0,0,9,294,35,15,29,0,368,73,10,3,48,0,130,12,0,5,0,0,22,149,3,8,0,0,152,90,41,23,99,0,249,1390,241,261,655,17,2566,82,12,7,209,3285,3600,7169,2628,1964,22908,3606,38278
5007,264,1025,1004,7442,100,9827,13,75,63,1626,70,1842,307,7,17,36,0,371,86,29,13,119,0,248,188,81,28,96,0,398,2482,867,786,5700,98,9932,788,3,77,13,3,890,73,4,6,34,3,131,307,72,61,549,13,1006,28,11,9,39,0,89,16,4,0,5,0,33,465,10,15,16,0,514,603,168,128,1576,18,2499,195,99,62,622,15,991,37,0,0,0,0,35,9,0,0,7,0,16,5,4,3,17,0,29,8,11,6,13,0,36,983,93,89,23,24,1204,376,111,61,27,4,583,66,20,7,65,0,157,24,5,9,8,0,41,141,17,0,4,3,163,738,225,144,1340,13,2463,23,4,3,4,0,35,308,31,21,4,0,360,83,4,3,20,0,112,34,0,5,3,0,36,58,0,3,0,0,64,73,26,9,68,0,178,2262,159,197,308,29,2954,146,23,23,186,3342,3711,8725,1831,1610,14035,3666,29861
5008,183,670,677,4502,31,6068,7,75,52,1218,20,1373,206,0,9,30,0,250,17,13,9,63,5,106,134,62,28,113,3,345,1538,603,552,3375,35,6100,438,5,39,9,3,494,66,7,3,21,0,100,127,58,51,351,0,593,20,9,4,33,0,64,10,3,0,8,0,21,330,11,4,11,0,351,441,107,92,861,14,1512,103,94,34,327,5,565,7,0,0,0,0,15,5,0,0,0,0,5,19,3,5,8,0,35,10,8,0,20,0,40,310,31,21,7,8,369,143,72,53,24,0,286,46,18,12,40,0,116,18,0,0,9,0,30,31,4,0,0,0,37,448,129,109,809,9,1498,16,8,3,0,0,25,134,11,23,9,3,179,47,0,0,8,0,63,15,0,6,0,0,25,42,0,4,0,0,43,52,10,9,29,0,101,1232,136,166,340,17,1883,70,9,7,86,3482,3651,4908,1215,1131,8543,3594,19385
5009,28863,93451,76980,374593,4411,578300,581,2823,1755,32838,728,38732,101503,2262,4282,2980,524,111554,9400,2672,1443,7641,144,21307,20839,5708,3894,10465,197,41092,295708,83686,66995,310324,5621,762330,34196,542,2695,593,132,38163,9617,1107,947,2483,71,14227,23696,5209,4361,24643,372,58285,5960,2028,1065,5240,69,14367,3062,545,360,850,35,4857,66975,2300,1619,1748,192,72826,69013,15286,11240,84688,1028,181253,45766,14978,7329,45786,643,114503,7492,119,415,119,16,8158,1906,436,245,520,9,3121,6363,1104,689,2288,60,10504,1970,688,382,1371,25,4437,18333,2560,1680,806,182,23558,12990,5091,3047,1480,108,22717,11781,1880,1562,4185,104,19501,4437,361,615,753,42,6209,2264,318,104,60,19,2768,69639,17443,13508,76660,957,178203,6398,571,357,647,39,8005,23541,2246,1947,592,100,28425,7663,634,562,1759,58,10679,5463,478,312,365,31,6645,20569,517,941,415,68,22512,11618,2035,1437,4190,69,19345,249202,19372,19357,20916,1968,310822,12231,1014,847,5347,78974,98414,966306,165607,131722,696480,93364,2053484
