SUA_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5000,..,282,229,95,75,71,41,17,9,827,..,302,523,176,302,402,272,101,25,2094,..,463,849,719,1317,2499,2660,2003,907,11414,415,565,483,306,340,500,464,167,72,3311,5,15,37,11,7,21,11,5,6,119,21133,10341,12577,14362,15343,16514,12758,6057,1759,110843,..,540,7417,14468,16421,18845,16077,7180,1179,82132,..,2513,6993,5122,4729,3896,1794,458,47,25554,..,310,1431,2351,2371,1257,714,465,253,9156,42865,..,..,..,..,..,..,..,..,42865,..,6454,..,..,..,..,..,..,..,6454,..,6903,2449,1125,809,392,71,6,0,11750,..,1422,701,435,509,803,741,434,247,5297,..,547,564,268,229,206,133,45,15,2002,..,662,1231,544,667,905,629,227,38,4903,..,1076,2159,2074,3647,5765,5889,3456,1352,25419,893,1065,956,723,719,913,924,334,116,6648,16,34,83,23,16,26,26,4,6,224,43772,21522,23989,27133,30114,33015,27004,12606,3256,222408
5001,..,61,34,12,10,16,0,0,0,142,..,105,70,19,29,59,30,18,0,330,..,64,124,121,261,476,589,527,276,2436,48,69,55,45,34,62,34,22,7,378,0,0,3,0,0,3,0,0,0,11,2825,1698,1710,1872,2187,2283,2014,1288,468,16354,..,89,1129,1809,2203,2388,2350,1351,355,11683,..,416,854,610,529,440,221,66,5,3142,..,35,204,409,434,202,82,61,53,1481,5687,..,..,..,..,..,..,..,..,5687,..,1214,..,..,..,..,..,..,..,1214,..,1010,391,131,98,71,19,0,0,1716,..,172,87,32,52,83,94,63,29,614,..,116,99,33,33,32,12,4,0,328,..,188,162,56,71,102,59,38,0,687,..,139,290,252,481,833,914,730,401,4048,107,132,106,94,83,113,63,35,15,748,0,0,3,0,0,3,0,6,0,22,5800,3518,3327,3438,3999,4270,3820,2336,864,31359
5002,..,35,63,15,17,4,3,0,0,136,..,53,131,44,22,17,18,0,0,284,..,29,100,69,97,152,88,36,0,560,46,70,82,58,56,112,104,39,10,581,0,6,14,0,0,0,0,0,0,25,1429,701,1178,1136,857,733,383,131,20,6576,..,18,413,916,723,526,283,58,11,2942,..,123,694,512,349,211,58,13,0,1959,..,29,109,202,153,76,48,14,4,634,2858,..,..,..,..,..,..,..,..,2858,..,348,..,..,..,..,..,..,..,348,..,338,105,47,26,0,5,0,0,515,..,123,49,29,45,38,20,17,8,341,..,59,110,29,28,17,0,0,0,245,..,81,217,81,52,48,39,8,5,523,..,56,164,153,197,283,177,63,8,1102,94,116,158,112,98,193,211,92,14,1085,0,9,23,0,0,0,5,0,0,40,2951,1303,2043,2079,1671,1392,845,267,42,12592
5003,..,125,94,43,25,12,10,5,0,313,..,180,206,69,90,110,83,37,5,782,..,137,279,253,478,824,954,779,401,4098,109,162,114,60,61,81,73,28,18,712,3,5,4,4,3,6,4,7,0,37,7024,4052,4489,4880,4853,4466,3623,1982,665,36039,..,142,2787,5165,5281,5114,4313,2146,405,25353,..,980,2340,1291,1016,792,344,92,9,6866,..,126,578,1066,985,378,196,126,93,3549,14325,..,..,..,..,..,..,..,..,14325,..,2887,..,..,..,..,..,..,..,2887,..,2430,765,319,192,114,31,0,0,3852,..,316,222,95,110,183,172,98,53,1247,..,250,217,107,72,37,20,7,3,719,..,365,486,190,214,224,165,55,7,1703,..,305,761,722,1038,1457,1481,1090,538,7387,222,300,245,161,132,148,122,59,24,1403,5,9,14,10,7,12,6,3,0,72,14559,8105,8426,9117,9034,8454,6862,3680,1137,69364
5004,..,66,46,11,14,7,3,0,0,155,..,59,111,31,42,59,31,13,5,355,..,48,101,107,238,400,589,471,280,2229,47,83,46,34,37,52,49,34,10,397,3,0,0,0,0,9,0,0,0,16,3521,1613,1766,2542,2663,2479,2427,1298,452,18760,..,23,1076,2710,2903,2874,3073,1548,298,14507,..,277,979,789,653,465,289,76,14,3538,..,26,159,420,524,202,72,55,35,1496,7097,..,..,..,..,..,..,..,..,7097,..,1405,..,..,..,..,..,..,..,1405,..,1054,352,110,88,49,12,4,0,1673,..,123,66,28,34,76,95,44,39,501,..,120,112,39,30,19,9,8,0,339,..,146,236,82,106,128,63,28,12,798,..,91,227,289,474,673,942,663,361,3732,100,135,105,86,83,88,100,62,11,769,6,3,9,0,3,9,0,3,0,30,7197,3401,3326,4552,4903,4584,4657,2499,764,35879
5005,..,16,8,0,4,0,0,0,0,36,..,26,33,12,14,14,8,3,0,110,..,25,42,28,66,116,145,173,79,675,8,24,25,10,12,18,23,6,3,123,0,0,0,0,0,0,0,0,0,0,969,521,602,637,678,688,562,372,126,5160,..,16,376,628,722,795,661,351,67,3614,..,150,338,250,206,159,52,16,0,1176,..,20,62,130,111,64,31,29,22,453,1982,..,..,..,..,..,..,..,..,1982,..,349,..,..,..,..,..,..,..,349,..,298,103,37,49,23,0,0,0,507,..,57,21,13,20,32,37,19,7,204,..,31,24,7,9,6,0,0,0,84,..,63,73,27,29,34,19,9,0,245,..,71,114,95,166,232,245,270,113,1302,18,49,34,21,20,31,37,15,3,232,0,0,6,0,0,0,0,0,0,9,2000,1105,1145,1202,1330,1370,1089,704,208,10161
5006,..,59,34,14,3,9,8,9,0,131,..,100,73,37,40,63,33,16,0,357,..,109,185,114,248,391,443,336,188,2014,79,96,69,50,50,85,60,29,13,520,0,0,5,0,3,0,0,4,0,16,3430,2000,2112,2196,2430,2259,1762,949,315,17471,..,69,1243,2105,2500,2398,2008,974,211,11507,..,506,1121,668,591,492,182,54,15,3623,..,66,290,482,461,259,126,88,38,1810,6854,..,..,..,..,..,..,..,..,6854,..,1243,..,..,..,..,..,..,..,1243,..,1181,389,191,128,58,15,0,0,1954,..,254,100,64,80,97,110,76,30,806,..,105,84,41,25,19,12,8,0,298,..,190,192,84,81,117,74,27,3,761,..,216,406,342,574,823,765,516,262,3897,151,177,135,118,104,137,107,45,20,977,7,3,5,3,5,3,0,0,5,29,7012,4007,3963,4096,4532,4395,3391,1793,581,33765
5007,..,40,29,11,8,3,0,0,0,95,..,73,82,31,27,32,16,0,0,262,..,104,168,95,186,214,172,96,42,1083,38,41,46,27,30,37,30,13,0,269,5,3,0,3,3,3,6,0,0,25,2833,1476,2037,1850,1640,1336,689,278,74,12220,..,52,1207,2036,1794,1611,762,246,30,7742,..,567,1311,708,541,308,80,20,0,3539,..,55,210,292,244,133,61,39,15,1051,5773,..,..,..,..,..,..,..,..,5773,..,758,..,..,..,..,..,..,..,758,..,907,274,91,72,28,4,0,0,1379,..,170,102,66,63,84,76,39,17,618,..,94,76,38,30,16,6,4,0,262,..,199,267,108,93,77,31,6,4,790,..,207,451,361,488,564,412,186,46,2717,72,100,126,76,57,81,55,20,5,595,7,3,3,7,7,10,15,0,0,45,5850,3119,4025,3780,3376,2917,1507,559,121,25261
5008,..,15,25,7,3,0,0,0,0,53,..,30,57,15,18,21,4,0,0,149,..,48,133,63,70,59,34,16,4,419,16,21,37,13,22,64,55,28,5,255,3,0,6,0,0,0,9,0,0,15,1841,684,1338,1305,902,485,190,59,8,6813,..,15,895,1654,1126,593,140,22,0,4446,..,259,866,543,300,124,35,0,0,2125,..,13,73,122,112,37,9,0,0,373,3782,..,..,..,..,..,..,..,..,3782,..,476,..,..,..,..,..,..,..,476,..,365,80,28,8,0,0,0,0,473,..,70,40,16,19,38,18,11,0,221,..,49,61,23,10,14,0,0,0,147,..,70,148,66,64,37,24,3,0,409,..,105,304,211,206,178,79,21,0,1103,33,50,67,41,45,100,126,52,3,517,5,0,6,6,0,0,11,0,0,30,3816,1471,2536,2704,1900,1122,433,114,10,14104
5009,..,2905,2955,884,546,432,192,55,22,8000,..,7368,9217,2481,2103,2360,1629,611,127,25893,..,3916,11808,9339,10615,18385,23279,18797,9903,106034,2275,3224,2734,1631,1466,1738,1502,804,378,15746,117,141,253,147,174,440,391,101,30,1784,186743,116895,144114,146835,131039,115202,92058,49468,17828,1000182,..,3431,90724,172122,156455,135519,109309,53227,11032,731825,..,17470,68234,38363,25837,16903,7684,2190,333,177017,..,1785,10823,21039,24910,14412,6336,3754,2482,85539,379152,..,..,..,..,..,..,..,..,379152,..,104391,..,..,..,..,..,..,..,104391,..,63290,34610,10270,6347,3335,706,20,0,118581,..,11625,9035,3259,3300,5758,6155,3712,2163,45002,..,6001,7589,2737,1697,1151,557,183,41,19962,..,15440,23170,7088,5341,5221,3561,1310,279,61402,..,7612,25943,23508,24775,34067,37128,26818,13396,193244,4579,6021,5769,3916,3318,3189,2602,1297,530,31226,236,257,492,328,353,687,660,192,49,3249,383969,237321,276386,282621,252326,220247,174703,92712,30306,1950581
