SUA_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5000,598,620,1344,1424,1713,2741,5451,3198,1070,18164,808,965,1893,2022,2141,2782,3912,1836,471,16819,583,1234,2060,2016,2190,2693,2855,1162,261,15048,431,1530,2749,2598,2941,3295,2301,781,187,16809,270,1468,3496,3191,3658,4164,2244,555,104,19163,132,1084,2914,2734,2964,3145,1326,304,39,14631,75,769,2935,2861,3140,2961,1069,266,65,14138,57,548,2315,2580,2831,2505,743,147,25,11752,55,918,5435,6198,6602,5232,1272,173,22,25906,9,147,1598,2105,2047,1494,338,61,17,7818,23,109,1382,2694,2840,2015,614,151,40,9859,2146,3054,9793,9692,9526,7867,4695,2277,839,49889,14,260,593,263,171,125,77,18,12,1532,14459,15493,43929,45840,48735,51021,39579,16368,4366,279792
5001,124,117,179,200,238,341,643,551,227,2618,154,164,264,273,306,353,537,330,152,2541,99,223,292,305,311,339,357,226,65,2219,64,276,425,391,409,431,295,121,64,2467,33,210,568,493,511,495,249,88,16,2660,3,92,363,357,431,363,129,29,15,1777,7,49,299,318,394,354,98,34,18,1562,0,18,192,205,278,211,89,30,7,1023,0,13,197,372,483,354,80,24,8,1529,0,0,30,51,71,63,20,0,5,249,0,3,35,68,116,119,48,16,6,420,123,126,343,304,280,244,238,246,218,2115,0,6,13,6,0,11,0,3,0,47,2190,1621,3791,3822,4350,4668,4141,2598,1110,28296
5002,33,47,67,71,74,110,258,108,15,773,36,63,113,115,73,143,264,105,8,923,37,90,168,119,98,129,184,56,3,875,32,110,274,190,148,168,191,74,9,1190,19,107,318,244,231,261,201,47,0,1434,6,82,278,248,212,222,141,22,3,1219,0,33,313,299,206,210,133,17,0,1208,3,19,240,240,196,165,79,12,0,952,0,16,290,426,433,282,109,32,4,1594,0,6,46,86,93,74,38,10,0,356,0,4,55,149,151,134,91,55,0,647,145,182,556,435,455,482,348,157,29,2799,0,25,67,12,5,9,12,0,0,123,829,947,3059,2885,2594,2824,2687,882,111,16818
5003,214,215,406,426,428,573,1171,917,420,4769,301,371,597,608,558,584,862,504,184,4574,201,480,690,655,695,568,577,330,113,4311,138,634,982,822,814,691,427,180,49,4738,56,465,1073,966,1000,844,427,118,23,4973,19,252,849,801,795,660,202,50,11,3650,10,162,686,845,780,627,165,44,20,3334,4,81,572,666,680,570,107,27,6,2719,0,117,869,1341,1366,970,174,21,14,4855,0,16,158,285,339,217,52,8,10,1074,5,13,134,340,406,268,97,19,9,1290,237,260,682,634,535,460,393,298,270,3777,6,3,26,8,9,14,11,3,0,89,4723,3824,9164,9802,9668,9065,7257,3962,1528,58989
5004,135,96,198,229,222,343,752,502,201,2675,150,156,264,344,353,416,704,414,119,2923,93,237,323,398,420,436,448,242,67,2673,57,235,430,476,462,463,376,149,46,2688,29,177,493,575,622,536,322,122,31,2902,7,88,375,436,471,396,203,60,18,2069,7,24,300,368,455,332,147,56,22,1712,0,15,203,312,409,256,67,24,5,1280,3,22,285,579,624,396,126,29,5,2069,0,4,55,139,162,106,29,7,0,505,0,5,58,206,255,182,105,33,9,856,149,79,282,283,280,352,343,277,194,2239,0,0,23,5,13,10,5,4,0,63,2256,1395,3833,5015,5330,5276,5322,2845,1036,32316
5005,24,32,55,65,76,107,179,183,80,813,54,53,66,77,82,111,134,93,33,699,43,87,101,90,109,93,80,59,17,682,13,85,140,124,133,128,69,38,8,743,14,50,146,150,167,173,85,22,10,805,0,49,116,131,140,105,35,13,8,599,6,30,112,116,125,97,25,11,0,531,4,9,85,90,101,85,32,11,0,415,3,16,125,191,212,157,28,19,3,757,0,6,26,34,43,32,7,5,0,151,3,8,22,37,62,50,17,11,0,214,104,81,155,163,190,175,155,133,49,1199,0,5,9,0,0,4,0,0,0,23,739,583,1362,1429,1599,1630,1302,838,271,9751
5006,109,130,202,203,230,302,614,438,183,2405,174,219,277,277,291,314,392,228,72,2241,129,260,362,295,333,323,286,141,39,2174,82,282,434,381,392,412,237,71,30,2307,28,205,510,455,505,479,211,60,18,2478,12,118,398,406,410,344,127,37,0,1866,8,98,417,348,451,345,105,38,17,1814,7,29,274,327,344,279,80,6,0,1348,10,49,388,614,704,471,119,22,6,2383,0,5,57,113,138,116,28,8,0,470,0,6,51,133,180,121,42,19,3,546,238,216,513,535,426,375,337,278,206,3121,0,5,11,0,7,8,3,9,5,42,2458,2025,4530,4704,5037,4916,3962,2128,833,30597
5007,64,52,128,120,96,135,234,174,52,1055,80,124,204,165,127,143,170,84,37,1131,91,170,208,203,164,137,101,51,8,1137,96,208,273,223,226,198,76,21,3,1325,63,241,380,303,315,307,96,15,4,1723,42,189,367,320,290,225,79,9,0,1525,30,183,470,337,358,279,74,10,6,1742,0,120,419,355,331,252,56,5,0,1543,13,143,789,866,756,584,108,5,0,3268,0,18,235,296,244,141,21,0,0,959,3,12,157,258,233,169,27,4,0,870,169,267,677,576,501,497,325,98,33,3143,5,4,22,9,10,14,19,0,0,75,1600,2015,4949,4519,4022,3617,1934,690,199,23545
5008,20,23,51,56,30,44,64,26,7,322,38,31,79,95,56,39,61,23,5,421,44,64,113,100,77,51,38,12,0,495,39,94,151,160,119,74,32,9,0,677,37,121,270,223,149,118,42,0,0,957,14,81,238,189,155,105,28,3,0,815,12,67,286,233,204,123,25,0,0,959,7,46,305,270,200,116,43,0,0,994,3,107,580,675,520,297,45,0,0,2220,0,23,192,246,192,116,27,0,0,794,0,23,269,489,339,189,34,3,0,1346,137,209,693,751,604,437,170,41,11,3052,0,8,27,16,9,19,11,3,0,94,913,986,3576,3799,2847,1889,797,187,22,15017
5009,4969,10112,11254,10014,9931,12552,26447,20934,9951,116162,5106,13408,17205,14617,13191,13669,20072,12640,4758,114667,3242,13645,19850,16913,14251,13401,13895,7747,2625,105569,2180,14959,28468,22322,19887,16772,11702,4962,1678,122932,1133,13152,37181,29891,25880,22197,11051,3523,986,144994,441,7821,31438,26173,22140,17643,7174,1931,485,115248,223,4239,27681,25753,21932,16944,5645,1544,542,104506,88,1857,19122,21120,18411,12825,3764,795,231,78210,90,2101,28879,43214,38012,24720,6018,1204,365,144602,26,325,5687,11355,10250,6326,1668,408,125,36171,75,275,5293,18134,20667,12466,3678,1136,318,62046,5778,7479,17041,14635,11972,9607,8911,8681,7692,91806,134,394,1069,649,641,927,793,263,78,4948,122343,129538,293094,296804,263742,229888,183104,100938,40673,1660133
