SUA_CODE_2021,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_yr_over_Mgrs,M_85_yr_over_Profnls,M_85ov_Techs_trades_wrkrs,M_85ov_Com_psnl_serv_wrkrs,M_85_yr_over_Cler_admin_wrkrs,M_85_yr_over_Sales_wrkrs,M_85_yr_over_Mach_oper_dvrs,M_85_yr_over_Labrs,M_85_yr_over_Inad_desc_Ns,M_85_yr_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_yr_over_Mgrs,F_85_yr_over_Profnls,F_85_yr_over_Techs_tra_wrkrs,F_85ov_Com_psnl_serv_wrkrs,F_85ov_Cler_admin_wrkrs,F_85_yr_over_Sales_wrkrs,F_85_yr_over_Mach_oper_dvrs,F_85_yr_over_Labrs,F_85_yr_over_Inad_desc_Ns,F_85_yr_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
5000,98,51,846,183,43,484,252,1099,100,3158,309,390,1795,247,86,250,822,1339,87,5323,1756,1947,5472,681,302,337,2798,2630,280,16207,3069,1947,5535,628,401,278,3490,2019,336,17701,3964,1973,5040,695,488,350,4209,1968,394,19076,3850,1708,3825,669,552,428,4137,1900,341,17411,2141,618,856,170,186,201,1054,661,144,6025,691,62,59,16,37,31,75,131,69,1167,100,5,0,0,0,3,3,15,25,149,15971,8696,23434,3287,2103,2369,16842,11751,1769,86215,41,43,172,764,177,892,78,651,74,2896,171,541,358,864,611,455,288,647,106,4042,1013,2740,852,1789,1829,656,689,1459,161,11191,1801,2843,868,1864,2348,768,594,1254,181,12528,2217,2484,811,2142,2664,1002,715,1498,200,13732,2149,2291,657,1888,2530,990,530,1458,167,12676,990,607,141,401,713,246,121,385,90,3699,237,38,18,30,80,22,13,73,43,552,17,0,0,0,0,0,0,0,4,30,8647,11591,3882,9746,10962,5045,3022,7422,1032,61352
5001,6,5,155,51,13,137,19,213,14,609,24,31,238,51,10,53,53,146,11,610,104,186,514,90,27,88,157,222,17,1402,198,208,385,105,57,74,154,198,22,1405,265,259,369,152,61,73,218,187,27,1613,258,253,288,144,70,76,239,179,26,1529,128,78,89,33,19,27,79,74,5,541,20,8,11,4,0,6,7,12,5,75,10,0,0,0,0,0,0,4,0,16,1016,1036,2047,622,252,544,924,1230,131,7798,10,10,21,175,37,258,3,81,17,604,17,65,53,168,73,101,8,65,7,559,75,352,88,263,243,143,18,96,14,1292,142,404,72,309,279,150,17,146,15,1534,212,429,86,369,338,173,19,162,15,1810,147,337,54,305,371,145,19,153,15,1538,57,92,22,57,95,36,4,48,6,419,12,11,0,3,8,3,0,8,0,48,0,0,0,0,0,0,0,0,0,5,682,1704,389,1645,1448,1012,81,752,87,7806
5002,0,0,30,12,0,58,4,54,5,171,13,17,85,27,11,16,18,42,3,241,93,201,221,96,43,24,65,82,23,854,196,214,219,92,41,34,80,76,27,980,193,138,222,89,36,34,81,67,28,896,196,132,133,50,34,40,85,64,15,744,100,56,47,18,21,21,42,34,13,344,26,11,0,0,4,6,0,4,6,58,0,0,0,0,0,0,0,0,0,0,806,781,955,391,195,241,380,425,114,4292,4,7,10,62,29,72,4,38,5,221,13,60,10,90,54,36,4,24,4,293,115,402,50,227,171,66,8,84,11,1146,169,369,36,158,234,66,6,59,22,1121,148,239,27,131,243,69,10,41,9,916,125,208,27,92,189,78,15,43,11,791,55,55,9,20,63,18,4,11,3,240,11,6,0,5,5,3,0,4,3,34,0,0,0,0,0,0,0,0,0,0,635,1342,169,780,989,411,50,296,83,4756
5003,4,9,273,77,15,271,76,423,26,1167,31,68,533,88,44,114,212,355,23,1464,239,410,1283,156,94,168,521,573,70,3500,451,539,1229,159,145,107,674,460,86,3842,500,554,1068,171,174,131,691,380,72,3740,384,462,785,139,158,121,638,337,44,3078,127,160,172,42,52,44,175,87,16,880,23,12,3,6,3,9,18,6,5,82,0,0,0,0,0,3,0,0,0,4,1757,2217,5343,832,681,976,2996,2618,338,17760,15,16,43,333,83,591,19,194,21,1317,70,160,118,389,221,210,38,144,19,1370,217,823,258,587,597,343,74,302,35,3243,324,999,222,706,720,340,77,375,51,3807,333,866,226,774,851,364,84,389,51,3933,223,597,114,518,673,267,66,282,22,2765,48,152,24,100,143,44,16,75,13,613,8,10,0,7,4,3,0,8,0,42,4,0,0,0,0,0,0,0,0,3,1238,3623,1002,3412,3298,2181,368,1758,205,17087
5004,10,9,161,85,9,206,27,205,16,714,23,22,258,33,11,55,40,135,3,575,160,169,558,100,41,66,116,225,30,1452,306,287,645,102,48,83,196,215,38,1923,389,347,557,94,65,102,252,222,36,2067,360,242,361,92,80,80,242,215,37,1707,169,97,94,23,34,53,96,79,18,662,23,16,11,0,7,8,9,12,3,88,3,0,0,0,0,0,0,3,0,8,1439,1174,2639,526,297,646,984,1308,185,9199,0,10,32,257,19,262,11,99,13,691,25,58,56,153,56,90,5,84,9,530,162,378,126,303,191,113,19,151,17,1464,285,589,137,366,387,176,17,171,28,2148,274,572,115,391,467,227,48,233,19,2339,196,365,76,283,377,219,34,199,19,1759,63,92,17,58,115,71,9,48,11,487,15,7,0,4,11,0,0,10,6,51,0,0,0,0,0,0,0,0,0,5,1031,2065,555,1813,1624,1157,138,990,118,9481
5005,3,0,62,11,4,42,17,57,6,200,11,14,109,5,5,19,32,32,5,227,49,58,181,14,11,36,87,81,15,536,86,60,150,20,21,24,110,70,16,566,131,73,143,20,22,28,136,65,11,627,91,73,111,13,21,16,160,67,17,570,38,19,19,0,14,7,43,20,3,162,19,0,0,0,0,0,0,0,3,28,4,0,0,0,0,0,0,0,0,0,437,296,783,93,94,173,579,384,85,2924,0,0,11,32,18,73,6,35,4,174,5,28,17,47,35,41,6,12,4,210,43,121,25,68,102,49,13,45,5,465,42,129,34,83,115,60,11,50,6,523,85,100,29,102,146,58,17,54,6,600,57,78,20,84,109,44,13,67,13,482,27,21,3,20,32,3,0,17,0,124,7,3,0,0,0,0,3,4,0,19,0,0,0,0,0,0,0,0,0,0,265,492,143,445,561,319,68,285,38,2606
5006,11,3,181,28,10,144,41,200,16,627,23,21,284,44,22,79,61,147,16,691,124,190,591,113,57,93,200,245,34,1645,251,239,487,95,58,81,205,220,20,1659,282,263,420,128,75,85,327,186,41,1804,218,219,369,114,90,65,357,152,24,1608,98,83,86,31,26,18,94,54,8,494,26,13,9,3,3,3,4,6,9,78,5,0,0,0,0,0,0,0,0,7,1029,1028,2428,559,336,564,1298,1212,154,8610,4,9,36,196,31,287,10,92,5,684,32,103,47,212,103,121,16,53,6,695,107,454,94,329,294,135,22,101,18,1547,159,500,88,333,361,146,34,110,18,1744,192,510,87,377,412,180,47,155,30,1990,157,289,50,293,353,145,34,158,17,1506,46,71,12,65,108,36,3,44,8,393,5,10,5,0,6,0,0,6,5,30,0,0,0,0,0,0,0,0,3,3,696,1945,425,1806,1665,1062,170,720,101,8599
5007,0,7,165,23,5,97,38,116,9,463,10,64,333,34,13,44,154,131,12,804,105,272,782,82,54,42,448,188,28,1996,259,251,656,77,48,36,421,110,30,1889,223,178,533,82,47,38,452,73,38,1672,210,140,389,49,50,32,414,125,27,1446,44,50,81,14,12,5,120,30,12,367,4,9,4,0,0,0,3,4,0,34,0,0,0,0,0,0,0,0,0,0,866,971,2945,357,233,296,2043,778,168,8662,5,7,40,85,37,157,19,55,11,424,14,130,69,115,129,75,57,42,11,643,104,443,137,243,337,128,128,105,14,1636,153,319,73,255,304,109,113,113,26,1472,154,263,88,193,333,106,120,143,21,1413,108,172,46,149,244,105,59,125,17,1021,35,26,4,26,57,23,8,38,10,223,4,3,0,0,4,0,0,5,3,15,0,0,0,0,0,0,0,0,0,0,585,1365,468,1067,1437,702,501,621,103,6848
5008,0,0,72,17,3,66,10,85,8,262,17,23,167,20,11,18,42,74,6,378,115,192,576,52,43,27,163,188,32,1380,221,192,651,60,79,19,222,125,43,1617,186,142,449,46,56,11,194,90,48,1220,106,101,244,38,40,10,154,69,16,776,29,25,38,3,4,0,41,14,8,160,4,0,0,0,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,678,678,2186,238,237,160,841,639,156,5801,0,5,18,39,28,91,4,25,10,215,17,50,26,60,67,32,15,24,0,290,110,322,100,136,230,89,35,91,13,1124,136,263,97,184,251,61,34,80,24,1131,105,158,50,130,171,65,37,76,7,804,48,68,9,63,93,33,20,47,4,390,11,18,0,12,14,4,5,13,0,80,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,431,889,298,620,852,373,152,356,62,4039
5009,320,583,4752,3183,647,6285,2132,9001,427,27334,1684,5413,12264,6059,2563,5856,4885,8199,952,47885,10618,26702,30980,8523,6775,5647,12817,11728,2469,116262,20854,30419,28751,6577,7242,4252,13186,9003,2319,122589,21333,23098,23490,5434,6426,3935,12352,7867,1979,105921,14944,15986,16921,3981,5402,3200,11123,6921,1325,79809,4382,5870,4133,1067,1711,1419,3076,2439,458,24549,683,929,327,91,229,219,230,375,153,3241,45,58,10,4,24,22,4,21,50,244,74865,109067,121626,34925,31028,30832,59806,55558,10133,527831,355,688,1024,8105,1738,12891,434,3897,407,29533,2072,7564,2992,14074,7300,9122,952,3165,672,47913,10021,37855,7408,19688,19329,8201,1974,5777,1709,111966,13177,37803,6094,17776,22183,6729,1765,6160,1577,113265,12394,28802,4906,16609,23346,7372,1840,6916,1297,103488,7336,17900,3262,11672,19096,6134,1365,5707,859,73330,1621,4504,725,2459,5128,1602,300,1496,271,18099,168,351,50,142,441,125,22,166,115,1574,11,13,6,0,24,7,0,10,40,104,47155,135474,26460,90523,98577,52190,8653,33295,6943,499273
