SUA_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
5000,37,676,496,154,1433,19,2814,18,472,347,83,360,13,1283,112,1200,439,643,1064,29,3480,419,795,385,832,661,25,3120,433,390,78,868,417,12,2192,954,512,128,1126,529,25,3276,1479,297,90,1266,486,18,3633,1378,86,31,951,304,22,2778,497,20,10,299,122,3,947,194,4,4,132,57,0,389,68,10,0,52,64,0,192,42,0,0,39,35,4,120,15,0,0,26,19,0,63,65,0,0,165,217,0,451,192,375,160,833,1720,64,3343,5899,4837,2172,7466,7477,237,28092
5001,0,16,5,3,4,0,30,0,26,5,11,4,0,38,13,189,42,40,8,7,296,14,106,83,70,40,5,324,48,53,20,81,21,3,231,119,77,59,125,34,0,404,538,79,28,356,61,7,1062,648,18,12,213,34,0,927,135,6,0,43,11,0,197,18,0,0,4,4,0,29,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,10,9,0,16,24,40,20,46,33,3,161,1552,600,270,1008,266,29,3729
5002,4,15,0,0,8,0,29,0,21,3,0,7,0,35,11,142,5,5,41,0,202,7,138,15,19,47,0,238,6,63,6,11,50,3,138,18,105,10,29,71,0,229,86,110,17,51,67,0,338,155,38,9,79,138,0,417,170,10,0,52,56,0,288,124,3,0,38,7,0,173,87,0,0,37,13,0,137,58,3,0,20,6,0,92,27,0,0,14,0,0,48,40,0,0,30,29,0,95,41,65,10,35,111,11,271,833,725,81,413,653,25,2734
5003,5,21,3,10,7,0,39,3,48,11,4,9,0,80,29,323,39,54,11,5,457,54,208,118,82,31,6,500,123,90,42,156,19,4,432,446,105,24,321,39,5,933,1325,50,19,736,54,6,2192,1666,20,24,497,58,5,2273,349,0,0,72,5,0,431,68,0,0,14,9,0,90,16,0,0,7,5,0,32,5,3,0,4,0,0,13,0,0,0,9,0,0,8,11,0,0,3,11,0,16,84,47,21,83,83,21,336,4180,915,299,2059,334,49,7839
5004,5,16,0,19,5,0,33,0,13,0,8,0,0,27,0,176,19,25,21,0,246,19,108,31,40,19,4,215,22,34,6,66,25,0,155,31,54,13,84,33,0,215,240,42,11,204,52,0,547,775,22,0,370,43,4,1206,444,0,0,123,14,4,586,118,0,0,33,3,0,151,30,0,0,16,10,0,49,7,0,0,7,10,0,13,3,0,0,5,4,0,11,14,0,0,33,19,0,70,29,18,5,79,42,3,192,1730,489,90,1104,291,21,3714
5005,0,11,0,4,4,0,21,0,5,0,3,5,0,14,8,68,24,25,14,0,135,34,24,13,44,12,3,132,37,19,4,50,9,0,123,78,43,4,80,22,0,230,133,9,6,147,16,0,307,133,0,0,112,10,0,260,25,0,0,13,6,0,49,4,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,8,0,0,13,8,10,4,28,25,8,77,465,191,52,523,123,15,1379
5006,4,20,0,10,4,0,36,4,27,0,10,7,0,42,45,165,19,71,14,0,310,209,109,39,137,38,16,552,211,37,11,196,41,4,499,388,66,10,261,56,3,784,638,72,22,297,65,0,1089,411,7,0,170,21,0,613,82,3,0,27,4,0,122,17,0,0,6,0,0,33,6,0,0,7,0,0,11,3,0,0,0,0,0,10,0,0,0,0,0,0,5,3,0,0,0,8,0,13,34,35,7,72,49,6,208,2067,531,106,1266,309,32,4312
5007,0,8,0,4,5,0,15,3,23,0,4,14,0,44,26,126,43,28,59,9,279,24,83,13,46,67,4,238,63,71,0,68,66,0,265,188,115,5,112,80,3,504,541,58,0,167,72,0,848,642,18,0,177,40,0,877,270,6,0,45,8,0,330,124,4,0,21,6,0,151,30,0,0,3,0,0,34,7,0,0,0,4,0,14,0,0,0,0,0,0,0,4,0,0,6,4,0,18,46,23,11,44,94,7,223,1971,537,68,728,522,27,3855
5008,11,10,0,0,433,0,452,0,6,0,0,19,0,29,7,58,0,0,79,0,147,8,26,0,7,65,0,109,16,57,0,7,80,0,155,20,86,0,11,127,0,249,66,111,4,15,133,0,330,141,20,6,45,92,0,296,178,7,0,25,49,0,265,179,0,0,12,35,0,229,144,4,0,10,18,0,179,104,6,0,16,14,0,144,73,0,0,6,20,0,100,116,0,0,12,49,0,174,76,34,6,25,234,3,387,1142,427,23,193,1456,5,3258
5009,138,716,85,249,45,11,1244,43,1144,147,180,41,12,1560,433,7274,616,1500,251,76,10153,1415,3382,1388,2221,371,74,8845,2673,1307,381,2660,338,53,7406,9512,1800,564,5400,1122,64,18460,29281,1295,382,12899,1538,148,45547,46059,563,290,15202,1571,167,63848,20283,99,63,5404,438,43,26339,7303,18,11,1807,116,15,9272,3199,28,15,808,66,11,4122,1689,19,5,446,61,0,2226,944,12,5,235,29,5,1225,1550,20,0,475,111,12,2173,1832,1152,305,2524,760,491,7062,126344,18819,4264,52015,6860,1184,209484
