SUA_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
5000,432,830,2144,2255,2552,2749,1749,647,92,13451,168,1087,5215,5930,5591,3759,558,24,0,22340,224,360,867,1025,1072,946,274,36,0,4811,28,69,224,326,370,362,84,5,0,1475,419,764,2128,2360,2334,2189,559,44,3,10795,91,164,403,426,472,417,131,17,0,2127,539,343,519,389,554,530,217,31,0,3118,504,283,637,490,488,515,225,29,3,3169,72,174,521,652,941,1172,479,54,5,4065,8,22,54,68,66,45,24,0,0,287,4,13,41,75,95,75,35,7,0,347,13,28,99,79,149,155,77,16,0,623,24,94,398,490,539,482,215,27,3,2270,58,131,390,401,480,418,142,21,0,2030,58,179,613,721,1077,1228,317,27,0,4226,23,114,323,414,514,571,218,15,0,2187,42,71,346,381,463,515,213,23,0,2052,33,43,104,97,115,124,54,17,0,597,199,276,547,474,477,458,160,12,3,2617,213,269,640,640,731,705,301,99,23,3625
5001,19,39,78,78,101,105,68,13,10,514,0,0,58,57,55,32,7,0,0,217,40,72,148,102,125,94,26,5,0,618,0,9,20,42,48,38,3,0,0,162,88,133,287,241,246,210,60,3,0,1272,0,23,56,47,79,50,19,0,0,280,145,94,133,113,111,109,41,0,0,763,195,63,91,74,47,30,23,3,0,514,4,16,45,76,130,145,44,7,0,471,3,5,13,12,16,9,3,0,0,58,0,9,7,21,32,18,8,0,0,88,0,0,20,17,15,22,13,3,0,84,4,16,39,55,41,67,27,5,0,259,3,12,28,43,43,52,16,0,0,198,5,15,74,121,157,156,34,4,0,566,11,15,66,78,97,95,35,4,0,400,5,28,92,112,128,157,47,4,0,577,6,3,19,13,18,13,7,3,0,85,25,39,72,58,59,70,27,3,0,348,33,31,63,54,68,49,24,4,3,325
5002,4,11,27,28,21,39,38,9,0,189,3,10,53,63,56,35,12,0,0,230,5,11,16,25,30,28,6,0,0,120,0,0,10,18,26,15,6,0,0,78,13,41,113,132,139,89,43,4,0,570,0,4,13,13,12,16,9,4,0,72,49,28,46,42,54,63,30,4,0,321,37,30,104,62,49,44,19,0,0,340,3,18,92,94,87,70,32,3,0,407,0,3,4,18,9,4,5,0,0,45,0,4,10,13,15,12,7,6,0,62,0,3,8,12,13,11,10,6,0,71,10,0,32,35,30,38,17,7,0,161,12,8,27,27,44,26,15,0,0,150,0,12,68,106,104,71,21,4,0,383,3,9,49,68,54,47,15,0,0,239,0,16,81,90,70,69,30,6,0,366,3,3,12,10,16,12,16,4,0,82,3,19,38,45,31,24,11,0,0,170,9,12,44,72,53,37,16,3,0,249
5003,19,26,71,56,64,68,38,11,0,349,18,102,414,534,498,332,55,0,0,1948,93,209,535,651,596,389,73,3,0,2559,9,30,101,130,145,139,17,0,0,567,139,342,730,744,661,556,153,11,0,3339,18,38,81,107,106,79,12,0,0,447,233,170,271,199,172,156,50,7,0,1253,402,93,140,91,62,48,12,0,0,844,15,57,142,198,250,286,96,11,0,1051,11,10,31,20,17,10,11,0,0,114,3,7,24,26,58,25,11,3,0,165,9,7,31,29,40,34,21,0,3,162,13,31,133,142,134,97,51,3,0,617,17,33,56,73,73,74,31,0,0,357,10,43,120,163,205,190,48,3,0,786,8,22,88,121,145,147,67,0,0,606,21,63,190,221,200,194,58,3,0,954,28,9,25,17,14,19,5,0,0,118,49,90,133,143,138,118,35,5,0,704,57,77,183,171,154,123,37,8,0,818
5004,22,32,67,92,85,127,68,23,5,515,10,28,138,265,254,130,21,0,0,848,43,50,124,181,147,130,44,5,0,720,0,0,18,31,43,37,7,0,0,140,102,157,342,404,399,287,82,6,0,1778,7,3,26,31,46,37,17,0,0,164,144,76,124,117,121,126,51,3,0,764,252,91,158,161,108,96,46,9,0,908,14,15,33,45,94,94,65,6,0,365,6,0,5,12,14,9,4,0,0,50,0,3,14,29,46,27,9,0,0,129,0,5,7,25,40,34,18,5,0,130,5,6,56,60,113,92,47,12,0,387,9,24,46,65,86,85,22,7,0,337,11,4,50,79,110,92,31,0,0,381,9,4,33,72,80,73,25,4,0,310,8,10,76,92,113,125,34,0,0,467,22,3,22,21,16,15,8,0,0,110,27,31,49,60,68,43,30,0,0,319,32,30,54,77,80,67,29,8,5,370
5005,12,15,62,64,93,66,40,13,4,358,0,8,30,30,33,27,5,0,0,140,15,17,28,20,19,13,3,0,0,118,4,5,13,25,26,10,0,0,0,85,34,46,91,94,66,81,21,0,0,430,7,6,28,37,45,47,3,0,0,183,42,26,39,37,25,24,9,0,0,195,48,18,23,9,10,15,9,0,0,139,3,18,68,87,105,105,24,3,0,417,0,0,4,0,0,3,0,0,0,12,0,0,6,3,6,5,6,0,0,25,0,0,0,4,5,5,0,0,0,21,5,3,11,15,13,16,9,0,0,63,0,0,5,3,8,11,4,0,0,47,0,3,22,40,45,40,9,0,0,155,0,0,16,26,22,26,3,0,0,100,0,5,23,23,22,25,3,0,0,90,0,0,0,0,3,0,0,0,0,11,16,22,42,30,46,21,0,0,0,178,6,17,32,25,29,30,7,3,0,157
5006,23,36,70,80,104,86,53,14,0,466,8,47,174,220,214,137,21,0,0,824,30,31,62,66,65,64,18,3,0,338,3,6,25,29,35,37,5,0,0,142,95,157,314,273,210,237,63,3,0,1347,18,16,61,82,86,69,11,4,0,348,158,109,148,112,94,69,29,11,0,738,174,66,80,47,35,27,9,3,0,442,13,26,136,138,243,236,74,6,0,870,8,6,15,11,3,15,0,0,0,62,0,4,5,17,19,17,6,0,0,73,0,3,8,8,14,19,4,4,0,69,0,19,59,75,87,64,23,5,0,335,10,13,38,44,53,49,13,3,0,228,0,25,91,127,171,166,32,0,0,610,4,15,63,84,98,93,29,4,0,391,11,18,95,95,123,91,36,0,0,462,6,12,9,13,15,12,7,0,0,59,35,53,96,79,55,65,21,4,0,411,29,34,93,67,88,63,27,8,4,403
5007,0,0,4,4,0,0,4,0,0,19,84,270,836,792,654,496,70,3,0,3201,17,38,107,126,87,90,19,0,0,487,6,11,25,42,27,39,7,0,0,155,54,98,217,177,152,162,35,3,0,895,3,27,79,85,63,44,10,0,0,316,83,59,55,57,47,50,12,4,0,377,95,40,46,44,17,29,9,4,0,288,6,36,97,103,159,161,69,0,0,627,0,3,9,8,8,5,0,0,0,38,0,0,0,9,6,4,0,0,0,32,6,16,29,22,22,23,6,0,0,120,14,36,72,53,58,44,17,3,0,293,3,12,21,17,19,22,4,3,0,94,10,15,76,80,85,81,26,0,0,378,3,10,48,40,41,45,21,0,0,206,8,24,59,64,51,37,14,3,0,252,5,6,4,5,0,11,3,0,0,32,34,60,95,91,83,54,12,0,0,425,32,43,102,83,77,64,23,3,0,417
5008,0,0,4,4,0,3,5,0,0,17,12,63,377,569,385,201,27,0,0,1632,14,15,55,70,45,34,13,0,0,241,4,9,33,44,33,37,8,0,0,170,33,88,314,283,205,141,31,0,0,1095,9,9,25,32,23,16,4,0,0,125,61,28,49,34,14,13,7,0,0,204,68,15,50,57,30,19,7,0,0,245,9,16,78,123,131,76,30,0,0,447,0,3,6,6,0,3,0,0,0,20,0,0,0,7,0,0,0,0,0,10,3,4,21,20,20,18,0,0,0,92,0,11,56,47,30,23,0,0,0,174,12,16,53,35,27,23,9,0,0,160,0,18,51,84,81,64,10,0,0,308,0,8,28,40,33,16,3,0,0,140,4,4,32,17,16,18,8,0,0,96,9,5,5,3,10,5,0,0,0,31,17,23,46,54,43,18,4,0,0,203,19,30,94,100,75,58,10,0,0,381
5009,169,321,757,765,826,773,480,156,18,4263,315,2117,10667,13334,10957,6449,1216,76,3,45138,1339,2964,7622,9268,9388,7294,1740,197,12,39835,121,351,1563,2098,1955,1512,305,19,0,7920,2998,6826,18458,18505,14874,10799,2572,203,10,75253,517,1245,3631,4344,4169,3099,823,108,7,17948,5944,7547,8543,6388,5123,3861,1510,217,13,39153,8776,5662,6380,4249,2523,1944,590,79,3,30205,692,2261,7386,8247,7668,7140,2260,204,4,35846,209,515,1264,1444,1110,702,211,42,0,5496,52,585,2430,3221,2861,1761,588,118,8,11632,114,417,1274,1559,1589,1268,741,185,24,7169,375,2943,10360,13086,10125,6395,2460,388,28,46172,562,1511,3429,3230,2885,2522,912,128,10,15193,283,1863,6760,7786,7832,6324,1606,164,8,32626,887,1824,4754,4950,4854,4630,1744,189,13,23846,389,2324,7087,7269,6201,5009,1868,249,9,30409,1192,1393,2029,1622,1230,968,410,86,6,8933,1039,2157,4590,4098,3683,3067,1122,161,11,19924,1349,3063,7260,7127,6068,4273,1389,279,53,30872
