SUA_CODE_2021,F_Mgmt_Cmrce_35_44_yr,F_Mgmt_Cmrce_45_54_yr,F_Mgmt_Cmrce_55_64_yr,F_Mgmt_Cmrce_65_74_yr,F_Mgmt_Cmrce_75_84_yr,F_Mgmt_Cmrce_85_yr_over,F_Mgmt_Cmrce_Tot,F_Scty_Cul_15_24_yr,F_Scty_Cul_25_34_yr,F_Scty_Cul_35_44_yr,F_Scty_Cul_45_54_yr,F_Scty_Cul_55_64_yr,F_Scty_Cul_65_74_yr,F_Scty_Cul_75_84_yr,F_Scty_Cul_85_yr_over,F_Scty_Cul_Tot,F_Crtve_Arts_15_24_yr,F_Crtve_Arts_25_34_yr,F_Crtve_Arts_35_44_yr,F_Crtve_Arts_45_54_yr,F_Crtve_Arts_55_64_yr,F_Crtve_Arts_65_74_yr,F_Crtve_Arts_75_84_yr,F_Crtve_Arts_85_yr_over,F_Crtve_Arts_Tot,F_FoodHos_PsnlSvcs_15_24_yr,F_FoodHos_PsnlSvcs_25_34_yr,F_FoodHos_PsnlSvcs_35_44_yr,F_FoodHos_PsnlSvcs_45_54_yr,F_FoodHos_PsnlSvcs_55_64_yr,F_FoodHos_PsnlSvcs_65_74_yr,F_FoodHos_PsnlSvcs_75_84_ye,F_FoodHos_PsnlSvcs_85_over,F_FoodHos_PsnlSvcs_Tot,F_Mix_Fld_Prog_15_24_yr,F_Mix_Fld_Prog_25_34_yr,F_Mix_Fld_Prog_35_44_yr,F_Mix_Fld_Prog_45_54_yr,F_Mix_Fld_Prog_55_64_yr,F_Mix_Fld_Prog_65_74_yr,F_Mix_Fld_Prog_75_84_yr,F_Mix_Fld_Prog_85_yr_over,F_Mix_Fld_Prog_Tot,F_Fld_stud_inad_desc_15_24,F_Fld_stud_inad_desc_25_34,F_Fld_stud_inad_desc_35_44,F_Fld_stud_inad_desc_45_54,F_Fld_stud_inad_desc_55_64,F_Fld_stud_inad_desc_65_74,F_Fld_stud_inad_desc_75_84,F_Fld_stud_inad_desc_85_over,F_Fld_stud_inad_desc_Tot,F_Fld_stud_ns_15_24_yr,F_Fld_stud_ns_25_34_yr,F_Fld_stud_ns_35_44_yr,F_Fld_stud_ns_45_54_yr,F_Fld_stud_ns_55_64_yr,F_Fld_stud_ns_65_74_yr,F_Fld_stud_ns_75_84_yr,F_Fld_stud_ns_85_yr_over,F_Fld_stud_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Nat_Phy_Sci_15_24_yr,P_Nat_Phy_Sci_25_34_yr,P_Nat_Phy_Sci_35_44_yr,P_Nat_Phy_Sci_45_54_yr,P_Nat_Phy_Sci_55_64_yr,P_Nat_Phy_Sci_65_74_yr,P_Nat_Phy_Sci_75_84_yr,P_Nat_Phy_Sci_85_yr_over,P_Nat_Phy_Sci_Tot,P_IT_15_24_yr,P_IT_25_34_yr,P_IT_35_44_yr,P_IT_45_54_yr,P_IT_55_64_yr,P_IT_65_74_yr,P_IT_75_84_yr,P_IT_85_yr_over,P_IT_Tot,P_Egnr_rel_Tech_15_24_yr,P_Egnr_rel_Tech_25_34_yr,P_Egnr_rel_Tech_35_44_yr,P_Egnr_rel_Tech_45_54_yr,P_Egnr_rel_Tech_55_64_yr,P_Egnr_rel_Tech_65_74_yr,P_Egnr_rel_Tech_75_84_yr,P_Egnr_rel_Tech_85_yr_over,P_Egnr_rel_Tech_Tot,P_Arc_Bld_15_24_yr,P_Arc_Bld_25_34_yr,P_Arc_Bld_35_44_yr,P_Arc_Bld_45_54_yr,P_Arc_Bld_55_64_yr,P_Arc_Bld_65_74_yr,P_Arc_Bld_75_84_yr,P_Arc_Bld_85_yr_over,P_Arc_Bld_Tot,P_Agric_Env_Rel_Stud_15_24,P_Agric_Env_Rel_Stud_25_34,P_Agric_Env_Rel_Stud_35_44,P_Agric_Env_Rel_Stud_45_54,P_Agric_Env_Rel_Stud_55_64,P_Agric_Env_Rel_Stud_65_74,P_Agric_Env_Rel_Stud_75_84,P_Agric_Env_Rel_Stud_85_over,P_Agric_Envir_Rel_Stud_Tot,P_Hlth_15_24_yr,P_Hlth_25_34_yr,P_Hlth_35_44_yr,P_Hlth_45_54_yr,P_Hlth_55_64_yr,P_Hlth_65_74_yr,P_Hlth_75_84_yr,P_Hlth_85_yr_over,P_Hlth_Tot,P_Edu_15_24_yr,P_Edu_25_34_yr,P_Edu_35_44_yr,P_Edu_45_54_yr,P_Edu_55_64_yr,P_Edu_65_74_yr,P_Edu_75_84_yr,P_Edu_85_yr_over,P_Edu_Tot,P_Mgmt_Cmrce_15_24_yr,P_Mgmt_Cmrce_25_34_yr,P_Mgmt_Cmrce_35_44_yr,P_Mgmt_Cmrce_45_54_yr,P_Mgmt_Cmrce_55_64_yr,P_Mgmt_Cmrce_65_74_yr,P_Mgmt_Cmrce_75_84_yr,P_Mgmt_Cmrce_85_yr_over,P_Mgmt_Cmrce_Tot,P_Scty_Cul_15_24_yr,P_Scty_Cul_25_34_yr,P_Scty_Cul_35_44_yr,P_Scty_Cul_45_54_yr,P_Scty_Cul_55_64_yr,P_Scty_Cul_65_74_yr,P_Scty_Cul_75_84_yr,P_Scty_Cul_85_yr_over,P_Scty_Cul_Tot,P_Crtve_Arts_15_24_yr,P_Crtve_Arts_25_34_yr,P_Crtve_Arts_35_44_yr,P_Crtve_Arts_45_54_yr,P_Crtve_Arts_55_64_yr,P_Crtve_Arts_65_74_yr,P_Crtve_Arts_75_84_yr,P_Crtve_Arts_85_yr_over,P_Crtve_Arts_Tot,P_FoodHos_PsnlSvcs_15_24,P_FoodHos_PsnlSvcs_25_34,P_FoodHos_PsnlSvcs_35_44,P_FoodHos_PsnlSvcs_45_54,P_FoodHos_PsnlSvcs_55_64,P_FoodHos_PsnlSvcs_65_74,P_FoodHos_PsnlSvcs_75_84,P_FoodHos_PsnlSvcs_85_over,P_FoodHos_PsnlSvcs_Tot,P_Mix_Fld_Prog_15_24_yr,P_Mix_Fld_Prog_25_34_yr,P_Mix_Fld_Prog_35_44_yr,P_Mix_Fld_Prog_45_54_yr,P_Mix_Fld_Prog_55_64_yr,P_Mix_Fld_Prog_65_74_yr,P_Mix_Fld_Prog_75_84_yr,P_Mix_Fld_Prog_85_yr_over,P_Mix_Fld_Prog_Tot,P_Fld_stud_inad_desc_15_24,P_Fld_stud_inad_desc_25_34,P_Fld_stud_inad_desc_35_44,P_Fld_stud_inad_desc_45_54,P_Fld_stud_inad_desc_55_64,P_Fld_stud_inad_desc_65_74,P_Fld_stud_inad_desc_75_84,P_Fld_stud_inad_desc_85_over,P_Fld_stud_inad_desc_Tot,P_Fld_stud_ns_15_24_yr,P_Fld_stud_ns_25_34_yr,P_Fld_stud_ns_35_44_yr,P_Fld_stud_ns_45_54_yr,P_Fld_stud_ns_55_64_yr,P_Fld_stud_ns_65_74_yr,P_Fld_stud_ns_75_84_yr,P_Fld_stud_ns_85_yr_over,P_Fld_stud_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr
5000,2485,2254,2107,1238,346,75,11511,578,1430,1648,1641,1778,1112,236,21,8449,178,474,421,354,302,235,87,14,2064,528,1100,927,851,601,369,112,9,4493,34,24,10,10,21,9,0,3,116,41,91,141,147,145,93,24,9,691,2143,2875,2610,2790,2736,2236,1301,532,17219,5864,13017,13429,12921,13110,9129,3291,918,71678,229,902,881,788,604,485,115,15,4016,151,268,317,254,230,156,22,0,1402,1805,6708,6645,6311,6059,4171,1349,216,33261,473,1593,1521,1362,1449,1156,374,63,7997,649,1214,1637,1508,1282,823,281,51,7441,647,2247,2158,2297,3000,2139,740,168,13402,453,1639,2238,2427,2734,2293,646,116,12548,1192,3052,3600,3513,3367,2191,641,121,17663,816,1996,2200,2181,2359,1585,411,47,11595,277,714,610,535,457,393,147,21,3148,736,1599,1546,1440,1069,625,210,18,7251,74,43,22,14,34,14,8,4,220,112,268,393,406,393,259,90,19,1936,5136,9477,9506,9690,8169,5226,2633,918,50751,12753,31710,33274,32731
5001,296,324,298,174,75,15,1568,123,226,284,301,296,184,60,9,1487,25,46,44,57,41,30,23,5,283,88,149,100,97,65,43,18,11,567,12,4,5,0,0,0,0,0,18,7,11,12,18,17,10,0,3,83,118,115,118,119,139,149,162,133,1056,742,1364,1494,1607,1549,1115,613,261,8736,37,52,86,74,68,53,32,5,398,31,60,63,44,32,16,3,0,253,153,404,330,383,418,342,178,59,2263,82,207,174,151,138,123,77,32,978,87,101,128,149,158,101,50,14,794,134,375,357,387,422,303,165,59,2201,50,192,256,337,333,322,151,29,1666,222,313,428,454,429,289,122,31,2288,178,291,361,389,404,286,83,18,2011,53,77,80,87,63,54,25,6,449,107,230,180,163,120,67,37,13,918,10,9,5,0,0,0,0,0,34,15,21,31,47,43,32,11,5,198,250,280,260,275,289,291,261,200,2108,1427,2602,2734,2936
5002,251,174,179,127,28,5,1075,41,161,176,129,125,76,11,0,717,14,57,54,25,23,15,5,0,195,32,87,64,71,40,39,0,0,334,0,0,0,0,0,0,0,0,3,0,9,17,13,15,10,0,0,70,175,359,251,252,272,179,65,12,1563,442,1458,1267,989,1030,743,172,25,6127,18,65,55,37,33,25,13,0,249,15,27,38,11,12,8,0,0,112,83,273,255,243,243,265,81,7,1457,17,132,131,115,100,97,21,0,605,25,54,68,61,43,37,13,0,300,66,317,240,185,231,165,46,4,1245,30,161,225,162,198,200,40,3,1018,77,350,377,280,276,254,53,11,1676,53,226,242,184,172,118,31,0,1028,24,81,76,46,33,32,11,0,307,45,114,103,113,60,52,7,0,495,6,0,0,0,4,6,0,0,15,6,25,34,29,30,22,10,0,160,349,600,475,506,514,362,159,29,2994,809,2438,2324,1971
5003,862,689,552,287,110,18,3701,329,477,685,632,462,255,66,11,2921,97,127,98,72,52,39,20,11,511,209,380,296,241,146,98,46,12,1424,11,4,4,7,5,0,0,0,41,15,36,37,47,37,12,9,4,199,220,296,275,252,236,241,238,202,1956,1767,3473,3776,3385,2711,1709,804,360,17984,41,130,160,158,112,87,34,6,719,74,142,167,78,64,19,11,5,558,478,1283,1377,1309,1150,823,374,89,6885,167,468,404,332,324,226,111,30,2057,72,135,169,159,132,75,38,13,779,301,749,817,699,699,467,198,67,3996,191,448,666,792,648,459,175,49,3421,472,1059,1207,1020,826,497,181,35,5294,454,615,836,776,597,358,102,25,3758,150,179,158,112,84,55,26,11,768,255,514,438,358,246,152,64,10,2042,26,13,3,11,15,7,3,0,72,34,70,103,121,100,40,18,5,498,473,657,610,598,506,494,406,310,4053,3187,6452,7116,6519
5004,453,436,355,259,91,35,2049,83,229,307,349,251,214,45,7,1495,37,85,115,86,75,43,25,7,478,75,183,187,178,104,72,21,9,824,4,6,0,3,0,3,0,0,18,0,6,26,30,15,19,5,3,112,133,170,177,155,204,190,175,102,1301,652,1543,2186,2082,1784,1409,647,235,10538,12,58,126,123,85,89,37,7,543,28,41,47,40,29,34,3,0,226,122,330,496,521,508,537,255,62,2819,84,278,260,260,233,211,103,24,1455,46,98,168,152,118,83,44,12,724,105,310,458,418,452,334,178,56,2309,50,217,418,429,381,388,154,31,2060,198,439,620,665,569,445,187,51,3167,112,293,391,437,323,300,88,16,1969,60,125,158,126,93,72,39,7,681,130,284,316,290,179,118,34,7,1355,12,9,0,4,0,6,4,0,39,14,20,54,49,36,39,12,9,233,261,348,360,335,385,373,302,161,2532,1231,2856,3885,3838
5005,100,117,76,33,16,11,514,31,60,67,61,64,42,10,0,326,7,21,22,17,5,5,9,0,76,23,59,45,36,23,21,0,0,218,0,0,0,0,0,0,0,0,0,3,4,0,3,8,0,0,0,25,70,70,100,82,73,86,78,27,585,248,491,523,498,409,306,201,59,2725,0,22,24,10,7,11,3,0,84,5,11,10,9,11,0,0,0,44,76,190,183,181,158,105,50,9,943,29,62,58,44,48,30,21,0,288,27,49,57,47,47,18,19,3,275,22,86,89,86,92,68,48,16,505,15,69,88,114,94,68,41,10,491,77,131,141,161,113,52,33,10,707,35,67,88,79,75,46,13,5,405,6,24,23,19,9,7,8,3,106,35,79,61,57,42,29,5,0,312,0,0,0,0,0,0,0,0,5,4,9,14,9,12,10,10,3,59,176,171,191,214,175,168,152,37,1291,514,971,1018,1032
5006,379,344,271,138,44,15,1672,108,225,270,274,222,123,21,3,1249,45,43,46,33,28,12,6,0,229,91,137,139,126,54,41,28,3,630,10,6,5,3,5,4,0,0,26,9,7,11,14,14,0,3,5,67,218,256,267,226,203,194,177,131,1671,931,1722,1836,1772,1348,883,423,204,9116,36,68,74,52,35,34,6,0,306,34,67,50,35,18,20,8,0,229,221,572,569,602,561,411,167,55,3171,73,232,187,164,178,131,51,12,1031,67,93,88,121,86,58,11,4,527,181,433,372,378,280,232,89,29,1988,61,265,326,409,340,183,68,17,1665,192,401,515,503,414,224,73,21,2354,139,287,358,348,286,169,30,9,1622,67,70,76,42,43,28,8,0,337,121,205,200,191,104,59,41,7,929,11,9,5,3,9,4,0,3,39,17,24,36,31,42,16,8,7,186,453,519,560,475,438,364,332,204,3342,1680,3235,3428,3355
5007,313,241,150,43,6,0,1188,85,216,172,118,118,40,12,0,753,13,44,36,12,10,4,0,0,132,102,177,113,87,38,12,4,0,538,10,0,0,0,0,0,0,0,13,8,12,18,10,15,4,0,0,66,180,281,233,213,213,165,47,56,1381,714,1650,1414,1097,830,368,110,61,6249,33,140,134,66,39,16,7,0,435,13,36,43,27,9,3,3,0,129,297,978,879,696,519,226,62,5,3672,48,132,98,85,87,53,18,0,516,18,48,42,42,22,19,0,0,183,106,281,218,219,194,80,26,0,1123,65,212,223,207,155,63,20,5,951,159,399,453,336,236,78,6,6,1671,109,280,236,156,155,50,16,0,1012,33,60,50,27,16,5,5,0,205,124,230,165,136,69,26,8,0,748,13,4,3,0,3,0,0,0,28,11,31,47,39,34,17,0,0,175,414,658,608,519,552,388,127,69,3323,1449,3490,3210,2562
5008,277,167,61,32,9,0,904,46,139,133,98,40,18,3,0,479,6,39,24,20,9,0,0,0,100,25,77,73,56,26,7,0,0,275,3,3,0,0,0,0,0,0,3,4,12,9,9,7,4,0,0,45,147,302,249,191,120,59,14,9,1092,410,1324,1217,794,407,183,38,9,4380,12,39,54,48,6,14,0,0,167,8,31,40,16,5,3,0,0,103,176,702,739,556,319,106,22,0,2620,26,157,143,86,75,27,4,0,526,9,23,45,33,18,8,0,0,139,46,213,185,102,93,37,15,0,681,36,189,213,162,73,41,6,0,724,91,372,437,286,138,58,8,0,1388,66,175,182,144,75,31,7,0,671,12,56,46,23,10,0,0,0,145,42,124,119,85,48,10,3,0,432,6,4,0,0,0,0,0,0,9,12,29,40,33,23,7,0,0,150,369,742,801,643,454,162,42,11,3210,903,2857,3038,2213
5009,31748,24769,16262,8973,3606,1122,121235,7472,18652,20091,16529,12593,7453,2326,486,85604,3679,6283,5516,3311,1959,1236,612,212,22806,5138,9832,7881,6096,3824,2491,983,238,36488,339,167,102,88,120,96,56,26,996,574,1427,1672,1315,920,611,251,98,6876,6212,9068,8058,6343,5186,5465,5797,4936,51055,47264,120824,122957,96992,71593,46378,22423,9892,538327,3809,8831,9154,7374,5434,3627,1500,330,40060,2726,7613,10310,5631,3016,1116,223,20,30658,10000,34937,36883,31266,28195,21485,10058,2804,175633,3797,12307,10892,8923,7549,5534,2787,861,52649,1255,3322,3842,3074,2233,1341,631,184,15881,8804,28867,25218,20214,16825,10949,5302,1690,117860,4217,14412,16498,16868,15157,11609,5141,1372,85266,14824,41881,51728,41392,28292,17121,7087,1879,204206,11537,26689,27737,23270,17774,11527,3999,843,123366,6633,10444,8865,5268,3235,2217,950,295,37908,7103,14525,12634,9366,6149,3784,1598,361,55517,672,320,187,161,184,154,87,34,1804,1147,2993,3472,2987,2135,1388,697,236,15056,13205,19117,17483,14094,11242,10521,10156,7633,103447,89723,226267,234906,189903
