SUA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
5000,41,5,8,5,7573,7630,359,22,9,13,8156,8565,6645,402,381,32,17848,25313,14296,1149,1530,57,10035,27061,16209,1575,3253,175,7370,28580,17219,1537,4446,513,4399,28106,14300,901,3543,935,1697,21374,5967,308,1067,910,424,8671,1098,37,120,596,88,1941,407,26,57,10,525,1020,76540,5960,14412,3236,58110,158262,52,6,0,3,6749,6813,400,35,10,6,6213,6671,5650,372,383,52,11556,18024,10128,873,1175,146,6199,18522,11209,1207,2670,384,4517,19987,14216,1102,3874,1026,2561,22782,12008,548,2738,2038,807,18138,4097,128,854,2399,200,7677,503,16,167,1681,54,2411,105,14,25,21,353,514,58367,4295,11894,7765,39204,121528,94,10,10,10,14326,14442,760,63,18,19,14367,15226,12295,780,761,89,29407,43334,24420,2024,2706,199,16230,45579,27423,2779,5921,560,11886,48566,31434,2637,8322,1542,6954,50894,26305,1448,6274,2974,2502,39509,10066,429,1921,3314,619,16351,1601,49,290,2278,142,4355,510,42,79,25,877,1532,134908,10260,26309,10997,97314,279792
5001,0,0,0,0,1148,1146,46,0,0,0,788,835,592,29,24,0,1291,1927,953,89,85,3,673,1811,1165,109,247,11,501,2034,1335,112,346,45,346,2178,1346,72,328,94,137,1981,848,29,113,123,45,1154,286,4,31,137,12,471,14,0,0,4,9,27,6582,443,1174,419,4946,13564,0,0,0,0,1045,1044,59,3,0,0,712,778,693,46,41,0,1062,1847,1065,133,169,17,619,2003,1279,142,368,45,484,2315,1388,117,532,125,325,2484,1279,83,387,297,119,2158,672,24,197,516,29,1437,154,11,47,425,8,642,3,3,0,0,5,19,6596,559,1737,1432,4405,14731,6,0,0,0,2187,2190,107,4,0,0,1504,1611,1284,68,69,3,2351,3782,2025,225,252,22,1295,3816,2444,251,612,54,983,4349,2721,225,879,171,672,4661,2622,156,714,389,259,4135,1518,49,311,643,72,2593,434,15,76,561,19,1112,17,0,3,3,13,47,13176,1001,2913,1852,9346,28296
5002,0,0,0,0,386,386,12,0,0,0,416,427,275,13,10,0,948,1247,675,42,62,3,535,1319,673,70,128,14,391,1277,789,40,196,31,242,1301,1057,42,148,39,78,1367,394,10,36,41,18,503,34,5,0,13,9,56,12,0,6,0,40,55,3911,221,596,147,3063,7936,0,0,0,0,438,438,12,0,0,0,489,502,377,25,28,5,1316,1747,737,62,74,14,666,1553,680,61,177,12,378,1306,920,87,251,70,200,1519,909,33,170,119,72,1307,236,7,45,75,16,378,10,4,0,37,0,56,12,0,0,0,54,74,3889,269,752,333,3633,8879,0,0,0,0,829,829,21,0,0,0,900,927,652,37,43,4,2263,2989,1408,104,137,20,1197,2875,1351,136,309,27,768,2589,1706,125,450,103,438,2819,1968,76,325,156,151,2670,631,10,87,117,39,882,43,3,6,52,9,111,19,0,6,3,100,123,7806,493,1345,479,6700,16818
5003,0,0,0,0,2342,2344,59,3,0,0,1885,1948,1266,87,64,6,2988,4403,2634,229,303,3,1537,4710,2729,270,548,26,1004,4583,2795,205,737,68,544,4346,2444,158,534,162,171,3465,1322,52,189,200,46,1804,342,8,30,171,19,569,11,3,8,0,22,44,13603,1013,2410,636,10554,28217,9,0,0,0,2357,2374,94,5,0,5,1774,1873,1788,160,126,18,2645,4733,2949,319,426,42,1352,5084,2943,336,775,101,906,5073,2782,247,1034,218,424,4702,2209,147,738,538,139,3778,999,39,251,814,51,2147,173,5,51,709,21,959,13,0,0,7,21,41,13960,1264,3412,2443,9696,30766,8,0,4,0,4701,4714,153,8,0,0,3660,3821,3052,241,186,16,5634,9139,5582,548,731,47,2889,9792,5675,608,1330,127,1914,9656,5571,451,1774,290,967,9050,4652,308,1271,696,321,7242,2324,91,437,1011,92,3957,517,18,78,879,37,1528,30,4,6,4,40,89,27563,2270,5821,3080,20254,58989
5004,5,0,0,0,1172,1172,5,0,0,0,724,727,512,18,25,0,1228,1794,1319,98,116,0,715,2238,1526,147,253,15,517,2461,1621,91,342,33,323,2412,1886,69,366,101,130,2556,1036,27,144,127,24,1367,234,4,33,129,3,396,12,0,0,0,14,31,8155,460,1280,412,4852,15162,0,0,0,0,1081,1081,20,3,0,0,641,665,753,48,46,4,1169,2015,1698,153,206,13,699,2766,1691,180,425,45,518,2861,1820,121,539,122,258,2855,1784,81,494,294,114,2770,771,24,176,456,45,1467,131,4,36,450,17,643,13,0,0,3,5,32,8692,609,1926,1376,4549,17155,7,0,0,5,2248,2257,26,6,0,0,1363,1392,1265,71,71,3,2394,3807,3011,251,322,16,1411,5011,3210,325,682,63,1040,5319,3440,213,877,151,585,5265,3677,143,862,396,248,5321,1809,48,325,587,70,2841,364,10,68,572,14,1039,29,0,4,3,28,63,16845,1072,3213,1787,9402,32316
5005,0,0,0,0,401,401,3,0,0,0,294,295,189,8,12,0,453,658,350,20,43,0,272,684,455,41,89,6,229,818,487,44,130,16,139,823,424,36,81,30,65,640,250,17,53,62,24,398,54,3,9,30,0,100,5,0,0,0,6,14,2218,162,415,150,1889,4839,0,0,0,0,337,337,10,0,0,0,270,283,258,12,20,0,404,696,398,46,64,6,227,746,437,44,97,16,179,779,495,34,141,53,87,805,413,27,85,105,31,663,177,17,48,193,7,439,34,0,9,116,3,170,0,0,0,0,0,6,2240,183,460,490,1540,4917,0,0,0,0,735,739,18,4,0,0,565,581,445,16,35,0,856,1355,757,66,99,10,502,1428,891,83,190,25,405,1596,982,77,275,69,231,1628,845,66,163,139,92,1304,433,32,96,251,30,840,91,3,22,148,10,271,7,3,0,0,9,23,4463,347,880,631,3434,9751
5006,0,0,0,0,1263,1274,23,4,0,0,954,980,616,22,38,3,1486,2161,1137,90,141,11,848,2230,1336,155,232,19,642,2383,1399,139,353,51,475,2423,1282,87,299,108,142,1911,679,34,112,149,42,1021,190,4,26,113,13,352,8,0,3,0,10,21,6677,533,1202,460,5881,14754,0,0,0,0,1189,1190,64,6,0,0,980,1044,837,65,43,5,1401,2357,1296,159,204,16,792,2464,1484,156,369,59,572,2651,1385,145,478,140,341,2492,1214,81,338,336,82,2045,515,23,124,411,32,1104,98,4,17,350,7,479,6,0,0,3,8,16,6895,637,1586,1323,5402,15838,0,0,4,0,2457,2460,83,4,0,0,1930,2027,1449,92,79,9,2889,4521,2433,248,346,28,1639,4697,2827,309,601,73,1217,5036,2788,285,833,186,823,4909,2496,163,633,443,222,3954,1192,53,239,564,73,2119,289,6,47,462,22,829,14,0,3,7,20,42,13572,1162,2789,1783,11292,30597
5007,8,0,0,0,840,852,31,4,0,0,1055,1091,658,45,47,0,1808,2570,1275,125,130,0,880,2419,1169,127,242,21,617,2166,1170,98,309,57,388,2024,610,76,186,57,140,1075,191,27,54,45,42,362,26,0,3,23,6,64,18,0,6,0,20,42,5162,513,979,208,5794,12662,0,0,0,0,749,747,37,14,4,5,858,912,803,59,53,8,1439,2362,1191,90,146,11,645,2093,1037,104,254,40,415,1848,952,84,260,86,201,1579,459,34,145,149,56,841,125,11,49,125,16,328,23,3,9,102,0,136,13,0,0,9,15,36,4651,392,920,531,4390,10888,7,0,0,0,1587,1599,65,19,3,4,1911,2003,1464,106,104,10,3248,4932,2472,212,275,21,1531,4508,2201,229,498,59,1032,4016,2123,186,569,147,586,3605,1069,110,330,210,195,1919,319,36,106,171,53,690,50,7,15,124,6,197,32,0,5,9,36,75,9815,905,1900,742,10185,23545
5008,0,0,0,0,506,506,11,0,0,0,532,540,510,23,19,0,1298,1854,1313,78,98,6,708,2198,1042,92,193,5,374,1711,789,63,188,12,137,1189,312,44,64,13,23,455,78,5,6,15,5,108,6,0,0,3,0,9,23,4,5,0,34,65,4082,312,575,55,3619,8646,4,0,0,0,404,406,14,0,0,0,415,437,658,36,38,0,959,1695,997,64,104,13,408,1585,686,69,139,19,218,1126,433,29,127,28,62,682,209,17,58,35,11,332,38,6,8,23,4,77,3,0,0,11,0,13,8,0,4,0,14,25,3048,225,462,122,2506,6368,5,0,0,0,909,913,26,0,0,0,948,978,1169,59,55,0,2263,3550,2312,138,201,14,1116,3787,1722,164,331,22,602,2837,1228,88,316,42,208,1873,521,60,115,51,37,785,113,8,12,38,7,181,3,0,0,10,0,22,35,4,5,0,43,94,7137,532,1038,182,6130,15017
5009,70,14,16,18,62360,62472,1270,81,43,30,63709,65134,40791,1944,1978,118,95837,140668,86795,5244,7493,214,43529,143273,80913,6380,13175,725,26127,127319,71916,4957,16070,1658,15314,109917,60637,3331,12826,3424,6319,86545,33466,1330,5170,4724,1990,46683,9182,270,975,4756,483,15668,1271,88,183,72,923,2529,386306,23643,57936,15743,316589,800206,72,21,10,21,59627,59739,2923,210,82,34,60758,64010,58905,3718,3525,197,85017,151361,95986,7372,11236,842,37439,152879,84095,7836,19604,2216,22038,135784,72285,5817,23477,5735,11736,119048,55595,3358,18751,13118,4941,95763,24742,1052,7808,18710,1686,53990,4808,176,1787,17536,626,24929,1051,63,180,387,744,2421,400459,29619,86447,58794,284605,859927,139,32,27,33,121980,122210,4190,294,130,59,124469,129144,99694,5664,5504,316,180847,292027,182779,12620,18728,1058,80964,296152,165008,14209,32781,2936,48167,263105,144206,10780,39546,7391,27043,228967,116233,6692,31575,16551,11261,182307,58205,2379,12976,23428,3681,100675,13988,446,2759,22292,1115,40595,2324,148,357,453,1665,4948,786767,53255,144384,74534,601194,1660133
