SUA_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
5000,1686,21,3,43,19,1770,832,10,0,16,7,867,824,11,0,16,8,864,1499,28,3,21,6,1554,1781,37,4,33,9,1862,4636,58,9,58,16,4780,4197,47,8,52,11,4317,4591,36,11,55,19,4711,2047,16,0,30,5,2105,1595,13,4,27,6,1653,1050,13,0,37,22,1128,1631,17,7,36,10,1703,26373,317,54,430,139,27313
5001,184,4,0,0,0,188,126,5,0,0,0,136,71,5,0,0,0,78,157,4,0,0,0,162,249,3,0,0,0,254,883,21,0,0,0,908,979,11,0,0,0,997,870,7,0,0,3,879,272,6,0,0,0,276,170,4,0,0,0,174,106,3,0,0,0,113,229,10,0,0,0,241,4313,72,3,3,8,4406
5002,35,3,0,3,0,41,8,0,0,0,0,10,4,0,0,0,0,3,18,3,0,7,0,32,29,3,3,0,0,44,96,14,4,3,0,113,157,16,0,5,0,178,287,19,0,13,0,315,195,6,0,0,0,205,212,0,0,5,0,215,104,4,0,0,0,105,70,6,0,3,0,80,1219,71,14,47,0,1350
5003,411,28,3,0,0,443,174,15,0,0,0,197,170,11,3,0,0,185,319,16,6,3,0,349,542,37,3,5,0,582,2004,108,9,0,0,2127,2691,61,3,3,3,2769,2513,44,8,0,4,2572,856,21,0,0,0,877,548,17,4,0,0,568,328,8,4,0,0,339,566,29,3,0,5,604,11134,403,54,10,15,11614
5004,231,14,0,0,0,245,103,11,0,0,0,117,72,7,0,0,0,86,151,8,0,0,0,169,211,12,0,0,0,227,670,38,3,4,0,710,1021,37,3,3,0,1068,1303,44,0,0,0,1351,505,11,3,0,0,522,378,13,0,0,0,395,242,6,0,0,0,255,267,16,0,0,0,291,5166,225,11,15,4,5424
5005,69,0,0,0,0,69,17,0,0,0,0,22,24,0,0,0,0,23,55,7,0,0,0,58,82,3,0,0,0,91,266,10,0,0,0,278,257,6,0,0,0,259,289,5,0,0,0,294,119,0,0,0,0,116,75,0,0,0,3,80,41,3,0,0,0,42,77,0,0,0,0,86,1380,36,0,8,9,1425
5006,177,11,0,0,0,195,106,0,0,0,0,109,83,6,0,0,0,88,231,10,6,3,4,253,314,15,0,0,0,338,909,39,3,8,0,954,949,28,3,3,0,991,990,29,0,0,0,1032,324,3,0,0,0,333,272,13,0,0,0,283,161,7,0,0,0,173,257,6,4,0,0,270,4787,187,20,21,9,5012
5007,102,10,0,0,0,114,42,0,0,0,0,48,61,7,0,0,0,71,158,19,0,0,0,177,228,27,0,0,0,257,756,78,0,0,0,838,837,42,0,0,0,879,851,46,0,4,0,893,298,7,0,0,0,306,232,9,0,0,0,241,117,4,0,0,0,122,218,11,0,4,0,221,3898,242,10,14,0,4162
5008,32,7,0,0,0,36,3,4,0,0,0,12,9,4,0,0,0,13,22,4,0,0,0,30,26,6,0,0,0,32,137,28,0,6,0,173,218,19,0,0,0,238,274,25,0,0,0,308,127,12,0,0,5,141,119,7,0,0,0,127,119,0,0,0,0,122,65,5,0,0,0,68,1159,126,9,8,5,1309
5009,11913,1355,481,9,12,13769,3931,461,173,3,0,4569,3529,451,220,0,0,4202,6238,935,400,12,3,7590,9133,1355,663,15,7,11169,33484,4936,2228,19,19,40685,49963,5869,2298,24,33,58180,71204,5877,1952,17,50,79101,32813,2341,785,12,21,35967,26336,1986,706,7,12,29046,20748,1281,503,9,17,22559,16033,1430,530,13,14,18016,285330,28274,10941,138,179,324856
5010,25,3,0,0,0,29,17,4,0,0,0,22,11,8,0,0,0,19,45,9,0,0,0,56,63,15,0,8,0,79,137,15,4,0,0,155,111,8,0,0,0,128,102,12,0,7,0,124,55,4,0,0,0,53,61,0,0,0,0,61,49,4,0,0,0,55,48,0,0,3,0,53,726,81,12,15,0,833
