SUA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
5000,184690,146160,330848,8115,7498,15606,18313,17133,35444,7635,6820,14459,8728,6764,15493,25676,18253,43929,27268,18575,45840,28721,20019,48735,28195,22826,51021,21411,18167,39579,8683,7691,16368,1944,2419,4366,1041,526,1564,135631,132870,268504,49064,13281,62342,13981,13027,27005,182,144,325,214,170,389,14376,13341,27720,119923,101852,221772,31565,26400,57974,134812,116029,250843,14169,12726,26893,137918,119364,257279,1731,1701,3437,15886,14852,30744,4210,4045,8250,772,919,1697,2269,4283,6547,56057,54057,110119,16368,13523,29891,39617,28216,67837,8092,5600,13684,4954,3349,8305,824,517,1334
5001,16665,17689,34351,887,845,1733,2213,2114,4326,1146,1046,2190,845,779,1621,1936,1853,3791,1817,2006,3822,2034,2318,4350,2180,2490,4668,1986,2158,4141,1162,1437,2598,471,644,1110,31,19,47,15729,17101,32824,936,593,1522,751,624,1375,7,8,15,16,7,18,776,637,1416,12714,13225,25941,3089,3669,6760,14458,15671,30132,1053,1209,2257,14575,15852,30427,239,213,450,2065,1977,4045,762,747,1508,121,153,274,291,691,984,5522,7043,12562,1564,1760,3323,4096,3707,7802,854,763,1612,568,481,1042,76,73,149
5002,9897,10724,20620,608,582,1193,1345,1263,2614,386,438,829,432,515,947,1276,1778,3059,1324,1559,2885,1285,1309,2594,1297,1526,2824,1374,1314,2687,503,375,882,56,56,111,56,74,128,8440,9003,17442,1459,1723,3185,1592,1669,3263,16,23,39,83,93,178,1694,1793,3488,6928,7226,14158,1489,1856,3348,7533,7997,15529,763,1020,1783,7856,8352,16206,130,102,236,1112,1057,2167,200,256,456,52,115,174,178,439,614,3513,4524,8035,762,880,1643,1742,1537,3279,359,258,622,200,135,336,37,26,63
5003,36060,38077,74137,2340,2195,4533,5500,5117,10610,2351,2373,4723,1948,1875,3824,4419,4746,9164,4714,5091,9802,4591,5072,9668,4347,4711,9065,3476,3784,7257,1808,2153,3962,569,959,1528,43,49,92,34874,37418,72287,1185,661,1842,1260,1329,2583,14,15,27,32,33,70,1302,1376,2676,27225,28492,55717,7210,7936,15148,30887,32943,63823,2951,3456,6402,31262,33433,64691,674,595,1271,5176,4821,9994,1592,1673,3264,311,440,750,618,1496,2117,11598,14542,26142,3570,3792,7362,8604,8176,16785,1765,1588,3358,851,877,1732,124,95,219
5004,19088,20949,40044,1053,1057,2109,2874,2745,5614,1172,1084,2256,729,665,1395,1802,2030,3833,2242,2769,5015,2469,2863,5330,2413,2860,5276,2556,2773,5322,1374,1468,2845,396,643,1036,40,38,74,18343,20084,38426,749,871,1615,405,382,784,3,12,14,9,3,16,420,391,813,14394,15469,29871,3593,4269,7861,17012,18583,35594,959,1190,2150,16921,18429,35357,285,289,567,2703,2555,5257,814,775,1584,127,169,296,282,790,1071,7142,8830,15968,1754,1860,3611,3881,4098,7988,819,719,1536,433,435,870,69,45,107
5005,6039,6043,12083,344,322,666,859,805,1664,401,337,739,301,283,583,662,699,1362,692,746,1429,817,780,1599,822,812,1630,641,663,1302,400,439,838,100,170,271,14,6,23,5709,5829,11530,335,221,555,283,273,556,9,4,9,0,0,6,296,279,577,4591,4484,9071,724,897,1624,5097,5134,10228,245,308,555,5042,5072,10112,74,92,164,740,699,1442,227,219,448,33,66,102,67,185,252,1705,2159,3868,594,663,1260,1386,1106,2492,307,279,592,178,153,335,10,14,25
5006,18679,19644,38325,1156,1158,2315,2775,2648,5419,1275,1190,2458,983,1046,2025,2167,2360,4530,2234,2462,4704,2385,2652,5037,2426,2490,4916,1907,2051,3962,1018,1104,2128,357,480,833,27,19,47,17871,19099,36967,808,547,1355,1815,1924,3733,10,10,26,37,18,54,1863,1955,3814,14457,14949,29409,2591,3037,5630,15480,16284,31763,1349,1607,2956,15963,16918,32878,273,281,556,2483,2350,4837,741,778,1523,141,225,359,339,831,1169,5359,6901,12255,1932,2108,4038,4317,3876,8203,956,855,1815,643,529,1174,94,99,198
5007,15978,13964,29946,1141,1053,2198,2182,2021,4205,853,750,1600,1098,918,2015,2583,2367,4949,2425,2089,4519,2171,1852,4022,2033,1582,3617,1082,855,1934,362,328,690,66,136,199,47,40,85,14716,13445,28161,1261,520,1779,1163,1008,2172,30,21,44,38,30,69,1234,1055,2280,10456,9173,19631,3661,3463,7122,11862,10599,22467,1899,1854,3753,11640,10495,22140,270,285,555,1921,1804,3722,486,441,924,174,151,322,397,628,1019,4945,5226,10165,1512,1220,2733,3377,2375,5751,648,470,1113,301,266,565,67,43,113
5008,10965,8520,19488,789,683,1472,1529,1467,2998,506,406,913,547,436,986,1876,1697,3576,2213,1587,3799,1721,1127,2847,1207,681,1889,458,339,797,113,77,187,9,13,22,75,27,99,8906,8174,17078,2059,342,2404,658,662,1322,36,31,65,57,44,102,751,736,1484,6514,5421,11936,2113,1805,3918,7463,6083,13547,1120,1083,2204,7648,6266,13920,207,185,388,1281,1221,2498,301,261,563,55,68,116,215,379,596,3534,3400,6932,956,618,1579,1657,1013,2668,310,186,495,102,90,188,24,12,39
5009,1004978,1053827,2058802,66222,62571,128796,138546,131325,269879,62538,59808,122343,65341,64199,129538,141247,151848,293094,143672,153127,296804,127696,136051,263742,110322,119568,229888,86890,96213,183104,46802,54135,100938,15696,24977,40673,2715,2603,5323,983076,1032431,2015508,21905,21397,43304,19696,20084,39784,505,430,938,502,507,1011,20702,21028,41729,605761,622265,1228025,356093,388980,745077,749602,775117,1524711,206427,231600,438030,839008,876865,1715872,19139,17789,36923,131310,124508,255819,48058,48304,96362,25547,28443,53991,32313,52668,84981,472000,525290,997286,74907,75173,150083,150579,151195,301767,33593,32628,66221,19758,23583,43345,5503,6966,12473
