SUA_CODE_2021,Uses_Eng_on_M,Uses_Eng_on_F,Uses_Eng_on_P,Uses_othr_lang_Afrikaans_M,Uses_othr_lang_Afrikaans_F,Uses_othr_lang_Afrikaans_P,Uses_othr_lang_Arabic_M,Uses_othr_lang_Arabic_F,Uses_othr_lang_Arabic_P,Uses_othr_lang_Aus_Ind_lang_M,Uses_othr_lang_Aus_Ind_lang_F,Uses_othr_lang_Aus_Ind_lang_P,Uses_othr_lan_Chin_lan_Cant_M,Uses_othr_lan_Chin_lan_Cant_F,Uses_othr_lan_Chin_lan_Cant_P,Uses_othr_lan_Chin_lan_Mand_M,Uses_othr_lan_Chin_lan_Mand_F,Uses_othr_lan_Chin_lan_Mand_P,Uses_othr_lan_Chin_lan_othr_M,Uses_othr_lan_Chin_lan_othr_F,Uses_othr_lan_Chin_lan_othr_P,Uses_othr_lan_Chin_lan_Tot_M,Uses_othr_lan_Chin_lan_Tot_F,Uses_othr_lan_Chin_lan_Tot_P,Uses_othr_lang_Croatian_M,Uses_othr_lang_Croatian_F,Uses_othr_lang_Croatian_P,Uses_othr_lang_French_M,Uses_othr_lang_French_F,Uses_othr_lang_French_P,Uses_othr_lang_German_M,Uses_othr_lang_German_F,Uses_othr_lang_German_P,Uses_othr_lang_Greek_M,Uses_othr_lang_Greek_F,Uses_othr_lang_Greek_P,Us_oth_lan_Indo_Ary_lan_Ben_M,Us_oth_lan_Indo_Ary_lan_Ben_F,Us_oth_lan_Indo_Ary_lan_Ben_P,Us_oth_lan_Indo_Ary_lan_Guj_M,Us_oth_lan_Indo_Ary_lan_Guj_F,Us_oth_lan_Indo_Ary_lan_Guj_P,Us_oth_lan_Indo_Ary_lan_Hin_M,Us_oth_lan_Indo_Ary_lan_Hin_F,Us_oth_lan_Indo_Ary_lan_Hin_P,Us_oth_lan_Indo_Ary_lan_Nep_M,Us_oth_lan_Indo_Ary_lan_Nep_F,Us_oth_lan_Indo_Ary_lan_Nep_P,Us_oth_lan_Ind_Ary_lan_Punj_M,Us_oth_lan_Ind_Ary_lan_Punj_F,Us_oth_lan_Ind_Ary_lan_Punj_P,Us_oth_lan_Ind_Ary_lan_Sinh_M,Us_oth_lan_Ind_Ary_lan_Sinh_F,Us_oth_lan_Ind_Ary_lan_Sinh_P,Us_oth_lan_Indo_Ary_lan_Urd_M,Us_oth_lan_Indo_Ary_lan_Urd_F,Us_oth_lan_Indo_Ary_lan_Urd_P,Us_oth_lan_Indo_Ary_lan_oth_M,Us_oth_lan_Indo_Ary_lan_oth_F,Us_oth_lan_Indo_Ary_lan_oth_P,Us_oth_lan_Indo_Ary_lan_Tot_M,Us_oth_lan_Indo_Ary_lan_Tot_F,Us_oth_lan_Indo_Ary_lan_Tot_P,Uses_othr_lang_Italian_M,Uses_othr_lang_Italian_F,Uses_othr_lang_Italian_P,Uses_othr_lang_Japanese_M,Uses_othr_lang_Japanese_F,Uses_othr_lang_Japanese_P,Uses_othr_lang_Khmer_M,Uses_othr_lang_Khmer_F,Uses_othr_lang_Khmer_P,Uses_othr_lang_Korean_M,Uses_othr_lang_Korean_F,Uses_othr_lang_Korean_P,Uses_othr_lang_Macedonian_M,Uses_othr_lang_Macedonian_F,Uses_othr_lang_Macedonian_P,Uses_othr_lang_Malayalam_M,Uses_othr_lang_Malayalam_F,Uses_othr_lang_Malayalam_P,Us_oth_lan_Persian_ex_Dari_M,Us_oth_lan_Persian_ex_Dari_F,Us_oth_lan_Persian_ex_Dari_P,Uses_othr_lang_Polish_M,Uses_othr_lang_Polish_F,Uses_othr_lang_Polish_P,Uses_othr_lang_Portugese_M,Uses_othr_lang_Portugese_F,Uses_othr_lang_Portugese_P,Uses_othr_lang_Russian_M,Uses_othr_lang_Russian_F,Uses_othr_lang_Russian_P,Uses_othr_lang_Samoan_M,Uses_othr_lang_Samoan_F,Uses_othr_lang_Samoan_P,Uses_othr_lang_Serbian_M,Uses_othr_lang_Serbian_F,Uses_othr_lang_Serbian_P,Us_oth_la_SE_As_Au_la_Fili_M,Us_oth_la_SE_As_Au_la_Fili_F,Us_oth_la_SE_As_Au_la_Fili_P,Us_oth_la_SE_As_Au_la_Indo_M,Us_oth_la_SE_As_Au_la_Indo_F,Us_oth_la_SE_As_Au_la_Indo_P,Us_oth_la_SE_As_Au_la_Tag_M,Us_oth_la_SE_As_Au_la_Tag_F,Us_oth_la_SE_As_Au_la_Tag_P,Us_oth_la_SE_As_Au_la_oth_M,Us_oth_la_SE_As_Au_la_oth_F,Us_oth_la_SE_As_Au_la_oth_P,Us_oth_la_SE_As_Au_la_Tot_M,Us_oth_la_SE_As_Au_la_Tot_F,Us_oth_la_SE_As_Au_la_Tot_P,Uses_othr_lang_Spanish_M,Uses_othr_lang_Spanish_F,Uses_othr_lang_Spanish_P,Uses_othr_lang_Tamil_M,Uses_othr_lang_Tamil_F,Uses_othr_lang_Tamil_P,Uses_othr_lang_Thai_M,Uses_othr_lang_Thai_F,Uses_othr_lang_Thai_P,Uses_othr_lang_Turkish_M,Uses_othr_lang_Turkish_F,Uses_othr_lang_Turkish_P,Uses_othr_lang_Vietnamese_M,Uses_othr_lang_Vietnamese_F,Uses_othr_lang_Vietnamese_P,Uses_othr_lang_Other_M,Uses_othr_lang_Other_F,Uses_othr_lang_Other_P,Uses_othr_lang_Tot_M,Uses_othr_lang_Tot_F,Uses_othr_lang_Tot_P,Lang_used_home_ns_M,Lang_used_home_ns_F,Lang_used_home_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
5000,134812,116029,250843,643,501,1142,142,69,217,4016,4238,8256,126,110,234,557,528,1079,25,17,45,709,654,1364,110,70,181,380,363,746,512,611,1121,98,70,179,48,16,65,54,28,76,95,53,147,44,24,72,132,56,195,88,41,131,72,31,105,34,6,44,570,263,835,704,620,1326,83,120,205,40,34,70,93,83,175,100,62,160,130,116,244,75,28,106,127,132,263,155,143,301,67,50,121,43,13,52,75,40,112,601,494,1094,225,190,416,707,530,1241,361,324,680,1892,1538,3432,357,343,697,81,46,124,149,400,554,15,7,19,290,294,584,6398,5907,12304,14169,12726,26893,34673,16879,51548,1041,526,1564,184690,146160,330848
5001,14458,15671,30132,86,112,197,5,0,9,12,16,28,22,26,48,36,58,100,4,8,9,58,96,154,0,5,4,37,28,66,43,65,116,12,5,20,0,0,4,0,0,9,12,12,20,5,8,15,19,14,29,12,7,14,0,0,3,0,7,6,52,39,90,84,82,162,4,13,21,0,0,0,0,9,13,4,0,8,19,19,36,0,5,6,18,19,41,3,0,7,4,11,14,0,0,3,0,0,0,94,120,214,25,40,59,97,129,219,41,50,96,252,337,590,18,14,33,13,9,20,8,38,54,7,0,6,21,20,41,296,270,565,1053,1209,2257,1124,788,1910,31,19,47,16665,17689,34351
5002,7533,7997,15529,22,22,37,8,6,7,165,218,383,13,31,43,35,69,104,0,0,5,50,96,150,7,7,7,49,47,95,31,62,96,10,11,20,5,3,5,6,0,6,7,5,16,0,0,4,4,0,9,11,8,20,9,9,18,0,0,0,46,33,79,60,64,122,12,25,32,0,0,0,4,4,8,4,3,7,5,0,5,0,3,3,8,14,20,7,14,17,5,0,6,0,0,0,3,0,0,36,50,83,4,9,16,45,45,90,7,9,16,86,113,202,53,80,133,8,5,14,18,56,76,6,4,10,10,19,25,264,307,571,763,1020,1783,1554,1633,3181,56,74,128,9897,10724,20620
5003,30887,32943,63823,324,340,663,84,80,163,42,64,106,46,55,101,206,309,511,4,12,20,257,373,634,7,12,26,52,65,112,47,63,113,24,52,76,21,27,46,45,33,76,53,50,107,34,32,63,95,81,173,31,28,56,59,45,103,14,8,25,345,306,650,223,249,466,27,42,75,19,6,27,74,60,131,8,5,8,120,119,235,24,23,46,46,61,110,37,33,69,40,58,98,5,3,10,6,10,17,159,186,346,43,68,121,177,256,431,92,117,211,478,632,1109,81,78,159,27,29,55,24,102,131,3,6,6,50,88,140,514,558,1068,2951,3456,6402,2178,1639,3814,43,49,92,36060,38077,74137
5004,17012,18583,35594,84,98,182,10,6,21,22,20,45,19,20,40,34,65,95,0,6,4,55,87,138,9,4,14,60,71,128,94,146,241,8,8,19,0,0,6,10,6,12,13,7,22,7,11,22,43,34,75,21,13,31,4,3,10,3,5,6,101,78,182,73,75,140,22,37,56,0,0,0,20,21,42,3,5,12,0,0,0,4,3,10,16,10,26,34,34,67,3,12,15,0,0,0,0,4,5,13,21,28,19,36,54,30,35,64,10,13,16,65,103,167,34,33,65,12,9,18,13,66,82,0,0,0,30,41,69,212,236,455,959,1190,2150,1069,1150,2224,40,38,74,19088,20949,40044
5005,5097,5134,10228,45,41,85,3,0,4,15,14,32,10,13,13,8,14,22,0,3,4,11,27,45,0,0,0,5,8,16,16,26,40,4,0,9,4,0,3,3,0,4,5,6,6,3,0,3,0,0,5,15,7,26,0,0,0,0,0,0,33,22,54,4,3,11,0,0,0,0,6,6,0,0,0,0,0,0,0,0,4,4,0,3,0,0,3,0,5,9,0,4,3,0,0,5,0,0,0,16,31,43,7,10,9,6,11,11,0,0,0,23,45,70,8,10,19,3,0,4,5,26,30,0,0,0,7,7,19,52,52,108,245,308,555,690,588,1278,14,6,23,6039,6043,12083
5006,15480,16284,31763,141,134,278,19,20,39,69,88,159,19,12,34,52,80,130,5,5,9,70,100,169,0,3,7,35,45,77,43,58,96,14,10,20,9,8,14,14,9,21,19,21,39,16,10,30,20,15,39,15,8,19,27,25,55,0,0,0,115,99,208,73,86,160,5,6,16,6,0,7,6,0,5,9,4,10,65,65,128,4,0,11,0,11,16,11,12,31,4,8,16,0,3,6,0,0,0,61,91,145,36,50,85,88,111,198,137,184,322,318,436,756,22,19,41,16,7,19,27,89,110,0,0,0,63,85,150,257,297,554,1349,1607,2956,1819,1742,3562,27,19,47,18679,19644,38325
5007,11862,10599,22467,152,143,299,34,13,47,73,88,159,13,12,19,128,81,207,4,0,8,141,92,234,10,14,28,29,23,52,21,31,52,8,4,17,13,8,19,30,25,56,67,60,120,14,12,18,51,47,105,19,19,34,42,24,62,17,21,33,252,217,463,25,30,59,7,4,8,0,7,7,17,15,34,0,0,0,40,25,63,30,17,52,9,4,12,28,33,62,19,15,30,34,33,66,6,7,10,140,137,283,26,36,60,156,166,325,30,40,68,353,389,739,56,43,107,25,16,44,32,115,146,5,4,13,25,36,61,506,494,1007,1899,1854,3753,2170,1467,3635,47,40,85,15978,13964,29946
5008,7463,6083,13547,45,48,100,18,11,30,65,72,135,10,19,28,53,64,122,8,3,11,78,87,160,6,4,12,28,26,54,15,15,35,12,10,20,10,6,22,17,12,33,54,34,90,19,24,48,31,28,62,19,14,36,29,18,50,17,12,21,200,155,355,30,10,40,8,11,19,9,7,11,5,3,11,13,10,22,16,17,32,4,0,5,6,9,13,23,16,32,11,4,11,8,3,10,6,8,18,69,76,145,22,23,44,116,106,224,11,18,32,224,220,441,28,31,64,16,9,24,38,93,128,0,4,3,22,17,38,250,241,494,1120,1083,2204,2306,1329,3634,75,27,99,10965,8520,19488
5009,749602,775117,1524711,5563,6076,11637,7888,7535,15426,898,1066,1962,8750,10349,19096,22298,27004,49300,1693,2062,3750,32738,39412,72151,2230,2610,4837,3948,4430,8368,3143,3836,6984,1999,2167,4166,1847,1792,3641,4968,4764,9724,5855,5411,11258,2426,2327,4759,10578,9317,19894,2972,2965,5941,4632,3365,7996,1293,1299,2593,34564,31240,65804,10717,12222,22936,2314,3347,5667,636,880,1514,3068,3467,6533,2779,2916,5689,4516,4416,8931,3681,3644,7326,2247,2945,5195,3469,4137,7605,1349,2160,3506,419,361,782,2648,2773,5419,4392,5582,9973,4867,6621,11490,6232,8050,14286,3344,4417,7764,18833,24666,43504,5338,6288,11624,4220,4166,8388,1836,4532,6371,991,941,1929,9849,11731,21580,35298,38550,73842,206427,231600,438030,46238,44508,90740,2715,2603,5323,1004978,1053827,2058802
5010,6656,5338,11994,57,46,96,26,5,30,110,128,242,14,13,24,44,42,87,0,3,3,54,60,117,8,10,13,35,15,42,18,19,41,11,8,15,7,0,3,46,43,84,32,18,48,3,0,3,16,15,31,22,16,39,5,8,12,5,5,12,138,96,238,16,11,31,0,0,3,0,0,0,10,14,20,8,9,13,12,9,22,11,8,14,5,5,6,14,9,24,5,4,11,8,0,8,6,3,13,74,77,149,38,50,88,117,115,230,136,151,286,369,386,754,25,19,45,9,12,20,31,64,94,7,8,12,18,29,48,331,271,601,1227,1127,2357,2524,1324,3850,34,21,54,10442,7818,18260
