SUA_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Tot_M,Tot_F,Tot_P
5000,5027,2822,2246,5058,2865,2247,5107,2917,2326,5245,2958,2397,5357,14409,11385,25793,2943,2340,5288,2773,2271,5043,2746,2382,5131,2603,2213,4814,2627,2193,4823,13698,11400,25101,2601,2273,4870,2412,2110,4516,2305,2001,4310,2230,2012,4241,2165,1851,4010,11709,10241,21948,2149,1761,3909,2042,1652,3695,1927,1544,3469,1776,1465,3243,1760,1485,3241,9658,7899,17558,1316,1193,2510,1249,1065,2317,1152,992,2145,945,814,1761,944,807,1755,5605,4867,10474,3065,2808,5876,1330,1522,2855,500,663,1167,102,207,304,6,28,32,1041,526,1564,184690,146160,330848
5001,429,217,218,436,208,211,424,222,270,494,209,274,486,1065,1209,2270,232,301,528,203,256,461,235,259,491,215,235,448,235,223,460,1114,1277,2392,204,221,423,201,221,429,202,211,411,210,230,440,187,247,434,997,1131,2131,221,205,425,208,225,434,192,196,379,169,203,368,197,200,395,980,1028,2004,130,155,292,135,167,302,134,152,291,131,174,307,135,159,291,667,814,1478,489,626,1111,299,382,688,133,191,325,27,53,83,5,14,14,31,19,47,16665,17689,34351
5002,251,130,134,260,114,158,270,125,142,271,121,133,261,617,696,1311,146,154,306,139,164,300,119,170,289,122,159,284,156,178,328,680,830,1505,164,168,329,141,150,293,138,151,291,125,150,280,165,153,323,738,774,1512,131,129,264,139,98,239,127,106,228,103,93,195,121,105,229,626,532,1158,69,81,150,93,57,144,74,57,129,54,41,98,55,46,106,348,279,627,161,103,258,47,37,89,3,13,17,5,0,4,0,0,0,56,74,128,9897,10724,20620
5003,887,453,458,913,446,483,931,409,460,863,449,507,956,2194,2357,4551,470,522,992,433,455,884,418,459,875,415,516,935,418,394,813,2149,2349,4494,445,417,859,320,421,741,372,381,754,343,376,720,331,365,697,1813,1956,3772,350,400,744,304,379,689,338,342,678,324,340,665,342,357,698,1656,1821,3473,251,300,551,247,268,514,220,261,484,185,219,401,199,216,418,1114,1258,2366,692,889,1586,378,555,932,142,312,456,40,83,134,4,10,9,43,49,92,36060,38077,74137
5004,520,232,257,484,219,268,483,249,295,543,217,303,522,1182,1369,2554,243,323,565,220,283,509,250,271,524,236,314,550,268,288,558,1230,1484,2711,234,308,542,273,293,565,262,286,547,262,305,564,244,261,506,1274,1451,2728,253,268,520,246,269,514,241,262,507,250,231,479,289,283,574,1281,1318,2594,196,178,377,176,196,373,171,173,346,138,169,301,138,171,304,813,891,1701,556,581,1132,249,388,640,121,192,316,27,48,75,0,8,7,40,38,74,19088,20949,40044
5005,176,89,72,164,76,78,149,97,97,185,87,91,173,415,434,852,84,83,163,87,72,159,64,78,145,87,76,158,76,66,146,405,374,777,63,69,131,55,81,135,58,71,129,61,57,119,64,80,142,302,355,657,78,67,144,51,39,95,73,72,145,67,69,136,74,65,135,334,309,647,59,46,108,52,77,123,44,55,98,34,57,95,45,38,89,239,271,513,160,164,325,68,110,172,29,45,73,4,13,14,0,3,3,14,6,23,6039,6043,12083
5006,480,234,242,476,235,269,505,255,275,530,238,243,482,1199,1270,2470,249,241,494,261,240,500,259,249,505,238,246,486,211,242,455,1218,1218,2436,214,227,441,225,214,443,194,223,417,157,234,395,195,232,424,986,1133,2115,193,185,378,189,185,373,165,182,348,190,168,358,190,193,384,923,915,1838,126,145,270,141,131,280,125,131,253,105,118,217,111,109,219,615,627,1240,404,472,877,247,309,554,89,139,224,17,27,47,0,4,3,27,19,47,18679,19644,38325
5007,386,199,179,380,223,199,420,256,154,405,201,153,357,1090,858,1950,234,160,392,199,154,356,175,135,305,159,154,311,166,121,289,934,719,1657,151,123,276,129,105,236,122,94,220,119,92,204,115,88,204,632,504,1134,80,76,155,92,62,152,99,72,169,103,79,187,63,60,120,436,341,779,52,38,92,58,37,94,48,37,92,36,31,64,41,51,90,239,192,422,125,135,261,45,90,135,10,35,44,3,10,17,0,0,0,47,40,85,15978,13964,29946
5008,216,122,63,186,146,68,213,136,76,213,137,63,199,675,344,1023,116,82,197,101,64,168,106,91,196,95,49,145,88,53,147,515,336,851,81,44,122,60,50,105,58,35,96,57,28,80,44,33,79,293,193,484,27,38,62,40,36,71,25,20,51,29,28,55,41,21,59,162,143,302,24,14,36,18,5,29,14,14,26,16,7,26,4,10,14,77,49,126,28,28,51,9,6,15,0,0,0,0,0,0,0,0,0,75,27,99,10965,8520,19488
5009,23945,11485,12380,23863,11730,12509,24234,11746,12488,24231,11349,12139,23488,57873,61890,119755,11137,12021,23152,10732,11827,22558,10349,11455,21802,10099,11049,21145,9739,10811,20549,52045,57158,109202,9961,10827,20788,9317,10561,19877,8921,10214,19137,8891,9881,18769,8642,9586,18232,45728,51072,96797,8532,9259,17787,8190,9023,17213,7867,8925,16791,7948,8534,16480,8283,8948,17239,40817,44692,85512,6428,6921,13350,5992,6548,12540,5785,6372,12152,4939,5632,10575,4977,5538,10514,28121,31008,59127,18563,22982,41543,10214,14576,24790,4347,7691,12043,1018,2311,3330,85,349,438,2715,2603,5323,1004978,1053827,2058802
