SUA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
5000,1089,1386,2480,18776,18793,37571,0,0,0,2354,2277,4626,226,218,443,24422,22444,46866,571,587,1158,484,343,832,621,756,1376,231,217,450,596,631,1217,43,21,63,1159,1198,2362,851,859,1712,2100,1788,3893,188,241,428,633,714,1344,3521,3896,7415,4630,4584,9215,137,148,279,61540,59717,121256,520,273,793,970,601,1577,97,91,184,461,428,894,122,64,182,409,585,994,995,1080,2069,78588,61624,140211,488,267,758,231,319,545,79310,62208,141516,39142,20275,59417,1041,526,1564,184690,146160,330848
5001,93,179,275,1708,2298,4008,0,0,0,526,546,1080,49,49,98,1679,2009,3690,80,92,179,35,35,70,62,109,174,28,34,64,38,67,105,4,0,4,93,122,210,128,156,284,368,446,814,30,47,74,77,80,159,356,528,887,737,903,1638,16,12,31,6027,7542,13567,59,53,111,50,50,98,6,8,15,0,0,0,15,15,27,57,105,166,76,122,199,8725,8481,17207,64,38,102,25,54,84,8815,8577,17392,1506,1139,2645,31,19,47,16665,17689,34351
5002,58,143,209,921,1012,1935,0,0,0,78,93,168,0,0,3,1843,2271,4111,3,7,18,22,29,49,37,41,78,9,9,18,11,26,39,4,0,4,27,40,67,45,60,102,110,119,228,5,17,25,16,16,39,160,236,398,118,168,288,5,4,13,3429,4145,7571,38,24,57,50,34,87,9,8,12,10,15,26,5,10,12,21,26,42,31,48,87,4470,4416,8885,23,19,45,4,20,25,4497,4456,8958,1731,1785,3519,56,74,128,9897,10724,20620
5003,227,387,615,3856,5121,8975,0,0,0,758,794,1551,0,0,0,5848,6954,12803,67,115,184,113,137,254,205,314,524,158,187,349,80,105,183,17,17,30,137,171,311,253,306,559,391,458,851,47,86,134,96,112,205,531,784,1312,1163,1342,2505,54,61,120,13793,17060,30848,244,213,453,322,312,632,10,22,32,3,4,8,87,68,155,107,170,277,195,241,436,18178,17428,35606,115,76,189,56,77,135,18355,17581,35935,2870,2211,5084,43,49,92,36060,38077,74137
5004,136,247,383,2537,3289,5822,0,0,0,245,292,536,0,0,0,2658,3260,5910,94,109,206,39,44,84,135,186,321,21,27,57,41,58,92,0,0,0,59,82,145,99,114,218,193,242,435,12,27,39,65,67,128,398,611,1007,495,594,1085,17,16,30,7098,9016,16114,68,66,133,110,87,202,17,7,19,0,4,8,43,29,73,34,50,87,80,89,165,9984,9800,19777,59,36,90,20,52,76,10061,9886,19944,1480,1527,3009,40,38,74,19088,20949,40044
5005,34,63,92,600,680,1279,0,0,0,86,91,183,0,0,0,641,741,1385,16,35,49,8,8,17,44,69,117,0,8,7,51,77,127,0,6,4,33,38,72,38,40,76,68,89,161,3,7,15,27,30,60,140,195,333,281,294,575,9,8,19,2065,2399,4470,6,9,18,10,10,19,0,3,5,3,3,10,0,0,5,11,9,26,17,18,39,3067,2826,5892,16,12,27,7,8,17,3088,2850,5935,804,691,1492,14,6,23,6039,6043,12083
5006,120,231,346,2069,2532,4606,0,0,0,184,197,381,0,0,3,3860,4646,8507,25,32,57,36,25,60,101,151,250,19,26,39,50,98,148,3,0,4,69,93,161,250,312,565,159,152,311,24,44,70,90,95,184,328,456,783,456,561,1020,7,11,20,7749,9433,17177,92,76,167,275,299,576,5,10,13,0,4,7,17,14,24,53,65,115,68,85,146,8245,7542,15789,38,36,72,18,33,55,8305,7615,15915,2045,1879,3930,27,19,47,18679,19644,38325
5007,122,202,326,1042,1005,2039,0,0,0,251,278,528,5,6,14,2711,2615,5326,62,95,159,45,43,84,56,65,117,106,132,240,61,57,114,9,7,13,118,113,231,133,139,266,163,171,331,17,31,50,60,69,132,195,230,426,557,667,1227,24,31,51,5607,5737,11349,207,179,381,165,110,275,3,5,12,0,5,4,44,42,89,31,47,78,78,93,168,7241,5871,13106,35,30,62,16,28,40,7289,5924,13213,2466,1673,4138,47,40,85,15978,13964,29946
5008,128,182,313,684,573,1261,0,0,0,143,148,292,0,0,0,1599,1445,3050,13,10,30,40,38,81,27,24,53,28,25,55,30,16,48,4,0,4,39,34,76,42,34,75,68,55,125,7,11,18,21,29,46,115,127,240,198,219,414,13,13,26,3086,2812,5896,175,134,311,134,94,235,9,7,13,3,0,6,21,20,43,21,19,39,44,41,86,4838,3807,8649,24,17,41,6,12,17,4873,3833,8711,2439,1386,3828,75,27,99,10965,8520,19488
5009,22108,30343,52455,89338,112809,202146,20,16,38,15433,17754,33189,644,626,1272,188075,215875,403956,2269,2914,5185,11217,12244,23465,3475,4572,8054,2139,2479,4618,1867,2441,4310,1609,1591,3202,5751,6776,12527,10703,12821,23521,12887,14680,27565,887,1311,2198,2084,2598,4687,12453,17691,30145,32694,38873,71567,1128,1320,2449,394689,469396,864088,25353,24032,49381,32124,30423,62548,2581,2777,5362,66,59,126,9445,8491,17938,3691,5110,8798,13203,13657,26861,443851,417281,861130,3415,2567,5978,1388,2344,3735,448649,422191,870841,63552,58400,121948,2715,2603,5323,1004978,1053827,2058802
