SUA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
5000,20,80,227,556,1314,3006,4016,2033,498,11758,1583,998,1387,1562,1403,1439,1229,499,102,10212,15,39,60,124,350,1045,1788,1135,251,4807,0,4,4,9,13,45,115,266,180,645,48,118,216,508,1249,2236,2738,1417,261,8790,43,44,73,181,698,1840,2954,1809,476,8125,26,21,36,69,158,263,371,316,97,1360,36,17,39,59,222,672,1161,707,139,3061,484,890,1225,1515,1714,1806,1296,446,101,9473,8,3,11,37,113,263,525,413,116,1486,982,570,615,955,1376,1975,1815,765,231,9277,19852,10670,14723,15058,14954,12873,7692,2301,417,98541,3653,3182,7312,7553,7314,5645,2847,1085,252,38835,26407,16191,25313,27061,28580,28106,21374,8671,1941,183651,31,86,264,682,1891,4075,5128,2718,961,15833,1048,1024,1478,1643,1904,2094,1815,678,171,11862,25,20,74,220,555,1131,1381,739,186,4326,0,4,6,8,14,43,151,294,359,887,30,80,192,411,921,1543,1802,910,288,6184,42,47,71,134,339,825,1331,995,470,4247
5001,3,9,34,74,134,291,396,312,139,1395,305,189,160,159,147,165,132,67,19,1346,3,0,6,8,50,86,213,162,69,596,0,0,0,0,3,0,17,79,44,153,3,10,19,33,124,222,279,219,63,982,3,4,14,15,54,189,286,277,145,981,0,0,6,4,10,25,50,34,22,159,5,7,0,4,21,59,117,101,50,360,93,209,227,185,207,259,182,67,33,1457,0,0,0,3,12,30,65,85,46,242,191,116,98,93,166,219,209,139,55,1280,2305,1323,1174,1094,1156,1009,697,273,94,9127,256,202,293,266,236,201,158,81,34,1728,3093,1981,1927,1811,2034,2178,1981,1154,471,16633,9,16,33,85,254,513,652,587,274,2408,179,198,246,237,264,234,217,136,43,1752,0,0,7,28,65,147,182,157,49,642,0,0,0,0,5,10,20,82,131,249,9,12,28,59,101,200,246,211,74,934,0,0,3,20,35,95,192,203,136,685
5002,0,5,12,23,43,118,193,103,14,505,75,26,51,48,52,60,72,22,3,411,0,0,0,15,20,58,103,57,5,256,0,0,0,0,0,5,8,10,8,27,3,3,3,27,46,89,126,53,3,362,3,5,5,13,18,84,176,103,19,428,4,0,5,8,12,11,31,7,4,82,9,0,0,3,15,27,43,29,8,125,14,34,53,56,73,66,59,18,0,377,0,0,0,0,3,12,21,17,0,62,64,19,33,45,71,84,111,23,5,458,1454,554,849,885,735,619,591,160,11,5857,345,177,239,236,269,254,183,85,12,1802,1957,813,1247,1319,1277,1301,1367,503,56,9841,0,4,12,40,73,170,272,110,12,686,42,50,97,110,99,98,98,25,4,618,0,0,4,20,21,66,78,41,0,232,0,0,0,0,0,0,8,9,6,24,0,9,17,25,56,83,84,32,7,315,10,7,10,9,18,51,67,45,0,221
5003,8,32,75,162,304,546,741,491,143,2508,757,349,388,375,337,244,232,132,33,2836,7,9,15,38,70,217,335,222,78,1004,0,0,0,4,0,11,39,106,81,245,19,29,49,112,292,448,611,343,94,1984,12,14,19,45,118,319,529,428,180,1669,9,5,15,17,41,46,69,85,42,331,11,8,13,17,48,130,213,193,50,682,217,385,481,465,466,426,292,111,44,2891,0,0,9,3,26,57,102,88,38,332,401,222,199,268,325,457,361,199,75,2514,5958,2965,2876,3047,2678,2081,1190,463,108,21370,609,453,534,505,472,365,245,131,63,3390,7836,4293,4403,4710,4583,4346,3465,1804,569,36010,17,33,115,272,635,1044,1253,841,410,4620,465,423,511,592,501,492,418,197,68,3662,3,6,30,69,156,270,343,223,86,1194,0,0,3,0,9,14,46,117,178,371,14,32,64,125,225,377,485,285,131,1739,9,11,13,30,73,173,287,305,211,1106
5004,4,12,20,71,142,311,464,355,131,1496,282,148,117,188,155,157,149,78,36,1312,6,0,11,20,46,128,239,182,61,686,0,0,0,0,0,13,31,63,38,144,11,0,15,40,96,180,315,212,55,937,5,0,3,17,63,141,353,324,126,1028,7,3,0,9,16,30,38,50,19,184,3,0,7,5,15,63,125,117,34,378,92,144,180,216,260,225,171,92,17,1406,0,0,0,0,15,29,72,62,30,214,166,107,71,111,169,206,252,146,40,1273,3086,1387,1225,1492,1546,1209,1003,386,74,11414,322,157,201,205,200,206,187,106,39,1615,3919,1904,1794,2238,2461,2412,2556,1367,396,19049,3,13,28,108,259,506,799,571,299,2587,195,135,183,261,258,254,269,154,76,1785,0,0,10,46,85,164,238,158,63,756,0,0,0,0,0,8,22,63,103,197,7,3,24,29,77,141,234,145,80,738,4,3,3,11,27,78,187,163,136,613
5005,0,0,11,20,35,83,120,93,26,389,87,65,44,66,55,62,41,22,0,451,0,0,3,3,16,37,53,49,17,181,0,0,0,0,0,3,8,18,10,34,3,10,6,12,48,79,82,62,16,322,0,4,0,4,14,61,90,87,31,291,3,0,6,0,0,6,8,14,5,49,0,3,0,0,4,20,32,28,9,104,31,43,54,54,58,76,42,14,9,382,0,0,0,0,0,10,24,13,4,57,45,22,22,24,45,54,47,37,22,319,880,472,427,451,466,415,241,94,21,3466,172,107,107,89,135,101,65,65,13,845,1204,699,658,684,818,823,640,398,100,6028,0,0,9,31,71,135,175,156,63,638,64,50,79,74,78,74,70,49,20,548,0,5,0,10,21,41,40,39,13,173,0,0,0,0,0,6,3,21,29,58,0,3,13,17,35,52,68,60,25,269,0,0,0,0,20,31,43,62,35,203
5006,0,12,25,63,156,268,369,247,98,1247,344,197,156,169,162,170,125,59,27,1398,3,5,14,15,44,119,201,136,52,597,0,0,0,0,5,10,23,61,63,165,5,13,34,63,133,289,330,198,61,1140,6,4,14,19,82,187,301,237,103,959,8,5,10,10,18,42,66,53,38,238,5,0,4,3,38,86,123,85,36,386,81,170,207,206,240,232,136,60,35,1369,0,0,4,3,9,31,39,60,24,178,210,112,102,129,140,207,179,104,44,1233,2845,1496,1358,1327,1346,1101,681,266,55,10470,495,318,348,350,316,268,175,116,32,2419,3924,2249,2161,2230,2383,2423,1911,1021,352,18649,4,11,44,101,266,453,598,414,189,2085,229,228,265,286,291,252,241,114,36,1948,0,0,8,25,71,138,166,124,60,602,0,0,0,4,6,7,19,69,97,208,7,17,28,65,142,252,267,155,60,1002,3,4,6,19,46,130,171,155,129,663
5007,4,7,26,61,121,180,198,82,16,697,193,131,152,141,97,100,48,27,6,903,3,0,11,20,32,63,89,51,11,266,0,0,0,0,0,0,6,15,7,38,8,3,23,66,130,227,164,72,12,701,8,0,5,7,51,134,157,68,21,458,3,3,8,6,16,24,39,25,8,129,3,0,3,6,17,51,74,36,9,193,32,89,122,142,138,99,60,16,3,702,0,0,0,4,6,32,24,16,6,87,110,76,65,85,124,151,76,38,8,731,2560,1370,1769,1530,1253,967,346,85,10,9894,427,303,442,438,371,371,197,53,10,2616,3318,1943,2570,2419,2166,2024,1075,362,64,15935,5,5,45,81,160,276,208,126,51,962,116,126,216,153,151,154,62,39,16,1036,0,4,10,29,62,68,60,24,14,275,0,0,0,0,5,3,14,18,33,77,0,8,35,41,98,142,135,54,16,524,4,3,10,6,36,74,58,43,27,270
5008,0,0,20,29,73,103,54,19,0,300,100,40,96,101,71,49,23,5,0,485,0,0,7,15,9,35,27,9,5,103,0,0,0,0,0,0,6,4,0,8,4,7,12,27,69,83,49,12,0,274,0,0,0,11,31,63,52,21,0,180,0,0,4,3,3,9,3,4,0,32,0,3,5,0,8,19,12,3,0,56,32,54,87,75,88,53,23,5,0,421,0,0,0,6,3,0,9,9,0,29,66,44,44,54,70,55,31,11,0,370,1733,686,1189,1370,906,524,174,19,0,6600,393,233,424,550,466,344,109,27,6,2549,2312,1052,1854,2198,1711,1189,455,108,9,10895,0,11,29,24,79,90,59,24,0,309,64,67,131,108,85,54,29,9,0,543,0,0,5,24,37,19,20,8,0,116,0,0,0,0,0,0,0,0,0,4,3,4,12,22,37,46,35,4,0,166,6,4,0,8,10,21,5,13,0,69
5009,148,490,1517,3237,6314,11536,15393,11120,4074,53836,12987,9359,9878,10035,8346,6498,5202,2827,889,66013,216,257,535,1061,2104,4854,8413,6656,2306,26397,4,18,21,44,100,298,964,2283,2012,5735,324,627,1271,3378,6974,11189,14050,8758,2421,48987,283,257,467,1113,3638,8821,14131,11307,4403,44427,215,152,247,488,719,1257,1935,2123,1066,8206,278,169,258,480,1150,2710,4570,3977,1488,15072,4178,9376,12229,11848,10786,8635,5680,2670,1006,66403,48,59,102,303,654,1429,2515,2665,1209,8981,9709,6051,6118,7610,9632,10950,9983,5466,2417,67945,165441,95081,102560,101226,80642,57303,32198,12120,2791,649355,14076,9820,11165,10607,9523,7331,5028,3165,1784,72482,204586,127610,140668,143273,127319,109917,86545,46683,15668,1002264,224,809,2318,5043,11493,20622,27486,20841,10201,99037,9016,10084,13457,13568,12172,11036,9415,5147,1862,85745,172,232,676,1917,4219,6547,8191,5584,2239,29771,12,21,16,25,58,264,884,2876,4179,8339,312,677,1333,2909,5387,8776,11048,7290,2962,40695,213,239,333,727,1816,4196,7457,7862,5244,28085
