SUA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
5000,58,45,105,7624,1507,9126,22,10,32,5,0,6,133,39,174,41088,32642,73732,5204,3261,8462,1645,90,1734,292,72,362,510,340,850,5704,1374,7077,5519,4925,10441,67801,44301,112104,22,10,33,0,0,0,0,0,0,58,77,134,3,9,14,0,0,0,85,91,181,0,0,0,0,0,0,160,60,220,61,27,92,360,75,438,586,163,751,1286,431,1721,1961,691,2648,46,27,76,329,59,387,114,27,141,492,112,601,6001,6643,12643,8977,8979,17952,980,629,1609,86215,61352,147559
5001,4,0,3,30,17,46,0,0,0,0,0,0,16,15,37,5746,5488,11238,391,483,878,106,0,106,34,0,34,68,21,88,72,25,97,145,151,292,6616,6205,12817,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,7,11,3,0,5,0,0,3,7,9,16,63,34,97,67,49,116,0,0,0,0,0,0,0,3,4,9,0,7,306,502,810,761,1017,1780,40,27,67,7798,7806,15601
5002,4,3,7,25,17,40,0,0,0,0,0,0,8,7,8,2364,2563,4931,198,296,489,30,0,34,90,36,119,123,95,216,78,30,110,196,258,452,3106,3304,6415,5,0,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,3,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,3,4,5,34,20,48,39,27,67,0,0,0,0,0,0,0,0,0,0,0,0,218,316,527,873,1061,1935,55,44,101,4292,4756,9046
5003,11,9,20,404,94,497,0,0,3,0,0,0,35,41,73,12370,11984,24356,1026,1050,2074,154,4,160,66,10,73,156,46,205,214,59,277,236,255,485,14673,13553,28229,0,0,0,0,0,0,0,0,0,10,5,14,0,3,5,0,0,0,7,4,15,0,0,0,0,0,0,192,44,237,16,17,34,19,5,24,228,63,293,190,80,271,428,151,584,0,0,5,17,3,21,10,3,13,31,10,38,494,920,1415,2040,2416,4459,92,38,130,17760,17087,34843
5004,4,3,7,85,23,112,0,0,0,0,0,0,17,10,31,5824,6018,11843,418,471,895,90,0,91,18,0,18,148,55,200,165,44,208,204,202,405,6975,6829,13800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,12,10,17,4,3,8,8,0,10,25,11,32,83,22,105,103,38,147,0,0,0,10,0,10,3,0,10,12,3,20,707,1055,1762,1345,1495,2840,51,65,114,9199,9481,18679
5005,0,0,4,19,8,25,0,0,0,0,0,0,8,3,9,2113,1771,3887,138,138,278,58,0,56,24,6,33,37,28,68,21,12,37,72,90,159,2492,2061,4551,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,6,4,7,0,0,3,0,0,0,6,6,13,27,22,46,39,25,56,0,0,0,0,0,0,0,0,0,4,0,4,108,216,326,263,287,551,25,21,43,2924,2606,5530
5006,3,0,3,95,28,123,0,0,4,0,0,0,11,18,30,6032,6133,12166,446,527,975,137,9,145,77,10,92,110,50,160,123,31,156,171,154,319,7212,6957,14169,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,6,4,6,0,0,0,0,0,0,6,0,10,3,5,7,9,9,17,21,7,34,63,36,105,93,55,145,0,0,0,6,0,7,8,3,9,13,0,18,238,447,684,1024,1112,2134,33,29,61,8610,8599,17211
5007,3,4,6,259,83,346,8,5,12,0,0,0,44,54,96,6089,4831,10915,667,570,1239,113,12,122,58,6,62,67,15,80,74,37,110,232,235,473,7611,5850,13461,0,0,0,0,0,0,0,0,0,0,5,5,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,53,10,64,8,0,10,5,0,5,64,16,83,92,56,144,160,78,235,0,0,0,3,0,11,12,4,11,16,5,24,111,266,372,730,624,1357,34,26,63,8662,6848,15512
5008,0,0,3,251,37,291,0,0,0,0,0,0,18,12,22,3866,2802,6667,514,275,787,93,5,97,50,8,54,37,14,46,117,35,151,132,175,308,5085,3356,8438,0,0,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,6,4,6,0,0,0,0,0,0,12,5,13,0,6,4,5,0,11,20,5,30,78,23,103,101,38,138,6,0,6,9,0,9,8,3,15,19,3,24,52,183,234,525,445,968,25,19,43,5801,4039,9842
5009,11465,11460,22926,14042,13211,27257,134,79,218,31,15,45,1978,1684,3660,342440,303426,645866,18441,25520,43969,4986,159,5143,2523,253,2770,5284,1517,6798,9149,2276,11432,7366,7278,14646,417842,366877,784720,6772,6577,13348,9,7,25,0,4,5,4670,4245,8912,668,920,1589,500,190,683,12622,11947,24566,13,8,24,8,8,15,734,769,1504,456,885,1338,503,349,858,1718,2016,3735,3948,2108,6056,18282,16072,34357,2145,2553,4695,326,225,553,200,79,272,2664,2857,5523,34736,44795,79531,51998,67055,119048,2308,1618,3924,527831,499273,1027100
