SUA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
5000,157245,121020,278261,64716,28741,93459,13111,26166,39286,8384,6438,14823,3237,2513,5744,89443,63860,153310,38644,42745,81388,3.6,3.9,3.7,56.9,52.8,55.1,54.8,50.7,53,2790,2814,5602,1271,2779,4051,10782,15574,26351,8974,10989,19961,40197,15446,55643,1930,2758,4689,1843,2463,4308,43962,20666,64630,124119,106666,230784,22957,20543,43503,86141,73089,159233,54051,47815,101864
5001,13533,14710,28249,5393,3178,8567,1932,4154,6085,475,472,951,370,268,634,8168,8072,16238,4663,5936,10602,4.5,3.3,3.9,60.3,54.9,57.5,57.6,53,55.2,303,382,685,173,396,569,1114,2069,3180,997,1600,2603,3711,2206,5921,267,404,668,187,364,549,4172,2967,7144,12932,14067,27000,2341,2570,4911,8514,9160,17667,5961,6745,12709
5002,7884,8809,16695,2938,2479,5411,762,1601,2358,595,675,1270,183,156,336,4476,4909,9387,2186,2513,4699,4.1,3.2,3.6,56.8,55.8,56.2,54.5,54,54.2,254,393,646,113,339,449,927,1609,2536,646,916,1560,1949,863,2814,81,183,263,129,167,293,2154,1211,3367,6627,6989,13619,1553,1949,3503,4178,4291,8471,3516,4173,7698
5003,28180,30727,58900,13477,7272,20744,3207,8767,11978,1072,1049,2125,938,904,1839,18699,17990,36690,8104,11330,19440,5,5,5,66.4,58.5,62.3,63,55.6,59.2,624,667,1293,316,745,1067,2361,4114,6477,1929,2930,4862,8739,5496,14237,527,869,1396,383,779,1161,9644,7148,16793,28137,30082,58219,5245,5800,11047,18589,19656,38241,12764,14403,27176
5004,15132,17125,32252,6159,3517,9672,2371,5309,7679,672,659,1332,325,284,613,9527,9768,19289,4704,6395,11103,3.4,2.9,3.2,62.9,57.1,59.8,60.8,55.4,57.9,374,431,807,187,520,713,1626,2758,4383,1287,1973,3265,4387,2413,6800,223,370,598,227,453,684,4845,3238,8087,14833,16229,31060,2941,3284,6221,9505,10239,19743,7341,8353,15697
5005,4824,4907,9731,2239,1159,3400,476,1267,1742,210,184,395,96,71,167,3023,2669,5696,1238,1768,3007,3.2,2.5,2.9,62.7,54.4,58.5,60.7,53.1,56.8,69,70,143,33,107,141,287,585,873,249,432,685,1321,665,1977,62,127,187,49,88,137,1427,879,2302,4402,4494,8895,847,859,1710,2979,3003,5982,1983,2095,4085
5006,14727,15821,30545,6290,3847,10142,1738,4180,5919,582,577,1154,550,423,972,9155,9029,18182,4241,5479,9723,6,4.7,5.3,62.2,57,59.5,58.5,54.4,56.3,260,311,571,140,391,528,885,1881,2759,918,1507,2427,4259,2352,6611,285,479,762,188,323,504,4731,3156,7885,14101,14924,29022,2499,2779,5278,9421,9805,19229,6198,6946,13146
5007,12617,10852,23468,7183,4039,11218,970,2395,3365,507,417,923,307,228,539,8969,7079,16044,2002,2632,4635,3.4,3.2,3.3,71.1,65.2,68.4,68.6,63.1,66.1,350,335,685,97,229,325,919,1352,2273,576,845,1429,3750,1511,5261,181,286,466,140,210,352,4072,2004,6080,10833,9862,20693,2756,2470,5225,6683,5817,12504,5977,5633,11611
5008,8575,6346,14920,4786,2376,7158,595,1367,1968,426,296,721,139,129,268,5940,4169,10110,698,1180,1875,2.3,3.1,2.6,69.2,65.8,67.8,67.7,63.7,66,217,228,448,86,190,280,672,1049,1720,583,599,1182,2723,887,3615,122,170,296,90,117,209,2937,1180,4116,6476,5239,11714,2006,1857,3863,3090,2296,5387,4763,4246,9007
5009,797681,857508,1655184,384605,227648,612254,116345,241875,358222,26883,29745,56627,30444,28190,58632,558271,527458,1085734,203220,293822,497033,5.5,5.3,5.4,70,61.5,65.6,66.2,58.2,62.1,49736,49338,99073,14291,27795,42085,130648,172209,302856,71163,91433,162595,178995,99567,278558,10410,15013,25427,10314,19304,29615,199721,133887,333603,809772,851324,1661100,135896,145985,281880,522195,547619,1069818,367737,396891,764628
5010,8484,5935,14419,4355,2186,6540,500,982,1484,413,324,736,174,129,299,5441,3622,9063,826,1266,2088,3.1,3.6,3.3,64.1,61.1,62.9,62.1,58.9,60.8,148,156,302,69,125,191,504,829,1330,564,508,1076,2536,775,3315,88,166,249,91,100,192,2714,1040,3752,5966,4694,10662,1892,1718,3606,2712,1881,4591,4543,4018,8562
