SA3_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
50101,19987,21151,41138,56,21,72,0,5,5,68,116,184,25,48,72,10,3,12,7,3,11,4,10,15,139,227,368,5,3,8,6,29,35,114,90,202,32,87,121,6,3,3,4,0,3,125,130,252,121,86,208,20,67,84,36,47,81,0,3,3,36,49,86,9,10,19,102,118,224,707,687,1395,16,10,30,85,175,255,15,26,43,28,51,83,306,351,660,28,28,61,10,49,68,23,106,129,2376,2735,5119,143,134,276,44,46,92,641,715,1355,1753,1875,3623,118,63,181,27206,29361,56563
50102,38990,40068,79060,5,4,13,23,24,44,71,97,165,114,169,281,24,14,33,19,10,34,38,10,46,162,207,376,16,16,24,21,31,56,362,305,668,55,117,169,31,20,52,18,23,40,197,192,385,274,242,511,28,41,77,77,56,135,22,21,44,98,147,244,36,33,66,191,179,364,1522,1420,2942,60,39,103,644,869,1513,45,64,111,56,80,133,832,880,1711,35,40,78,60,121,187,41,168,209,3238,3486,6730,117,133,247,45,92,132,993,1124,2114,2658,2524,5182,73,60,128,51290,53109,104404
50103,8688,8596,17284,32,17,48,0,0,0,20,31,55,10,14,21,6,0,10,6,0,8,0,5,8,53,76,129,12,7,19,7,8,16,22,29,54,3,16,20,5,0,5,0,0,0,32,38,70,75,52,132,0,15,8,3,11,14,0,0,0,15,20,38,0,0,0,55,61,112,272,280,542,10,12,23,29,87,123,12,12,25,11,14,22,85,76,160,5,0,10,13,36,48,7,21,29,938,1010,1950,38,40,80,9,19,30,263,235,504,982,898,1887,44,49,91,11783,11800,23576
50201,33737,36761,70496,9,9,19,9,10,23,89,117,204,58,158,212,25,22,51,21,11,33,23,26,45,169,237,406,17,13,29,24,32,56,353,331,680,76,224,297,32,34,70,5,4,9,247,239,478,150,91,245,14,55,62,30,41,74,0,3,9,103,150,253,26,23,53,231,253,484,1710,1860,3569,25,20,49,421,798,1222,33,47,88,62,97,162,721,907,1628,46,54,100,18,21,34,83,309,391,6205,6938,13146,154,157,312,58,107,160,1026,1232,2254,2342,2587,4932,51,59,116,48406,54038,102451
50301,22426,23630,46052,4,8,9,34,27,62,184,227,415,727,880,1603,33,39,72,32,26,61,13,12,25,170,219,393,43,37,74,207,224,430,430,429,855,178,254,437,114,119,230,23,10,29,279,306,587,200,155,355,101,175,271,35,61,99,16,10,21,541,733,1276,16,23,41,162,130,287,506,494,997,65,45,108,50,129,175,68,111,174,421,464,881,752,762,1517,145,158,298,44,79,124,48,95,143,3225,2992,6213,399,469,869,86,158,246,1447,1749,3201,1260,1460,2719,145,133,276,34624,37013,71639
50302,31028,30852,61881,44,20,59,63,33,96,227,309,534,1043,1475,2516,84,101,184,67,53,125,25,28,59,245,296,544,110,148,260,277,307,583,1397,1223,2617,254,477,739,278,264,543,39,20,58,680,615,1295,710,720,1429,327,503,831,303,409,708,25,22,54,809,1074,1884,273,280,548,169,160,332,1150,963,2119,156,88,242,342,573,917,172,212,384,485,616,1100,724,731,1453,176,184,353,125,241,358,165,373,540,4883,3828,8712,425,496,916,465,638,1104,4171,4711,8887,3905,2932,6840,669,425,1090,56485,56395,112884
50401,24811,25013,49816,53,27,85,53,34,85,108,116,219,562,836,1397,94,121,216,41,36,75,19,18,36,174,233,402,96,108,200,154,190,343,1318,1238,2555,138,248,391,156,120,274,80,82,155,413,343,754,704,683,1384,54,171,222,98,159,258,22,24,41,557,647,1204,159,156,311,138,122,261,966,876,1837,212,74,282,410,638,1049,150,233,384,221,285,502,407,457,856,230,191,420,59,131,189,91,280,368,2775,2617,5390,156,145,299,897,1166,2062,2475,2714,5190,1548,1447,2996,58,85,143,40623,42047,82674
50402,15679,14723,30407,12,6,14,5,0,9,48,40,84,41,63,105,37,35,78,5,10,8,11,11,24,144,133,281,7,10,20,17,18,37,167,150,315,22,34,51,18,9,27,0,0,3,117,104,227,136,112,249,12,32,46,4,6,15,8,5,9,59,71,133,7,6,10,115,122,239,603,538,1147,3,14,18,231,310,540,27,45,74,28,49,78,226,219,444,22,22,49,5,19,22,18,96,116,2220,2275,4492,96,108,204,54,40,92,539,582,1123,716,736,1456,25,26,50,21499,20776,42282
50403,45004,45636,90645,437,308,743,65,66,130,85,108,196,296,451,748,171,184,356,84,48,127,35,42,78,232,257,488,35,33,74,108,136,245,3041,2927,5972,137,306,444,181,176,357,330,298,625,369,318,689,385,362,742,33,101,135,49,83,134,39,36,70,482,642,1128,90,92,183,164,156,330,2644,2540,5176,230,159,388,1555,2086,3640,145,185,329,313,347,657,1014,1047,2060,261,251,519,40,92,133,166,443,613,4903,5040,9938,183,178,360,971,1282,2252,4357,4900,9253,2831,2769,5603,148,167,316,71615,74252,145862
50501,47010,47836,94845,29,42,71,24,13,41,219,296,515,363,528,890,98,77,180,122,132,256,29,29,57,407,471,887,73,69,146,118,162,280,678,656,1332,112,287,395,235,227,464,33,23,54,1301,1253,2548,461,381,842,79,200,280,62,88,155,23,29,47,423,595,1016,21,29,48,325,295,620,1983,1916,3896,75,59,130,203,464,669,240,371,609,310,400,710,2703,2915,5622,112,111,227,41,84,126,72,321,388,13212,13491,26702,354,357,712,171,246,424,3137,3791,6929,1702,1778,3484,98,111,211,76654,80142,156791
