SA3_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
50101,662,7371,8804,2946,1529,21307,1402,22716
50102,1623,13111,15806,6071,3372,39976,2334,42309
50103,335,2900,3513,1552,994,9287,766,10060
50201,1999,16139,15300,5274,2866,41580,2015,43597
50301,1302,8422,10573,3420,1800,25518,839,26355
50302,5820,23688,13842,2917,1222,47494,2851,50349
50401,2251,13533,12832,3484,1774,33870,1471,35348
50402,515,3976,5978,2777,2017,15264,608,15867
50403,1833,15484,20918,7700,4645,50586,2571,53156
50501,1500,16169,25947,9010,4927,57552,1544,59093
50502,4803,32541,31873,8642,4261,82118,3927,86042
50503,2356,22302,29662,10420,5807,70544,2694,73237
50601,1348,9956,13704,4648,2652,32307,1649,33956
50602,2481,13524,10803,2808,1216,30837,1844,32679
50603,1871,11606,13926,4648,2444,34499,1427,35928
50604,1813,13876,16718,6281,3629,42314,2059,44372
50605,614,5916,8627,3547,2441,21139,796,21938
50606,131,2221,4296,1928,1584,10153,424,10578
50607,1018,7507,6663,1800,752,17747,706,18452
50701,1729,14100,17962,5761,3019,42577,1697,44274
50702,1394,6648,5949,1540,731,16267,941,17214
50703,786,5440,6279,1984,1014,15507,870,16373
50704,1714,13074,16725,5101,2751,39360,1124,40478
50705,1973,16772,19372,6659,3380,48151,2230,50382
50901,988,7774,8773,3563,2390,23486,1764,25248
50902,743,6161,7535,3588,2715,20745,2425,23168
50903,297,2207,2603,1189,1005,7306,858,8162
51001,2100,6445,3601,1201,687,14037,2740,16774
51002,618,2736,2745,966,453,7519,1358,8873
51003,477,3303,3621,1341,693,9421,1723,11148
51101,269,1991,2237,838,610,5949,687,6634
51102,328,3274,1735,477,347,6154,825,6981
51103,953,4297,4608,1821,1031,12706,2020,14732
51104,1021,7548,7612,2843,1688,20717,2558,23274
59797,11,0,0,0,0,13,0,13
