SA3_CODE_2021,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_yr_over_Mgrs,P_85_yr_over_Profnls,P_85ov_Techs_trades_wrkrs,P_85ov_Com_psnl_serv_wrkrs,P_85_yr_over_Cler_admin_wrkrs,P_85_yr_over_Sales_wrkrs,P_85_yr_over_Mach_oper_dvrs,P_85_yr_over_Labrs,P_85_yr_over_Inad_desc_Ns,P_85_yr_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
50101,16,15,252,459,26,598,38,421,31,1860,65,91,385,255,82,188,56,303,22,1451,487,791,985,607,318,262,192,585,52,4281,902,1343,1149,698,605,368,322,630,92,6111,1009,1302,958,676,726,472,399,663,81,6282,801,876,648,516,625,424,368,594,83,4943,381,291,157,94,207,165,137,184,40,1654,78,29,13,3,23,14,9,29,16,213,14,0,0,0,0,0,0,3,6,26,3750,4741,4552,3310,2622,2490,1532,3413,414,26827
50102,35,29,484,543,132,1073,140,868,62,3365,131,279,926,589,339,420,351,693,66,3785,611,1470,2076,917,872,612,825,1332,139,8859,1037,1906,2003,1139,1146,585,1084,1211,201,10317,1248,1841,1896,1287,1377,650,1203,1166,187,10845,994,1406,1314,947,1103,543,1164,965,105,8553,390,406,279,187,273,116,289,274,48,2270,109,27,9,5,18,11,27,36,19,272,16,0,0,0,0,3,0,0,5,24,4573,7357,8997,5626,5259,4017,5079,6548,833,48291
50103,17,5,108,97,24,138,23,177,13,602,37,49,145,71,37,54,50,156,12,614,196,205,298,139,116,87,130,312,29,1511,368,344,303,175,180,116,203,240,35,1956,530,337,305,249,248,112,260,309,28,2377,503,358,313,256,287,125,293,346,40,2525,368,127,97,65,77,45,79,118,15,982,128,9,4,8,16,0,3,31,12,212,14,0,0,0,0,0,0,0,0,12,2156,1426,1572,1063,983,690,1050,1689,176,10802
50201,29,35,384,539,94,983,129,678,51,2919,145,284,753,703,250,573,283,527,57,3581,578,1087,1733,1016,680,538,720,722,137,7214,881,1372,1604,1144,892,501,907,751,130,8166,1146,1467,1578,1217,1088,614,1100,798,146,9151,915,1190,1291,1020,982,562,969,764,131,7817,294,327,258,180,284,174,249,220,43,2040,50,28,20,9,31,27,29,30,17,241,5,3,0,0,0,0,0,0,12,21,4033,5788,7628,5832,4303,3978,4384,4492,724,41151
50301,18,143,106,862,149,652,101,413,24,2475,131,896,229,1005,471,533,107,257,38,3662,568,2705,371,544,451,244,104,178,62,5228,1379,3172,291,328,537,192,77,126,98,6200,2237,3693,298,365,831,321,76,112,128,8064,1469,2808,242,274,619,277,50,119,93,5952,588,1129,102,105,283,117,27,53,50,2454,133,234,12,18,77,37,4,21,27,558,12,15,0,0,7,3,0,4,13,54,6537,14796,1651,3504,3427,2386,552,1271,536,34660
50302,31,61,112,555,123,666,55,425,23,2063,246,1287,561,1503,631,824,183,525,87,5841,1979,8664,1809,2210,1927,918,524,1274,257,19550,2860,6655,1306,1058,1359,507,422,689,190,15044,2429,4400,827,671,1236,432,306,399,142,10845,1620,2908,650,479,1107,372,237,344,98,7826,484,1006,188,157,364,152,91,123,40,2605,68,119,13,17,48,27,10,29,7,335,3,11,0,0,3,0,0,0,0,25,9715,25114,5470,6648,6798,3903,1828,3822,838,64133
50401,14,38,158,379,68,594,86,436,21,1790,162,563,506,803,403,620,239,441,50,3789,1049,3545,1599,1292,1243,631,566,700,192,10812,1544,3360,1377,946,1284,458,492,585,175,10219,1338,2166,1128,800,1315,423,477,563,131,8340,848,1334,824,695,1116,398,452,571,77,6316,223,389,241,186,297,138,139,193,21,1832,15,52,18,10,32,15,15,25,8,187,0,0,0,0,0,0,0,3,0,12,5205,11454,5857,5107,5754,3277,2460,3512,672,43294
50402,15,24,156,230,53,407,61,346,25,1315,60,140,380,269,159,250,148,216,40,1661,265,699,753,359,405,215,218,213,59,3185,555,957,669,397,511,158,248,209,67,3777,771,1024,693,541,662,223,316,252,83,4574,584,849,573,427,624,255,374,272,74,4031,143,294,155,101,169,82,109,79,20,1155,33,52,11,10,15,11,6,9,3,148,0,0,0,0,0,0,0,0,3,6,2429,4030,3387,2345,2589,1601,1487,1606,380,19848
50403,55,65,514,700,151,1433,220,1054,79,4280,287,626,1251,1246,709,1025,512,885,157,6691,1426,3061,3288,2255,2182,1206,1583,1435,329,16767,2092,3087,2924,2207,2467,962,1749,1356,315,17160,1915,2267,2251,1871,2249,975,1422,1325,247,14520,1223,1427,1578,1297,1744,720,1189,1104,159,10437,330,392,324,239,418,157,322,298,53,2536,60,39,23,13,27,10,20,49,11,252,9,3,3,0,0,0,0,9,3,22,7392,10963,12145,9826,9945,6496,7022,7523,1356,72663
50501,49,103,575,1184,233,1818,204,1208,35,5410,262,1031,1173,1463,796,1247,299,769,95,7140,1266,3959,2561,1447,1595,781,552,729,244,13136,2995,5684,2733,1596,2392,704,583,710,247,17646,3544,5269,2546,1899,2975,961,690,834,279,18999,2458,3689,2071,1528,2747,926,734,898,192,15234,595,963,555,338,805,311,248,329,51,4203,44,95,39,14,53,30,18,51,18,358,3,8,5,0,6,3,0,4,0,22,11218,20799,12237,9480,11599,6788,3323,5532,1172,82151
50502,46,106,371,965,211,1698,152,964,71,4574,354,1531,1179,1992,996,1530,432,982,150,9141,2598,8802,3885,3341,2845,1577,1372,1895,508,26820,4085,8299,3069,2363,2909,1187,1144,1575,428,25045,3664,5893,2205,1891,2903,1123,925,1356,276,20236,2254,3707,1742,1348,2336,936,814,1197,171,14506,606,1134,437,349,785,353,271,431,89,4441,100,153,64,23,91,45,24,57,42,599,8,10,4,0,8,3,0,3,5,40,13713,29640,12945,12272,13071,8453,5130,8448,1730,105402
50503,80,105,716,1135,254,2232,295,1482,105,6409,399,915,1720,1998,1022,1623,609,1269,172,9729,2005,4083,4357,3008,2791,1531,1506,1962,442,21683,3030,5130,4233,2830,3375,1305,1695,1913,433,23943,2953,3961,3627,2735,3360,1393,1714,2057,380,22176,1673,2049,2283,1731,2288,962,1328,1576,185,14077,338,442,433,324,530,219,325,437,45,3088,28,36,29,19,42,27,32,37,22,269,5,3,0,0,7,3,0,0,8,22,10510,16735,17404,13780,13659,9292,7496,10738,1783,101388
50601,33,35,282,314,94,793,133,568,47,2304,151,325,731,622,398,546,342,538,62,3719,867,2011,1954,1257,1311,658,978,878,211,10132,1346,2766,1895,1380,1538,618,1142,874,204,11755,946,1480,1243,1058,1182,433,854,765,141,8105,628,899,824,710,933,373,756,602,83,5815,172,213,200,168,206,109,172,159,25,1423,35,30,25,4,14,7,10,25,3,151,0,0,0,0,0,0,0,0,5,9,4177,7766,7146,5513,5679,3544,4382,4407,790,43411
50602,23,42,139,303,73,498,46,324,22,1476,171,629,627,896,480,585,246,460,60,4164,1106,3868,1865,1466,1330,664,780,945,226,12249,1370,2982,1334,873,1085,396,580,619,168,9415,1134,1700,869,685,998,321,567,478,101,6854,741,1010,628,466,876,289,471,443,85,5015,210,307,157,131,205,94,148,141,20,1418,14,35,8,4,22,10,11,15,7,124,0,0,0,0,6,0,0,0,3,16,4785,10577,5630,4818,5082,2860,2853,3424,695,40726
50603,32,88,192,542,130,843,119,540,38,2520,170,871,737,1246,461,916,380,715,129,5635,790,3389,1601,1496,1121,717,976,1207,235,11537,1307,3516,1480,1171,1346,438,676,835,191,10954,1235,2559,1222,978,1234,414,595,715,137,9083,888,1505,827,650,1082,347,511,584,92,6480,229,458,260,159,314,116,119,189,26,1871,32,50,24,11,30,6,9,34,10,207,0,0,0,0,4,0,0,3,7,13,4683,12438,6332,6252,5717,3807,3395,4829,862,48308
50604,43,69,342,445,117,1117,213,773,63,3181,189,581,989,998,568,911,505,849,139,5726,807,2327,2155,1602,1431,847,1271,1315,258,12009,1441,3195,2491,1733,1860,702,1409,1269,247,14342,1285,1977,2034,1381,1716,643,1205,1340,207,11785,798,1153,1198,881,1293,504,1095,948,148,8022,184,314,290,193,367,148,263,306,35,2107,18,32,13,14,23,12,13,25,13,166,0,0,0,0,0,0,0,0,4,10,4767,9639,9520,7250,7375,4891,5982,6819,1098,57349
50605,24,24,223,306,86,543,98,403,21,1736,74,212,510,437,266,357,195,318,40,2411,415,1036,1097,540,694,280,400,356,102,4921,899,1517,1080,584,956,311,529,348,103,6323,965,1317,949,623,999,313,574,420,102,6261,714,864,695,495,852,282,570,351,70,4897,239,321,196,114,238,90,159,122,27,1503,36,29,17,7,21,9,8,17,11,162,6,0,0,0,0,0,0,0,4,17,3374,5324,4769,3112,4114,2185,2531,2339,484,28235
50606,12,18,157,172,46,298,60,261,26,1046,58,94,360,234,120,155,99,169,21,1308,294,521,889,462,525,217,376,286,81,3643,453,582,681,419,529,195,436,275,79,3644,411,443,528,332,497,175,386,240,63,3079,328,251,360,215,374,129,303,188,43,2184,81,66,81,40,74,33,82,65,7,538,22,8,3,0,10,3,5,7,11,61,0,0,0,0,0,0,0,0,0,3,1652,1982,3062,1878,2172,1208,1744,1489,329,15502
50607,24,48,70,296,50,367,42,208,8,1108,107,576,258,634,294,357,116,221,42,2607,500,2396,522,504,544,264,174,267,90,5260,881,2080,411,308,492,173,105,145,62,4652,976,1568,316,297,539,189,103,132,55,4180,700,1201,255,234,546,176,108,143,51,3415,238,481,88,68,211,108,44,56,28,1318,36,71,13,8,32,13,0,17,10,198,0,3,0,0,4,0,0,0,5,12,3468,8423,1923,2347,2700,1654,699,1180,349,22748
