SA3_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
50705,10992,692,298,203,9,12192,22451,432,215,14,22,23137,6116,691,678,0,5,7494,410,244,151,0,0,806,51,69,39,0,0,155,2676,250,158,9,0,3100,471,43,27,58,7,598,32,9,5,0,0,49,9762,1306,1054,70,9,12203,319,258,20,4,0,606,1794,197,133,93,19,2241,45323,2882,1720,392,64,50382
50901,8930,250,12,241,25,9462,6859,153,10,17,20,7059,1785,306,20,5,0,2115,676,231,7,0,3,924,176,193,25,0,3,390,1709,112,11,16,9,1849,450,60,12,112,20,642,27,15,0,0,0,50,4826,915,64,131,33,5969,813,120,6,22,17,977,1386,155,10,218,12,1785,22812,1595,100,634,107,25248
50902,8500,94,11,253,68,8927,6487,29,9,34,29,6586,898,71,27,14,3,1011,474,195,7,10,6,693,114,61,18,12,0,206,1470,44,12,15,10,1559,553,50,7,60,39,704,31,5,4,0,0,37,3546,423,76,102,60,4215,930,15,0,32,21,998,2124,130,12,154,29,2447,21589,689,109,572,205,23168
50903,3175,30,0,52,17,3274,1788,5,0,4,4,1805,305,36,5,3,0,354,194,86,0,0,0,279,72,56,0,0,0,130,606,21,0,3,0,628,279,18,0,25,5,322,15,4,0,0,0,25,1467,221,5,32,12,1735,445,21,8,15,0,493,761,64,8,29,7,861,7630,337,20,133,40,8162
51001,1049,74,14,2770,191,4095,1648,97,23,153,24,1943,707,291,102,23,12,1142,1908,364,48,10,21,2352,863,63,14,14,17,966,551,72,28,137,60,842,739,137,29,746,127,1790,40,10,0,9,3,61,4811,945,219,943,232,7155,474,87,4,228,85,876,1351,290,58,799,207,2707,9332,1493,315,4898,740,16774
51002,370,56,27,418,54,928,831,81,15,35,4,959,770,285,244,8,7,1317,544,129,28,4,7,712,234,16,5,0,4,257,157,31,23,21,7,245,1731,318,208,126,55,2441,16,8,0,0,0,23,3451,776,510,154,84,4976,460,65,59,45,46,677,651,213,178,232,61,1337,5761,1199,783,885,251,8873
51003,499,40,17,750,105,1411,1414,141,10,43,9,1617,877,258,205,3,8,1349,469,140,36,0,3,644,80,22,7,4,0,119,209,64,20,38,14,352,2431,281,96,270,78,3159,8,5,4,0,0,17,4076,761,375,324,106,5640,499,59,66,61,70,749,945,282,87,316,97,1720,7434,1276,557,1488,386,11148
51101,1898,94,20,112,29,2154,1593,35,0,9,9,1645,405,111,22,0,0,543,137,72,7,0,0,215,16,21,26,0,0,58,539,65,12,14,8,641,179,10,4,42,11,246,15,9,0,0,0,23,1294,281,73,56,16,1721,369,17,6,6,24,419,534,68,28,63,10,698,5684,489,129,250,88,6634
51102,771,37,11,1967,71,2862,734,15,0,139,5,898,252,51,19,9,0,332,244,73,20,7,4,343,56,22,49,24,0,150,271,49,5,83,14,419,228,40,17,527,32,847,3,3,6,12,0,14,1059,234,114,660,46,2113,143,13,0,104,25,286,368,87,24,279,67,830,3070,388,150,3150,224,6981
51103,2175,127,14,201,58,2572,4327,252,12,22,4,4610,1427,721,88,4,7,2235,567,250,15,0,11,840,121,61,12,0,6,204,743,122,12,21,14,914,427,149,16,158,52,804,19,20,0,3,0,43,3297,1323,142,190,86,5038,316,62,13,30,54,472,1136,312,53,480,56,2032,11253,2074,231,916,254,14732
51104,6356,400,27,789,129,7699,5904,204,23,57,26,6214,1704,511,108,10,6,2336,481,237,63,7,4,789,117,60,11,3,0,195,1510,205,29,42,29,1808,423,86,7,211,50,776,28,16,0,0,0,48,4256,1102,221,272,95,5953,574,140,20,60,44,834,1769,299,75,340,98,2575,18856,2151,369,1514,380,23274
59797,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,8,13
