SA3_CODE_2021,F_Unrel_ind_liv_fam_hh_0_14,F_Unre_ind_liv_fam_hh_15_24,F_Unre_ind_liv_fam_hh_25_34,F_Unre_ind_liv_fam_hh_35_44,F_Unre_ind_liv_fam_hh_45_54,F_Unre_ind_liv_fam_hh_55_64,F_Unre_ind_liv_fam_hh_65_74,F_Unre_ind_liv_fam_hh_75_84,F_Unrel_ind_liv_fam_hh_85ov,F_Unrel_ind_liv_fam_hh_Tot,F_Group_hh_mem_0_14,F_Group_hh_mem_15_24,F_Group_hh_mem_25_34,F_Group_hh_mem_35_44,F_Group_hh_mem_45_54,F_Group_hh_mem_55_64,F_Group_hh_mem_65_74,F_Group_hh_mem_75_84,F_Group_hh_mem_85ov,F_Group_hh_mem_Tot,F_LPer_0_14_yr,F_LPer_15_24_yr,F_LPer_25_34_yr,F_LPer_35_44_yr,F_LPer_45_54_yr,F_LPer_55_64_yr,F_LPer_65_74_yr,F_LPer_75_84_yr,F_LPer_85_yr_over,F_LPer_Tot,F_Vis_from_within_Aus_0_14,F_Vis_from_within_Aus_15_24,F_Vis_from_within_Aus_25_34,F_Vis_from_within_Aus_35_44,F_Vis_from_within_Aus_45_54,F_Vis_from_within_Aus_55_64,F_Vis_from_within_Aus_65_74,F_Vis_from_within_Aus_75_84,F_Vis_from_within_Aus_85ov,F_Vis_from_within_Aus_Tot,F_OS_vis_0_14_yr,F_OS_vis_15_24_yr,F_OS_vis_25_34_yr,F_OS_vis_35_44_yr,F_OS_vis_45_54_yr,F_OS_vis_55_64_yr,F_OS_vis_65_74_yr,F_OS_vis_75_84_yr,F_OS_vis_85_yr_over,F_Overseas_v_Total,F_Tot_0_14_yr,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Part_r_mar_0_14,P_Part_r_mar_15_24,P_Part_r_mar_25_34,P_Part_r_mar_35_44,P_Part_r_mar_45_54,P_Part_r_mar_55_64,P_Part_r_mar_65_74,P_Part_r_mar_75_84,P_Part_r_mar_85ov,P_Part_r_mar_Tot,P_Part_de_f_mar_0_14,P_Part_de_f_mar_15_24,P_Part_de_f_mar_25_34,P_Part_de_f_mar_35_44,P_Part_de_f_mar_45_54,P_Part_de_f_mar_55_64,P_Part_de_f_mar_65_74,P_Part_de_f_mar_75_84,P_Part_de_f_mar_85ov,P_Part_de_f_mar_Tot,P_LPar_0_14_yr,P_LPar_15_24_yr,P_LPar_25_34_yr,P_LPar_35_44_yr,P_LPar_45_54_yr,P_LPar_55_64_yr,P_LPar_65_74_yr,P_LPar_75_84_yr,P_LPar_85_yr_over,P_LPar_Tot,P_Child_u_15_0_14_yr,P_Child_u_15_15_24_yr,P_Child_u_15_25_34_yr,P_Child_u_15_35_44_yr,P_Child_u_15_45_54_yr,P_Child_u_15_55_64_yr,P_Child_u_15_65_74_yr,P_Child_u_15_75_84_yr,P_Child_u_15_85_yr_over,P_Child_u_15_Tot,P_Dep_stu15_24_0_14,P_Dep_stu15_24_15_24,P_Dep_stu15_24_25_34,P_Dep_stu15_24_35_44,P_Dep_stu15_24_45_54,P_Dep_stu15_24_55_64,P_Dep_stu15_24_65_74,P_Dep_stu15_24_75_84,P_Dep_stu15_24_85_over,P_Dep_stu15_24_Tot,P_Non_dep_child_0_14,P_Non_dep_child_15_24,P_Non_dep_child_25_34,P_Non_dep_child_35_44,P_Non_dep_child_45_54,P_Non_dep_child_55_64,P_Non_dep_child_65_74,P_Non_dep_child_75_84,P_Non_dep_child_85_over,P_Non_dep_child_Tot,P_Oth_rel_ind_0_14,P_Oth_rel_ind_15_24,P_Oth_rel_ind_25_34,P_Oth_rel_ind_35_44,P_Oth_rel_ind_45_54,P_Oth_rel_ind_55_64,P_Oth_rel_ind_65_74,P_Oth_rel_ind_75_84,P_Oth_rel_ind_85ov,P_Oth_rel_ind_Tot,P_Unrel_ind_liv_fam_hh_0_14,P_Unre_ind_liv_fam_hh_15_24,P_Unre_ind_liv_fam_hh_25_34,P_Unre_ind_liv_fam_hh_35_44,P_Unre_ind_liv_fam_hh_45_54,P_Unre_ind_liv_fam_hh_55_64,P_Unre_ind_liv_fam_hh_65_74,P_Unre_ind_liv_fam_hh_75_84,P_Unrel_ind_liv_fam_hh_85ov,P_Unrel_ind_liv_fam_hh_Tot,P_Group_hh_mem_0_14,P_Group_hh_mem_15_24,P_Group_hh_mem_25_34,P_Group_hh_mem_35_44,P_Group_hh_mem_45_54,P_Group_hh_mem_55_64,P_Group_hh_mem_65_74,P_Group_hh_mem_75_84,P_Group_hh_mem_85ov,P_Group_hh_mem_Tot,P_LPer_0_14_yr,P_LPer_15_24_yr,P_LPer_25_34_yr,P_LPer_35_44_yr,P_LPer_45_54_yr,P_LPer_55_64_yr,P_LPer_65_74_yr,P_LPer_75_84_yr,P_LPer_85_yr_over,P_LPer_Tot,P_Vis_from_within_Aus_0_14,P_Vis_from_within_Aus_15_24,P_Vis_from_within_Aus_25_34,P_Vis_from_within_Aus_35_44,P_Vis_from_within_Aus_45_54,P_Vis_from_within_Aus_55_64,P_Vis_from_within_Aus_65_74,P_Vis_from_within_Aus_75_84,P_Vis_from_within_Aus_85ov,P_Vis_from_within_Aus_Tot,P_OS_vis_0_14_yr,P_OS_vis_15_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_Overseas_v_Total,P_Tot_0_14_yr,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
50101,..,89,85,28,20,12,9,0,0,263,..,96,188,61,64,93,42,18,6,561,..,51,142,164,318,567,777,595,350,2961,61,100,81,66,47,75,80,38,14,569,3,0,4,3,0,5,0,0,0,31,4997,2105,2539,3830,3717,3461,3204,1626,585,26065,..,39,1473,3930,4022,3899,4040,1939,371,19712,..,346,1449,1290,1024,721,382,100,10,5326,..,26,199,616,733,287,102,72,48,2084,10115,..,..,..,..,..,..,..,..,10115,..,1883,..,..,..,..,..,..,..,1883,..,1376,454,160,122,68,19,4,0,2193,..,165,81,41,45,104,131,66,48,678,..,166,190,77,48,34,23,6,0,539,..,221,438,147,158,199,92,37,13,1309,..,121,328,430,676,1001,1277,843,475,5154,146,173,162,135,119,136,141,66,17,1102,4,3,20,3,3,13,4,3,0,56,10264,4515,4792,6824,6955,6470,6204,3143,984,50153
50102,..,163,121,53,25,26,9,7,0,409,..,210,250,90,136,162,122,41,7,1022,..,182,339,331,638,1138,1306,1078,541,5555,150,216,154,87,82,117,96,39,30,978,6,8,5,4,3,6,5,7,0,49,9507,5426,5911,6587,6876,6609,5348,2831,916,50010,..,194,3662,6888,7488,7672,6620,3152,564,36237,..,1254,3102,1858,1582,1248,560,140,19,9760,..,161,756,1399,1300,523,298,200,131,4761,19451,..,..,..,..,..,..,..,..,19451,..,3911,..,..,..,..,..,..,..,3911,..,3479,1117,473,314,184,45,0,0,5613,..,424,300,119,144,263,258,149,82,1741,..,320,307,152,85,66,32,15,3,987,..,422,606,266,301,343,256,79,18,2290,..,403,937,963,1463,2107,2216,1547,746,10380,314,409,329,230,185,212,174,84,41,1975,10,17,21,13,10,8,13,3,0,93,19776,10993,11140,12366,12872,12621,10465,5371,1596,97201
50103,..,23,12,5,10,3,6,0,0,61,..,25,28,14,29,45,35,11,4,184,..,32,53,73,142,298,337,278,119,1329,33,50,46,16,28,51,27,13,3,261,0,3,0,0,0,4,0,0,0,13,1770,879,925,1210,1427,1821,1514,786,201,10537,..,27,546,1263,1558,2021,1961,900,144,8429,..,204,542,406,442,444,227,76,3,2344,..,12,101,200,190,120,65,43,21,746,3590,..,..,..,..,..,..,..,..,3590,..,633,..,..,..,..,..,..,..,633,..,613,180,91,68,44,8,0,0,1008,..,74,28,13,15,75,48,50,22,322,..,53,29,14,21,18,9,3,0,155,..,51,75,35,62,90,70,22,8,409,..,75,146,180,335,589,680,456,158,2629,65,96,82,45,61,86,55,23,11,524,4,8,7,0,0,8,3,0,0,29,3654,1842,1743,2240,2747,3485,3137,1582,375,20806
50201,..,155,92,46,33,27,16,7,0,369,..,156,145,83,130,179,131,59,11,896,..,162,304,287,583,1148,1640,1504,757,6387,168,171,109,89,120,120,118,62,33,1000,5,5,8,5,6,7,3,3,0,36,8954,5263,5338,5884,6381,6885,6878,4229,1336,51143,..,146,3000,5525,6511,7565,8284,5043,964,37044,..,1088,2730,1834,1478,1225,764,280,47,9449,..,164,871,1282,1342,714,333,206,143,5058,17669,..,..,..,..,..,..,..,..,17669,..,4057,..,..,..,..,..,..,..,4057,..,3249,1240,538,338,195,50,0,0,5611,..,500,244,139,169,278,293,177,117,1922,..,294,238,113,89,69,34,8,3,854,..,311,414,198,287,333,281,115,29,1967,..,313,799,788,1280,2107,2831,2268,1092,11473,302,342,264,217,245,217,207,105,41,1942,6,7,9,14,8,17,12,0,0,86,17985,10478,9812,10654,11754,12721,13098,8212,2429,97135
50301,..,63,79,19,9,11,5,0,0,188,..,449,453,49,32,57,35,31,5,1113,..,187,324,256,232,512,852,876,599,3846,58,101,118,75,56,44,48,28,13,538,11,10,12,10,9,13,19,4,0,85,5729,4503,3094,3999,5029,4267,3552,2345,1003,33520,..,33,1450,5085,7112,5852,4703,2826,717,27769,..,276,1312,759,695,584,321,119,27,4088,..,9,62,326,739,473,163,82,91,1939,11711,..,..,..,..,..,..,..,..,11711,..,5686,..,..,..,..,..,..,..,5686,..,1351,1033,203,142,81,25,0,0,2848,..,287,141,32,32,74,97,100,85,850,..,126,180,36,11,13,8,0,3,380,..,854,1043,143,77,113,58,57,14,2360,..,313,682,535,532,907,1302,1195,771,6230,134,207,219,144,101,85,85,59,22,1058,16,18,29,14,20,31,27,14,8,179,11867,9158,6150,7274,9477,8216,6789,4446,1724,65100
50302,..,135,220,61,13,9,3,0,0,431,..,1132,1675,282,105,95,65,32,10,3397,..,548,1957,1256,919,1321,1403,929,542,8872,50,171,182,93,62,76,78,39,14,766,0,13,30,9,15,19,25,0,4,111,6985,5654,11001,8157,6097,5228,4029,1952,850,49961,..,162,5184,8921,6725,5397,4173,1764,421,32740,..,1145,5999,2565,1446,1073,489,132,20,12869,..,21,192,700,1007,567,215,144,119,2968,14195,..,..,..,..,..,..,..,..,14195,..,3916,..,..,..,..,..,..,..,3916,..,1320,901,268,202,148,25,0,0,2865,..,524,550,144,83,176,195,93,69,1843,..,246,500,126,38,27,12,0,0,952,..,2046,3579,712,278,245,181,70,20,7138,..,1016,3952,3050,2162,2582,2468,1413,724,17367,122,286,388,188,159,133,123,58,16,1473,10,22,52,21,34,29,37,8,6,214,14330,10707,21296,16698,12131,10385,7920,3677,1395,98533
50401,..,118,150,34,20,13,13,6,0,352,..,338,510,156,138,164,77,38,8,1426,..,190,660,549,635,912,1190,889,484,5513,82,130,102,76,65,70,45,40,23,651,4,4,9,8,5,16,20,3,0,68,6351,4137,6534,6146,5205,4709,4063,2250,904,40303,..,117,3805,6645,5424,4978,4332,2238,479,28016,..,666,3485,1944,1197,749,367,109,11,8521,..,49,328,792,1075,596,318,195,169,3523,13072,..,..,..,..,..,..,..,..,13072,..,3511,..,..,..,..,..,..,..,3511,..,2065,1434,482,332,203,43,3,0,4567,..,484,413,161,148,257,255,178,124,2027,..,245,379,116,72,52,29,10,0,908,..,755,1271,433,361,335,192,80,12,3437,..,344,1366,1344,1379,1786,1972,1320,641,10150,171,248,248,170,161,141,94,56,33,1327,4,3,19,12,6,27,30,8,0,106,13247,8489,12736,12114,10160,9139,7621,4197,1474,79179
50402,..,65,30,15,14,19,11,4,0,155,..,22,49,22,63,52,56,10,4,272,..,29,80,78,176,353,501,444,201,1864,65,79,73,38,41,45,42,27,8,418,0,3,4,3,0,5,4,0,0,19,3427,2143,2033,2489,2912,2893,2381,1290,395,19961,..,35,1329,2626,3313,3548,2967,1461,252,15525,..,271,1084,841,732,577,264,82,9,3869,..,33,169,372,501,314,154,103,64,1704,6975,..,..,..,..,..,..,..,..,6975,..,1986,..,..,..,..,..,..,..,1986,..,1591,718,255,167,87,22,0,0,2841,..,174,107,42,74,130,151,104,55,838,..,123,78,40,42,37,24,11,0,347,..,71,111,69,117,133,99,25,4,645,..,71,221,233,443,663,831,625,279,3374,124,150,126,103,83,67,57,46,16,770,0,0,6,4,0,7,5,3,0,40,7096,4506,3957,4584,5476,5553,4580,2461,684,38900
50403,..,197,179,68,64,37,17,10,3,581,..,257,287,123,146,196,116,28,11,1158,..,230,666,501,666,1117,1172,720,315,5392,201,249,204,113,87,123,96,59,23,1151,9,9,20,8,10,46,31,7,0,136,15055,8574,11102,10636,9298,7879,5047,2388,728,70709,..,330,8076,12741,10800,9233,5909,2579,483,50154,..,1471,4677,2796,1930,1162,415,113,6,12567,..,175,1161,1755,1925,1079,435,250,123,6910,30811,..,..,..,..,..,..,..,..,30811,..,7306,..,..,..,..,..,..,..,7306,..,5604,2740,767,400,186,41,3,0,9743,..,884,774,281,318,532,547,334,156,3832,..,431,497,209,160,83,62,18,8,1480,..,518,892,428,363,398,242,69,17,2926,..,433,1628,1389,1550,2132,1903,1103,440,10576,398,465,430,303,219,220,174,99,30,2343,14,13,26,14,20,66,44,15,6,212,31218,17626,20897,20685,17688,15107,9788,4576,1271,138850
50501,..,183,134,45,37,29,7,10,5,445,..,245,316,92,101,145,118,40,9,1063,..,166,414,306,494,1107,1707,1330,703,6219,187,226,180,118,90,106,97,51,30,1079,8,10,13,7,13,16,19,11,0,94,14265,8884,7919,10688,11257,10818,8737,3834,1333,77729,..,103,4753,13444,15176,14788,12381,4645,839,66127,..,820,4251,2804,2032,1361,554,126,18,11972,..,67,444,1380,1915,1130,504,262,166,5872,29055,..,..,..,..,..,..,..,..,29055,..,9640,..,..,..,..,..,..,..,9640,..,5716,3028,885,497,217,51,0,0,10397,..,568,350,149,138,310,415,283,208,2412,..,340,345,140,94,73,33,15,5,1047,..,603,878,307,255,299,221,85,21,2663,..,350,962,938,1241,1950,2579,1804,921,10738,380,426,359,268,224,192,175,76,48,2142,13,16,26,20,22,24,26,12,4,167,29445,18641,15395,20334,21600,20352,16939,7308,2217,152230
