SA3_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
50101,27206,29361,56563,1576,1515,3087,4098,3918,8014,1610,1448,3057,998,864,1865,2655,2968,5622,3393,4200,7589,3637,4083,7724,3493,4027,7526,3478,3694,7178,1750,1835,3585,518,803,1322,118,63,181,26113,28167,54276,1092,1193,2287,514,491,1005,5,17,21,11,3,14,534,515,1048,19987,21151,41138,5343,6280,11623,23814,25677,49488,1544,1838,3384,23672,25488,49156,400,408,807,3804,3587,7390,1110,1028,2144,162,202,369,425,1171,1598,10414,12915,23328,2441,2488,4927,5221,5261,10484,1067,933,1995,576,513,1086,75,46,126
50102,51290,53109,104404,3141,2929,6071,7588,7016,14600,3343,3279,6624,2647,2488,5137,5847,6284,12136,6441,6902,13339,6639,7232,13875,6579,6989,13569,5490,5608,11100,2740,3087,5826,833,1289,2126,73,60,128,49627,52204,101829,1657,911,2567,1751,1770,3519,15,15,30,40,39,80,1804,1824,3630,38990,40068,79060,9570,10461,20032,44186,46170,90354,3826,4331,8158,44604,46665,91268,848,768,1620,7096,6573,13666,2256,2275,4535,394,548,944,789,1958,2746,15606,19633,35249,5161,5399,10561,12770,11769,24541,2700,2284,4988,1378,1312,2693,171,125,295
50103,11783,11800,23576,578,566,1140,1473,1356,2827,610,604,1211,484,375,858,1027,1074,2098,1214,1372,2587,1540,1589,3129,1903,2039,3943,1832,1677,3511,898,873,1769,216,277,495,44,49,91,11260,11422,22678,522,375,900,292,286,577,11,11,30,4,5,7,305,308,614,8688,8596,17284,2062,2257,4325,10252,10325,20578,577,611,1192,10207,10264,20469,141,147,288,1324,1224,2549,364,404,772,48,53,103,117,321,429,3714,4590,8308,1083,1180,2260,2920,2417,5332,659,496,1152,361,311,666,63,40,100
50201,48406,54038,102451,2846,2810,5663,6603,6587,13191,2984,2934,5921,2464,2594,5056,4696,5611,10308,5010,6158,11171,5641,6662,12309,6097,7181,13280,6569,7195,13763,4208,4524,8737,1269,1783,3055,51,59,116,47913,53228,101142,493,811,1304,1392,1496,2888,31,34,70,25,31,55,1449,1557,3009,33737,36761,70496,12275,14632,26904,43174,47610,90781,2851,3745,6593,42503,47093,89595,780,778,1559,6186,6150,12339,2039,2174,4214,546,772,1322,773,1979,2758,15851,19626,35474,4730,5456,10188,11567,12461,24026,2783,2664,5440,1529,1496,3025,138,124,262
50301,34624,37013,71639,1586,1465,3050,4962,4651,9609,3014,3080,6091,2651,2587,5234,3372,3418,6786,3510,4259,7774,4643,5237,9875,4190,4480,8671,3481,3827,7307,2327,2638,4973,895,1366,2262,145,133,276,32412,34466,66878,2213,2545,4760,244,292,538,7,10,16,3,6,15,259,310,565,22426,23630,46052,10793,11792,22589,28475,29718,58194,4732,5684,10416,29952,31751,61702,563,516,1075,4763,4487,9246,2743,2836,5576,1793,1770,3562,1288,1726,3010,22153,23733,45884,1454,1576,3037,2076,2823,4895,760,807,1574,237,308,543,42,56,99
50302,56485,56395,112884,2738,2543,5280,5040,4868,9902,2128,2240,4367,3797,4419,8215,12062,12362,24423,9863,8968,18834,7219,6767,13985,6120,5794,11914,4524,4567,9091,2181,2399,4578,816,1473,2293,669,425,1090,51189,52221,103410,5301,4178,9470,572,604,1176,19,11,27,6,14,25,602,624,1225,31028,30852,61881,20886,22191,43076,39267,38451,77718,12225,14223,26445,42438,42577,85017,832,698,1530,4769,4639,9408,1783,1890,3672,1812,2343,4146,3263,4343,7605,35044,36259,71304,2678,2506,5183,4217,4381,8593,987,889,1878,645,914,1560,203,294,492
50401,40623,42047,82674,2568,2414,4986,4581,4144,8726,2013,1860,3870,2507,2411,4925,6477,6779,13252,6225,6349,12575,5148,5373,10519,4617,4843,9452,3709,4206,7911,2096,2446,4539,693,1228,1922,58,85,143,40244,41527,81771,388,526,909,693,694,1381,21,17,38,31,27,60,739,736,1486,24811,25013,49816,14214,15508,29720,29204,29432,58638,9697,10971,20670,34447,35636,70084,768,672,1437,4332,3934,8267,1569,1542,3105,1015,1026,2042,1620,2338,3959,20705,22347,43054,2846,2642,5487,5585,5728,11313,1304,1269,2568,1118,1464,2575,274,378,654
50402,21499,20776,42282,1111,1048,2170,2710,2501,5211,1347,1254,2599,1287,982,2271,2618,2128,4750,2717,2590,5305,2940,3014,5949,2879,2985,5863,2305,2441,4744,1241,1344,2590,340,493,828,25,26,50,19564,20610,40167,1939,170,2109,1131,570,1702,23,6,26,37,3,42,1192,576,1766,15679,14723,30407,5082,5292,10366,17599,18315,35914,1293,1627,2919,17721,18581,36303,305,297,601,2560,2365,4927,968,950,1917,311,352,660,389,815,1208,8024,9393,17420,1856,1846,3704,5321,3866,9189,869,778,1647,480,434,914,158,52,206
50403,71615,74252,145862,5707,5264,10972,11087,10358,21445,4865,4476,9340,4644,4516,9160,10284,11690,21976,10578,11147,21720,8844,9698,18541,7587,8175,15765,5012,5294,10302,2353,2608,4962,656,1021,1675,148,167,316,70644,73079,143725,972,1172,2138,2434,2589,5020,64,59,114,52,61,116,2549,2704,5256,45004,45636,90645,23625,25680,49304,51828,52622,104452,16414,18060,34470,61036,62462,123496,1634,1431,3065,10466,9753,20225,3521,3384,6910,1329,1572,2901,1850,3406,5259,28727,32818,61550,6077,6035,12114,12396,11839,24235,2665,2466,5129,1518,1761,3272,494,709,1205
50501,76654,80142,156791,4427,4179,8608,11017,10359,21378,5338,4951,10284,4698,4165,8863,7739,8169,15912,9921,10937,20863,10591,11489,22085,9780,11051,20833,8405,8959,17363,3658,4099,7753,1074,1780,2856,98,111,211,75913,79117,155029,739,1024,1763,652,644,1295,32,26,60,15,23,40,703,694,1394,47010,47836,94845,27839,30414,58255,66959,68692,135652,7711,9415,17127,68461,71087,139545,1443,1345,2788,10704,10016,20718,4263,4218,8475,1969,1993,3966,1898,3176,5077,37738,41823,79553,6148,6158,12309,11876,11860,23741,2397,2246,4638,895,1125,2021,147,187,335
