SA3_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
50101,1328,2601,1242,688,1120,524,20,7526,879,1980,1440,1059,1384,428,9,7178,420,779,601,509,989,282,4,3585,172,186,120,91,611,140,0,1322,9028,13347,6530,4798,8437,3163,160,45456
50102,2248,4293,2112,1515,2690,692,16,13569,1287,2733,1925,1667,2850,625,14,11100,636,1177,850,827,1843,485,7,5826,225,334,168,139,855,406,0,2126,16044,22963,10738,9062,19259,5547,122,83728
50103,586,1211,672,509,665,286,9,3943,420,864,691,593,689,256,4,3511,175,321,264,312,524,177,0,1769,50,52,49,49,239,48,0,495,3373,5205,2904,2531,3885,1624,88,19606
50201,2147,4105,2095,1433,2987,498,16,13280,1492,3320,2328,2029,3962,603,21,13763,932,1720,1258,1188,2990,642,4,8737,328,406,225,226,1389,480,5,3055,14912,21652,10635,9421,22225,4652,100,83597
50301,1727,3378,1496,769,968,292,42,8671,1105,2397,1452,810,1195,322,33,7307,676,1285,909,584,1157,342,15,4973,296,406,241,155,863,287,8,2262,14821,17326,7925,5074,10979,2607,243,58971
50302,2491,4248,1519,672,2051,825,108,11914,1360,2736,1394,669,2148,713,63,9091,568,1019,602,375,1517,476,21,4578,239,312,149,81,1185,318,7,2293,23518,28713,9191,5425,22292,7523,1040,97703
50401,1773,3059,1283,748,2202,363,31,9452,974,2114,1250,937,2328,275,30,7911,553,944,594,504,1641,286,5,4539,246,254,147,112,975,194,0,1922,14954,20019,7706,5344,17700,3109,140,68970
50402,979,1974,960,602,1007,329,10,5863,558,1258,895,755,1064,211,5,4744,302,604,383,402,739,166,0,2590,117,110,79,57,339,132,0,828,6805,9641,4592,3592,6893,3330,51,34902
50403,2668,4765,2086,1449,4064,651,71,15765,1348,2489,1544,1246,3126,499,52,10302,567,964,649,574,1833,363,12,4962,194,224,111,89,831,224,4,1675,23427,29668,12012,10095,31990,5961,295,113447
50501,3995,7686,3344,1847,3440,480,43,20833,2213,5150,3397,2265,3901,414,31,17363,915,1750,1206,969,2474,431,17,7753,348,441,217,158,1418,272,3,2856,29096,38413,17033,11194,27016,3866,195,126814
50502,4188,7345,2909,1675,4725,790,87,21718,2616,4940,2921,1944,4855,731,62,18067,1374,2588,1771,1298,4017,726,25,11802,679,869,413,299,2717,442,4,5422,37933,47101,18402,12656,43799,8100,410,168401
50503,3668,6480,2711,1808,5369,681,63,20779,1871,3587,2272,1677,4344,519,55,14335,869,1554,997,797,2849,524,18,7601,268,355,180,110,1280,386,3,2572,33610,41919,17226,13408,44153,6664,334,157309
50601,1567,2778,1209,837,2229,408,48,9069,830,1663,1111,957,2018,293,60,6932,363,637,455,409,1162,249,21,3295,122,129,68,54,486,172,0,1023,13944,18692,8046,6916,18920,3705,176,70401
50602,1511,2380,909,601,1976,535,54,7963,772,1487,835,556,1719,358,34,5758,356,556,337,256,1116,244,10,2877,167,204,90,56,598,170,0,1279,13956,17292,5914,4089,17379,4624,241,63503
50603,1753,3131,1515,984,2233,342,78,10036,1058,2235,1453,1077,2047,281,73,8227,579,1006,686,558,1561,392,25,4809,240,303,137,111,952,437,12,2189,16818,20100,8664,6701,23385,4063,330,80070
50604,2082,3602,1657,1225,3517,497,67,12658,1278,2345,1506,1275,3128,428,75,10043,586,992,635,568,1937,352,18,5093,181,235,125,87,946,287,6,1873,18679,23270,10041,8687,30998,6400,294,98372
50605,1241,2365,1030,669,1352,237,7,6904,692,1605,1212,877,1414,199,7,5990,383,823,559,523,1029,195,6,3516,177,210,95,86,580,118,7,1266,9666,13243,5997,4598,10437,1891,51,45883
50606,546,971,491,381,676,156,8,3234,236,489,368,324,541,107,9,2080,87,161,146,136,342,57,3,927,20,35,13,25,128,29,0,252,4679,6374,2741,2624,5473,1264,37,23199
50607,968,1858,720,416,865,185,22,5025,675,1427,792,481,1023,206,30,4622,321,527,366,241,803,214,0,2467,114,176,72,62,565,251,0,1232,8871,11036,4077,2571,8038,1808,164,36564
50701,2239,3916,1632,1064,2833,398,43,12125,1151,2336,1369,1029,2599,377,48,8910,517,935,591,488,1640,412,9,4583,204,255,118,100,767,319,0,1775,19963,25739,10160,7741,22873,3924,189,90585
50702,1133,2104,742,368,819,300,32,5502,619,1388,755,432,953,250,16,4418,292,602,316,235,748,196,6,2390,122,140,64,60,560,183,3,1132,7853,10538,4020,2450,6443,2300,215,33822
50703,623,1148,526,384,1089,228,14,4012,307,581,380,362,855,153,22,2664,133,228,154,148,564,71,10,1301,48,62,24,21,228,33,0,413,6438,8580,3542,3195,9661,2951,68,34433
50704,2442,4794,2158,1173,1983,412,42,13009,1549,3470,2244,1569,2474,453,44,11797,821,1594,1073,819,2024,492,17,6843,412,541,332,186,1504,466,7,3453,19862,25499,11350,7700,18010,3663,262,86339
50705,2411,4712,2035,1429,3532,534,42,14706,1232,2523,1636,1414,3147,474,33,10455,658,1164,798,728,2175,515,13,6054,222,290,143,122,900,387,8,2063,20299,27274,11813,9841,26732,5694,184,101841
50901,1573,2957,1457,829,1441,590,7,8850,980,1962,1366,1214,1577,534,14,7629,507,857,636,645,1238,368,9,4254,200,246,142,139,681,211,4,1628,9531,13788,6822,5383,9987,4224,77,49812
50902,1418,2574,1300,1030,1770,978,0,9063,962,1735,1214,1248,1994,811,7,7972,380,691,519,568,1192,505,4,3857,125,158,102,95,491,177,0,1145,8044,11314,5642,5297,10525,5824,185,46831
50903,544,860,428,303,597,290,3,3028,342,563,351,370,587,227,0,2445,176,228,186,166,374,158,0,1284,62,64,38,23,191,99,0,476,3166,4167,1962,1689,3327,1741,34,16085
51001,1379,1970,663,375,1751,1124,17,7273,989,1469,729,446,1876,793,26,6330,246,334,163,121,538,287,0,1680,21,16,14,13,102,56,0,216,8430,10041,3746,2481,9581,6831,365,41479
51002,700,867,280,193,1493,1442,26,5007,209,324,133,100,525,359,8,1667,49,57,31,20,109,63,3,338,5,10,0,0,19,8,0,52,5037,6254,2005,1561,9320,9705,187,34070
51003,759,1103,381,228,1351,1468,40,5332,303,531,216,185,653,542,19,2457,71,116,58,58,175,121,5,604,3,11,3,0,16,8,0,41,5512,7549,2636,2088,8438,9359,243,35822
51101,414,668,292,214,457,245,3,2293,208,382,256,234,449,182,3,1706,109,190,127,131,303,148,0,1016,50,59,24,25,131,30,0,316,2632,3474,1547,1236,2889,1578,43,13397
