SA3_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
50101,4,5,6,124,30,155,6,0,7,0,0,0,17,9,31,8156,8394,16546,625,629,1254,135,4,141,28,4,31,216,86,300,246,62,312,345,356,704,9901,9588,19492,3,0,3,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,3,8,11,0,0,0,0,0,0,12,10,18,4,3,8,13,3,13,26,12,37,128,50,179,154,66,223,0,0,0,12,0,14,3,0,10,19,0,19,1166,1633,2795,1947,2166,4112,88,91,184,13272,13558,26827
50102,15,9,23,556,119,671,4,3,9,0,0,0,43,43,88,17036,16259,33291,1412,1359,2777,282,10,291,101,11,109,177,54,235,336,116,444,400,398,800,20355,18383,38736,4,0,4,0,0,0,0,0,0,9,4,18,0,3,5,0,0,0,12,13,25,0,0,0,0,0,0,225,59,282,16,14,36,26,5,26,260,74,339,236,108,348,511,197,714,3,0,3,25,3,32,7,3,11,39,12,53,897,1418,2309,2956,3274,6230,162,93,250,24921,23375,48291
50103,0,0,6,90,19,109,0,0,0,0,0,0,0,0,5,3372,3097,6472,272,276,541,84,3,88,31,3,34,32,10,41,90,22,113,286,224,513,4261,3662,7924,4,0,4,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,6,3,13,0,0,0,8,0,8,16,3,17,49,23,71,69,29,93,0,0,0,0,0,0,0,0,0,3,0,3,654,674,1326,638,701,1339,67,47,111,5690,5111,10802
50201,271,300,570,312,181,493,5,0,3,0,0,0,40,36,76,12564,13065,25629,914,1021,1936,268,14,282,61,5,67,76,35,109,619,163,782,210,232,440,15345,15055,30397,99,87,185,0,0,0,0,0,0,154,140,291,21,23,39,14,3,14,285,248,526,0,0,0,0,0,0,40,9,45,12,31,47,16,10,29,71,50,119,226,88,309,574,391,965,84,81,160,12,9,18,13,3,14,100,94,194,1038,1698,2735,3417,3214,6634,134,102,231,20598,20553,41151
50301,602,436,1040,872,658,1533,3,0,3,0,0,0,46,51,95,10169,8923,19087,546,816,1365,36,4,31,111,14,122,594,188,778,112,48,162,546,562,1113,13640,11689,25333,95,94,196,0,4,5,0,0,0,51,56,101,11,21,29,14,9,25,174,180,357,0,0,0,0,0,0,30,41,70,18,31,49,22,6,30,65,82,144,110,61,173,354,326,678,36,34,66,18,7,22,5,4,11,54,43,101,2315,2460,4772,1402,2235,3636,77,66,141,17843,16818,34660
50302,927,904,1833,3429,3277,6708,4,8,12,3,0,3,268,314,585,15357,13663,29019,909,1691,2603,100,0,100,219,44,266,1041,382,1426,540,186,727,2681,2242,4926,25479,22719,48199,415,561,971,0,0,3,0,0,0,49,37,84,28,28,55,58,29,91,552,660,1211,5,0,6,0,0,0,56,62,112,32,89,123,91,99,191,188,252,443,231,156,385,967,1068,2032,86,119,208,45,33,81,16,3,24,153,155,307,3227,3133,6358,3005,4011,7012,126,98,222,32955,31176,64133
50401,763,743,1499,811,859,1669,9,0,9,3,0,5,116,120,230,14266,12472,26743,716,1149,1866,162,0,165,127,8,137,396,108,505,309,93,399,190,169,362,17851,15725,33582,186,211,402,0,0,0,0,0,0,136,142,283,18,44,59,17,17,35,363,420,781,0,0,0,0,0,3,57,65,122,25,62,82,23,16,43,108,138,251,161,100,256,636,659,1286,49,79,129,17,7,24,4,0,4,75,85,165,1522,1821,3345,1955,2821,4776,90,55,145,22134,21164,43294
50402,100,104,203,99,69,171,0,0,0,0,0,0,17,18,36,6691,6262,12949,346,409,752,194,10,211,58,7,70,49,15,56,172,44,214,69,91,164,7802,7016,14820,49,35,77,0,0,0,0,0,0,146,109,252,14,17,36,3,0,3,204,166,366,0,0,0,0,0,0,8,9,16,6,10,14,5,3,6,19,17,32,75,38,111,295,221,520,21,35,56,4,5,5,3,0,3,27,33,65,702,1004,1706,1193,1436,2627,74,45,116,10094,9752,19848
50403,347,402,749,455,398,859,9,0,9,6,0,0,112,104,218,26497,23049,49542,1401,1877,3284,520,20,545,173,9,182,145,39,184,796,172,971,374,360,731,30828,26453,57282,241,288,527,0,0,0,0,0,0,315,350,666,35,51,82,21,11,29,610,694,1306,0,0,0,0,0,0,36,45,81,30,57,85,30,24,51,92,126,216,297,186,486,1008,1003,2007,98,155,250,18,12,30,6,13,16,122,173,296,1714,2719,4424,3844,4529,8371,165,120,283,37672,34995,72663
50501,1715,1557,3269,245,174,421,11,9,17,0,6,5,90,71,158,26511,24434,50941,1275,1639,2910,473,9,481,179,15,194,261,49,310,630,97,727,308,386,698,31706,28439,60142,753,545,1298,0,0,0,0,0,0,669,559,1223,101,105,202,77,12,90,1595,1219,2815,0,0,0,0,0,0,34,18,54,12,21,37,24,7,27,69,50,119,225,120,343,1895,1384,3279,245,233,474,5,3,10,17,0,19,267,239,496,3518,4424,7943,4169,5897,10062,116,106,223,41663,40491,82151
