SA3_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
50101,63,91,191,207,222,145,53,0,0,984,69,68,146,226,225,174,73,25,3,1013,1860,1451,4281,6111,6282,4943,1654,213,26,26827
50102,121,217,407,380,426,288,80,11,0,1929,134,179,365,408,361,273,107,29,9,1862,3365,3785,8859,10317,10845,8553,2270,272,24,48291
50103,26,24,65,55,79,73,21,0,0,351,31,33,67,74,75,97,56,24,0,465,602,614,1511,1956,2377,2525,982,212,12,10802
50201,132,162,376,300,325,267,82,12,4,1659,127,172,343,345,363,281,114,34,7,1789,2919,3581,7214,8166,9151,7817,2040,241,21,41151
50301,85,137,137,141,147,121,68,17,0,854,90,145,210,250,385,241,105,41,12,1476,2475,3662,5228,6200,8064,5952,2454,558,54,34660
50302,62,189,505,393,262,237,93,8,3,1756,64,250,780,593,402,259,108,22,0,2478,2063,5841,19550,15044,10845,7826,2605,335,25,64133
50401,55,180,438,375,327,253,99,9,0,1734,62,172,550,468,362,281,86,21,5,2006,1790,3789,10812,10219,8340,6316,1832,187,12,43294
50402,50,101,186,193,193,147,55,8,0,943,59,98,168,185,247,176,63,15,3,1008,1315,1661,3185,3777,4574,4031,1155,148,6,19848
50403,163,381,899,765,640,436,115,12,0,3417,180,412,878,943,745,508,143,23,8,3841,4280,6691,16767,17160,14520,10437,2536,252,22,72663
50501,175,349,613,679,651,548,192,18,0,3229,189,277,592,689,726,608,189,31,0,3298,5410,7140,13136,17646,18999,15234,4203,358,22,82151
50502,166,403,1175,938,733,544,197,40,4,4198,153,451,1275,1186,890,570,204,67,10,4809,4574,9141,26820,25045,20236,14506,4441,599,40,105402
50503,240,528,1237,1075,954,599,126,20,0,4781,262,548,1121,1251,1041,638,146,29,4,5038,6409,9729,21683,23943,22176,14077,3088,269,22,101388
50601,85,192,469,444,330,204,58,6,0,1791,119,220,649,617,449,286,76,17,7,2433,2304,3719,10132,11755,8105,5815,1423,151,9,43411
50602,51,179,440,344,241,177,73,3,0,1503,37,178,577,432,315,201,59,7,7,1818,1476,4164,12249,9415,6854,5015,1418,124,16,40726
