SA3_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
50101,4,64,0,75,1413,118,0,1610,30,30,0,59,867,59,15,998,680,59,20,765,1608,240,47,2655,1861,59,79,2007,1130,236,25,3393,1338,79,48,1461,1918,246,8,3637,219,251,8,475,2764,248,9,3493,35,421,4,463,2805,205,4,3478,9,83,0,91,1531,124,4,1750,0,3,0,4,452,62,0,518,4182,1047,157,5383,14487,1544,110,21525,8,127,0,129,1201,109,3,1448,50,57,4,110,687,68,0,864,1131,126,80,1344,1386,224,18,2968,2639,131,205,2970,982,240,10,4200,1355,206,74,1639,2212,232,8,4083,81,724,8,812,2958,258,11,4027,18,702,4,727,2733,229,5,3694,3,81,0,89,1602,143,0,1835,0,3,0,5,725,75,0,803,5286,2150,384,7819,14490,1572,49,23931,12,195,0,204,2614,230,3,3057,84,85,4,169,1559,127,15,1865,1819,192,98,2104,2996,463,65,5622,4499,185,286,4977,2104,471,34,7589,2693,274,127,3095,4125,478,14,7724
50102,17,151,0,163,2970,202,4,3343,155,93,8,253,2200,190,0,2647,1738,163,70,1964,3304,556,19,5847,3348,141,143,3627,2254,541,10,6441,1873,210,59,2136,4003,488,12,6639,324,586,13,918,5278,371,6,6579,56,625,3,683,4466,331,7,5490,12,114,3,124,2420,190,6,2740,0,8,0,8,689,137,0,833,7512,2082,288,9886,27589,3018,60,40558,18,281,0,306,2784,185,3,3279,316,182,21,516,1835,136,0,2488,2895,279,216,3386,2521,357,13,6284,4195,237,333,4762,1817,318,4,6902,1836,610,101,2546,4359,326,4,7232,131,1569,12,1714,4979,288,11,6989,36,970,3,1015,4322,273,7,5608,16,145,0,164,2671,252,8,3087,6,5,4,15,1033,245,0,1289,9451,4283,692,14420,26309,2384,58,43171,31,433,4,470,5750,398,11,6624,470,273,28,769,4035,323,7,5137,4630,438,286,5352,5831,913,35,12136,7540,378,470,8388,4069,862,16,13339,3705,822,160,4684,8358,816,13,13875
50103,0,25,0,26,527,60,0,610,19,17,0,32,410,39,8,484,311,17,7,339,567,99,25,1027,612,26,21,660,450,105,8,1214,398,39,13,447,945,145,0,1540,100,90,0,188,1563,153,0,1903,16,141,0,158,1540,129,3,1832,3,10,0,19,797,85,0,898,0,0,0,0,194,20,0,216,1458,358,43,1861,6985,838,41,9730,3,42,0,47,492,64,0,604,52,33,0,82,250,23,13,375,484,39,33,558,433,67,14,1074,789,51,59,900,356,110,6,1372,371,104,17,488,972,130,0,1589,40,278,4,320,1580,127,6,2039,9,224,0,227,1336,108,0,1677,8,26,0,34,762,77,0,873,0,0,0,0,254,25,0,277,1751,797,115,2657,6437,739,41,9877,6,65,0,73,1019,115,3,1211,69,45,0,117,663,61,22,858,797,58,42,896,998,168,39,2098,1401,75,83,1554,803,218,10,2587,765,149,21,936,1915,276,4,3129
50201,13,157,0,172,2635,175,0,2984,137,95,0,230,2091,137,0,2464,1530,147,42,1716,2698,274,5,4696,2581,120,108,2804,1922,276,10,5010,1549,223,42,1818,3548,269,8,5641,326,585,6,913,4948,227,6,6097,59,594,4,655,5617,285,12,6569,22,140,0,162,3779,270,6,4208,5,3,0,11,1107,155,0,1269,6215,2066,208,8485,28354,2070,45,38956,27,257,4,281,2471,186,0,2934,328,206,15,554,1890,141,5,2594,2793,258,180,3237,2072,294,11,5611,3729,217,293,4234,1614,302,6,6158,1582,621,86,2291,4064,296,8,6662,142,1541,8,1691,5233,247,10,7181,31,1095,3,1133,5775,274,12,7195,12,153,0,168,4005,343,5,4524,0,14,0,17,1458,314,5,1783,8650,4359,599,13608,28580,2394,56,44640,36,409,4,456,5105,360,4,5921,471,303,17,788,3985,279,3,5056,4326,404,227,4954,4772,570,19,10308,6301,335,401,7038,3533,575,15,11171,3133,848,127,4112,7617,566,12,12309
50301,0,126,0,126,2788,84,7,3014,8,54,0,59,2472,99,15,2651,381,78,13,473,2692,179,26,3372,2107,48,68,2220,1123,155,12,3510,2408,56,65,2521,1973,124,18,4643,516,229,6,747,3271,147,24,4190,71,771,0,845,2488,142,11,3481,21,312,0,329,1838,154,11,2327,0,16,0,16,772,103,5,895,5501,1678,155,7342,19421,1187,131,28078,6,200,0,204,2735,124,12,3080,15,102,0,123,2352,104,10,2587,676,169,30,876,2348,175,18,3418,2867,128,197,3185,895,161,17,4259,2585,139,91,2814,2265,140,12,5237,261,667,10,938,3382,140,18,4480,41,1347,5,1396,2244,176,18,3827,21,408,0,425,2015,190,6,2638,0,20,0,23,1162,177,0,1366,6477,3184,337,9993,19396,1389,115,30898,10,322,0,329,5525,210,21,6091,23,159,0,182,4828,205,25,5234,1059,246,44,1349,5041,353,47,6786,4968,171,270,5406,2020,316,29,7774,4990,193,152,5339,4235,268,36,9875
50302,5,74,0,81,1925,112,8,2128,15,63,0,77,3308,338,76,3797,904,208,14,1127,9655,1075,202,12062,3548,181,88,3812,5111,814,130,9863,2403,111,61,2572,3884,655,111,7219,483,278,14,775,4766,506,74,6120,71,612,4,689,3437,370,30,4524,14,204,0,220,1704,243,11,2181,0,9,0,9,676,128,3,816,7442,1743,179,9367,34461,4237,642,48709,14,144,4,161,1950,120,12,2240,37,182,4,221,3824,319,50,4419,1579,457,51,2083,9306,817,157,12362,4186,298,229,4711,3677,535,46,8968,2294,237,111,2639,3707,372,50,6767,193,778,6,982,4488,294,31,5794,42,1112,7,1163,3052,321,39,4567,7,247,0,258,1908,218,12,2399,4,19,0,18,1261,192,0,1473,8353,3469,403,12230,33177,3188,400,48991,12,221,5,241,3875,226,17,4367,53,242,5,300,7136,650,128,8215,2484,665,62,3212,18961,1892,360,24423,7733,478,316,8524,8782,1350,175,18834,4697,344,169,5213,7587,1031,158,13985
50401,5,89,0,97,1835,79,0,2013,34,77,0,110,2260,138,5,2507,1058,155,18,1230,4912,326,12,6477,2815,124,68,3005,2922,286,13,6225,1675,89,54,1815,3117,201,7,5148,311,300,6,614,3801,188,10,4617,68,509,3,582,2979,136,8,3709,8,148,0,162,1825,106,7,2096,0,9,0,12,620,63,0,693,5980,1498,147,7627,24266,1524,58,33476,6,137,0,141,1639,77,0,1860,73,143,0,219,2092,100,3,2411,1796,285,64,2138,4343,279,16,6779,3526,209,175,3914,2185,245,7,6349,1635,255,67,1964,3209,195,6,5373,141,879,11,1030,3645,151,18,4843,39,957,4,1001,3059,126,23,4206,4,200,0,204,2086,151,3,2446,0,15,0,14,1102,117,0,1228,7219,3071,325,10618,23353,1441,81,35491,11,224,0,235,3472,157,0,3870,105,218,7,329,4351,241,7,4925,2850,435,77,3363,9263,603,23,13252,6343,333,246,6923,5107,530,19,12575,3312,344,125,3782,6323,399,16,10519
50402,4,80,0,84,1191,72,0,1347,26,39,0,65,1002,224,0,1287,553,64,16,626,1259,724,5,2618,1168,38,40,1255,819,643,3,2717,922,73,43,1034,1507,394,5,2940,186,241,3,432,2208,234,10,2879,35,324,0,363,1835,105,3,2305,3,82,0,91,1074,76,0,1241,0,4,0,3,289,46,0,340,2897,945,110,3954,11184,2518,24,17674,4,114,0,119,1078,59,0,1254,61,78,4,141,794,46,5,982,937,107,44,1087,941,99,6,2128,1573,90,125,1792,687,104,0,2590,930,222,60,1213,1690,108,6,3014,79,634,12,726,2164,95,0,2985,21,584,6,607,1743,84,4,2441,3,88,0,97,1171,79,0,1344,0,4,0,4,405,88,0,493,3613,1926,246,5784,10661,760,21,17225,5,191,0,201,2262,133,0,2599,85,120,4,208,1794,267,5,2271,1484,173,63,1714,2196,820,10,4750,2744,128,165,3039,1510,749,3,5305,1849,297,104,2249,3199,498,8,5949
50403,22,243,3,265,4371,221,0,4865,149,201,5,347,4022,223,49,4644,2907,303,77,3288,6408,573,16,10284,5378,221,127,5729,4301,535,6,10578,2649,272,69,2990,5387,454,7,8844,516,577,24,1113,6125,330,25,7587,87,617,10,707,4057,229,16,5012,7,146,0,155,2038,152,7,2353,0,3,0,7,570,80,4,656,11715,2579,315,14601,37288,2799,138,54819,30,417,8,453,3782,231,4,4476,363,347,24,725,3523,256,8,4516,5172,511,259,5939,5079,644,26,11690,6675,349,337,7359,3234,546,14,11147,2559,726,125,3407,5875,407,14,9698,229,1718,28,1977,5856,285,48,8175,45,1102,7,1157,3870,240,33,5294,6,176,6,184,2230,191,7,2608,0,15,0,14,863,141,3,1021,15073,5348,784,21214,34313,2946,156,58628,47,661,12,716,8153,459,5,9340,504,542,24,1069,7548,483,54,9160,8079,812,332,9225,11490,1216,41,21976,12052,565,465,13086,7540,1076,21,21720,5206,1001,190,6395,11265,858,18,18541
50501,18,228,0,246,4954,137,0,5338,39,128,4,176,4384,138,4,4698,1757,182,41,1975,5467,281,16,7739,6020,174,199,6392,3196,324,13,9921,4340,229,114,4675,5603,296,16,10591,608,981,14,1608,7924,227,20,9780,117,1826,6,1947,6267,181,15,8405,19,370,3,389,3083,182,8,3658,0,14,0,13,968,90,4,1074,12917,4130,377,17426,41839,1848,90,61205,10,333,4,350,4474,126,4,4951,112,221,4,338,3722,101,11,4165,3007,348,169,3530,4360,267,17,8169,7509,307,500,8321,2326,284,13,10937,4260,590,176,5020,6195,265,14,11489,277,2702,24,2997,7794,240,17,11051,89,2798,11,2898,5830,210,18,8959,13,399,4,417,3433,238,9,4099,0,15,0,16,1589,170,0,1780,15288,7708,897,23890,39718,1893,100,65608,28,562,8,594,9424,263,3,10284,152,349,10,509,8105,238,15,8863,4765,530,207,5508,9833,545,31,15912,13531,481,704,14717,5516,607,27,20863,8596,812,283,9696,11798,557,33,22085
