SA3_CODE_2021,M_Part_a_r_mar_0_14,M_Part_a_r_mar_15_24,M_Part_a_r_mar_25_34,M_Part_a_r_mar_35_44,M_Part_a_r_mar_45_54,M_Part_a_r_mar_55_64,M_Part_a_r_mar_65_74,M_Part_a_r_mar_75_84,M_Part_a_r_mar_85ov,M_Part_a_r_mar_Tot,M_Part_de_f_mar_0_14,M_Part_de_f_mar_15_24,M_Part_de_f_mar_25_34,M_Part_de_f_mar_35_44,M_Part_de_f_mar_45_54,M_Part_de_f_mar_55_64,M_Part_de_f_mar_65_74,M_Part_de_f_mar_75_84,M_Part_de_f_mar_85ov,M_Part_de_f_mar_Tot,M_LPar_0_14_yr,M_LPar_15_24_yr,M_LPar_25_34_yr,M_LPar_35_44_yr,M_LPar_45_54_yr,M_LPar_55_64_yr,M_LPar_65_74_yr,M_LPar_75_84_yr,M_LPar_85_yr_over,M_LPar_Tot,M_Child_u_15_0_14_yr,M_Child_u_15_15_24_yr,M_Child_u_15_25_34_yr,M_Child_u_15_35_44_yr,M_Child_u_15_45_54_yr,M_Child_u_15_55_64_yr,M_Child_u_15_65_74_yr,M_Child_u_15_75_84_yr,M_Child_u_15_85_yr_over,M_Child_u_15_Tot,M_Dep_stu15_24_0_14,M_Dep_stu15_24_15_24,M_Dep_stu15_24_25_34,M_Dep_stu15_24_35_44,M_Dep_stu15_24_45_54,M_Dep_stu15_24_55_64,M_Dep_stu15_24_65_74,M_Dep_stu15_24_75_84,M_Dep_stu15_24_85_over,M_Dep_stu15_24_Tot,M_Non_dep_child_0_14,M_Non_dep_child_15_24,M_Non_dep_child_25_34,M_Non_dep_child_35_44,M_Non_dep_child_45_54,M_Non_dep_child_55_64,M_Non_dep_child_65_74,M_Non_dep_child_75_84,M_Non_dep_child_85_over,M_Non_dep_child_Tot,M_Oth_rel_ind_0_14,M_Oth_rel_ind_15_24,M_Oth_rel_ind_25_34,M_Oth_rel_ind_35_44,M_Oth_rel_ind_45_54,M_Oth_rel_ind_55_64,M_Oth_rel_ind_65_74,M_Oth_rel_ind_75_84,M_Oth_rel_ind_85ov,M_Oth_rel_ind_Tot,M_Unrel_ind_liv_fam_hh_0_14,M_Unre_ind_liv_fam_hh_15_24,M_Unre_ind_liv_fam_hh_25_34,M_Unre_ind_liv_fam_hh_35_44,M_Unre_ind_liv_fam_hh_45_54,M_Unre_ind_liv_fam_hh_55_64,M_Unre_ind_liv_fam_hh_65_74,M_Unre_ind_liv_fam_hh_75_84,M_Unrel_ind_liv_fam_hh_85ov,M_Unrel_ind_liv_fam_hh_Tot,M_Group_hh_mem_0_14,M_Group_hh_mem_15_24,M_Group_hh_mem_25_34,M_Group_hh_mem_35_44,M_Group_hh_mem_45_54,M_Group_hh_mem_55_64,M_Group_hh_mem_65_74,M_Group_hh_mem_75_84,M_Group_hh_mem_85ov,M_Group_hh_mem_Tot,M_LPer_0_14_yr,M_LPer_15_24_yr,M_LPer_25_34_yr,M_LPer_35_44_yr,M_LPer_45_54_yr,M_LPer_55_64_yr,M_LPer_65_74_yr,M_LPer_75_84_yr,M_LPer_85_yr_over,M_LPer_Tot,M_Vis_from_within_Aus_0_14,M_Vis_from_within_Aus_15_24,M_Vis_from_within_Aus_25_34,M_Vis_from_within_Aus_35_44,M_Vis_from_within_Aus_45_54,M_Vis_from_within_Aus_55_64,M_Vis_from_within_Aus_65_74,M_Vis_from_within_Aus_75_84,M_Vis_from_within_Aus_85ov,M_Vis_from_within_Aus_Tot,M_OS_vis_0_14_yr,M_OS_vis_15_24_yr,M_OS_vis_25_34_yr,M_OS_vis_35_44_yr,M_OS_vis_45_54_yr,M_OS_vis_55_64_yr,M_OS_vis_65_74_yr,M_OS_vis_75_84_yr,M_OS_vis_85_yr_over,M_Overseas_v_Total,M_Tot_0_14_yr,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Part_r_mar_0_14,F_Part_r_mar_15_24,F_Part_r_mar_25_34,F_Part_r_mar_35_44,F_Part_r_mar_45_54,F_Part_r_mar_55_64,F_Part_r_mar_65_74,F_Part_r_mar_75_84,F_Part_r_mar_85ov,F_Part_r_mar_Tot,F_Part_de_f_mar_0_14,F_Part_de_f_mar_15_24,F_Part_de_f_mar_25_34,F_Part_de_f_mar_35_44,F_Part_de_f_mar_45_54,F_Part_de_f_mar_55_64,F_Part_de_f_mar_65_74,F_Part_de_f_mar_75_84,F_Part_de_f_mar_85ov,F_Part_de_f_mar_Tot,F_LPar_0_14_yr,F_LPar_15_24_yr,F_LPar_25_34_yr,F_LPar_35_44_yr,F_LPar_45_54_yr,F_LPar_55_64_yr,F_LPar_65_74_yr,F_LPar_75_84_yr,F_LPar_85_yr_over,F_LPar_Tot,F_Child_u_15_0_14_yr,F_Child_u_15_15_24_yr,F_Child_u_15_25_34_yr,F_Child_u_15_35_44_yr,F_Child_u_15_45_54_yr,F_Child_u_15_55_64_yr,F_Child_u_15_65_74_yr,F_Child_u_15_75_84_yr,F_Child_u_15_85_yr_over,F_Child_u_15_Tot,F_Dep_stu15_24_0_14,F_Dep_stu15_24_15_24,F_Dep_stu15_24_25_34,F_Dep_stu15_24_35_44,F_Dep_stu15_24_45_54,F_Dep_stu15_24_55_64,F_Dep_stu15_24_65_74,F_Dep_stu15_24_75_84,F_Dep_stu15_24_85_over,F_Dep_stu15_24_Tot,F_Non_dep_child_0_14,F_Non_dep_child_15_24,F_Non_dep_child_25_34,F_Non_dep_child_35_44,F_Non_dep_child_45_54,F_Non_dep_child_55_64,F_Non_dep_child_65_74,F_Non_dep_child_75_84,F_Non_dep_child_85_over,F_Non_dep_child_Tot,F_Oth_rel_ind_0_14,F_Oth_rel_ind_15_24,F_Oth_rel_ind_25_34,F_Oth_rel_ind_35_44,F_Oth_rel_ind_45_54,F_Oth_rel_ind_55_64,F_Oth_rel_ind_65_74,F_Oth_rel_ind_75_84,F_Oth_rel_ind_85ov,F_Oth_rel_ind_Tot
50101,..,11,593,1682,1926,1880,2077,1120,242,9527,..,134,637,613,481,368,221,61,9,2527,..,0,18,94,176,75,27,23,13,426,5184,..,..,..,..,..,..,..,..,5184,..,949,..,..,..,..,..,..,..,949,..,868,317,102,75,36,6,0,0,1402,..,101,52,30,26,37,40,12,9,298,..,73,103,43,26,17,11,5,0,282,..,126,255,92,98,110,48,23,3,751,..,66,185,270,362,434,500,250,120,2194,81,72,77,72,70,62,65,31,9,530,0,0,8,4,0,6,3,4,0,29,5265,2402,2250,2999,3235,3013,3003,1519,401,24091,..,25,879,2246,2094,2022,1958,827,130,10185,..,213,808,681,545,358,160,38,0,2798,..,24,174,522,561,210,78,54,39,1664,4933,..,..,..,..,..,..,..,..,4933,..,936,..,..,..,..,..,..,..,936,..,511,138,56,48,34,8,0,0,796,..,64,30,18,24,71,90,48,43,382
50102,..,65,1464,3144,3504,3753,3453,1831,391,17608,..,495,1458,899,740,635,334,84,16,4652,..,18,66,275,319,134,87,40,32,965,10094,..,..,..,..,..,..,..,..,10094,..,1871,..,..,..,..,..,..,..,1871,..,2084,711,324,209,105,18,0,0,3454,..,237,204,91,72,92,89,37,18,840,..,154,187,102,62,44,21,7,0,581,..,213,355,173,167,180,129,36,10,1266,..,215,604,630,820,974,911,466,206,4830,169,198,177,135,98,99,75,39,6,998,6,4,11,7,5,0,3,3,0,47,10268,5559,5227,5779,5999,6018,5120,2542,675,47190,..,124,2200,3744,3981,3920,3166,1322,177,18628,..,753,1645,962,846,609,230,61,0,5111,..,140,699,1131,973,385,210,158,100,3804,9359,..,..,..,..,..,..,..,..,9359,..,2048,..,..,..,..,..,..,..,2048,..,1395,405,146,104,73,27,0,0,2153,..,186,95,33,72,171,171,110,58,903
50103,..,8,215,569,726,957,1017,530,109,4130,..,80,256,198,213,218,125,46,3,1139,..,0,14,35,46,40,24,9,5,174,1848,..,..,..,..,..,..,..,..,1848,..,283,..,..,..,..,..,..,..,283,..,394,108,62,56,24,3,0,0,652,..,40,15,7,8,43,19,10,3,145,..,27,21,4,13,16,7,0,0,89,..,28,43,18,34,44,34,12,4,221,..,42,94,108,195,291,351,181,40,1299,37,50,44,32,32,34,24,14,6,265,0,4,4,0,0,0,0,0,0,16,1888,962,819,1031,1323,1666,1619,795,174,10268,..,17,335,695,837,1061,941,374,39,4299,..,126,287,206,230,226,96,35,0,1204,..,11,85,161,137,80,37,34,18,570,1740,..,..,..,..,..,..,..,..,1740,..,346,..,..,..,..,..,..,..,346,..,220,69,29,15,19,0,0,0,357,..,35,9,6,7,31,31,40,17,176
50201,..,46,1163,2384,3010,3577,4148,2860,647,17832,..,426,1213,863,711,610,414,165,30,4433,..,15,78,224,285,204,92,50,35,984,8889,..,..,..,..,..,..,..,..,8889,..,1900,..,..,..,..,..,..,..,1900,..,1944,802,394,243,101,24,0,0,3502,..,272,154,88,77,86,85,40,29,829,..,134,146,65,61,44,17,3,3,481,..,155,268,118,151,156,151,59,15,1072,..,149,491,498,700,960,1195,760,330,5088,135,172,157,119,130,97,83,40,5,939,8,5,3,10,8,6,6,0,0,43,9032,5217,4475,4767,5375,5835,6214,3985,1091,45992,..,102,1841,3143,3499,3996,4142,2182,318,19220,..,660,1516,976,766,613,350,118,19,5018,..,151,795,1059,1056,508,240,160,106,4084,8778,..,..,..,..,..,..,..,..,8778,..,2155,..,..,..,..,..,..,..,2155,..,1309,436,139,99,88,27,0,0,2113,..,234,87,52,88,193,206,140,87,1091
50301,..,11,594,2237,3438,2934,2449,1601,475,13741,..,110,611,380,348,308,178,83,16,2035,..,4,7,59,133,129,53,16,12,410,6052,..,..,..,..,..,..,..,..,6052,..,2903,..,..,..,..,..,..,..,2903,..,780,600,136,95,35,10,0,0,1645,..,145,84,14,17,23,25,14,24,350,..,62,97,14,3,0,5,0,0,191,..,407,584,86,47,54,33,25,10,1249,..,128,357,275,296,394,444,318,166,2390,77,103,103,66,49,41,41,30,10,518,11,6,11,3,14,18,11,4,5,93,6137,4660,3065,3279,4444,3946,3238,2098,721,31577,..,24,858,2849,3674,2918,2252,1226,239,14034,..,163,705,380,347,276,142,34,6,2051,..,9,49,269,611,343,111,66,79,1532,5657,..,..,..,..,..,..,..,..,5657,..,2776,..,..,..,..,..,..,..,2776,..,577,432,69,51,52,18,0,0,1196,..,143,58,12,16,46,72,83,64,501
50302,..,50,2145,4378,3347,2748,2212,1028,298,16210,..,448,2910,1420,740,612,305,87,12,6546,..,0,26,106,225,157,59,32,18,618,7262,..,..,..,..,..,..,..,..,7262,..,1947,..,..,..,..,..,..,..,1947,..,753,525,157,130,69,20,0,0,1657,..,217,292,87,34,58,54,27,8,772,..,119,276,65,26,21,11,0,0,513,..,915,1904,429,174,154,118,37,12,3744,..,472,1997,1794,1245,1259,1061,482,183,8491,70,119,202,93,89,62,47,19,4,701,6,15,20,11,17,15,10,5,3,102,7345,5050,10299,8544,6034,5148,3889,1724,545,48573,..,107,3038,4540,3378,2648,1960,739,131,16528,..,701,3092,1151,700,454,184,41,9,6329,..,21,167,595,779,420,155,118,99,2352,6932,..,..,..,..,..,..,..,..,6932,..,1968,..,..,..,..,..,..,..,1968,..,561,378,105,74,76,11,0,0,1204,..,309,262,59,51,118,148,67,60,1063
50401,..,35,1554,3194,2700,2501,2231,1294,328,13830,..,251,1656,996,601,402,202,60,8,4182,..,10,23,128,227,147,81,40,36,683,6815,..,..,..,..,..,..,..,..,6815,..,1763,..,..,..,..,..,..,..,1763,..,1224,876,300,233,124,21,0,0,2782,..,255,251,89,81,87,54,55,21,892,..,131,227,86,52,43,19,6,0,557,..,416,756,276,217,174,118,44,8,2018,..,153,701,798,740,879,781,428,156,4636,85,115,147,95,96,70,42,17,8,675,0,5,5,4,4,10,8,5,0,41,6900,4346,6205,5969,4947,4428,3555,1951,565,38876,..,90,2248,3452,2726,2483,2101,937,144,14191,..,417,1829,941,595,346,156,45,4,4341,..,45,304,670,850,453,235,158,135,2837,6263,..,..,..,..,..,..,..,..,6263,..,1749,..,..,..,..,..,..,..,1749,..,836,557,186,96,80,27,0,0,1785,..,232,160,70,71,168,195,125,104,1134
50402,..,7,537,1160,1547,1733,1530,859,161,7547,..,104,505,379,346,301,148,45,9,1839,..,5,17,68,129,86,48,15,12,380,3616,..,..,..,..,..,..,..,..,3616,..,968,..,..,..,..,..,..,..,968,..,970,471,166,105,47,10,0,0,1765,..,82,79,28,44,52,50,22,14,370,..,60,49,23,24,18,13,6,0,196,..,50,67,49,54,79,48,11,5,369,..,41,138,155,266,309,332,185,84,1509,61,71,51,59,48,21,17,17,8,354,0,0,5,3,0,6,3,0,0,21,3672,2360,1925,2091,2567,2658,2199,1168,287,18937,..,28,790,1468,1761,1813,1435,605,89,7977,..,166,581,458,387,274,115,36,3,2029,..,26,148,307,375,230,112,81,50,1327,3359,..,..,..,..,..,..,..,..,3359,..,1011,..,..,..,..,..,..,..,1011,..,621,244,89,62,37,10,0,0,1067,..,89,33,15,28,70,100,82,42,469
50403,..,105,3192,6080,5274,4707,3246,1506,324,24432,..,558,2153,1384,961,609,242,66,6,5982,..,14,120,294,408,235,105,59,25,1255,15961,..,..,..,..,..,..,..,..,15961,..,3652,..,..,..,..,..,..,..,3652,..,3313,1723,554,260,94,26,0,0,5962,..,498,489,200,156,194,129,84,34,1782,..,227,313,146,98,47,45,10,7,895,..,267,601,314,212,211,127,40,11,1772,..,197,959,885,884,1017,731,385,123,5184,201,216,227,189,131,100,76,37,11,1190,3,8,10,7,9,15,16,7,0,73,16167,9054,9789,10052,8385,7225,4738,2186,541,68138,..,220,4887,6662,5524,4530,2666,1072,154,25724,..,917,2524,1413,969,550,173,50,0,6593,..,164,1038,1457,1518,844,336,195,101,5655,14848,..,..,..,..,..,..,..,..,14848,..,3650,..,..,..,..,..,..,..,3650,..,2288,1016,214,144,93,18,0,0,3779,..,387,281,78,167,342,425,247,125,2049
50501,..,23,1858,6190,7304,7167,6563,2727,538,32379,..,308,1923,1380,1018,717,304,82,13,5736,..,7,46,261,471,292,136,62,38,1314,14984,..,..,..,..,..,..,..,..,14984,..,4742,..,..,..,..,..,..,..,4742,..,3449,1918,610,348,116,18,0,0,6464,..,328,218,94,90,102,94,50,40,1022,..,162,215,99,59,41,21,10,0,602,..,356,563,214,159,155,105,47,11,1602,..,180,549,636,751,844,873,471,218,4523,191,195,186,152,134,90,79,20,18,1063,12,3,14,11,14,9,6,3,4,72,15181,9761,7479,9645,10344,9536,8202,3475,879,74501,..,78,2893,7253,7868,7620,5816,1918,295,33750,..,511,2326,1431,1019,646,250,48,0,6234,..,59,394,1116,1449,833,373,201,126,4556,14072,..,..,..,..,..,..,..,..,14072,..,4899,..,..,..,..,..,..,..,4899,..,2266,1113,270,147,105,31,0,0,3932,..,242,135,52,47,202,313,232,165,1394
