SA3_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85_yr_over_Married,M_85_yr_over_Separated,M_85_yr_over_Divorced,M_85_yr_over_Widowed,M_85_yr_over_Never_married,M_85_yr_over_Tot,M_OS_visitors_Married,M_OS_visitors_Separated,M_OS_visitors_Divorced,M_OS_visitors_Widowed,M_OS_visitors_Never_married,M_OS_visitors_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85_yr_over_Married,F_85_yr_over_Separated,F_85_yr_over_Divorced,F_85_yr_over_Widowed,F_85_yr_over_Never_married,F_85_yr_over_Tot,F_OS_visitors_Married,F_OS_visitors_Separated,F_OS_visitors_Divorced,F_OS_visitors_Widowed,F_OS_visitors_Never_married,F_OS_visitors_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85_yr_over_Married,P_85_yr_over_Separated,P_85_yr_over_Divorced,P_85_yr_over_Widowed,P_85_yr_over_Never_married,P_85_yr_over_Tot,P_OS_vis_Married,P_OS_vis_Separated,P_OS_vis_Divorced,P_OS_vis_Widowed,P_OS_vis_Never_married,P_OS_vis_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
50101,5,0,0,0,1601,1610,15,0,0,0,970,987,712,32,33,0,1831,2611,1909,146,162,3,1135,3367,2179,200,366,15,865,3626,2254,158,518,45,508,3491,2531,95,501,131,212,3470,1322,38,187,169,42,1752,300,6,35,166,8,518,58,0,4,0,40,110,11289,677,1813,537,7213,21525,4,0,0,0,1434,1443,23,5,0,0,834,864,1058,66,68,5,1758,2954,2493,228,295,22,1158,4189,2358,242,616,54,804,4078,2498,174,780,160,410,4022,2365,99,671,391,163,3694,972,23,229,553,58,1832,169,4,48,567,18,803,17,0,9,9,18,49,11948,844,2709,1762,6668,23931,3,0,0,5,3037,3053,40,4,0,0,1802,1853,1771,99,102,8,3593,5567,4397,367,459,26,2298,7555,4533,440,988,70,1668,7704,4748,329,1298,212,921,7512,4893,196,1173,519,378,7165,2289,59,414,723,94,3577,471,12,85,732,24,1317,77,0,8,5,66,160,23236,1522,4520,2303,13879,45456
50102,0,0,0,0,3336,3341,83,6,0,7,2551,2644,1687,111,74,3,3948,5827,3535,318,415,11,2157,6427,3888,384,790,39,1523,6633,4171,313,1114,111,862,6573,3747,247,908,248,320,5483,1976,74,301,311,74,2736,490,12,45,246,29,833,18,3,8,0,30,60,19599,1472,3672,978,14836,40558,9,0,0,0,3266,3276,124,7,0,3,2344,2485,2364,211,158,20,3521,6270,3976,424,570,52,1875,6895,4244,480,1064,142,1306,7228,4226,350,1438,331,636,6985,3394,204,1024,772,208,5599,1454,45,352,1164,64,3084,237,5,72,939,28,1289,23,0,0,10,30,58,20044,1727,4691,3431,13274,43171,8,3,4,0,6599,6615,205,14,0,7,4895,5133,4056,312,233,24,7465,12095,7517,735,985,57,4033,13325,8133,862,1855,183,2834,13864,8392,664,2559,443,1500,13554,7142,449,1936,1023,531,11082,3431,120,647,1476,140,5819,732,23,123,1188,59,2126,38,3,11,10,56,122,39648,3194,8360,4409,28113,83728
50103,0,0,0,0,610,610,7,0,0,0,470,479,278,11,15,0,701,999,663,48,61,5,433,1206,878,75,161,4,423,1535,1153,98,280,34,334,1906,1190,66,323,76,175,1835,598,28,119,101,52,898,128,6,9,66,14,216,5,0,5,0,31,41,4901,322,969,282,3254,9730,0,0,0,0,598,599,27,5,0,0,340,360,380,21,21,5,629,1054,790,96,66,19,393,1365,938,97,203,22,327,1591,1247,112,367,76,233,2030,1067,52,288,193,71,1676,432,19,101,296,26,873,47,4,23,199,8,281,5,3,0,0,29,41,4926,406,1083,808,2658,9877,0,0,0,0,1209,1211,36,5,0,0,807,841,653,32,38,6,1333,2058,1454,147,132,23,827,2578,1812,166,366,32,743,3128,2398,210,644,116,569,3935,2259,116,615,267,251,3509,1037,47,222,388,78,1769,174,5,33,267,18,497,8,5,5,0,66,88,9829,728,2050,1094,5907,19606
50201,0,0,0,0,2981,2980,46,0,0,3,2414,2466,1272,113,62,3,3240,4694,2530,248,323,15,1883,5006,3161,353,745,54,1325,5637,3819,324,1040,108,807,6089,4418,296,1178,292,374,6561,3071,127,471,438,99,4207,755,22,67,407,20,1269,18,6,4,0,21,45,19083,1499,3899,1316,13161,38956,0,0,0,0,2935,2940,107,14,8,3,2453,2587,1965,232,172,18,3219,5601,3300,440,556,43,1807,6151,3692,468,1203,135,1160,6659,4250,392,1546,335,641,7170,4384,276,1332,954,232,7185,2349,92,555,1465,55,4520,403,10,110,1238,19,1781,17,0,11,8,12,56,20468,1926,5504,4205,12535,44640,0,0,0,0,5912,5918,155,15,4,5,4873,5051,3237,345,242,19,6454,10293,5832,692,887,53,3685,11150,6856,818,1943,191,2486,12292,8062,716,2584,440,1447,13259,8800,577,2512,1250,610,13743,5417,220,1031,1910,160,8732,1158,27,180,1647,38,3054,40,6,11,6,36,100,39552,3420,9401,5522,25702,83597
50301,3,0,0,0,3002,3001,14,0,4,0,2613,2633,688,29,22,0,2609,3347,2413,73,132,0,876,3501,3574,124,333,21,568,4620,3125,112,402,46,478,4163,2628,87,383,103,270,3470,1777,43,218,170,106,2315,564,26,42,237,19,887,61,3,3,5,57,131,14854,505,1543,581,10599,28078,3,0,0,0,3060,3064,30,0,0,0,2544,2576,980,45,58,5,2307,3395,3114,127,219,11,773,4247,3906,206,503,59,549,5222,3147,125,662,140,386,4463,2465,86,653,389,222,3817,1375,44,321,777,122,2636,291,6,130,885,56,1363,53,0,11,5,43,115,15369,645,2548,2263,10074,30898,7,0,0,0,6068,6065,44,0,4,0,5162,5206,1670,73,75,9,4909,6741,5529,206,347,12,1648,7750,7480,329,830,81,1125,9844,6274,239,1073,178,866,8631,5095,170,1034,490,491,7282,3151,87,537,944,232,4953,855,33,169,1116,78,2251,117,3,15,5,99,243,30224,1149,4088,2850,20669,58971
50302,0,0,0,0,2115,2119,71,3,3,0,3645,3720,2662,127,156,4,8922,11857,5035,319,529,13,3825,9738,3931,435,818,39,1882,7107,3290,328,1024,64,1339,6045,2576,200,903,138,673,4493,1300,74,335,194,264,2169,438,17,66,220,74,812,303,9,42,7,281,642,19613,1508,3885,687,23020,48709,3,0,0,0,2227,2227,149,12,14,0,4187,4364,3517,189,262,9,8221,12201,5053,343,650,37,2848,8922,3751,344,1038,78,1506,6718,3024,265,1263,263,947,5761,2286,168,1063,530,490,4532,928,45,398,812,205,2386,211,13,104,1018,121,1471,155,4,15,21,196,400,19081,1383,4810,2765,20950,48991,5,0,0,0,4338,4345,222,16,13,0,7832,8088,6175,309,414,15,17140,24064,10095,661,1181,49,6678,18658,7679,778,1860,123,3389,13832,6311,594,2290,328,2288,11808,4863,364,1966,665,1162,9025,2227,114,742,1006,470,4554,650,27,173,1235,192,2284,463,16,60,27,476,1040,38685,2889,8694,3453,43976,97703
50401,0,0,0,0,2008,2013,37,0,0,4,2458,2505,1702,67,115,11,4570,6465,3406,223,361,10,2217,6214,2853,256,599,24,1408,5132,2639,197,753,79,932,4599,2348,173,595,148,442,3695,1375,55,290,228,145,2089,392,10,51,212,39,693,25,4,7,0,21,58,14775,990,2766,708,14235,33476,0,0,0,0,1854,1860,115,10,3,0,2283,2413,2417,159,160,16,4014,6757,3612,307,530,28,1867,6341,2848,355,893,87,1188,5373,2620,265,999,231,705,4821,2223,145,892,603,317,4180,1020,49,398,875,97,2441,204,5,107,884,27,1233,33,3,9,16,19,81,15090,1296,3985,2740,12385,35491,0,0,0,0,3865,3872,153,11,5,8,4739,4917,4119,223,270,27,8588,13228,7015,534,887,42,4081,12556,5702,610,1489,108,2602,10504,5258,461,1752,316,1634,9420,4576,313,1488,744,755,7882,2391,110,690,1103,244,4533,597,16,154,1094,68,1923,57,9,12,17,38,140,29863,2285,6749,3446,26617,68970
50402,0,0,0,0,1342,1344,45,0,0,0,1246,1287,776,41,27,0,1764,2614,1419,117,142,3,1035,2714,1740,142,318,12,722,2937,1832,158,439,38,401,2871,1616,77,354,97,157,2301,912,42,138,111,34,1239,193,9,32,93,10,340,13,0,4,0,5,24,8536,597,1463,357,6722,17674,0,0,0,0,1253,1254,35,0,0,0,945,982,834,56,40,3,1193,2123,1534,122,190,23,714,2583,1851,159,437,47,513,3007,1906,130,533,138,272,2982,1487,84,442,307,113,2437,644,28,190,456,33,1347,101,8,39,333,5,493,11,0,3,6,9,21,8404,583,1875,1315,5050,17225,0,0,0,0,2595,2597,71,3,0,5,2188,2268,1611,99,74,3,2958,4737,2950,240,325,25,1753,5303,3596,300,759,60,1233,5943,3736,293,971,175,675,5854,3102,161,800,404,265,4735,1553,67,330,563,69,2587,295,18,69,421,20,828,17,5,8,6,15,51,16942,1181,3338,1671,11770,34902
50403,0,0,0,0,4859,4860,118,7,3,0,4458,4592,3471,183,156,19,6447,10265,6461,460,537,22,3088,10565,5545,493,944,58,1796,8837,4975,430,1075,112,966,7569,3462,231,716,217,365,4991,1646,79,298,235,89,2345,401,12,42,182,19,655,42,0,4,11,74,138,26130,1891,3779,851,22164,54819,11,0,0,4,4456,4468,239,18,8,3,4247,4510,5201,365,305,14,5777,11667,6964,648,860,64,2598,11134,5802,623,1513,186,1568,9683,4814,477,1641,438,752,8122,2883,211,1068,823,273,5263,1205,52,395,905,51,2608,203,9,82,705,19,1014,59,0,12,37,43,156,27389,2405,5881,3178,19781,58628,14,0,0,4,9311,9331,364,22,9,3,8705,9101,8671,545,466,27,12222,21932,13429,1111,1393,84,5690,21699,11344,1118,2452,244,3363,18520,9796,908,2720,547,1716,15689,6345,441,1784,1040,638,10253,2846,133,688,1145,143,4953,603,18,119,889,43,1674,108,0,17,46,123,295,53513,4299,9657,4029,41940,113447
50501,0,0,0,0,5330,5337,30,3,0,0,4658,4694,1959,87,79,6,5596,7727,6390,333,516,9,2655,9908,7495,468,908,61,1648,10575,7368,318,1106,150,822,9761,6792,205,839,281,281,8391,2883,62,301,338,72,3649,649,20,59,321,15,1069,40,6,9,0,31,90,33613,1504,3815,1178,21102,61205,3,0,4,0,4940,4945,82,4,0,5,4059,4153,3024,177,175,5,4773,8156,7461,493,737,44,2183,10928,8122,553,1384,139,1276,11480,7879,413,1683,384,671,11029,6027,239,1380,1057,244,8940,2060,54,553,1322,89,4089,383,13,118,1234,34,1782,41,4,14,18,25,100,35090,1953,6049,4212,18297,65608,6,0,4,0,10270,10284,112,7,0,9,8722,8846,4984,267,256,10,10373,15885,13859,827,1250,58,4837,20835,15615,1020,2292,204,2925,22055,15248,729,2785,533,1496,20790,12823,445,2214,1334,518,17329,4944,121,856,1664,160,7740,1032,35,182,1555,47,2849,81,7,29,21,57,195,68700,3454,9871,5390,39399,126814
