SA3_CODE_2021,M_15_19_Mgrs,M_15_19_Profnls,M_15_19_Techs_trades_workers,M_15_19_Comm_psnl_serv_wrkrs,M_15_19_Cler_admin_wrkrs,M_15_19_Sales_wrkrs,M_15_19_Mach_oper_dvrs,M_15_19_Labrs,M_15_19_Inad_desc_Ns,M_15_19_Tot,M_20_24_Mgrs,M_20_24_Profnls,M_20_24_Techs_trades_wrkrs,M_20_24_Comm_psnl_serv_wrkrs,M_20_24_Cler_admin_wrkrs,M_20_24_Sales_wrkrs,M_20_24_Mach_oper_dvrs,M_20_24_Labrs,M_20_24_Inad_desc_Ns,M_20_24_Tot,M_25_34_Mgrs,M_25_34_Profnls,M_25_34_Techs_trades_wrkrs,M_25_34_Comm_psnl_serv_wrkrs,M_25_34_Cler_admin_wrkrs,M_25_34_Sales_wrkrs,M_25_34_Mach_oper_dvrs,M_25_34_Labrs,M_25_34_Inad_desc_Ns,M_25_34_Tot,M_35_44_Mgrs,M_35_44_Profnls,M_35_44_Techs_trades_wrkrs,M_35_44_Comm_psnl_serv_wrkrs,M_35_44_Cler_admin_wrkrs,M_35_44_Sales_wrkrs,M_35_44_Mach_oper_dvrs,M_35_44_Labrs,M_35_44_Inad_desc_Ns,M_35_44_Tot,M_45_54_Mgrs,M_45_54_Profnls,M_45_54_Techs_trades_wrkrs,M_45_54_Comm_psnl_serv_wrkrs,M_45_54_Cler_admin_wrkrs,M_45_54_Sales_wrkrs,M_45_54_Mach_oper_dvrs,M_45_54_Labrs,M_45_54_Inad_desc_Ns,M_45_54_Tot,M_55_64_Mgrs,M_55_64_Profnls,M_55_64_Techs_trades_wrkrs,M_55_64_Comm_psnl_serv_wrkrs,M_55_64_Cler_admin_wrkrs,M_55_64_Sales_wrkrs,M_55_64_Mach_oper_dvrs,M_55_64_Labrs,M_55_64_Inad_desc_Ns,M_55_64_Tot,M_65_74_Mgrs,M_65_74_Profnls,M_65_74_Techs_trades_wrkrs,M_65_74_Comm_psnl_serv_wrkrs,M_65_74_Cler_admin_wrkrs,M_65_74_Sales_wrkrs,M_65_74_Mach_oper_dvrs,M_65_74_Labrs,M_65_74_Inad_desc_Ns,M_65_74_Tot,M_75_84_Mgrs,M_75_84_Profnls,M_75_84_Techs_trades_wrkrs,M_75_84_Comm_psnl_serv_wrkrs,M_75_84_Cler_admin_wrkrs,M_75_84_Sales_wrkrs,M_75_84_Mach_oper_dvrs,M_75_84_Labrs,M_75_84_Inad_desc_Ns,M_75_84_Tot,M_85_yr_over_Mgrs,M_85_yr_over_Profnls,M_85ov_Techs_trades_wrkrs,M_85ov_Com_psnl_serv_wrkrs,M_85_yr_over_Cler_admin_wrkrs,M_85_yr_over_Sales_wrkrs,M_85_yr_over_Mach_oper_dvrs,M_85_yr_over_Labrs,M_85_yr_over_Inad_desc_Ns,M_85_yr_over_Tot,M_Tot_Mgrs,M_Tot_Profnls,M_Tot_Techs_trades_wrkrs,M_Tot_Comm_psnl_serv_wrkrs,M_Tot_Cler_admin_wrkrs,M_Tot_Sales_wrkrs,M_Tot_Mach_oper_dvrs,M_Tot_Labrs,M_Tot_Inad_desc_Ns,M_Tot_Tot,F_15_19_Mgrs,F_15_19_Profnls,F_15_19_Techs_trades_workers,F_15_19_Comm_psnl_serv_wrkrs,F_15_19_Cler_admin_wrkrs,F_15_19_Sales_wrkrs,F_15_19_Mach_oper_dvrs,F_15_19_Labrs,F_15_19_Inad_desc_Ns,F_15_19_Tot,F_20_24_Mgrs,F_20_24_Profnls,F_20_24_Techs_trades_wrkrs,F_20_24_Comm_psnl_serv_wrkrs,F_20_24_Cler_admin_wrkrs,F_20_24_Sales_wrkrs,F_20_24_Mach_oper_dvrs,F_20_24_Labrs,F_20_24_Inad_desc_Ns,F_20_24_Tot,F_25_34_Mgrs,F_25_34_Profnls,F_25_34_Techs_trades_wrkrs,F_25_34_Comm_psnl_serv_wrkrs,F_25_34_Cler_admin_wrkrs,F_25_34_Sales_wrkrs,F_25_34_Mach_oper_dvrs,F_25_34_Labrs,F_25_34_Inad_desc_Ns,F_25_34_Tot,F_35_44_Mgrs,F_35_44_Profnls,F_35_44_Techs_trades_wrkrs,F_35_44_Comm_psnl_serv_wrkrs,F_35_44_Cler_admin_wrkrs,F_35_44_Sales_wrkrs,F_35_44_Mach_oper_dvrs,F_35_44_Labrs,F_35_44_Inad_desc_Ns,F_35_44_Tot,F_45_54_Mgrs,F_45_54_Profnls,F_45_54_Techs_trades_wrkrs,F_45_54_Comm_psnl_serv_wrkrs,F_45_54_Cler_admin_wrkrs,F_45_54_Sales_wrkrs,F_45_54_Mach_oper_dvrs,F_45_54_Labrs,F_45_54_Inad_desc_Ns,F_45_54_Tot,F_55_64_Mgrs,F_55_64_Profnls,F_55_64_Techs_trades_wrkrs,F_55_64_Comm_psnl_serv_wrkrs,F_55_64_Cler_admin_wrkrs,F_55_64_Sales_wrkrs,F_55_64_Mach_oper_dvrs,F_55_64_Labrs,F_55_64_Inad_desc_Ns,F_55_64_Tot,F_65_74_Mgrs,F_65_74_Profnls,F_65_74_Techs_trades_wrkrs,F_65_74_Comm_psnl_serv_wrkrs,F_65_74_Cler_admin_wrkrs,F_65_74_Sales_wrkrs,F_65_74_Mach_oper_dvrs,F_65_74_Labrs,F_65_74_Inad_desc_Ns,F_65_74_Tot,F_75_84_Mgrs,F_75_84_Profnls,F_75_84_Techs_trades_wrkrs,F_75_84_Comm_psnl_serv_wrkrs,F_75_84_Cler_admin_wrkrs,F_75_84_Sales_wrkrs,F_75_84_Mach_oper_dvrs,F_75_84_Labrs,F_75_84_Inad_desc_Ns,F_75_84_Tot,F_85_yr_over_Mgrs,F_85_yr_over_Profnls,F_85_yr_over_Techs_tra_wrkrs,F_85ov_Com_psnl_serv_wrkrs,F_85ov_Cler_admin_wrkrs,F_85_yr_over_Sales_wrkrs,F_85_yr_over_Mach_oper_dvrs,F_85_yr_over_Labrs,F_85_yr_over_Inad_desc_Ns,F_85_yr_over_Tot,F_Tot_Mgrs,F_Tot_Profnls,F_Tot_Techs_trades_wrkrs,F_Tot_Comm_psnl_serv_wrkrs,F_Tot_Cler_admin_wrkrs,F_Tot_Sales_wrkrs,F_Tot_Mach_oper_dvrs,F_Tot_Labrs,F_Tot_Inad_desc_Ns,F_Tot_Tot
50101,10,7,211,116,10,249,29,289,19,938,30,21,328,54,20,70,52,199,5,777,241,247,803,149,47,91,162,351,38,2136,468,444,945,148,67,94,291,352,51,2862,596,505,788,132,90,149,344,334,51,2989,513,358,530,128,106,126,330,323,51,2453,262,161,129,19,47,67,126,115,26,957,51,21,15,0,12,11,9,24,5,143,10,0,0,0,0,0,0,3,0,21,2174,1760,3744,752,387,861,1346,1984,254,13272,10,10,40,339,21,345,10,132,13,921,35,71,58,201,68,116,5,109,12,671,247,544,177,451,269,166,30,234,16,2148,438,898,210,548,543,273,28,277,38,3246,416,793,173,540,643,328,57,324,24,3294,285,524,121,396,524,302,43,274,31,2492,114,133,26,66,161,98,9,67,15,698,24,9,0,5,17,4,0,11,7,75,0,0,0,0,0,0,0,0,3,6,1570,2976,809,2554,2241,1636,186,1430,169,13558
50102,10,14,414,100,18,337,108,578,31,1600,43,86,761,103,50,142,289,480,33,2001,313,465,1727,182,113,189,697,857,96,4653,602,635,1678,196,169,134,956,684,134,5198,739,682,1568,227,217,163,1073,579,113,5361,624,593,1125,189,199,154,1053,521,81,4546,273,208,246,55,67,53,259,154,30,1354,85,15,10,6,8,12,24,19,12,186,8,0,0,0,0,3,0,0,5,21,2711,2699,7531,1056,851,1197,4458,3877,541,24921,21,17,72,448,113,737,32,292,25,1761,87,188,166,486,290,274,59,204,30,1785,299,1005,349,733,758,421,126,475,47,4209,434,1265,326,939,974,451,132,527,72,5115,507,1156,324,1063,1160,489,130,584,72,5487,375,819,186,763,901,383,113,446,26,4012,116,194,34,135,200,67,23,122,18,915,28,10,5,5,16,3,3,14,5,86,5,0,0,0,0,0,0,0,0,6,1866,4657,1461,4575,4404,2822,616,2670,296,23375
50103,10,5,87,26,0,37,22,111,3,298,30,20,122,15,3,17,46,104,7,362,109,69,237,20,13,34,116,185,11,806,210,98,237,32,20,35,184,129,22,983,315,122,255,46,31,29,233,161,18,1195,307,126,248,59,50,34,269,173,25,1294,242,67,87,15,17,21,76,74,12,604,91,4,4,5,9,3,4,19,5,133,13,0,0,0,0,0,0,0,0,15,1333,509,1272,214,139,215,948,953,108,5690,6,0,16,76,22,99,3,70,4,300,9,32,17,60,34,35,5,50,0,249,88,138,60,118,105,52,15,125,16,715,155,246,69,136,155,76,17,110,9,977,211,215,61,206,218,85,30,147,12,1182,195,230,67,199,243,94,28,171,13,1236,124,60,10,48,56,23,5,45,0,375,36,4,0,6,13,0,3,10,7,75,0,0,0,0,0,0,0,0,0,0,827,919,299,849,838,476,107,731,71,5111
50201,17,18,305,122,24,293,97,485,19,1392,57,100,596,151,41,196,216,382,36,1782,274,295,1424,235,100,166,593,496,89,3673,464,436,1298,216,124,117,779,443,101,3983,652,482,1295,209,172,133,941,427,98,4405,556,497,1098,182,165,147,844,399,82,3974,214,175,228,55,59,80,226,133,30,1207,46,28,17,4,16,18,24,16,8,176,5,4,0,0,0,0,0,0,3,14,2285,2034,6263,1172,702,1165,3728,2775,471,20598,14,17,78,419,65,689,26,199,25,1530,87,184,159,552,208,376,61,147,22,1798,296,786,313,785,582,375,126,227,52,3543,418,933,309,930,765,386,119,305,31,4181,494,987,282,1006,918,482,160,378,49,4750,354,691,195,840,814,412,128,361,43,3846,82,148,32,123,225,86,22,85,13,828,6,7,9,3,17,5,0,10,15,68,0,0,0,0,0,0,0,0,4,5,1752,3752,1361,4659,3600,2816,651,1711,254,20553
50301,12,82,78,319,50,195,83,317,12,1149,59,457,171,409,137,231,95,194,20,1777,324,1284,282,238,154,115,89,121,43,2646,807,1479,227,128,128,95,69,75,54,3074,1454,1784,215,94,171,144,68,69,68,4066,1054,1485,176,66,129,122,42,73,58,3204,453,713,79,38,64,67,24,45,31,1515,103,170,12,8,24,32,4,10,11,371,7,15,0,0,4,0,0,0,8,44,4278,7474,1244,1289,863,1021,480,896,307,17843,7,60,25,550,98,456,15,101,13,1329,69,433,60,601,332,298,11,61,16,1884,248,1420,88,307,299,132,13,58,22,2581,571,1694,60,197,408,97,11,47,46,3129,780,1909,88,277,655,174,14,49,59,3999,416,1326,63,211,495,156,5,42,35,2750,136,413,24,65,225,48,6,8,18,944,28,62,3,10,47,6,0,9,15,192,3,0,0,0,9,0,0,0,0,17,2261,7318,412,2217,2561,1368,68,380,230,16818
50302,18,34,88,169,43,224,50,298,12,930,106,558,406,482,178,317,154,337,50,2589,1032,4128,1306,773,673,429,457,736,153,9691,1729,3470,992,356,446,250,381,416,117,8162,1517,2176,632,234,327,185,270,237,80,5655,1089,1514,525,159,280,153,205,223,53,4197,353,568,148,61,90,81,83,83,26,1487,58,92,13,8,14,12,10,20,7,229,0,6,0,0,0,0,0,0,0,15,5905,12544,4111,2246,2051,1652,1608,2352,490,32955,15,32,24,390,83,441,8,125,8,1124,140,727,156,1016,454,504,25,184,34,3253,947,4535,501,1438,1249,492,64,542,98,9863,1127,3182,313,698,917,254,40,268,70,6880,916,2227,192,433,912,249,39,160,65,5186,527,1393,133,322,827,225,35,126,48,3635,128,434,46,98,270,72,10,44,16,1117,12,29,0,6,30,15,0,11,4,112,0,3,0,0,3,0,0,0,0,5,3807,12566,1361,4399,4747,2252,226,1468,348,31176
50401,4,19,124,110,21,212,77,304,11,886,72,231,400,280,110,252,203,311,31,1882,535,1537,1253,426,371,278,484,462,109,5452,945,1569,1105,294,370,192,424,338,97,5327,782,948,911,215,324,192,407,336,76,4190,514,646,678,220,291,167,408,303,41,3271,145,196,201,42,80,66,124,124,11,993,12,31,12,0,9,7,11,20,3,117,0,0,0,0,0,0,0,3,0,7,3013,5184,4680,1581,1580,1360,2133,2205,381,22134,8,22,30,269,48,387,6,129,10,902,94,333,112,522,290,371,39,126,20,1903,513,2002,351,872,871,357,80,237,86,5359,602,1787,273,651,913,268,66,240,79,4882,556,1224,216,590,990,232,72,227,54,4151,335,690,147,481,825,230,43,266,34,3044,76,192,42,142,219,73,12,67,9,842,4,19,0,5,20,4,4,3,3,68,0,0,0,0,0,0,0,0,0,0,2193,6266,1172,3524,4174,1923,324,1306,287,21164
50402,5,13,125,50,18,144,52,210,17,625,24,40,313,65,45,98,126,149,23,886,138,259,631,93,66,71,185,165,32,1642,330,362,546,91,91,51,222,119,33,1846,485,410,562,131,136,74,272,132,43,2238,380,370,477,111,128,83,335,150,45,2083,104,162,129,29,41,37,106,51,11,675,27,35,10,0,3,5,6,9,3,93,0,0,0,0,0,0,0,0,5,5,1486,1651,2787,571,530,560,1292,993,217,10094,11,8,32,177,36,265,12,133,7,688,33,96,67,202,118,147,25,69,16,770,131,443,126,267,339,141,35,48,29,1538,225,593,126,311,417,114,30,91,33,1927,286,614,135,409,530,148,45,124,41,2330,208,469,91,321,493,165,40,128,28,1949,42,133,20,77,128,48,7,30,5,484,3,15,4,4,12,3,0,3,4,54,0,0,0,0,0,0,0,0,0,4,940,2375,598,1774,2059,1040,193,616,163,9752
50403,28,32,434,182,44,466,174,719,38,2118,116,253,991,322,167,410,426,631,85,3398,720,1135,2697,588,512,429,1365,958,201,8590,1282,1305,2449,583,575,337,1571,777,183,9057,1138,966,1895,447,495,305,1226,673,156,7313,794,623,1324,328,435,244,1065,581,98,5489,237,218,272,78,119,76,296,188,33,1521,43,25,23,4,10,10,20,32,11,169,3,3,3,0,0,0,0,3,0,11,4362,4565,10086,2540,2356,2263,6140,4562,803,37672,30,30,84,519,107,966,51,335,44,2164,172,371,255,925,546,612,89,258,72,3288,710,1932,593,1664,1673,784,219,480,130,8178,809,1780,471,1624,1891,626,184,584,139,8104,770,1296,352,1422,1746,670,196,658,95,7218,433,802,252,962,1308,478,124,523,61,4948,86,175,54,158,299,85,21,108,19,1010,14,13,3,7,19,6,0,17,0,82,0,0,0,0,0,0,0,0,4,10,3029,6397,2061,7288,7590,4229,884,2963,561,34995
50501,18,46,485,353,70,580,171,839,17,2599,113,437,1003,474,210,545,255,585,58,3678,648,1447,2164,505,344,317,495,548,137,6601,1874,2290,2325,459,498,288,527,500,130,8883,2397,2272,2084,485,572,357,625,511,175,9484,1752,1677,1748,397,533,309,658,535,119,7720,474,566,488,102,196,150,229,218,34,2452,31,64,28,5,20,24,17,34,6,237,3,3,4,0,6,0,0,4,5,16,7309,8803,10333,2786,2454,2570,2978,3763,674,41663,30,54,89,829,161,1238,31,377,19,2821,151,595,168,997,582,702,41,183,36,3462,614,2519,399,941,1244,464,61,185,109,6532,1121,3393,406,1138,1894,419,53,211,124,8761,1146,2998,455,1411,2405,607,62,324,104,9515,708,2007,320,1133,2218,617,79,364,76,7517,129,407,68,234,609,162,17,112,25,1754,12,30,9,12,38,13,0,9,8,125,0,0,0,0,0,0,0,0,0,3,3907,11997,1907,6696,9147,4220,350,1773,491,40491
