SA3_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
50101,321,12,0,0,3,335,143,8,0,0,0,155,105,10,0,0,0,118,218,12,0,0,0,243,301,21,0,0,0,324,1001,52,3,4,0,1062,1466,50,3,4,0,1528,1785,48,0,0,0,1839,719,14,3,0,0,735,540,14,0,0,0,557,335,14,0,0,3,346,395,23,0,0,0,423,7327,279,17,17,10,7655
50102,591,28,3,3,3,621,284,15,5,0,0,309,288,18,7,0,0,305,525,23,3,3,0,557,830,42,3,4,0,886,2803,119,11,6,5,2937,3518,69,8,3,3,3598,3356,47,9,3,5,3414,1173,21,0,0,0,1197,789,18,4,0,0,813,489,18,4,0,0,506,819,33,3,3,5,856,15461,443,63,29,22,16004
50103,185,0,0,0,0,185,115,0,0,0,0,116,66,0,0,0,0,71,170,3,0,0,0,174,232,3,0,6,0,238,616,5,0,8,3,636,457,0,0,6,0,461,493,0,0,0,3,497,182,0,0,0,0,178,160,0,0,0,0,160,96,0,0,0,0,99,168,0,0,0,3,167,2937,19,3,19,15,2989
50201,571,47,13,3,0,636,256,25,5,5,0,297,229,37,6,0,0,267,444,40,7,3,0,496,611,59,14,3,0,684,2272,135,30,0,0,2441,3034,79,18,4,0,3136,3542,59,19,0,0,3625,1278,20,10,0,5,1311,920,16,21,0,0,959,600,8,11,0,0,623,872,31,11,0,0,913,14637,555,169,20,8,15377
50301,408,44,47,0,0,502,70,3,12,0,0,83,47,9,9,0,0,71,74,20,21,0,0,116,88,25,28,0,0,144,258,48,81,0,0,387,214,70,87,0,0,372,537,112,96,0,0,744,389,70,53,0,0,504,846,144,52,0,0,1039,2671,142,58,0,0,2875,462,44,22,0,0,534,6069,726,552,0,3,7355
50302,359,99,174,0,0,637,111,27,62,0,0,195,82,22,68,0,0,167,112,38,132,0,0,281,164,82,220,0,0,460,399,233,711,0,0,1345,448,310,880,5,0,1641,933,457,815,5,0,2205,858,289,340,4,0,1493,1349,284,309,5,0,1948,1702,203,194,3,3,2101,317,113,173,0,0,609,6825,2160,4070,18,12,13086
50401,498,101,20,0,0,618,151,40,14,0,0,209,133,22,21,0,0,176,245,71,41,0,0,360,328,93,57,0,0,472,1062,347,192,0,0,1603,1624,442,126,0,0,2186,2626,367,90,0,0,3081,1280,130,20,0,3,1441,1053,97,11,0,0,1166,541,57,12,0,0,608,571,75,28,0,0,669,10113,1847,628,4,10,12598
50402,330,6,0,0,0,332,117,4,0,0,0,115,106,4,0,0,0,110,189,5,0,0,0,198,283,17,0,0,0,296,810,29,0,0,0,837,1229,21,0,0,0,1241,1855,12,4,0,0,1874,857,0,0,0,0,862,662,0,0,0,0,664,398,0,0,0,0,400,412,3,0,0,0,419,7245,95,5,0,0,7352
50403,890,44,4,0,0,945,311,18,5,0,0,331,271,17,3,0,0,292,488,46,15,0,0,550,783,68,5,0,0,859,3297,260,37,0,4,3602,5455,263,21,0,4,5745,7483,241,15,3,7,7742,3036,58,3,0,4,3100,1828,46,3,0,0,1880,1094,10,0,0,4,1110,1427,44,4,0,6,1484,26369,1120,116,10,21,27636
50501,1194,81,13,0,0,1281,385,34,7,0,0,422,314,16,5,0,0,336,508,44,12,0,0,566,738,49,17,0,0,799,2169,203,80,0,0,2453,3194,325,74,0,0,3587,6193,297,23,0,0,6521,3580,117,18,0,0,3714,3031,73,17,0,0,3115,2038,49,4,0,0,2094,1432,76,11,0,0,1521,24773,1352,272,6,3,26413
50502,1046,346,48,0,0,1437,289,99,18,0,0,405,244,121,26,0,0,391,419,247,53,0,0,724,593,360,63,0,0,1023,1932,1418,242,0,0,3593,2437,1851,247,0,0,4539,3784,2009,187,0,3,5984,2358,773,54,0,0,3184,2803,594,52,0,0,3445,2286,303,36,0,0,2631,1172,439,47,0,0,1652,19351,8565,1079,6,8,29011
50503,1247,54,6,5,0,1313,409,24,0,0,0,431,394,33,0,0,0,428,698,47,0,0,0,751,1109,61,3,0,0,1183,4408,316,22,3,3,4759,7370,321,8,0,3,7711,10741,207,10,0,6,10969,4508,48,8,0,0,4564,2631,32,0,0,0,2663,1480,20,5,0,0,1499,2081,72,6,0,0,2155,37086,1233,77,10,17,38418
50601,563,23,0,0,0,583,217,23,0,0,0,246,199,15,3,0,0,216,412,54,0,6,0,474,627,67,5,0,0,705,2431,146,11,0,0,2583,3625,122,5,0,4,3751,4557,45,0,0,0,4599,1832,10,0,0,3,1844,1077,7,0,0,0,1084,588,11,0,0,0,600,861,19,5,0,0,885,16983,541,35,9,8,17578
50602,336,72,31,0,0,442,126,20,8,0,0,152,71,11,15,0,0,101,179,46,27,0,0,252,223,71,58,0,0,353,799,303,200,0,3,1306,1119,382,255,0,3,1755,1630,395,214,4,4,2245,859,151,89,0,0,1099,756,97,73,0,0,928,399,59,47,0,0,506,344,68,60,0,0,476,6849,1672,1083,4,10,9614
50603,582,53,17,0,0,652,161,24,4,0,0,190,161,21,13,0,0,196,251,52,16,0,0,311,325,54,22,0,0,405,1219,276,71,0,3,1567,1720,290,72,0,0,2081,2430,234,64,0,0,2724,1171,70,14,0,0,1250,966,61,9,0,0,1042,750,32,3,0,0,784,592,65,23,0,0,678,10328,1224,317,7,4,11883
50604,787,36,7,4,0,827,281,16,0,0,0,306,271,15,0,0,0,289,505,31,14,0,0,549,779,70,10,0,0,862,2953,206,44,0,0,3204,3917,188,35,4,3,4143,4477,122,18,3,3,4620,1718,31,0,0,0,1751,1087,20,5,0,0,1113,680,13,0,0,0,696,1074,39,3,0,0,1119,18515,796,140,15,8,19471
50605,359,13,3,0,0,368,127,5,0,0,0,134,136,8,0,0,0,142,206,5,5,0,0,211,310,11,0,0,0,327,1128,42,3,0,0,1175,1722,49,0,3,0,1774,2540,34,0,0,3,2576,1045,3,0,0,0,1053,796,10,3,0,0,804,476,0,0,3,3,488,543,9,0,0,0,558,9403,179,15,13,4,9613
50606,165,0,0,0,0,165,50,0,4,0,0,48,47,0,0,0,0,47,81,0,0,0,0,83,162,6,0,0,0,161,709,7,4,0,0,717,1299,12,0,0,0,1306,1904,4,0,0,3,1908,856,0,0,0,3,858,548,0,0,0,0,548,316,0,0,0,0,316,336,0,0,0,0,336,6463,30,5,5,6,6513
50607,187,96,25,0,0,309,44,21,4,0,0,67,46,20,12,0,0,78,60,37,9,0,0,106,56,38,17,0,0,115,174,193,97,0,0,466,229,220,90,0,0,549,472,302,89,0,0,870,411,148,42,0,0,602,522,140,38,0,0,702,743,116,24,0,0,884,192,78,26,0,0,300,3140,1411,484,0,7,5043
50701,687,72,25,0,0,779,191,24,0,0,0,218,232,24,15,0,0,269,386,43,21,0,0,456,518,66,57,0,0,640,1818,307,150,0,0,2278,3239,385,144,0,0,3767,5032,278,99,0,7,5415,2285,106,31,0,0,2418,1656,56,28,0,0,1742,931,32,19,0,0,981,930,74,35,0,6,1041,17904,1461,621,4,9,20003
50702,210,47,28,0,0,279,73,13,13,0,0,94,51,21,3,0,0,67,79,20,12,0,0,110,100,25,25,0,0,151,311,80,102,0,0,496,381,102,93,0,0,575,812,185,89,0,0,1087,517,108,48,0,0,680,618,110,53,0,0,778,569,71,49,0,0,691,234,51,35,0,0,321,3954,814,560,10,3,5343
