SA3_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
50101,458,479,941,1665,1495,3157,480,450,940,442,444,883,2597,2396,4990,1255,1145,2404,392,437,832,360,364,731,2010,1950,3967,76,40,114,35,112,145,193,95,287,171,371,543,3,8,10,481,628,1103,38,130,169,53,157,204,16,38,54,106,358,464,0,4,4,205,693,895,689,1321,2006,56,50,106,92,197,291,0,5,5,151,251,401,1754,1833,3582,118,63,181,7780,8290,16071
50102,923,867,1789,3276,2943,6223,841,818,1664,623,537,1159,4755,4304,9059,2568,2486,5059,750,797,1549,600,636,1230,3916,3930,7842,191,191,384,95,249,339,433,239,670,281,624,910,9,6,10,1003,1308,2315,123,323,443,94,289,381,40,102,146,221,551,771,0,4,0,473,1268,1749,1485,2581,4070,102,117,216,201,322,521,3,5,10,309,444,752,3368,2731,6093,73,60,128,14816,14917,29728
50103,161,164,325,610,564,1173,240,222,461,43,43,85,892,831,1722,504,497,996,116,143,260,53,59,115,676,701,1373,19,19,37,10,30,41,74,51,124,40,130,167,4,0,4,148,230,372,13,27,43,11,41,53,8,5,17,31,76,113,0,0,0,61,158,215,211,385,591,24,23,48,25,47,78,4,0,4,53,72,124,957,836,1791,44,49,91,2988,3033,6021
50201,788,781,1567,2727,2788,5515,692,711,1408,748,720,1462,4178,4226,8402,1993,1863,3852,603,691,1298,797,800,1594,3398,3350,6748,193,220,410,87,248,338,367,229,595,260,596,860,5,0,10,913,1290,2204,348,712,1064,111,353,460,72,134,205,202,481,677,0,5,5,736,1679,2416,1654,2978,4632,105,144,245,208,372,582,3,0,3,319,512,830,2433,2719,5152,51,59,116,12818,14629,27449
50301,575,533,1111,1909,1772,3683,394,446,845,740,627,1374,3045,2860,5899,936,815,1750,530,656,1187,1876,1783,3659,3351,3256,6611,86,78,170,50,97,147,82,49,125,124,235,353,0,4,4,345,457,799,2395,2521,4915,630,611,1246,201,216,419,376,594,969,7,5,11,3617,3951,7570,3966,4407,8376,69,73,142,136,204,336,0,3,3,205,280,482,1276,1467,2750,145,133,276,12565,12928,25496
50302,866,692,1561,2547,2463,5005,422,388,817,297,351,647,3264,3203,6469,1512,1353,2866,538,490,1023,500,664,1164,2555,2512,5065,266,305,574,419,595,1007,163,137,304,423,680,1105,5,4,8,1275,1724,2996,1629,2190,3815,1113,1225,2335,246,325,577,946,1257,2207,10,13,18,3943,5007,8954,5220,6735,11957,194,279,473,345,484,833,7,9,11,549,773,1320,4251,3186,7433,669,425,1090,17370,17522,34890
50401,767,695,1464,1881,1695,3574,763,740,1506,281,310,591,2936,2747,5683,1249,1068,2313,745,684,1436,401,385,789,2404,2141,4547,212,173,379,218,314,532,184,104,289,325,504,829,3,4,6,945,1094,2036,827,995,1824,423,488,911,162,175,339,438,683,1123,8,4,14,1860,2357,4212,2811,3456,6269,138,126,258,236,342,579,3,5,9,382,472,850,1659,1541,3203,58,85,143,11017,11134,22156
50402,345,299,647,1146,1045,2192,234,214,443,318,305,627,1700,1568,3271,693,684,1373,242,228,472,577,508,1085,1511,1421,2933,79,80,152,37,81,117,164,85,247,114,212,328,0,4,3,395,456,851,209,337,550,67,145,217,52,69,116,122,263,389,0,0,0,447,820,1270,849,1276,2128,41,60,100,82,157,241,0,0,4,123,217,345,2622,845,3465,25,26,50,7179,5652,12833
50403,1596,1399,3001,5130,4726,9856,1185,1157,2342,1055,968,2025,7379,6877,14258,3107,2848,5957,1175,1147,2322,1276,1144,2422,5558,5151,10717,320,353,682,243,464,715,477,303,780,516,909,1420,8,7,14,1571,2039,3609,1043,1406,2455,371,593,958,189,301,498,451,864,1311,9,4,15,2065,3166,5228,3637,5221,8857,222,266,484,395,636,1026,10,0,12,627,903,1526,3116,3348,6464,148,167,316,22062,23068,45132
50501,1381,1258,2635,5089,4665,9745,1212,1198,2411,950,936,1889,7260,6814,14076,3574,3266,6839,1260,1277,2536,1537,1504,3041,6378,6051,12433,330,322,649,161,289,444,584,238,824,425,680,1105,0,0,6,1507,1524,3029,1803,2203,4007,527,663,1186,301,369,667,568,1095,1666,9,5,16,3208,4333,7541,4716,5867,10586,156,170,327,383,573,959,5,3,10,541,756,1292,1897,1981,3875,98,111,211,22269,22833,45108
