SA3_CODE_2021,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
50101,4972,4186,1885,574,29039
50102,8015,5539,2511,900,48625
50103,2294,1934,846,183,11334
50201,7794,6782,3943,1414,46619
50301,7337,5751,3557,1453,43391
50302,9191,6306,2768,1107,74491
50401,5796,4211,2042,661,44241
50402,3654,2802,1369,393,20574
50403,8816,5006,2195,689,66197
50501,14558,10363,3990,1238,83276
50502,14115,10168,5747,2249,111545
50503,12085,6929,3282,1135,92453
50601,5232,3439,1532,449,43021
50602,4968,3114,1314,507,43091
50603,6507,4656,2473,1066,52854
50604,6858,4628,2187,760,56325
50605,4252,3381,1816,615,27910
50606,1826,1031,393,90,13625
50607,3835,3030,1508,752,26155
50701,7430,4554,1878,720,57579
50702,4244,3091,1375,559,24254
50703,2127,1226,479,135,19937
50704,9591,7724,3982,1724,59579
50705,8727,5071,2736,902,60042
50901,5396,4180,2041,714,29182
50902,4992,4039,1764,443,25942
50903,1613,1110,489,168,8740
51001,4814,3823,902,106,26396
51002,3482,1046,183,23,24997
51003,3837,1548,331,18,26475
51101,1240,799,477,111,7693
51102,1939,2048,584,64,9923
51103,3745,1598,401,105,24965
51104,5211,3867,1556,478,30459
59797,465,123,24,0,2853
