SA3_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
50606,0,0,0,0,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,7,16,16,18,29,30,0,0,0,0,0,0,0,117,0,14,29,12,6,0,4,0,0,0,0,0,0,0,9,68,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,7,12,22,11,39,12,5,0,5,0,0,0,3,118,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,3,70,7,14,44,9,17,9,0,0,0,0,0,0,0,177,0,0,12,75,173,181,270,225,11,11,12,11,14,13,41,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,40,6,6,0,4,0,0,0,68
50607,8,9,18,21,10,0,6,299,0,0,0,0,0,11,20,30,0,0,0,5,0,0,0,64,0,3,19,25,61,16,68,84,5,3,0,0,0,5,7,297,15,91,40,13,14,9,22,42,4,5,3,4,9,0,14,284,0,0,0,4,11,28,43,26,15,0,16,10,3,0,10,170,0,0,0,12,18,16,50,64,9,8,7,11,3,0,8,201,0,0,0,10,7,5,0,5,0,0,0,0,3,0,0,31,3,9,26,119,317,142,232,125,34,21,40,47,26,3,16,1167,0,0,0,0,0,0,4,19,9,14,34,33,11,0,0,127,10,49,11,6,15,6,18,13,0,0,6,4,0,0,5,139,0,7,51,104,188,103,139,74,20,15,18,13,8,7,14,751,0,0,0,3,3,4,0,3,0,0,0,0,0,0,5,18,0,0,0,0,0,0,18,29,8,19,15,26,12,3,0,131
50701,16,22,14,14,5,4,0,373,0,0,0,0,0,7,20,6,0,0,0,0,0,0,0,42,0,6,37,40,86,53,167,249,5,12,14,7,5,5,17,693,62,490,487,94,70,52,78,146,30,8,15,15,4,0,54,1598,0,0,0,0,18,39,94,40,7,4,4,9,0,0,0,219,0,0,0,4,16,20,174,124,9,13,14,14,4,0,12,403,0,0,5,16,8,7,11,7,0,0,0,0,0,0,0,66,0,3,33,71,253,168,431,269,60,40,35,43,35,4,25,1473,0,0,0,0,0,0,68,43,4,7,15,5,4,0,0,157,9,104,35,24,36,14,46,17,0,0,6,3,0,0,5,310,6,9,60,228,512,443,802,642,59,44,44,69,25,22,91,3060,0,0,0,9,10,0,4,0,0,0,0,0,0,0,4,24,0,0,3,3,0,16,55,81,12,15,18,24,7,9,5,239
50702,0,3,3,0,0,0,0,43,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,6,16,29,71,42,72,83,4,5,12,14,28,6,5,386,41,325,206,47,19,13,46,57,12,10,10,7,0,0,32,825,0,0,0,3,8,25,27,10,0,8,3,6,0,0,4,100,0,0,3,0,3,7,8,11,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,20,33,34,13,20,10,7,7,10,0,4,3,4,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,44,10,9,11,11,25,25,8,0,8,13,3,0,4,163,0,6,31,132,188,111,155,108,16,13,15,12,5,3,25,822,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,13
50703,0,0,0,0,4,0,6,50,0,0,0,0,0,4,11,13,5,0,0,0,0,0,0,31,0,0,14,16,24,5,39,56,0,0,0,0,0,0,3,167,10,27,38,6,3,4,3,11,0,4,0,0,0,0,3,111,0,0,0,0,0,8,35,12,0,0,0,0,0,0,0,60,0,0,0,4,9,7,73,27,7,5,3,0,0,0,8,141,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,20,0,0,4,20,36,24,106,71,14,7,8,7,9,0,12,310,0,0,0,0,0,0,29,14,6,0,0,5,5,0,0,65,7,34,21,4,9,6,8,6,0,0,0,0,0,0,5,107,0,0,10,92,228,259,628,483,32,33,51,39,15,18,90,1990,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,51,33,7,3,0,4,6,0,7,110
50704,21,20,5,20,0,4,3,576,0,0,4,0,3,19,24,51,3,0,0,0,0,0,0,108,4,11,68,56,143,60,110,108,12,0,5,11,0,0,6,598,45,318,228,33,20,18,46,87,13,9,5,16,9,4,40,883,0,5,4,11,32,62,74,26,3,6,6,13,3,0,8,240,0,0,0,18,50,60,218,128,13,34,10,24,9,6,15,573,0,0,9,23,12,7,7,5,0,0,0,0,0,0,0,57,0,23,110,326,1133,469,766,382,87,90,62,56,50,0,43,3599,0,0,0,0,0,0,13,15,5,13,20,23,4,0,4,90,18,139,31,14,24,19,45,16,5,0,3,5,4,0,7,320,0,22,121,204,479,238,330,199,16,18,11,20,14,7,45,1721,0,0,3,0,6,4,0,0,0,0,0,0,0,0,0,18,4,0,0,0,8,16,29,45,6,12,26,16,5,0,0,166
50705,0,4,0,5,0,0,3,53,0,0,0,0,0,4,12,3,0,3,0,0,0,0,0,24,3,8,68,55,119,43,175,225,5,6,8,3,0,0,13,716,7,73,78,14,12,11,16,35,0,0,3,0,0,0,4,264,0,0,0,0,9,18,45,7,6,0,6,0,5,0,0,94,0,0,0,0,5,6,45,11,0,0,0,0,3,0,0,84,0,0,0,4,3,0,3,3,0,0,5,0,0,0,5,31,0,4,24,37,51,33,61,37,21,9,12,5,5,0,3,296,0,0,0,0,0,0,21,12,6,4,0,3,0,0,0,53,18,195,54,43,52,21,68,16,6,6,0,4,0,0,8,477,0,8,125,383,760,798,1920,1645,114,87,103,110,55,65,164,6329,0,0,4,6,8,4,4,3,0,0,0,0,0,0,0,30,0,0,3,3,6,0,27,31,0,9,0,3,0,0,0,83
50901,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,19,13,19,6,21,13,0,0,3,0,0,0,4,109,8,67,48,15,4,6,5,21,4,5,0,5,0,0,15,200,0,0,0,0,4,12,11,3,0,0,0,0,0,0,3,40,0,0,0,0,0,3,11,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,16,6,19,10,21,12,4,7,9,0,0,0,21,133,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6,11,155,33,25,51,16,22,10,0,0,0,0,4,0,17,332,0,6,81,165,293,200,227,111,14,13,13,14,5,10,89,1244,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,3,5,3,0,3,0,5,0,0,24
50902,0,0,0,0,0,0,30,35,0,0,0,0,0,6,0,0,0,0,0,0,0,0,15,21,0,3,18,12,19,10,41,50,4,3,3,10,4,0,5,190,8,49,44,5,0,0,0,3,0,0,4,6,6,0,8,140,0,0,6,0,0,4,0,3,0,0,3,3,0,0,0,20,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,3,10,16,15,3,9,7,0,0,12,0,0,0,9,88,0,0,0,0,0,0,8,6,0,3,6,0,0,0,3,24,6,104,28,22,9,20,21,4,5,0,0,0,0,0,12,225,5,0,75,247,349,280,264,147,22,9,16,12,9,9,108,1543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,3,12,3,0,0,0,0,0,5,31
50903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,10,21,4,0,0,0,0,0,0,65,3,20,9,0,0,0,0,4,0,0,0,0,0,0,0,43,0,0,0,0,3,0,4,4,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,11,3,8,0,0,0,0,6,0,0,0,29,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,5,29,13,6,7,3,4,0,0,0,0,0,0,0,0,56,0,0,19,70,123,78,117,69,11,9,0,17,0,0,36,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5
