SA3_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
50101,230,359,585,3223,4133,7353,0,0,0,312,369,683,0,0,0,3428,4181,7610,100,119,222,62,69,133,173,236,411,26,36,66,55,78,137,0,0,0,77,103,178,120,142,261,257,325,575,12,25,37,73,71,139,497,764,1262,645,780,1421,19,22,39,9085,11449,20538,88,87,171,135,110,249,24,10,38,3,10,10,49,34,84,56,86,141,107,131,238,14940,14644,29588,86,59,150,33,77,110,15065,14781,29850,2351,2368,4715,118,63,181,27206,29361,56563
50102,276,498,776,5689,7341,13034,0,0,0,914,973,1891,0,4,3,8719,9954,18669,144,201,344,135,159,294,270,392,657,197,241,440,112,128,242,17,17,30,193,230,421,303,358,657,594,659,1252,72,105,180,151,181,331,825,1133,1963,1555,1771,3329,74,80,155,19956,23922,43877,260,234,489,362,342,703,16,27,42,3,9,9,85,77,166,142,230,375,232,310,545,25626,24091,49714,159,100,258,78,103,179,25858,24301,50160,4269,3414,7685,73,60,128,51290,53109,104404
50103,58,106,164,1465,1731,3200,0,0,0,162,159,324,0,6,9,1615,1829,3441,14,17,30,56,38,87,56,89,144,19,13,32,21,30,51,0,0,0,61,59,121,32,50,83,123,129,250,15,15,29,71,92,161,235,277,514,307,347,654,4,12,18,4259,4886,9147,19,13,31,76,53,131,5,8,18,0,6,6,5,3,11,34,73,108,39,84,123,5986,5477,11459,31,28,60,22,36,57,6039,5537,11580,1234,1066,2300,44,49,91,11783,11800,23576
50201,299,644,940,7004,9123,16127,0,0,0,913,1111,2030,7,7,19,7170,8713,15884,83,104,193,122,170,294,373,498,869,157,178,335,122,178,300,6,6,20,224,295,519,467,608,1068,719,806,1528,71,104,181,58,90,147,790,1217,2008,1418,1685,3104,38,57,100,19762,24961,44724,248,274,515,178,212,390,31,22,56,0,3,0,89,73,168,142,286,431,242,359,595,24198,23754,47943,130,108,243,80,182,268,24411,24049,48452,3191,3468,6662,51,59,116,48406,54038,102451
50301,499,711,1212,5100,6260,11360,0,0,3,266,314,582,0,0,0,6373,7594,13965,94,111,206,519,590,1103,31,41,69,11,11,19,83,110,188,33,32,68,123,177,303,145,159,298,429,513,941,12,15,28,9,24,35,814,1125,1938,639,796,1434,22,33,52,14697,17894,32594,448,459,903,370,401,772,170,154,323,5,0,5,57,48,109,156,150,307,222,192,418,15844,14758,30600,159,114,278,41,75,111,16044,14946,30986,2029,2118,4152,145,133,276,34624,37013,71639
50302,1908,2489,4394,3905,4558,8467,0,0,0,386,433,821,0,0,0,9702,11147,20848,128,151,271,944,1165,2113,101,116,223,36,21,50,115,136,251,35,21,63,224,269,491,234,332,568,430,522,949,33,44,78,59,45,110,594,824,1420,1122,1472,2594,28,30,59,18081,21302,39378,1499,1445,2947,1009,878,1887,283,307,589,0,4,9,103,107,204,253,304,551,352,409,763,26887,24735,51621,355,256,603,95,138,236,27337,25129,52462,5352,4011,9365,669,425,1090,56485,56395,112884
50401,1231,1708,2943,2780,3460,6231,0,0,0,352,457,799,0,0,4,9591,10805,20396,107,141,250,838,847,1686,109,121,236,45,62,107,70,105,177,56,63,117,197,248,448,234,294,527,326,380,702,45,67,108,48,69,119,388,602,995,1110,1243,2355,43,52,99,16346,19021,35369,990,874,1867,1241,1105,2344,257,270,532,0,5,5,250,225,474,182,231,410,433,458,885,17495,16205,33696,169,130,301,58,95,153,17720,16433,34153,2346,2097,4447,58,85,143,40623,42047,82674
50402,124,257,380,2264,2739,5007,0,0,0,378,414,792,90,83,174,2910,3348,6253,72,87,161,66,68,131,132,156,286,55,78,134,39,54,99,12,10,19,105,145,255,107,145,253,217,240,456,26,31,58,65,79,145,230,378,613,701,829,1530,64,55,116,7526,8963,16493,70,80,150,57,63,123,20,33,45,3,7,6,22,23,45,81,112,200,113,142,248,10435,9936,20375,74,45,129,30,70,102,10549,10053,20601,3023,1162,4189,25,26,50,21499,20776,42282
50403,1546,2108,3657,5891,7359,13253,0,0,0,1200,1291,2496,8,5,12,13631,15031,28660,174,229,401,721,734,1455,246,329,579,165,210,380,119,143,262,126,113,236,485,540,1026,1020,1217,2237,679,750,1428,88,142,231,169,203,369,665,842,1502,2644,3115,5755,78,95,175,28110,32349,60461,2363,2258,4625,3067,2970,6031,77,84,159,6,3,5,1391,1308,2699,214,340,558,1619,1645,3264,29954,27994,57947,203,167,370,98,155,254,30259,28311,58576,4424,4352,8775,148,167,316,71615,74252,145862
50501,640,1035,1678,9386,11718,21101,0,0,4,1213,1346,2558,3,4,11,15503,17884,33388,256,310,561,746,822,1576,147,216,365,177,223,403,171,201,369,142,133,277,481,548,1030,803,943,1743,1139,1276,2414,59,76,133,71,80,150,1325,1811,3136,2141,2552,4693,67,70,135,33828,40224,74055,723,675,1393,686,744,1433,90,115,206,4,0,0,101,119,217,219,302,522,322,420,742,36632,33402,70034,239,158,396,93,159,244,36958,33714,70674,3300,3101,6397,98,111,211,76654,80142,156791
