SA3_CODE_2021,Separate_house_NB0_i_sa_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sd_r_or_t_h_t_1_s_NB0_i_sa_b,Sd_r_or_t_h_t_1_st_NofB_1,Sd_r_or_t_h_t_1_st_NofB_2,Sd_r_or_t_h_t_1_st_NofB_3,Sd_r_or_t_h_t_1_st_NofB_4,Sd_r_or_t_h_t_1_st_NofB_5,Sd_r_or_t_h_t_1_st_NofB_6_m,Sd_r_or_t_h_t_1_st_NofB_NS,Sd_r_or_t_h_t_1_st_Total,Sd_r_or_t_h_t_2m_s_NB0_i_sa_b,Sd_r_or_t_h_t_2m_sts_NofB_1,Sd_r_or_t_h_t_2m_sts_NofB_2m,Sd_r_or_t_h_t_2m_sts_NofB_3,Sd_r_or_t_h_t_2m_sts_NofB_4,Sd_r_or_t_h_t_2m_sts_NofB_5,Sd_r_or_t_h_t_2m_st_NofB_6_m,Sd_r_or_t_h_t_2m_sts_NofB_NS,Sd_r_or_t_h_t_2m_sts_Total,Sd_r_or_t_h_t_T_NB0_i_sa_b,Sd_r_or_t_h_t_Total_NofB_1,Sd_r_or_t_h_t_Total_NofB_2,Sd_r_or_t_h_t_Total_NofB_3,Sd_r_or_t_h_t_Total_NofB_4,Sd_r_or_t_h_t_Total_NofB_5,Sd_r_or_t_h_t_Tot_NofB_6_m,Sd_r_or_t_h_t_Tot_NofB_NS,Sd_r_or_t_h_t_Total_Total,Fl_a_1_or2_st_bl_NB0_i_sa_b,Fl_a_1_or2_st_bl_NofB_1,Fl_a_1_or2_st_bl_NofB_2,Fl_a_1_or2_st_bl_NofB_3,Fl_a_1_or2_st_bl_NofB_4,Fl_a_1_or2_st_bl_NofB_5,Fl_a_1_or2_st_bl_NofB_6_m,Fl_a_1_or2_st_bl_NofB_NS,Fl_a_1_or2_st_bl_Total,Fl_a_3_st_bl_NB0_i_sa_b,Fl_a_In_3_st_bl_NofB_1,Fl_a_In_3_st_bl_NofB_2,Fl_a_In_3_st_bl_NofB_3,Fl_a_In_3_st_bl_NofB_4,Fl_a_In_3_st_bl_NofB_5,Fl_a_In_3_s_bl_NofB_6_m,Fl_a_In_3_st_bl_NofB_NS,Fl_a_In_3_st_bl_Total,Fl_a_4_to_8_s_b_NB0_i_sa_b,Fl_a_4_to_8_s_b_NofB_1,Fl_a_4_to_8_s_b_NofB_2,Fl_a_4_to_8_s_b_NofB_3,Fl_a_4_to_8_s_b_NofB_4,Fl_a_4_to_8_s_b_NofB_5,Fl_a_4_to_8_s_b_NofB_6_m,Fl_a_4_to_8_s_b_NofB_NS,Fl_a_4_to_8_s_b_Total,Fl_a_9_or_m_s_b_NB0_i_sa_b,Fl_a_9_or_m_s_b_NofB_1,Fl_a_9_or_m_s_b_NofB_2,Fl_a_9_or_m_s_b_NofB_3,Fl_a_9_or_m_s_b_NofB_4,Fl_a_9_or_m_s_b_NofB_5,Fl_a_9_or_m_s_b_NofB_6_m,Fl_a_9_or_m_s_b_NofB_NS,Fl_a_9_or_m_s_b_Total,Fl_a_At_to_a_h_NB0_i_sa_b,Fl_a_At_to_a_hse_NofB_1,Fl_a_At_to_a_hse_NofB_2,Fl_a_At_to_a_hse_NofB_3,Fl_a_At_to_a_hse_NofB_4,Fl_a_At_to_a_hse_NofB_5,Fl_a_At_to_a_hse_NofB_6_m,Fl_a_At_to_a_hse_NofB_NS,Fl_a_At_to_a_hse_Total,Fl_a_Total_NB0_i_sa_b,Fl_a_Total_NofB_1,Fl_a_Total_NofB_2,Fl_a_Total_NofB_3,Fl_a_Total_NofB_4,Fl_a_Total_NofB_5,Fl_a_Tot_NofB_6_or_m,Fl_a_Total_NofB_NS,Fl_a_Total_Total,Other_dwelling_NB0_i_sa_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dw_struct_NS_NB0_i_sa_b,Dw_struct_NS_NofB_1,Dw_struct_NS_NofB_2,Dw_struct_NS_NofB_3,Dw_struct_NS_NofB_4,Dw_struct_NS_NofB_5,Dw_struct_NS_NofB_6_or_m,Dw_struct_NS_NofB_NS,Dw_struct_NS_Total,Total_NB0_i_sa_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
50101,69,366,1455,7186,8698,973,212,1033,19992,3,164,549,515,113,9,4,108,1464,0,44,74,131,63,13,0,36,354,6,201,622,644,171,18,4,140,1814,0,4,36,20,4,0,0,7,78,0,0,0,0,0,0,0,0,0,0,4,10,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,10,7,7,7,0,0,0,33,0,16,53,30,14,4,0,10,130,69,163,172,40,38,0,0,189,672,5,16,26,12,10,9,7,26,104,149,762,2328,7909,8929,1006,230,1401,22716
50102,54,290,2104,13058,17399,1862,310,1612,36694,5,384,1276,1294,106,5,11,332,3421,0,24,105,293,48,6,0,31,503,5,410,1380,1586,156,12,8,363,3921,7,141,275,127,11,0,0,64,627,0,10,70,25,0,0,0,12,123,0,0,12,3,0,0,0,9,24,0,0,13,23,0,0,0,6,36,3,0,0,0,0,0,0,0,11,6,156,373,181,14,0,0,92,821,62,275,127,29,16,3,0,260,770,11,17,11,26,18,0,0,18,101,144,1142,3995,14877,17599,1875,327,2349,42309
50103,66,251,1188,3850,2838,439,128,659,9413,0,81,173,39,9,0,0,26,330,0,4,5,0,6,0,0,0,5,0,80,179,36,10,0,0,26,339,0,28,10,6,0,0,3,10,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,7,0,31,14,3,0,0,3,10,69,30,32,15,18,10,0,0,53,152,8,11,16,13,8,4,17,23,87,105,401,1407,3922,2866,446,144,770,10060
50201,63,449,2438,11658,18447,1935,345,1447,36786,9,411,1613,1556,72,9,8,269,3937,5,48,317,662,69,7,0,58,1163,13,456,1929,2210,140,19,8,324,5097,0,103,217,91,0,0,0,55,474,0,4,59,121,12,4,0,10,203,0,7,65,120,0,0,0,14,212,0,0,48,107,0,0,0,8,170,0,6,22,3,7,0,0,3,45,0,126,414,444,19,3,0,87,1105,43,219,121,25,9,0,0,138,548,4,10,16,6,8,0,0,10,59,118,1258,4924,14350,18624,1961,352,2017,43597
50301,19,85,1111,5335,7551,2838,542,359,17833,4,134,577,773,162,15,8,60,1730,8,124,477,981,206,21,0,67,1879,14,261,1053,1750,363,35,8,127,3613,11,257,753,191,15,3,3,75,1304,53,582,579,185,17,0,3,114,1541,8,289,892,289,6,0,0,110,1599,0,22,266,107,10,0,0,18,419,0,4,0,0,5,0,0,3,20,71,1157,2488,782,53,0,5,320,4879,0,0,0,0,3,0,0,5,9,0,5,3,7,0,0,0,6,22,100,1506,4666,7877,7963,2873,554,817,26355
50302,3,204,2598,8200,5316,1060,160,375,17913,8,248,1290,1077,164,19,5,119,2924,9,351,1640,2595,376,27,5,172,5169,17,599,2924,3673,540,39,14,290,8095,27,963,2057,286,19,0,4,218,3576,118,1867,3048,603,20,3,3,388,6059,167,2605,3577,842,36,5,9,575,7806,134,1495,3292,829,17,0,16,493,6272,0,6,8,7,0,0,0,0,24,440,6939,11983,2565,97,8,28,1668,23728,4,21,36,12,6,0,0,430,504,6,32,19,13,8,0,4,29,106,474,7788,17560,14460,5966,1111,209,2790,50349
50401,21,204,2098,12019,8813,1285,196,823,25455,3,264,1501,2146,274,15,6,255,4457,6,193,872,912,155,16,3,134,2286,8,453,2376,3058,423,30,6,393,6744,5,229,991,294,3,0,0,91,1622,5,139,409,42,0,0,0,41,639,7,205,236,3,0,0,0,42,488,0,141,111,19,0,0,0,17,281,0,3,14,0,0,0,0,0,21,18,719,1762,362,9,0,0,189,3057,0,3,6,0,0,0,0,34,42,0,0,5,17,7,0,0,12,47,42,1375,6242,15454,9257,1316,205,1445,35348
50402,26,154,957,5316,6515,1227,277,511,14984,0,176,281,202,17,0,0,77,759,0,4,23,13,3,0,0,9,47,0,179,306,215,19,4,0,83,811,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,18,0,4,14,0,10,0,0,0,30,8,3,0,3,0,6,0,12,34,8,3,5,4,0,3,0,0,18,37,352,1275,5535,6542,1234,282,612,15867
50403,68,217,1556,15878,24125,2633,506,1663,46653,4,239,1016,2011,181,12,5,256,3725,0,79,347,374,41,0,0,91,940,9,314,1360,2382,228,14,4,349,4666,0,96,192,73,3,0,0,40,396,0,64,271,19,0,0,0,22,375,0,24,64,8,0,0,0,16,110,0,17,33,3,0,0,0,12,63,0,19,22,8,3,3,4,3,69,3,214,580,116,7,3,4,91,1019,39,114,91,20,7,0,0,447,709,3,10,8,26,14,0,4,47,111,122,869,3595,18418,24379,2657,518,2596,53156
50501,35,147,678,14779,29813,4964,699,987,52099,0,154,872,2293,237,15,3,170,3751,8,93,237,642,236,47,12,60,1334,11,250,1113,2935,475,58,16,229,5090,26,78,187,129,5,0,0,71,495,0,83,259,98,5,0,0,41,495,4,100,249,127,0,0,0,42,522,0,0,0,0,0,0,0,0,0,0,27,27,6,9,3,9,6,88,34,285,722,364,24,3,7,155,1595,8,38,60,17,10,0,0,125,251,3,3,10,7,0,0,0,28,48,91,722,2577,18104,30322,5029,724,1526,59093
