SA3_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
50101,21416,23879,45295,8759,4929,13685,3517,7657,11176,995,971,1967,462,395,856,13732,13954,27688,6263,8481,14739,3.3,2.8,3.1,64.1,58.4,61.1,62,56.8,59.2,586,695,1281,303,759,1068,2509,4181,6698,1834,2815,4651,6054,3249,9300,317,488,805,336,614,950,6702,4350,11056,20812,22514,43329,4220,4638,8864,13264,14121,27387,10411,11742,22155
50102,40498,43119,83608,18765,9776,28546,4474,12059,16537,1675,1538,3211,1328,1260,2586,26245,24636,50875,11981,16289,28267,5,5.1,5.1,64.8,57.1,60.8,61.5,54.2,57.8,739,820,1566,396,989,1387,3012,5386,8400,2592,3968,6557,12566,7667,20229,712,1221,1933,553,1041,1590,13831,9931,23756,40290,42144,82431,7074,7700,14772,27401,28248,55648,17217,19098,36309
50103,9683,9837,19518,4061,2015,6076,1178,2694,3871,451,406,854,240,196,437,5932,5310,11239,2966,3817,6780,4.1,3.7,3.9,61.3,54,57.6,58.8,52,55.3,185,226,418,87,247,335,734,1281,2012,615,991,1601,2601,1399,4000,149,253,406,159,231,395,2913,1887,4799,9207,9166,18374,1453,1608,3060,6570,6428,13002,3581,3858,7443
50201,38908,44587,83493,14434,8202,22630,4496,10941,15431,1669,1416,3087,1670,1499,3169,22267,22055,44321,14728,20314,35037,7.5,6.8,7.2,57.2,49.5,53.1,52.9,46.1,49.3,705,739,1443,333,898,1239,2537,4702,7237,2889,4562,7450,11787,6941,18727,617,1017,1629,567,1163,1731,12970,9117,22084,38442,42786,81229,6975,8015,14990,24643,26842,51489,18311,21458,39770
50301,27947,30779,58725,11996,6788,18795,5189,9075,14265,655,949,1600,848,799,1651,18694,17620,36309,8197,11883,20076,4.6,4.5,4.5,66.9,57.2,61.8,63.8,54.6,59,4802,3895,8695,859,1652,2511,9266,10061,19322,1939,2881,4818,1944,1113,3053,159,237,402,203,547,749,2310,1897,4202,27458,29198,56658,5458,5946,11405,17341,18730,36070,14268,15152,29415
50302,48067,48593,96662,23999,16360,40358,7567,13109,20675,1388,1712,3097,1541,1389,2928,34496,32564,67060,9518,13020,22544,4.5,4.3,4.4,71.8,67,69.4,68.6,64.2,66.4,6422,6115,12536,1484,2372,3853,13888,15242,29126,4204,4802,8998,5534,3053,8587,366,495,861,445,797,1242,6342,4347,10691,40078,40751,80831,10953,11508,22455,21719,22401,44118,27008,27738,54740
50401,33417,35413,68834,16017,10374,26398,5152,9575,14727,962,1207,2171,1254,1126,2382,23385,22295,45673,8633,11804,20437,5.4,5.1,5.2,70,62.9,66.4,66.2,59.8,62.9,1957,2329,4287,714,1318,2033,6169,7650,13816,3199,3628,6830,6879,3671,10547,399,577,975,414,799,1218,7691,5051,12741,33095,34340,67432,5363,5631,10992,21501,22453,43959,14801,15545,30342
50402,17653,17204,34856,7368,4262,11628,2055,4871,6921,671,623,1293,525,449,978,10621,10207,20822,6416,6277,12697,4.9,4.4,4.7,60.2,59.3,59.7,57.2,56.7,56.9,540,636,1173,276,558,838,1737,2774,4506,1352,1954,3312,4769,2396,7166,221,348,568,247,447,697,5241,3187,8430,16621,17429,34051,2076,2272,4350,12046,12619,24665,5690,6220,11911
50403,54684,58469,113152,28118,16494,44609,7474,16329,23806,2076,2175,4250,2152,2082,4233,39820,37081,76901,12378,18944,31324,5.4,5.6,5.5,72.8,63.4,68,68.9,59.9,64.2,1618,1960,3580,608,1273,1882,5581,8508,14086,4642,6216,10862,14707,8734,23442,927,1204,2133,749,1437,2185,16391,11370,27762,58669,60531,119206,8809,9463,18275,38217,38973,77192,24469,26611,51081
50501,61114,65500,126617,30641,16835,47476,9152,21265,30416,1879,2383,4266,2141,1719,3860,43810,42201,86013,15712,21639,37352,4.9,4.1,4.5,71.7,64.4,67.9,68.2,61.8,64.9,3406,3075,6475,1281,2578,3863,10244,13935,24180,6388,7856,14240,15927,7401,23331,663,991,1653,859,1808,2666,17445,10200,27651,65135,68049,133184,8704,9265,17969,46544,48512,95054,23588,25215,48804
