SA3_CODE_2021,P_Sol_sp_En_Tot_2011_2015,P_Sol_sp_En_Tot_2016,P_Sol_sp_En_Tot_2017,P_Sol_sp_En_Tot_2018,P_Sol_sp_En_Tot_2019,P_Sol_sp_En_Tot_2020,P_Sol_sp_En_Tot_2021,P_Sol_sp_En_Tot_Yr_arr_ns,P_Sol_sp_En_Tot_YoA_Tot,P_LanProf_En_ns_B_2005,P_LanProf_En_ns_2005_2010,P_LanProf_En_ns_2011_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_2017,P_LanProf_En_ns_2018,P_LanProf_En_ns_2019,P_LanProf_En_ns_2020,P_LanProf_En_ns_2021,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_Tot,P_Tot_B_2005,P_Tot_2005_2010,P_Tot_2011_2015,P_Tot_2016,P_Tot_2017,P_Tot_2018,P_Tot_2019,P_Tot_2020,P_Tot_2021,P_Tot_Yr_arrival_ns,P_Tot_YoA_Tot
50101,618,116,102,107,164,74,27,111,2441,10,0,0,0,0,0,3,0,0,28,47,7012,1604,1471,217,197,186,318,149,49,416,11623
50102,1578,263,303,324,411,163,55,146,6097,19,0,0,0,4,0,0,0,0,116,147,10466,3684,2980,412,427,476,568,267,94,661,20032
50103,138,16,28,50,93,24,17,45,842,10,0,0,0,0,0,0,0,0,4,16,3027,437,302,37,43,69,125,48,19,212,4325
50201,1425,210,182,248,269,89,42,119,5266,15,3,3,0,0,0,0,0,0,45,72,14947,5040,4148,485,374,435,498,185,101,686,26904
50301,1253,320,425,480,796,458,66,148,8124,13,0,0,0,0,0,0,0,0,9,23,12226,3053,2697,541,703,746,1187,819,215,395,22589
50302,4028,1180,1407,1938,2664,1210,291,432,21760,23,0,5,6,0,0,10,0,4,119,168,18133,5773,6625,1592,1880,2464,3445,1673,493,989,43076
50401,2918,650,578,642,763,298,46,312,15647,15,0,0,0,0,0,0,0,0,22,38,16403,4575,4400,834,734,795,943,363,76,603,29720
50402,443,70,40,64,48,26,10,42,2110,9,0,0,0,0,0,0,0,0,401,415,6796,1450,1033,133,81,114,95,59,33,584,10366
50403,5851,883,675,706,896,406,118,469,25566,16,8,9,0,0,3,0,0,0,89,135,22412,11924,8981,1177,951,935,1144,519,186,1068,49304
50501,2425,334,339,414,563,281,72,215,13218,25,9,5,0,0,0,0,0,0,37,79,32836,11192,8709,992,876,944,1085,584,186,840,58255
50502,8236,2089,1847,2030,2703,1070,152,862,43175,36,13,4,5,4,4,3,9,0,75,149,37706,12521,12577,2656,2334,2611,3356,1451,288,1627,77129
50503,6619,1062,862,944,1132,499,173,575,32154,58,20,12,0,0,5,0,0,0,101,208,37089,21746,15295,1911,1483,1505,1708,838,310,1506,83371
50601,5119,748,578,554,634,262,99,181,16928,12,7,7,0,4,0,0,0,0,35,76,13671,8489,7022,923,743,746,784,334,148,550,33412
50602,3954,1040,980,1169,1477,597,112,322,17406,12,5,3,0,0,0,0,0,0,51,78,11573,5229,5549,1264,1211,1422,1804,727,183,618,29578
50603,7635,1837,1704,2166,2587,1035,186,576,34097,19,0,9,0,4,0,4,0,0,87,135,18142,10128,9309,2123,1921,2400,2899,1184,229,988,49317
50604,8856,1440,1265,1406,1862,629,160,578,35072,26,5,5,9,0,0,3,0,0,200,247,21252,13540,10870,1690,1477,1596,2077,747,204,1224,54676
50605,1190,178,133,131,162,70,28,73,5355,4,0,0,6,0,0,0,0,0,43,56,9752,3147,2148,259,211,215,221,123,56,354,16488
50606,682,75,43,55,82,54,16,45,2547,6,0,0,0,0,0,0,0,0,68,78,3972,1926,1268,113,83,111,123,71,25,256,7946
50607,1338,294,290,371,534,273,47,114,7037,7,0,0,0,0,0,0,0,0,13,29,7941,2004,2116,431,422,513,691,365,80,279,14841
50701,4311,595,557,534,647,284,64,299,18966,11,0,4,0,0,0,0,0,0,38,59,18809,7876,7269,959,824,816,958,434,140,740,38832
50702,434,94,98,122,150,90,26,94,3260,13,0,3,0,0,0,5,0,0,28,46,6812,1457,1278,201,202,260,328,197,78,287,11109
50703,2307,360,308,273,345,139,37,108,7771,0,4,0,0,0,0,0,0,0,201,210,5571,4075,3569,481,417,380,434,180,62,472,15636
50704,2761,542,539,510,671,431,78,254,16735,10,6,3,0,0,0,0,0,0,27,49,21639,5482,4580,764,760,751,905,607,144,622,36248
50705,1986,315,262,269,289,135,73,151,8302,30,14,12,0,0,0,0,0,0,43,97,20088,8938,7409,728,604,600,615,309,168,746,40218
50901,621,166,115,166,174,85,86,71,3052,34,5,0,0,0,0,0,0,0,124,159,7212,1644,1087,252,172,247,268,134,123,513,11649
50902,464,103,82,120,205,95,104,66,2152,24,0,0,0,0,0,0,0,0,320,355,6051,1169,1003,178,114,183,269,127,125,703,9927
50903,161,41,28,47,81,32,38,26,757,8,0,0,0,0,0,0,0,0,4,15,1550,382,334,66,38,59,115,43,46,124,2754
51001,430,89,95,139,324,134,49,49,2131,11,0,0,0,0,0,3,6,0,16,39,3679,984,929,145,166,218,457,190,66,219,7050
51002,816,130,149,168,236,90,23,56,3155,10,9,0,0,0,0,7,0,0,10,37,2900,2000,1687,213,233,268,417,155,60,208,8144
51003,806,155,126,149,225,93,31,61,3074,10,10,5,0,0,0,0,0,0,23,47,3283,1910,1651,230,196,225,355,148,62,201,8256
51101,141,17,34,30,64,37,0,16,630,3,0,0,0,0,0,0,0,0,0,5,1279,370,310,40,71,54,118,60,13,96,2414
51102,147,42,38,91,120,44,13,24,955,10,0,0,0,0,0,0,0,0,4,15,2197,362,332,79,64,140,179,71,25,133,3586
51103,1001,156,191,228,320,136,76,78,3786,12,11,4,0,0,0,0,0,0,28,56,3394,2319,1992,269,304,402,508,208,111,258,9770
51104,674,112,110,114,143,93,48,50,2672,18,5,0,0,0,0,0,0,0,20,50,4895,1447,1291,171,177,172,231,125,68,279,8871
59797,36,9,4,7,8,9,0,19,200,0,0,0,0,0,0,0,0,0,0,5,352,156,115,17,6,18,14,10,3,28,717
