SA3_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
50101,300,975,16,1286,5722,502,20,7526,57,1125,8,1188,5540,439,9,7178,12,165,0,179,3134,271,4,3585,0,8,0,6,1178,134,0,1322,9476,3196,541,13206,28975,3114,160,45456
50102,454,2156,28,2634,10254,663,16,13569,94,1588,3,1691,8787,609,14,11100,27,259,3,286,5089,440,7,5826,6,17,4,24,1720,382,0,2126,16958,6367,984,24308,53901,5406,122,83728
50103,140,369,6,512,3143,281,9,3943,25,360,0,387,2883,239,4,3511,7,39,0,51,1554,163,0,1769,0,0,0,0,445,44,0,495,3211,1157,155,4521,13421,1574,88,19606
50201,464,2125,15,2601,10181,481,16,13280,92,1693,11,1790,11393,564,21,13763,33,291,0,331,7791,615,4,8737,0,26,0,22,2567,464,5,3055,14861,6429,801,22090,56937,4466,100,83597
50301,770,898,20,1688,6653,287,42,8671,114,2121,7,2238,4728,311,33,7307,39,711,4,760,3848,346,15,4973,0,38,0,39,1932,279,8,2262,11980,4862,488,17331,38823,2572,243,58971
50302,672,1061,19,1759,9253,802,108,11914,113,1724,12,1846,6490,691,63,9091,18,457,4,477,3619,465,21,4578,4,24,0,28,1936,317,7,2293,15793,5211,590,21597,67633,7426,1040,97703
50401,453,1176,14,1643,7441,339,31,9452,111,1474,4,1583,6036,260,30,7911,18,346,0,366,3913,258,5,4539,4,21,0,20,1718,176,0,1922,13204,4573,472,18242,47621,2966,140,68970
50402,264,879,20,1159,4368,322,10,5863,57,908,3,970,3576,194,5,4744,12,174,0,189,2243,154,0,2590,0,10,0,11,687,131,0,828,6504,2871,357,9739,21841,3278,51,34902
50403,743,2294,47,3090,11985,616,71,15765,133,1718,13,1862,7922,467,52,10302,17,316,3,340,4267,343,12,4962,7,16,0,19,1434,215,4,1675,26790,7933,1094,35813,71599,5739,295,113447
50501,889,3681,46,4609,15715,465,43,20833,205,4621,19,4846,12097,396,31,17363,31,773,7,809,6516,415,17,7753,0,26,0,32,2554,262,3,2856,28205,11836,1278,41318,81558,3745,195,126814
50502,1128,2697,50,3874,17024,737,87,21718,247,4128,15,4397,12939,673,62,18067,66,1066,6,1133,9956,688,25,11802,10,60,0,73,4916,429,4,5422,33662,11448,1200,46315,113849,7820,410,168401
50503,1038,3430,55,4516,15548,650,63,20779,194,2717,24,2937,10856,484,55,14335,20,460,0,480,6616,480,18,7601,0,27,0,31,2168,365,3,2572,38509,11526,1683,51711,98931,6328,334,157309
50601,386,1423,23,1828,6797,395,48,9069,93,1188,13,1295,5313,266,60,6932,21,191,0,213,2837,225,21,3295,3,15,0,17,852,161,0,1023,17964,5040,795,23801,42842,3584,176,70401
50602,380,923,12,1313,6098,500,54,7963,87,938,13,1033,4354,340,34,5758,20,182,0,201,2432,236,10,2877,3,10,0,10,1109,161,0,1279,11185,3533,361,15074,43677,4503,241,63503
50603,540,1380,25,1943,7682,336,78,10036,147,1837,8,1990,5902,260,73,8227,24,385,0,409,3992,388,25,4809,4,23,0,29,1718,436,12,2189,16314,5231,484,22027,53753,3950,330,80070
50604,615,1872,35,2519,9583,489,67,12658,154,1720,13,1887,7670,403,75,10043,28,301,4,333,4407,335,18,5093,0,15,0,17,1568,275,6,1873,21730,6711,791,29228,62666,6186,294,98372
50605,308,1149,7,1466,5206,224,7,6904,62,1347,6,1417,4376,194,7,5990,16,274,9,292,3035,187,6,3516,0,9,0,10,1144,109,7,1266,9930,3966,452,14353,29670,1809,51,45883
50606,134,605,9,748,2316,155,8,3234,23,382,0,403,1554,113,9,2080,3,58,0,64,814,50,3,927,3,0,0,3,228,20,0,252,6305,1941,331,8583,13344,1240,37,23199
50607,320,612,9,937,3883,188,22,5025,65,1112,4,1181,3221,200,30,4622,4,224,3,229,2024,209,0,2467,0,10,0,10,972,247,0,1232,6129,2701,257,9093,25535,1771,164,36564
50701,597,1933,29,2554,9161,370,43,12125,112,1835,10,1957,6539,364,48,8910,30,325,0,361,3821,397,9,4583,5,18,0,29,1434,315,0,1775,20920,6608,913,28441,58182,3773,189,90585
50702,345,599,18,961,4218,293,32,5502,48,1005,3,1056,3108,234,16,4418,15,236,3,252,1941,197,6,2390,0,8,0,12,935,184,3,1132,5948,2603,322,8875,22473,2265,215,33822
50703,163,610,15,781,2995,217,14,4012,41,393,5,443,2056,143,22,2664,5,83,0,90,1140,65,10,1301,0,6,0,6,377,32,0,413,8569,2239,387,11195,20301,2871,68,34433
50704,778,1880,22,2676,9874,410,42,13009,177,3137,19,3331,7988,438,44,11797,40,732,9,782,5571,479,17,6843,11,39,0,52,2925,471,7,3453,17719,7500,688,25902,56602,3583,262,86339
50705,563,2642,31,3241,10922,506,42,14706,106,1670,6,1783,8188,460,33,10455,23,294,0,316,5227,497,13,6054,3,22,0,24,1662,371,8,2063,23399,7952,1278,32631,63529,5499,184,101841
50901,341,971,18,1330,6919,592,7,8850,57,832,8,893,6202,528,14,7629,14,135,0,153,3723,370,9,4254,0,7,0,7,1400,221,4,1628,8811,3230,540,12580,32966,4190,77,49812
50902,259,1059,12,1336,6774,961,0,9063,50,740,0,795,6390,779,7,7972,11,124,0,138,3214,499,4,3857,0,7,0,11,958,179,0,1145,7176,2956,379,10514,30405,5735,185,46831
50903,86,364,7,454,2289,283,3,3028,23,258,0,280,1951,215,0,2445,6,46,0,50,1074,161,0,1284,0,0,0,0,380,94,0,476,2870,994,112,3976,10356,1720,34,16085
51001,172,570,16,747,5394,1113,17,7273,23,449,8,481,5050,775,26,6330,7,81,0,88,1311,279,0,1680,0,3,0,7,156,53,0,216,5943,2784,667,9401,24923,6788,365,41479
51002,127,330,11,467,3090,1422,26,5007,11,148,3,163,1151,347,8,1667,0,17,0,20,254,61,3,338,0,0,3,4,44,8,0,52,5719,1421,409,7550,16715,9620,187,34070
51003,123,369,6,494,3341,1460,40,5332,14,203,3,218,1684,526,19,2457,0,21,5,26,457,114,5,604,0,0,0,0,33,8,0,41,6811,1393,389,8595,17672,9309,243,35822
51101,72,274,0,350,1694,241,3,2293,7,171,3,179,1337,189,3,1706,5,45,0,48,827,141,0,1016,0,4,0,7,283,30,0,316,2366,846,137,3354,8433,1569,43,13397
51102,62,276,3,345,2414,300,5,3062,20,272,8,294,2934,339,4,3569,4,38,0,42,1065,138,0,1244,0,0,0,3,131,23,0,156,1958,813,132,2912,10730,1810,170,15625
51103,205,516,6,724,3975,1346,21,6069,19,220,0,245,2129,564,19,2955,6,41,0,50,734,130,0,919,0,3,0,3,190,38,4,241,6864,1880,378,9125,20684,8864,145,38820
51104,272,1000,13,1289,6359,1149,16,8825,50,756,6,813,5767,835,5,7417,11,115,0,132,2930,457,9,3515,5,9,0,13,915,196,5,1128,8083,3051,445,11580,31099,7679,100,50456
59797,9,15,0,30,290,221,29,560,0,15,0,15,103,56,0,178,0,3,0,3,19,12,0,32,0,0,0,0,0,0,4,3,310,58,9,371,1489,1380,164,3410
