SA3_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
50101,3750,4741,4552,3310,2622,2490,1532,3413,414,26827
50102,4573,7357,8997,5626,5259,4017,5079,6548,833,48291
50103,2156,1426,1572,1063,983,690,1050,1689,176,10802
50201,4033,5788,7628,5832,4303,3978,4384,4492,724,41151
50301,6537,14796,1651,3504,3427,2386,552,1271,536,34660
50302,9715,25114,5470,6648,6798,3903,1828,3822,838,64133
50401,5205,11454,5857,5107,5754,3277,2460,3512,672,43294
50402,2429,4030,3387,2345,2589,1601,1487,1606,380,19848
50403,7392,10963,12145,9826,9945,6496,7022,7523,1356,72663
50501,11218,20799,12237,9480,11599,6788,3323,5532,1172,82151
50502,13713,29640,12945,12272,13071,8453,5130,8448,1730,105402
50503,10510,16735,17404,13780,13659,9292,7496,10738,1783,101388
50601,4177,7766,7146,5513,5679,3544,4382,4407,790,43411
50602,4785,10577,5630,4818,5082,2860,2853,3424,695,40726
50603,4683,12438,6332,6252,5717,3807,3395,4829,862,48308
50604,4767,9639,9520,7250,7375,4891,5982,6819,1098,57349
50605,3374,5324,4769,3112,4114,2185,2531,2339,484,28235
50606,1652,1982,3062,1878,2172,1208,1744,1489,329,15502
50607,3468,8423,1923,2347,2700,1654,699,1180,349,22748
50701,6834,13496,9908,7065,8037,4723,3852,5189,1005,60126
50702,3231,7550,2149,2345,1927,1242,586,1096,283,20398
50703,1628,3100,3709,2786,2587,1764,2313,2493,344,20726
50704,7906,17297,5291,5107,6948,4196,1709,2934,743,52129
50705,5841,8759,11508,9012,7161,5337,5514,6471,1117,60725
50901,4805,4378,3949,3307,2737,2230,1835,3924,453,27631
50902,5103,2787,3798,2325,2568,1536,2789,3355,467,24728
50903,2513,1089,1290,791,814,468,1050,1244,159,9423
51001,2989,4541,2428,2683,2271,1087,1173,1779,441,19389
51002,1608,2687,5769,1113,1455,601,4488,2054,378,20158
51003,2012,3002,5734,1496,1842,764,3635,2337,436,21264
51101,1353,977,1323,644,813,555,1035,998,191,7886
51102,1334,1251,1118,857,874,498,492,881,165,7471
51103,2035,3324,5082,1754,2081,1138,4652,2056,359,22495
51104,3607,4154,4478,3050,2756,2008,3012,3064,441,26558
59797,96,324,627,58,45,6,172,344,23,1697
