IARE_CODE_2021,Rel_a_SecB_OSB_NRA_No_In_F,Rel_a_SecB_OSB_NRA_No_In_P,Rel_a_SecB_OSB_NRA_In_st_nsM,Rel_a_SecB_OSB_NRA_In_st_nsF,Rel_a_SecB_OSB_NRA_In_st_nsP,Rel_a_SecB_OSB_NRA_TotM,Rel_a_SecB_OSB_NRA_TotF,Rel_a_SecB_OSB_NRA_TotP,Rel_a_Rel_a_ns_Ind_M,Rel_a_Rel_a_ns_Ind_F,Rel_a_Rel_a_ns_Ind_P,Rel_a_Rel_a_ns_No_In_M,Rel_a_Rel_a_ns_No_In_F,Rel_a_Rel_a_ns_No_In_P,Rel_a_Rel_a_ns_In_st_nsM,Rel_a_Rel_a_ns_In_st_nsF,Rel_a_Rel_a_ns_In_st_nsP,Rel_a_Rel_a_ns_TotM,Rel_a_Rel_a_ns_TotF,Rel_a_Rel_a_ns_TotP,APAEI_0_4_Ind_M,APAEI_0_4_Ind_F,APAEI_0_4_Ind_P,APAEI_0_4_No_Ind_M,APAEI_0_4_No_Ind_F,APAEI_0_4_No_Ind_P,APAEI_0_4_In_st_nsM,APAEI_0_4_In_st_nsF,APAEI_0_4_In_st_nsP,APAEI_0_4_TotM,APAEI_0_4_TotF,APAEI_0_4_TotP,APAEI_5_14_Ind_M,APAEI_5_14_Ind_F,APAEI_5_14_Ind_P,APAEI_5_14_No_In_M,APAEI_5_14_No_In_F,APAEI_5_14_No_In_P,APAEI_5_14_In_st_nsM,APAEI_5_14_In_st_nsF,APAEI_5_14_In_st_nsP,APAEI_5_14_TotM,APAEI_5_14_TotF,APAEI_5_14_TotP,APAEI_15_19_Ind_M,APAEI_15_19_Ind_F,APAEI_15_19_Ind_P,APAEI_15_19_No_In_M,APAEI_15_19_No_In_F,APAEI_15_19_No_In_P,APAEI_15_19_i_st_nsM,APAEI_15_19_i_st_nsF,APAEI_15_19_i_st_nsP,APAEI_15_19_TotM,APAEI_15_19_TotF,APAEI_15_19_TotP,APAEI_20_24_Ind_M,APAEI_20_24_Ind_F,APAEI_20_24_Ind_P,APAEI_20_24_No_Ind_M,APAEI_20_24_No_Ind_F,APAEI_20_24_No_Ind_P,APAEI_20_24_In_st_nsM,APAEI_20_24_In_st_nsF,APAEI_20_24_In_st_nsP,APAEI_20_24_TotM,APAEI_20_24_TotF,APAEI_20_24_TotP,APAEI_25ov_Ind_M,APAEI_25ov_Ind_F,APAEI_25ov_Ind_P,APAEI_25ov_No_Ind_M,APAEI_25ov_No_Ind_F,APAEI_25ov_No_Ind_P,APAEI_25ov_In_st_nsM,APAEI_25ov_In_st_nsF,APAEI_25ov_In_st_nsP,APAEI_25ov_TotM,APAEI_25ov_TotF,APAEI_25ov_TotP,HYSC_Y12_e_Ind_M,HYSC_Y12_e_Ind_F,HYSC_Y12_e_Ind_P,HYSC_Y12_e_No_In_M,HYSC_Y12_e_No_In_F,HYSC_Y12_e_No_In_P,HYSC_Y12_e_In_st_nsM,HYSC_Y12_e_In_st_nsF,HYSC_Y12_e_In_st_nsP,HYSC_Y12_e_TotM,HYSC_Y12_e_TotF,HYSC_Y12_e_TotP,HYSC_Y11_e_Ind_M,HYSC_Y11_e_Ind_F,HYSC_Y11_e_Ind_P,HYSC_Y11_e_No_In_M,HYSC_Y11_e_No_In_F,HYSC_Y11_e_No_In_P,HYSC_Y11_e_In_s_nsM,HYSC_Y11_e_In_s_nsF,HYSC_Y11_e_In_s_nsP,HYSC_Y11_e_TotM,HYSC_Y11_e_TotF,HYSC_Y11_e_TotP,HYSC_Y10_e_Ind_M,HYSC_Y10_e_Ind_F,HYSC_Y10_e_Ind_P,HYSC_Y10_e_No_In_M,HYSC_Y10_e_No_In_F,HYSC_Y10_e_No_In_P,HYSC_Y10_e_In_s_nsM,HYSC_Y10_e_In_s_nsF,HYSC_Y10_e_In_s_nsP,HYSC_Y10_e_TotM,HYSC_Y10_e_TotF,HYSC_Y10_e_TotP,HYSC_Y9_e_Ind_M,HYSC_Y9_e_Ind_F,HYSC_Y9_e_Ind_P,HYSC_Y9_e_No_In_M,HYSC_Y9_e_No_In_F,HYSC_Y9_e_No_In_P,HYSC_Y9_e_In_st_nsM,HYSC_Y9_e_In_st_nsF,HYSC_Y9_e_In_st_nsP,HYSC_Y9_e_TotM,HYSC_Y9_e_TotF,HYSC_Y9_e_TotP,HYSC_Y8_bel_Ind_M,HYSC_Y8_bel_Ind_F,HYSC_Y8_bel_Ind_P,HYSC_Y8_bel_No_Ind_M,HYSC_Y8_bel_No_Ind_F,HYSC_Y8_bel_No_Ind_P,HYSC_Y8_be_In_st_nsM,HYSC_Y8_be_In_st_nsF,HYSC_Y8_be_In_st_nsP,HYSC_Y8_bel_TotM,HYSC_Y8_bel_TotF,HYSC_Y8_bel_TotP,HYSC_Dng_to_sc_Ind_M,HYSC_Dng_to_sc_Ind_F,HYSC_Dng_to_sc_Ind_P,HYSC_Dng_to_sc_No_In_M,HYSC_Dng_to_sc_No_In_F,HYSC_Dng_to_sc_No_In_P,HYSC_Dng_sc_In_st_nsM,HYSC_Dng_sc_In_st_nsF,HYSC_Dng_sc_In_st_nsP,HYSC_Dng_to_sc_TotM,HYSC_Dng_to_sc_TotF,HYSC_Dng_to_sc_TotP,Tpe_ur_occ_pvte_dwg_Sh_Indi_M,Tpe_ur_occ_pvte_dwg_Sh_Indi_F,Tpe_ur_occ_pvte_dwg_Sh_Indi_P,Tpe_ur_occ_pte_dw_Sh_No_Ind_M,Tpe_ur_occ_pte_dw_Sh_No_Ind_F,Tpe_ur_occ_pte_dw_Sh_No_Ind_P,T_ur_occ_pte_dw_Sh_In_st_nsM,T_ur_occ_pte_dw_Sh_In_st_nsF,T_ur_occ_pte_dw_Sh_In_st_nsP,Tpe_ur_occ_pvte_dwg_Sh_TotM,Tpe_ur_occ_pvte_dwg_Sh_TotF,Tpe_ur_occ_pvte_dwg_Sh_TotP,T_ur_oc_p_dw_im_h_t_s_o_In_M,T_ur_oc_p_dw_im_h_t_s_o_In_F,T_ur_oc_p_dw_im_h_t_s_o_In_P,T_ur_o_pr_d_I_h_t_s_o_No_In_M,T_ur_o_pr_d_I_h_t_s_o_No_In_F,T_ur_o_pr_d_I_h_t_s_o_No_In_P,T_ur_o_p_d_I_h_t_s_o_i_s_nsM,T_ur_o_p_d_I_h_t_s_o_i_s_nsF,T_ur_o_p_d_I_h_t_s_o_i_s_nsP,T_ur_o_p_d_I_h_t_s_o_TotM,T_ur_o_p_d_I_h_t_s_o_TotF,T_ur_o_p_d_I_h_t_s_o_TotP,Ty_ur_oc_p_dw_Ot_p_dw_In_M,Ty_ur_oc_p_dw_Ot_p_dw_In_F,Ty_ur_oc_p_dw_Ot_p_dw_In_P,Ty_ur_o_pr_d_Ot_pr_d_No_In_M,Ty_ur_o_pr_d_Ot_pr_d_No_In_F,Ty_ur_o_pr_d_Ot_pr_d_No_In_P,Ty_ur_o_p_d_O_p_d_In_st_nsM,Ty_ur_o_p_d_O_p_d_In_st_nsF,Ty_ur_o_p_d_O_p_d_In_st_nsP,Ty_ur_oc_pr_dw_Ot_pr_dw_TotM,Ty_ur_oc_pr_dw_Ot_pr_dw_TotF,Ty_ur_oc_pr_dw_Ot_pr_dw_TotP,ty_ur_occ_pri_dw_Tot_Ind_M,ty_ur_occ_pri_dw_Tot_Ind_F,ty_ur_occ_pri_dw_Tot_Ind_P,ty_ur_occ_pri_dw_Tot_No_Ind_M,ty_ur_occ_pri_dw_Tot_No_Ind_F,ty_ur_occ_pri_dw_Tot_No_Ind_P,ty_ur_oc_pr_dw_Tot_In_st_nsM,ty_ur_oc_pr_dw_Tot_In_st_nsF,ty_ur_oc_pr_dw_Tot_In_st_nsP,ty_ur_occ_pri_dw_Tot_TotM,ty_ur_occ_pri_dw_Tot_TotF,ty_ur_occ_pri_dw_Tot_TotP
IARE501001,2931,5860,24,18,43,3585,3551,7140,232,150,380,154,109,266,929,956,1881,1313,1213,2526,33,31,58,81,68,151,3,0,3,116,101,213,379,359,733,632,615,1249,9,11,20,1019,987,2004,64,97,159,142,170,308,0,0,0,205,262,466,19,13,31,29,56,83,0,0,0,46,65,112,27,57,80,130,330,462,3,0,3,157,390,539,369,472,841,2018,2808,4829,14,12,24,2406,3286,5689,158,214,371,442,371,812,5,3,11,599,593,1199,294,281,572,861,603,1465,12,11,20,1163,895,2054,83,94,175,157,99,260,4,0,4,248,199,439,48,55,104,78,44,122,0,0,0,129,99,230,18,12,37,13,15,28,4,0,4,38,27,63,1136,1256,2388,3447,3777,7222,589,610,1200,5167,5639,10809,8,8,14,11,4,16,0,0,0,18,11,30,299,299,606,620,638,1256,148,173,317,1064,1116,2180,1443,1561,2999,4071,4421,8492,739,786,1518,6253,6766,13017
IARE501002,125,256,3,0,3,257,244,509,62,71,133,10,8,16,52,44,94,123,118,245,11,21,24,0,4,4,0,0,0,11,20,29,147,131,275,19,15,30,3,0,3,168,143,315,25,15,43,3,4,3,0,0,0,25,19,46,0,0,0,0,0,4,0,0,0,0,6,3,0,3,3,8,6,14,0,0,0,8,10,19,122,154,276,112,139,257,0,0,0,233,301,529,95,103,202,18,17,39,0,0,0,114,130,239,145,134,285,36,32,64,5,0,3,192,169,359,31,36,66,14,5,15,0,0,0,43,42,81,33,30,58,13,0,11,0,0,0,41,30,66,8,4,14,0,0,0,0,0,0,8,4,14,633,670,1299,72,77,146,28,24,52,730,768,1496,5,0,5,5,10,22,0,0,0,12,10,23,7,8,17,59,58,119,0,6,8,72,75,142,644,681,1319,135,148,288,31,29,58,808,851,1663
IARE502001,641,1400,5,4,13,933,800,1740,30,32,59,39,29,69,440,368,805,508,430,936,9,5,14,26,32,57,0,0,0,40,39,80,70,78,143,173,132,303,3,7,6,240,213,453,13,7,23,42,31,75,0,0,0,59,47,98,0,0,0,11,6,22,0,0,0,12,11,24,3,3,9,21,54,78,0,0,0,27,57,88,54,62,117,535,623,1158,7,9,12,593,692,1287,39,60,93,175,152,330,0,0,8,216,216,433,74,106,180,437,308,745,10,8,11,522,417,937,41,34,69,106,62,165,0,0,0,142,93,235,27,32,53,103,72,169,0,0,0,122,100,230,3,6,14,19,14,34,0,0,0,21,27,44,302,357,652,1304,1176,2486,296,266,556,1903,1798,3700,0,0,0,12,4,16,0,0,0,7,4,10,56,66,115,212,166,383,63,57,115,330,288,617,357,415,772,1529,1350,2881,355,319,678,2238,2090,4326
IARE502002,127,336,0,5,5,257,165,426,9,3,15,19,8,28,340,192,529,370,212,575,0,0,0,0,3,10,0,0,0,0,6,8,20,13,35,13,8,27,0,0,0,36,25,62,0,0,8,4,0,4,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,18,0,0,0,9,12,17,10,21,28,184,123,309,0,0,0,197,142,341,12,11,17,47,32,83,0,0,0,59,44,101,33,22,52,94,61,156,0,0,0,129,77,206,12,4,14,31,15,46,0,0,0,41,18,62,5,0,13,14,10,23,0,0,0,22,11,35,0,0,5,0,0,0,0,0,0,5,0,7,69,64,129,183,167,353,143,144,291,389,382,769,0,0,0,0,0,0,0,0,0,0,0,0,11,9,12,31,33,63,0,0,0,41,38,81,74,73,148,215,206,411,143,147,289,434,424,852
IARE502003,857,1957,10,7,18,1188,941,2135,15,19,34,101,80,180,406,349,752,521,441,965,8,6,10,20,23,42,0,0,0,29,28,51,35,36,65,265,215,479,4,0,10,299,251,552,4,4,11,59,57,116,0,3,3,68,62,131,0,0,5,6,16,22,0,0,0,8,14,21,0,0,3,11,58,72,0,0,0,14,63,78,31,21,50,723,873,1597,10,10,20,764,907,1666,18,19,36,241,249,492,0,0,4,258,270,530,36,38,76,723,505,1224,10,3,14,770,548,1316,21,10,33,172,94,262,4,3,3,191,108,305,9,11,19,102,70,178,0,0,0,114,82,200,0,0,0,10,5,16,0,0,0,10,6,16,140,149,290,1927,1803,3721,306,315,626,2378,2260,4634,0,0,0,3,0,3,0,0,0,3,0,3,4,7,10,152,126,279,29,34,62,187,161,350,152,157,300,2079,1925,4004,338,345,681,2568,2422,4990
IARE502004,6619,14102,35,34,73,8429,7588,16014,230,107,334,397,337,734,1608,1450,3057,2231,1887,4122,42,47,85,228,235,462,0,0,0,272,281,549,412,383,797,2050,1958,4015,21,13,41,2489,2361,4849,113,103,215,634,681,1315,0,0,8,750,785,1543,8,24,34,134,182,310,0,0,0,137,207,345,23,57,77,325,769,1094,0,4,9,347,829,1171,309,378,689,5079,6439,11518,23,31,54,5417,6846,12259,156,250,405,1814,1846,3663,11,13,21,1977,2106,4082,452,418,865,3941,3425,7363,23,25,45,4409,3865,8277,114,111,227,846,737,1588,3,8,11,965,859,1822,70,52,122,561,465,1023,8,10,17,639,526,1163,22,18,43,71,88,155,0,0,0,92,104,196,1346,1540,2883,12925,13667,26590,1009,1068,2082,15276,16276,31555,4,0,7,13,9,30,0,0,0,20,9,29,190,220,408,1208,1350,2555,199,217,418,1597,1786,3390,1537,1759,3297,14146,15029,29169,1212,1286,2501,16899,18076,34970
IARE502005,1294,2956,17,8,30,1766,1420,3186,21,15,31,110,85,200,572,439,1009,701,535,1242,0,6,9,30,40,74,0,0,0,34,44,79,30,31,62,307,310,620,0,0,4,336,345,687,9,14,22,94,71,161,0,0,0,102,85,185,0,0,0,9,15,30,0,0,0,11,15,31,0,0,0,21,90,111,0,0,0,21,95,112,30,44,79,1017,1120,2132,3,7,9,1059,1170,2223,18,19,37,334,339,670,0,5,9,353,363,713,37,57,93,906,740,1646,11,8,15,951,800,1757,8,8,22,232,152,384,3,0,5,247,166,413,11,7,16,137,83,218,4,4,6,151,89,247,0,0,0,5,10,9,0,0,0,3,10,14,133,156,293,2557,2467,5020,372,338,710,3062,2962,6021,0,0,0,3,6,5,3,0,4,6,8,10,14,15,30,174,176,346,33,34,72,226,227,452,153,175,324,2730,2644,5373,410,369,783,3291,3189,6480
IARE502006,66,233,3,0,8,263,180,444,48,51,102,13,5,13,159,88,246,219,144,365,8,6,5,0,0,0,0,0,0,5,4,7,35,37,70,6,8,14,0,0,0,43,42,85,9,10,23,0,0,0,0,0,0,9,12,23,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,13,13,25,0,0,0,13,15,27,16,43,58,151,83,236,3,0,7,174,129,300,12,28,38,41,20,59,0,0,0,56,43,101,45,55,101,100,27,127,4,0,4,147,88,238,18,13,23,15,10,22,0,0,0,30,21,48,23,18,34,9,0,15,0,0,0,37,14,52,0,3,3,6,0,6,0,0,0,6,3,5,173,198,369,113,76,187,44,53,99,331,322,648,0,0,0,0,0,0,0,0,0,0,0,0,15,21,34,21,23,47,6,5,16,48,44,98,187,217,399,134,94,232,57,60,110,376,369,750
IARE502007,322,664,4,0,4,418,379,798,12,5,15,20,14,37,93,89,186,127,110,241,3,4,6,7,9,14,0,0,0,13,6,20,17,13,33,50,44,92,0,0,0,72,58,132,3,5,4,6,9,10,0,0,0,4,12,19,0,0,0,5,3,4,0,0,0,5,3,4,3,0,7,9,26,34,0,0,0,11,28,43,13,17,32,229,297,526,0,0,3,247,316,555,13,12,25,52,57,108,0,0,3,65,68,134,32,19,49,158,122,280,0,0,0,196,144,335,10,8,21,27,19,48,0,0,0,37,26,65,14,0,14,18,15,32,0,0,0,26,15,43,0,0,0,0,0,4,0,0,0,0,0,4,98,63,160,254,272,524,52,44,97,401,379,784,0,0,0,6,9,16,0,0,0,13,9,17,13,8,18,139,148,292,26,40,67,176,194,373,112,68,178,401,425,832,77,83,158,588,580,1166
IARE503001,3511,7442,29,31,64,4165,3737,7904,20,15,36,236,186,423,801,673,1473,1051,872,1927,9,13,26,100,121,220,0,0,0,114,132,240,71,62,132,866,853,1716,11,13,21,945,930,1877,29,24,51,238,231,471,0,0,6,277,259,526,0,4,5,41,65,106,0,0,0,46,69,113,3,6,12,92,219,308,0,0,0,92,230,326,47,86,134,2329,2791,5119,9,22,26,2394,2895,5281,34,44,75,744,792,1540,12,5,17,785,845,1637,84,66,146,1753,1287,3040,15,15,26,1840,1369,3210,24,17,44,378,324,704,6,0,8,410,342,751,14,7,28,217,177,402,0,3,9,240,190,430,0,6,6,16,11,24,0,0,0,16,15,28,267,271,535,5660,5622,11278,584,561,1148,6510,6458,12966,0,0,0,13,7,21,3,8,11,12,18,31,29,19,50,389,438,827,79,81,161,495,539,1039,297,290,585,6055,6069,12128,666,650,1318,7021,7011,14033
