IARE_CODE_2021,Neg_nil_inc_Hh_with_Ind_psns,Neg_nil_inc_Other_households,Neg_nil_inc_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_more_Hh_with_Indig_psn,2000_more_Other_households,2000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
IARE501001,15,41,57,18,14,35,107,33,134,102,73,171,93,121,215,72,108,183,54,147,197,76,209,290,105,328,431,95,352,445,81,366,451,69,344,412,105,828,937,151,415,561,65,60,128,1208,3439,4647
IARE501002,5,13,10,24,0,25,60,5,63,64,3,65,53,6,64,40,5,44,20,3,29,24,14,36,16,16,36,6,11,17,7,9,21,3,11,16,9,38,43,29,5,37,28,6,34,388,145,540
IARE502001,5,22,25,5,12,19,38,27,65,46,53,101,43,122,160,26,92,116,23,79,106,19,157,176,25,140,166,16,133,149,11,85,91,14,76,94,18,189,203,29,109,137,9,46,57,327,1342,1665
IARE502002,0,12,15,0,0,3,5,12,12,4,12,18,3,41,50,0,18,20,6,20,20,9,23,26,5,33,39,9,19,28,3,11,18,3,13,10,5,26,29,8,17,24,0,10,10,60,267,322
IARE502003,4,44,41,0,12,16,5,47,55,14,111,127,20,244,258,11,191,197,8,146,157,11,176,183,4,161,171,9,150,163,5,110,114,3,92,90,6,189,195,19,166,189,5,50,55,124,1889,2011
IARE502004,28,203,235,21,93,114,106,292,393,148,477,626,115,1273,1394,150,1065,1212,106,876,979,123,1180,1301,132,1424,1552,81,1095,1172,80,907,982,43,766,812,79,1617,1697,145,1138,1280,31,223,256,1388,12629,14005
IARE502005,3,72,72,4,18,19,5,81,85,11,135,144,18,337,353,19,273,288,15,169,184,15,229,243,11,243,250,14,171,190,6,158,165,7,112,115,3,286,285,24,248,272,3,88,92,158,2620,2757
IARE502006,3,3,7,3,0,6,15,3,18,17,5,23,12,15,25,14,4,24,9,10,13,3,9,14,8,13,25,0,19,18,3,7,7,0,5,5,4,32,33,12,8,26,24,10,31,127,143,275
IARE502007,7,15,19,0,0,0,7,8,16,12,21,28,13,54,62,10,20,26,4,32,39,9,52,58,7,52,59,6,36,40,0,26,27,0,18,20,7,45,48,7,43,45,5,21,23,94,443,510
IARE503001,10,89,92,7,49,53,18,134,153,15,204,224,21,554,574,31,453,482,21,402,422,28,473,498,30,604,630,26,460,483,14,402,416,3,295,297,27,699,725,35,520,558,10,140,151,296,5478,5758
IARE503002,0,23,28,0,8,9,10,38,49,17,64,75,31,123,154,14,76,94,3,63,64,13,87,94,20,97,114,16,82,95,10,98,107,5,64,66,10,252,263,23,111,132,8,47,54,180,1233,1398
IARE503003,21,115,132,9,54,64,40,111,156,53,182,233,50,429,481,51,367,420,32,337,378,65,549,615,69,874,946,61,880,942,47,976,1020,53,899,954,101,2513,2618,68,734,801,51,170,218,771,9190,9978
IARE503004,0,3,3,3,0,3,48,0,45,60,0,58,43,9,53,28,4,36,7,5,9,10,11,17,5,14,9,0,13,13,6,11,20,5,12,13,6,38,44,30,5,38,21,8,25,272,133,386
IARE503005,0,8,8,4,0,4,5,10,14,11,3,14,11,24,34,14,14,24,0,16,16,8,18,20,8,33,36,0,30,31,0,29,35,3,19,26,3,71,72,4,31,43,0,5,10,71,311,387
IARE503006,0,0,0,0,0,0,5,0,5,13,0,13,19,0,19,26,0,26,17,0,17,11,0,8,0,0,5,0,0,0,3,8,9,0,4,4,0,8,15,6,0,12,0,3,3,100,23,136
IARE503007,0,0,4,3,0,5,11,0,9,5,0,10,0,4,5,0,0,0,0,3,3,3,7,7,3,8,11,0,3,5,0,0,0,0,5,5,0,8,8,0,3,5,0,6,9,25,47,86
IARE504001,0,7,7,0,0,0,24,0,21,23,0,23,25,6,23,9,6,16,10,6,15,4,6,14,0,4,6,0,3,8,5,11,9,0,3,3,4,18,18,14,4,18,4,5,3,122,79,184
IARE504002,0,0,0,0,0,0,59,0,53,50,6,50,26,0,26,21,0,24,9,0,9,3,4,7,0,3,3,0,14,14,0,4,4,0,8,8,0,10,14,12,0,16,13,8,18,193,57,246
IARE504003,3,0,0,14,4,19,44,0,44,43,3,46,36,0,39,30,6,36,22,3,21,13,4,16,16,12,26,9,17,26,9,18,27,6,31,34,3,41,46,35,16,49,18,3,30,301,158,459
IARE504004,0,0,0,9,0,9,16,0,16,14,0,14,8,0,8,8,0,12,4,4,6,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,9,6,9,0,9,16,0,16,87,13,104
IARE504005,0,0,0,7,0,7,13,0,13,19,0,19,9,0,9,14,0,14,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,9,0,0,0,0,0,0,66,8,78
IARE504006,6,10,19,10,3,15,30,5,43,28,20,38,33,21,55,44,28,67,25,35,62,37,54,91,32,107,140,33,119,150,15,122,134,20,114,136,27,211,241,49,109,155,24,36,55,413,994,1401
IARE504007,0,6,6,7,4,9,6,7,16,6,0,12,3,11,14,7,12,10,9,10,19,7,12,19,5,20,30,0,30,33,0,24,26,0,22,25,5,72,70,9,30,37,4,4,8,68,264,334
IARE504008,6,0,9,0,0,0,15,0,17,23,9,31,15,5,23,13,8,24,7,0,9,8,4,13,10,7,18,5,9,12,3,10,14,0,9,11,8,9,17,19,6,25,9,3,11,141,79,234
IARE505001,26,441,472,8,174,181,78,630,708,94,1166,1253,110,2568,2679,112,2593,2709,111,2494,2605,114,3366,3482,105,4035,4141,89,3038,3122,57,2560,2621,44,1929,1973,93,3485,3575,111,2435,2550,25,452,480,1177,31366,32551
IARE505002,0,88,88,3,43,46,19,121,134,12,240,252,20,590,606,11,512,521,14,424,441,18,523,539,20,633,651,6,539,543,18,513,528,6,458,464,20,1024,1043,13,377,388,5,91,94,185,6176,6338
IARE505003,12,484,495,11,197,209,38,541,577,33,1039,1069,38,2414,2450,49,2056,2101,38,1746,1785,42,2349,2388,57,2806,2861,31,2362,2394,33,2045,2080,27,1935,1961,74,4728,4800,46,1630,1679,13,354,366,542,26686,27215
IARE505004,19,311,323,7,124,130,43,405,453,36,653,690,36,1461,1497,44,1205,1254,32,1053,1083,38,1450,1486,57,1899,1955,39,1584,1623,34,1392,1425,34,1122,1154,68,2465,2529,42,1111,1153,19,238,255,548,16473,17010
IARE505005,14,605,620,7,325,332,40,770,803,48,1224,1273,67,2584,2655,43,2580,2623,48,2462,2503,48,3282,3331,42,3935,3972,35,3152,3182,32,2653,2682,35,1995,2034,53,4347,4398,61,2437,2493,16,347,366,589,32698,33267
IARE505006,21,599,616,17,262,277,67,778,843,62,1346,1403,64,3123,3182,83,2772,2855,71,2584,2651,89,3630,3723,108,4919,5028,75,4224,4297,57,3763,3822,46,3287,3334,138,6880,7017,97,3136,3230,23,503,528,1018,41806,42806
IARE505007,6,276,279,7,122,130,38,352,390,19,584,604,29,1236,1263,24,1018,1039,19,893,912,17,1106,1122,20,1323,1345,34,1242,1280,14,1098,1115,11,1088,1097,47,4101,4152,27,1086,1117,14,204,214,326,15729,16059
IARE505008,23,727,753,15,285,299,81,1049,1130,92,1764,1863,125,3822,3953,117,3851,3975,107,3504,3613,128,4483,4612,146,5251,5399,114,3884,3996,56,3019,3080,58,2287,2341,74,3821,3901,137,3037,3177,28,584,609,1301,41368,42701
IARE505009,7,770,780,6,383,383,30,882,913,25,1591,1616,23,3702,3723,50,3887,3931,53,3657,3707,56,4703,4758,87,5973,6059,65,5335,5405,45,4964,5011,62,4441,4503,131,11346,11477,64,4525,4588,11,653,670,715,56812,57524
IARE505010,10,314,323,5,165,169,36,389,420,29,666,695,41,1626,1667,40,1626,1663,44,1497,1541,62,2005,2062,58,2379,2439,49,1970,2015,54,1708,1763,15,1297,1315,79,3081,3160,57,1645,1710,7,300,307,586,20668,21249
IARE505011,9,187,193,11,88,104,40,346,385,49,568,614,66,1249,1312,70,1246,1315,48,1113,1156,57,1554,1611,61,1947,2003,47,1486,1537,48,1264,1310,25,916,938,52,1472,1527,56,1385,1445,8,206,218,647,15027,15668
IARE505012,10,665,675,7,377,382,34,734,764,42,1230,1272,35,2752,2783,27,2688,2708,19,2381,2403,24,3053,3079,46,3658,3702,39,3275,3310,38,3072,3111,24,2873,2900,89,9345,9434,34,2422,2455,6,455,461,474,38980,39439
IARE505013,9,199,201,4,88,90,18,276,298,20,439,465,32,1212,1245,35,1055,1088,26,968,998,29,1248,1276,40,1454,1494,32,1204,1237,36,1085,1123,28,925,952,42,2211,2251,62,1313,1376,9,223,230,422,13900,14324
IARE505014,12,1140,1159,9,448,454,22,925,948,26,1644,1679,24,2774,2792,42,2970,3011,30,2693,2722,33,3654,3684,60,4716,4775,59,4263,4318,46,4277,4325,39,4359,4396,153,20865,21014,34,3536,3565,5,591,597,594,58855,59439
IARE505015,16,666,683,12,291,305,77,942,1017,108,1758,1864,121,4217,4337,135,3948,4079,132,3407,3536,149,4280,4429,175,5383,5558,139,4256,4391,92,3655,3747,90,2841,2935,166,5734,5892,187,4705,4893,33,728,761,1632,46811,48427
IARE505016,3,114,116,0,59,59,10,168,173,7,260,270,17,550,567,26,641,662,32,713,746,50,956,1003,46,1207,1254,34,1066,1094,40,850,889,22,701,720,44,1357,1396,52,1079,1134,4,127,135,387,9848,10218
IARE505017,13,666,675,4,267,271,39,629,673,43,1082,1121,43,2110,2155,51,2281,2328,35,1762,1794,49,2495,2548,58,3091,3153,28,2656,2682,34,2536,2575,36,2407,2441,113,8176,8285,41,1908,1947,23,379,401,610,32445,33049
IARE505018,34,1580,1621,19,726,746,87,2120,2200,91,3443,3529,136,7626,7771,109,6811,6912,113,6090,6209,110,7805,7914,108,9495,9601,92,8204,8300,76,7289,7365,77,6665,6737,242,19826,20063,95,5579,5673,43,1235,1279,1432,94494,95920
