IARE_CODE_2021,Psn_15_y_over_Indig_M,Psn_15_y_over_Indig_F,Psn_15_y_over_Indig_P,Psn_15_y_over_NonInd_M,Psn_15_y_over_NonInd_F,Psn_15_y_over_NonInd_P,Psn_15_y_over_Ind_s_nsM,Psn_15_y_over_Ind_s_nsF,Psn_15_y_over_Ind_s_nsP,Psn_15_y_over_TotM,Psn_15_y_over_TotF,Psn_15_y_over_TotP,In_LF_Emp_Indig_M,In_LF_Emp_Indig_F,In_LF_Emp_Indig_P,In_LF_Emp_NonInd_M,In_LF_Emp_NonInd_F,In_LF_Emp_NonInd_P,In_LF_Emp_IndSt_nsM,In_LF_Emp_IndSt_nsF,In_LF_Emp_IndSt_nsP,In_LF_Employd_TotM,In_LF_Employd_TotF,In_LF_Employd_TotP,In_LF_unemp_Ind_M,In_LF_unemp_Ind_F,In_LF_unemp_Ind_P,In_LF_unemp_No_Ind_M,In_LF_unemp_No_Ind_F,In_LF_unemp_No_Ind_P,In_LF_un_IndSt_nsM,In_LF_un_IndSt_nsF,In_LF_un_IndSt_nsP,In_LF_Unemp_TotM,In_LF_Unemp_TotF,In_LF_Unemp_TotP,In_LF_To_LF_Ind_M,In_LF_To_LF_Ind_F,In_LF_To_LF_Ind_P,In_LF_To_la_fo_No_In_M,In_LF_To_la_fo_No_In_F,In_LF_To_la_fo_No_In_P,In_LF_To_l_fo_In_st_nsM,In_LF_To_l_fo_In_st_nsF,In_LF_To_l_fo_In_st_nsP,In_LF_To_LF_TotM,In_LF_To_LF_TotF,In_LF_To_LF_TotP,N_the_LF_Indig_M,N_the_LF_Indig_F,N_the_LF_Indig_P,N_the_LF_No_Indig_M,N_the_LF_No_Indig_F,N_the_LF_No_Indig_P,N_the_LF_Indig_st_nsM,N_the_LF_Indig_st_nsF,N_the_LF_Indig_st_nsP,N_the_LF_TotM,N_the_LF_TotF,N_the_LF_TotP,LF_st_ns_Indig_M,LF_st_ns_Indig_F,LF_st_ns_Indig_P,LF_st_ns_NonInd_M,LF_st_ns_NonInd_F,LF_st_ns_NonInd_P,LF_st_ns_Indig_st_nsM,LF_st_ns_Indig_st_nsF,LF_st_ns_Indig_st_nsP,LF_st_ns_TotM,LF_st_ns_TotF,LF_st_ns_TotP,Pcent_Unemploy_Indig_M,Pcent_Unemploy_Indig_F,Pcent_Unemploy_Indig_P,Pcent_Unemploy_NonInd_M,Pcent_Unemploy_NonInd_F,Pcent_Unemploy_NonInd_P,Pcent_Unem_IndSt_nsM,Pcent_Unemp_IndSt_nsF,Pcent_Unemp_IndSt_nsP,Pcent_Unemploy_TotM,Pcent_Unemploy_TotF,Pcent_Unemploy_TotP,Pcent_LF_part_Indig_M,Pcent_LF_part_Indig_F,Pcent_LF_part_Indig_P,Pcent_LF_part_No_Indig_M,Pcent_LF_part_No_Indig_F,Pcent_LF_part_No_Indig_P,Pcent_LF_part_IndSt_nsM,Pcent_LF_part_IndSt_nsF,Pcent_LF_part_IndSt_nsP,Pcent_LF_part_TotM,Pcent_LF_part_TotF,Pcent_LF_part_TotP,Pcent_Emp_to_pop_Ind_M,Pcent_Emp_to_pop_Ind_F,Pcent_Emp_to_pop_Ind_P,Pcent_Emp_t_pop_NonInd_M,Pcent_Emp_t_pop_NonInd_F,Pcent_Emp_t_pop_NonInd_P,Pcent_Emp_t_pop_IndSt_nsM,Pcent_Emp_t_pop_IndSt_nsF,Pcent_Emp_t_pop_IndSt_nsP,Pcent_Emp_to_pop_TotM,Pcent_Emp_to_pop_TotF,Pcent_Emp_to_pop_TotP,IndSec_Gov_Ind_M,IndSec_Gov_Ind_F,IndSec_Gov_Ind_P,IndSec_Gov_No_Ind_M,IndSec_Gov_No_Ind_F,IndSec_Gov_No_Ind_P,IndSec_Gov_IndSt_nsM,IndSec_Gov_IndSt_nsF,IndSec_Gov_IndSt_nsP,IndSec_Gov_TotM,IndSec_Gov_TotF,IndSec_Gov_TotP,IndSec_Priv_Ind_M,IndSec_Priv_Ind_F,IndSec_Priv_Ind_P,IndSec_Priv_NonInd_M,IndSec_Priv_NonInd_F,IndSec_Priv_NonInd_P,IndSec_Priv_IndSt_nsM,IndSec_Priv_IndSt_nsF,IndSec_Priv_IndSt_nsP,IndSec_Priv_TotM,IndSec_Priv_TotF,IndSec_Priv_TotP,Self_employed_Ind_M,Self_employed_Ind_F,Self_employed_Ind_P,Self_employed_NonInd_M,Self_employed_NonInd_F,Self_employed_NonInd_P,Self_employed_Ind_status_nsM,Self_employed_Ind_status_nsF,Self_employed_Ind_status_nsP,Self_employed_TotM,Self_employed_TotF,Self_employed_TotP,HnsQ_PgDL_Ind_M,HnsQ_PgDL_Ind_F,HnsQ_PgDL_Ind_P,HnsQ_PgDL_No_Ind_M,HnsQ_PgDL_No_Ind_F,HnsQ_PgDL_No_Ind_P,HnsQ_PgDL_IndSt_nsM,HnsQ_PgDL_IndSt_nsF,HnsQ_PgDL_IndSt_nsP,HnsQ_PgDL_TotM,HnsQ_PgDL_TotF,HnsQ_PgDL_TotP,HnsQ_GD_GCL_Ind_M,HnsQ_GD_GCL_Ind_F,HnsQ_GD_GCL_Ind_P,HnsQ_GD_GCL_No_In_M,HnsQ_GD_GCL_No_In_F,HnsQ_GD_GCL_No_In_P,HnsQ_GD_GCL_In_st_nsM,HnsQ_GD_GCL_In_st_nsF,HnsQ_GD_GCL_In_st_nsP,HnsQ_GD_GCL_TotM,HnsQ_GD_GCL_TotF,HnsQ_GD_GCL_TotP,HnsQ_BDL_Ind_M,HnsQ_BDL_Ind_F,HnsQ_BDL_Ind_P,HnsQ_BDL_No_Ind_M,HnsQ_BDL_No_Ind_F,HnsQ_BDL_No_Ind_P,HnsQ_BDL_IndSt_nsM,HnsQ_BDL_IndSt_nsF,HnsQ_BDL_IndSt_nsP,HnsQ_BDL_TotM,HnsQ_BDL_TotF,HnsQ_BDL_TotP,HnsQ_AD_DL_Ind_M,HnsQ_AD_DL_Ind_F,HnsQ_AD_DL_Ind_P,HnsQ_AD_DL_No_In_M,HnsQ_AD_DL_No_In_F,HnsQ_AD_DL_No_In_P,HnsQ_AD_DL_In_st_nsM,HnsQ_AD_DL_In_st_nsF,HnsQ_AD_DL_In_st_nsP,HnsQ_AD_DL_TotM,HnsQ_AD_DL_TotF,HnsQ_AD_DL_TotP,HnsQ_Cer_III_IV_Ind_M,HnsQ_Cer_III_IV_Ind_F,HnsQ_Cer_III_IV_Ind_P,HnsQ_Cer_III_IV_No_Ind_M,HnsQ_Cer_III_IV_No_Ind_F,HnsQ_Cer_III_IV_No_Ind_P,HnsQ_Cer_III_IV_IndSt_nsM,HnsQ_Cer_III_IV_IndSt_nsF
IARE501001,1087,1224,2309,3669,4021,7689,750,781,1531,5503,6027,11530,482,531,1011,2969,3327,6299,26,15,38,3473,3876,7350,108,71,182,63,54,116,0,3,3,171,133,304,588,606,1195,3034,3383,6417,23,15,47,3646,4005,7653,404,535,943,577,595,1172,7,10,17,988,1145,2135,92,84,180,57,43,103,714,752,1468,870,878,1746,18.4,12.2,15.3,2.1,1.6,1.9,4,11.1,7,4.7,3.3,4,54,49.4,51.6,82.7,84.1,83.4,3.3,2.3,2.8,66.3,66.5,66.4,44.1,43.3,43.7,81,82.8,81.9,3.2,2.1,2.6,63.1,64.3,63.7,84,171,249,521,949,1467,0,3,4,605,1120,1720,381,350,733,2396,2341,4732,17,15,31,2796,2699,5497,11,0,17,178,156,332,0,0,0,190,152,347,0,19,26,138,277,414,0,0,0,139,302,439,11,22,29,76,222,298,0,0,4,90,244,331,25,83,111,552,1042,1593,3,0,3,581,1131,1707,36,85,123,367,530,898,0,0,3,409,618,1021,228,158,384,1170,495,1662,11,3
IARE501002,454,492,951,200,199,400,46,48,89,700,736,1437,120,110,235,143,157,301,3,0,5,269,272,543,43,46,88,3,6,12,0,0,0,48,49,99,163,161,322,146,163,308,3,0,4,319,323,642,267,311,576,50,37,85,0,3,7,313,346,659,26,25,52,3,4,5,42,43,84,67,69,137,25.9,27.8,26.9,4.1,3.1,3.5,25,0,20,15.7,15.3,15.5,36.4,32,34.1,74,81.8,77.9,8.7,2.1,5.4,45.3,43.5,44.4,27,23.1,25,71,79.3,75.1,6.5,2.1,4.3,38.2,36.9,37.5,20,27,53,23,24,51,0,0,0,47,56,104,95,76,175,123,127,248,3,0,5,216,206,423,0,0,3,0,0,5,0,0,0,5,4,11,0,0,0,14,11,23,0,0,0,14,15,25,3,0,3,5,6,9,0,0,0,3,14,16,3,11,13,33,71,101,0,0,0,37,76,112,5,8,14,30,26,47,0,0,0,31,33,65,53,40,91,56,20,76,5,0
IARE502001,270,332,599,1414,1263,2682,375,304,678,2057,1901,3958,71,103,176,953,901,1852,15,6,16,1035,1012,2050,35,22,61,34,17,53,0,0,0,73,40,115,108,127,236,985,913,1901,15,6,17,1106,1055,2162,144,189,333,406,330,739,3,8,3,554,524,1083,14,14,30,23,15,42,356,291,646,397,320,715,32.7,17.8,24.6,3.7,2,2.8,7.1,0,4.8,6.5,3.9,5.2,40.2,38.7,39.4,69.6,72.5,71,3.7,2.3,3.1,53.8,55.4,54.6,27.1,31.8,29.7,67,71.1,69,3.5,2.3,3,50.3,53.3,51.7,16,27,41,146,215,359,0,0,0,160,246,403,51,78,128,789,675,1464,8,6,11,854,751,1607,0,0,6,82,56,136,0,0,0,82,56,138,0,0,3,28,30,54,0,0,0,28,34,60,0,5,5,19,28,45,0,0,0,19,31,49,0,8,6,91,199,288,0,0,0,92,208,298,3,7,13,88,111,192,0,0,0,96,118,209,42,31,71,411,160,573,4,0
IARE502002,73,61,130,403,246,651,302,154,455,774,457,1236,37,25,57,289,147,434,0,0,0,319,170,496,0,4,7,9,5,16,0,0,0,15,9,24,42,32,67,297,150,451,0,0,0,336,179,519,30,25,62,94,91,189,0,0,0,130,120,248,4,3,6,8,3,11,297,153,447,305,159,467,10.5,10.3,10.4,3.3,4.7,3.8,0,0,0,4.2,5.6,4.6,52.1,49.2,50.8,74,61,69.1,0,0.6,0.2,43.5,39.2,41.9,46.6,44.1,45.5,71.5,58.1,66.5,0,0.6,0.2,41.7,37,40,14,14,21,38,45,84,0,0,0,51,58,108,21,12,34,246,96,345,0,0,0,265,111,378,0,0,0,22,11,36,0,0,0,22,11,36,0,0,0,7,11,16,0,0,0,7,11,16,0,0,0,0,5,6,0,0,0,0,5,8,0,0,0,30,33,67,0,0,0,31,37,70,0,4,0,24,23,49,0,0,0,21,25,51,7,12,17,141,41,177,0,0
IARE502003,115,113,227,2026,1838,3866,346,304,655,2488,2256,4742,39,36,74,1275,1053,2335,12,13,26,1330,1106,2437,11,7,20,63,34,101,0,0,0,74,42,114,51,39,91,1339,1093,2433,12,13,26,1405,1150,2548,58,72,127,658,730,1384,9,10,14,721,805,1528,7,3,11,30,22,48,325,280,608,365,302,667,25,11.9,19.1,4.6,3.3,4,0,0,0,5.3,3.6,4.5,46,36.8,41.4,66.1,59.4,62.9,3.7,3.9,3.8,56.4,50.8,53.8,34.5,32.5,33.5,63,57.5,60.4,3.7,3.9,3.8,53.5,49,51.3,3,14,13,95,199,290,0,0,0,97,212,308,36,24,57,1162,845,2006,13,10,24,1204,878,2084,0,0,0,147,81,231,0,0,0,154,81,237,0,0,0,15,33,51,0,0,0,17,33,47,0,0,0,12,39,51,0,0,0,12,39,51,0,4,4,117,240,363,0,6,6,117,258,371,4,9,9,105,178,287,0,0,0,111,189,301,25,11,35,596,259,856,0,0
IARE502004,1188,1311,2503,12545,13248,25787,1369,1196,2569,15104,15759,30859,431,510,946,8453,8124,16578,31,27,55,8916,8663,17580,120,85,204,414,326,739,10,0,10,543,411,954,551,596,1149,8866,8451,17315,38,28,70,9457,9073,18533,581,651,1233,3524,4655,8183,34,56,87,4138,5360,9500,54,62,115,155,144,294,1303,1116,2416,1507,1320,2827,21.9,14.3,17.9,4.6,3.9,4.3,23.1,3.4,14.7,5.7,4.6,5.1,46.5,45.5,45.9,70.7,63.8,67.1,2.8,2.4,2.6,62.6,57.6,60.1,36.3,39,37.7,67.4,61.3,64.3,2.2,2.3,2.3,59,55,57,52,132,185,1040,1895,2935,0,0,3,1097,2031,3128,368,368,735,7343,6168,13513,25,29,54,7742,6563,14299,10,11,16,487,347,829,4,0,4,493,360,854,0,0,3,251,298,550,0,0,0,255,299,554,4,9,9,129,386,510,0,0,0,129,392,522,26,54,75,857,1787,2643,0,3,8,875,1848,2728,38,94,128,894,1403,2292,3,3,10,932,1499,2432,194,193,383,4170,2170,6333,28,11
IARE502005,125,138,264,2713,2500,5209,510,377,892,3342,3021,6360,63,54,109,1637,1364,3002,9,6,14,1703,1419,3119,13,12,23,62,48,106,0,0,3,73,58,131,72,60,138,1693,1410,3105,9,5,12,1776,1479,3252,41,75,120,963,1045,2017,13,15,36,1026,1137,2167,9,4,10,48,40,88,485,356,842,537,401,940,17.6,18,17.8,3.5,3.3,3.4,12.5,20,15.4,4.1,4,4.1,60.7,43,51.1,62.6,56.5,59.7,1.6,1.3,1.5,53.2,48.9,51.2,50,35.2,42,60.4,54.6,57.6,1.4,1.1,1.2,51,47,49.1,12,14,27,148,335,479,0,0,0,160,350,511,48,35,81,1456,1010,2466,9,4,11,1508,1045,2558,0,0,5,146,84,232,0,0,0,149,89,236,0,0,0,33,33,69,0,0,0,33,38,69,0,3,3,10,63,79,0,0,0,10,63,80,0,5,5,133,274,405,0,0,3,131,280,410,0,6,10,157,242,393,0,0,0,156,253,404,21,18,39,805,338,1147,5,0
IARE502006,143,177,321,332,143,469,156,80,236,629,404,1028,29,40,72,275,123,396,5,3,5,313,165,483,11,14,24,9,0,3,0,0,0,16,12,27,41,54,97,282,126,407,5,3,5,328,179,505,75,100,176,36,17,57,0,0,0,116,117,237,21,28,49,12,0,12,148,77,222,181,100,282,23.3,22.6,22.9,1.8,0.8,1.5,0,0,0,4.6,7.3,5.5,30.3,29.9,30.1,85.4,86,85.6,3.9,3.7,3.8,52.6,44.6,49.5,23.2,23.2,23.2,83.8,85.3,84.3,3.9,3.7,3.8,50.2,41.4,46.8,3,7,11,22,28,43,0,0,0,22,31,57,23,26,53,250,95,350,4,3,7,281,126,409,0,0,0,13,0,11,0,0,0,12,0,10,0,0,0,10,8,16,0,0,0,10,8,16,0,0,0,0,0,7,0,0,0,0,4,4,0,5,5,23,38,65,0,0,0,28,38,68,0,3,3,21,16,33,4,0,0,27,20,42,14,9,20,103,19,122,3,0
IARE502007,88,56,142,496,513,1005,79,78,156,663,648,1310,45,27,71,349,349,696,0,5,5,389,376,768,8,0,8,5,6,14,0,0,0,7,6,14,52,27,76,355,352,708,0,5,5,403,380,778,36,30,70,132,152,279,3,0,4,172,183,356,5,0,6,14,10,21,76,75,147,93,86,178,10.2,0,6.8,1.1,1.7,1.4,0,0,0,2.2,1.6,1.9,55.7,41.4,50,71.2,68.8,70,0,2.6,1.3,60.5,58.5,59.5,50,41.4,46.6,70.4,67.6,69,0,2.6,1.3,59.1,57.6,58.3,5,8,11,34,44,77,0,0,0,47,48,93,31,20,52,310,302,610,0,5,5,341,325,662,0,0,0,27,21,47,0,0,0,27,18,52,0,3,3,8,22,31,0,0,0,5,30,36,0,0,0,3,14,12,0,0,0,3,11,18,0,0,0,64,102,163,0,0,0,64,101,167,3,0,0,50,50,100,0,0,0,51,53,103,23,3,29,160,63,224,0,0
IARE503001,216,237,456,5602,5524,11131,698,574,1269,6518,6340,12856,98,116,219,3944,3307,7254,17,17,32,4066,3439,7499,18,11,24,106,80,186,0,0,0,120,88,209,114,131,241,4057,3387,7441,17,16,34,4186,3529,7712,88,107,196,1478,2070,3552,27,36,61,1592,2217,3806,16,3,25,70,68,138,649,529,1176,744,592,1338,13.4,7.8,10.4,2.7,2.3,2.5,0,6.3,2.9,2.9,2.5,2.7,51.4,54.2,52.9,72.4,61.3,66.9,2.6,2.8,2.7,64.2,55.7,60,44.5,50,47.4,70.4,59.9,65.2,2.6,2.6,2.6,62.3,54.3,58.4,3,24,27,331,622,954,0,7,7,338,650,987,86,96,184,3543,2635,6182,15,10,25,3643,2747,6392,3,0,0,309,177,489,3,0,3,318,180,493,0,0,0,74,91,167,0,0,0,74,91,167,0,3,4,38,127,168,0,0,0,42,133,175,4,11,15,384,774,1160,0,5,0,394,784,1180,8,12,18,340,544,884,4,3,3,353,555,907,42,33,77,1690,816,2504,14,10
