IARE_CODE_2021,Tot_p_Indig_M,Tot_p_Indig_F,Tot_p_Indig_P,Tot_p_NonInd_M,Tot_p_NonInd_F,Tot_p_NonInd_P,Tot_p_IndigStat_nsM,Tot_p_IndigStat_nsF,Tot_p_IndigStat_nsP,Tot_p_TotM,Tot_p_TotF,Tot_p_TotP,A_0_4_Indig_M,A_0_4_Indig_F,A_0_4_Indig_P,A_0_4_NonInd_M,A_0_4_NonInd_F,A_0_4_NonInd_P,A_0_4_IndigStat_nsM,A_0_4_IndigStat_nsF,A_0_4_IndigStat_nsP,A_0_4_TotM,A_0_4_TotF,A_0_4_TotP,A_5_14_Indig_M,A_5_14_Indig_F,A_5_14_Indig_P,A_5_14_NonInd_M,A_5_14_NonInd_F,A_5_14_NonInd_P,A_5_14_IndigStat_nsM,A_5_14_IndigStat_nsF,A_5_14_IndigStat_nsP,A_5_14_TotM,A_5_14_TotF,A_5_14_TotP,A_15_24_Indig_M,A_15_24_Indig_F,A_15_24_Indig_P,A_15_24_NonInd_M,A_15_24_NonInd_F,A_15_24_NonInd_P,A_15_24_IndigStat_nsM,A_15_24_IndigStat_nsF,A_15_24_IndigStat_nsP,A_15_24_TotM,A_15_24_TotF,A_15_24_TotP,A_25_44_Indig_M,A_25_44_Indig_F,A_25_44_Indig_P,A_25_44_NonInd_M,A_25_44_NonInd_F,A_25_44_NonInd_P,A_25_44_IndigStat_nsM,A_25_44_IndigStat_nsF,A_25_44_IndigStat_nsP,A_25_44_TotM,A_25_44_TotF,A_25_44_TotP,A_45_64_Indig_M,A_45_64_Indig_F,A_45_64_Indig_P,A_45_64_NonInd_M,A_45_64_NonInd_F,A_45_64_NonInd_P,A_45_64_IndigStat_nsM,A_45_64_IndigStat_nsF,A_45_64_IndigStat_nsP,A_45_64_TotM,A_45_64_TotF,A_45_64_TotP,A_65_over_Indig_M,A_65_over_Indig_F,A_65_over_Indig_P,A_65_ovr_NonInd_M,A_65_ovr_NonInd_F,A_65_ovr_NonInd_P,A_65ove_IndigStat_nsM,A_65ove_IndigStat_nsF,A_65ove_IndigStat_nsP,A_65_ovr_TotM,A_65_ovr_TotF,A_65_ovr_TotP,Cntd_CN_home_Indig_M,Cntd_CN_home_Indig_F,Cntd_CN_home_Indig_P,Cntd_CN_hme_NonInd_M,Cntd_CN_hme_NonInd_F,Cntd_CN_hme_NonInd_P,ctd_CN_hme_Indig_st_nsM,ctd_CN_hme_Indig_st_nsF,ctd_CN_hme_Indig_st_nsP,Cntd_CN_home_TotM,Cntd_CN_home_TotF,Cntd_CN_home_TotP,VfSme_SA2_Indig_M,VfSme_SA2_Indig_F,VfSme_SA2_Indig_P,VfSme_SA2_NonInd_M,VfSme_SA2_NonInd_F,VfSme_SA2_NonInd_P,VfSme_SA2_Indi_stat_nsM,VfSme_SA2_Indi_stat_nsF,VfSme_SA2_Indi_stat_nsP,VfSme_SA2_TotM,VfSme_SA2_TotF,VfSme_SA2_TotP,VfDif_SA2_NSW_Indig_M,VfDif_SA2_NSW_Indig_F,VfDif_SA2_NSW_Indig_P,VfDif_SA2_NSW_NonInd_M,VfDif_SA2_NSW_NonInd_F,VfDif_SA2_NSW_NonInd_P,VfDif_SA2_NSW_IndSt_nsM,VfDif_SA2_NSW_IndSt_nsF,VfDif_SA2_NSW_IndSt_nsP,VfDif_SA2_NSW_TotM,VfDif_SA2_NSW_TotF,VfDif_SA2_NSW_TotP,VfDif_SA2_Vic_Indig_M,VfDif_SA2_Vic_Indig_F,VfDif_SA2_Vic_Indig_P,VfDif_SA2_Vic_NonInd_M,VfDif_SA2_Vic_NonInd_F,VfDif_SA2_Vic_NonInd_P,VfDif_SA2_Vic_Ind_sta_nsM,VfDif_SA2_Vic_Ind_sta_nsF,VfDif_SA2_Vic_Ind_sta_nsP,VfDif_SA2_Vic_TotM,VfDif_SA2_Vic_TotF,VfDif_SA2_Vic_TotP,VfDif_SA2_Qld_Indig_M,VfDif_SA2_Qld_Indig_F,VfDif_SA2_Qld_Indig_P,VfDif_SA2_Qld_NonInd_M,VfDif_SA2_Qld_NonInd_F,VfDif_SA2_Qld_NonInd_P,VfDif_SA2_Qld_IndSt_nsM,VfDif_SA2_Qld_IndSt_nsF,VfDif_SA2_Qld_IndSt_nsP,VfDif_SA2_Qld_TotM,VfDif_SA2_Qld_TotF,VfDif_SA2_Qld_TotP,VfDif_SA2_SA_Indig_M,VfDif_SA2_SA_Indig_F,VfDif_SA2_SA_Indig_P,VfDif_SA2_SA_NonInd_M,VfDif_SA2_SA_NonInd_F,VfDif_SA2_SA_NonInd_P,VfDif_SA2_SA_IndSt_nsM,VfDif_SA2_SA_IndSt_nsF,VfDif_SA2_SA_IndSt_nsP,VfDif_SA2_SA_TotM,VfDif_SA2_SA_TotF,VfDif_SA2_SA_TotP,VfDif_SA2_WA_Indig_M,VfDif_SA2_WA_Indig_F,VfDif_SA2_WA_Indig_P,VfDif_SA2_WA_NonInd_M,VfDif_SA2_WA_NonInd_F,VfDif_SA2_WA_NonInd_P,VfDif_SA2_WA_IndSt_nsM,VfDif_SA2_WA_IndSt_nsF,VfDif_SA2_WA_IndSt_nsP,VfDif_SA2_WA_TotM,VfDif_SA2_WA_TotF,VfDif_SA2_WA_TotP,VfDif_SA2_Tas_Indig_M,VfDif_SA2_Tas_Indig_F,VfDif_SA2_Tas_Indig_P,VfDif_SA2_Tas_NonInd_M,VfDif_SA2_Tas_NonInd_F,VfDif_SA2_Tas_NonInd_P,VfDif_SA2_Tas_IndSt_nsM,VfDif_SA2_Tas_IndSt_nsF,VfDif_SA2_Tas_IndSt_nsP,VfDif_SA2_Tas_TotM,VfDif_SA2_Tas_TotF,VfDif_SA2_Tas_TotP,VfDif_SA2_NT_Indig_M,VfDif_SA2_NT_Indig_F,VfDif_SA2_NT_Indig_P,VfDif_SA2_NT_NonInd_M,VfDif_SA2_NT_NonInd_F,VfDif_SA2_NT_NonInd_P,VfDif_SA2_NT_IndSt_nsM,VfDif_SA2_NT_IndSt_nsF,VfDif_SA2_NT_IndSt_nsP,VfDif_SA2_NT_TotM,VfDif_SA2_NT_TotF,VfDif_SA2_NT_TotP,VfDif_SA2_ACT_Indig_M,VfDif_SA2_ACT_Indig_F,VfDif_SA2_ACT_Indig_P,VfDif_SA2_ACT_NonInd_M,VfDif_SA2_ACT_NonInd_F,VfDif_SA2_ACT_NonInd_P,VfDif_SA2_ACT_IndSt_nsM,VfDif_SA2_ACT_IndSt_nsF
IARE501001,1698,1773,3467,4624,4945,9574,976,998,1975,7295,7711,15012,187,158,346,303,291,595,68,61,129,564,512,1077,421,385,805,653,632,1284,161,156,311,1232,1175,2404,260,273,529,397,446,840,100,100,206,760,815,1578,458,510,967,1471,1916,3389,287,351,638,2212,2776,4991,293,324,622,1333,1301,2631,284,250,534,1906,1882,3786,88,114,192,467,361,830,71,73,149,622,552,1176,1543,1625,3174,4257,4625,8884,823,895,1716,6621,7149,13773,13,18,30,30,33,60,3,6,10,47,56,96,10,3,9,172,165,335,17,18,32,199,190,382,5,0,11,298,292,592,25,31,51,324,326,656,5,0,5,125,136,257,9,9,12,130,146,273,3,0,0,93,90,183,5,15,18,106,102,206,132,144,277,1981,2168,4151,470,525,988,2577,2842,5419,0,0,3,38,33,73,8,8,15,49,45,96,5,0,0,29,21,54,3,6,12,32,33,71,0,0,0,16,9,20,5,0
IARE501002,673,708,1379,228,236,467,60,52,107,957,993,1954,54,67,125,8,18,24,7,0,4,68,84,157,159,150,308,23,22,38,11,0,9,187,172,358,119,117,233,22,30,45,9,3,10,145,147,295,199,214,406,82,87,164,12,23,30,286,319,608,117,133,249,51,60,116,21,13,36,191,206,393,25,31,58,48,27,74,9,9,18,74,67,145,649,683,1336,220,224,447,48,42,88,920,953,1867,3,6,9,0,3,7,7,0,8,6,10,24,3,0,3,98,105,206,13,12,26,115,113,232,0,0,0,183,201,380,23,22,38,204,220,423,0,0,0,101,101,203,13,12,25,113,118,231,0,0,0,61,62,125,8,13,18,71,73,141,45,32,74,619,610,1221,72,48,118,731,688,1420,0,0,0,21,22,42,0,4,4,26,20,44,0,0,0,13,15,23,5,5,3,14,16,26,0,0,3,3,7,12,0,0
IARE502001,387,456,843,1691,1492,3183,465,385,854,2545,2334,4879,44,35,80,96,90,190,34,29,58,176,153,334,73,89,166,169,137,310,61,55,114,309,279,584,56,63,118,146,125,270,69,57,121,271,241,514,72,87,154,376,415,796,142,115,253,583,620,1201,94,116,212,541,457,995,117,95,213,747,672,1420,49,64,115,353,262,621,56,35,91,458,366,823,366,429,790,1570,1386,2951,431,357,788,2359,2176,4531,0,6,0,9,12,22,0,0,0,13,17,21,0,0,0,41,43,87,4,0,5,50,44,90,0,0,0,49,44,97,5,3,9,53,51,100,0,0,0,30,26,54,0,0,0,32,22,56,0,0,0,27,29,53,0,0,0,33,29,57,15,23,32,557,524,1080,92,67,158,666,608,1274,0,0,0,7,8,17,0,0,0,6,8,17,0,6,4,3,0,4,0,0,0,4,4,7,0,0,0,7,4,12,0,0
IARE502002,103,83,185,428,273,701,338,193,536,871,552,1418,4,5,13,10,15,25,10,18,27,26,37,63,24,18,37,13,8,27,33,26,56,68,55,123,11,10,22,38,11,47,33,19,54,82,41,121,27,18,46,135,70,203,126,59,187,281,148,431,28,27,57,129,93,228,92,57,152,253,180,429,10,5,15,105,73,174,42,15,57,157,93,246,89,79,169,388,256,645,330,184,523,816,517,1334,0,0,0,0,0,0,0,4,3,4,7,8,4,0,4,25,24,48,11,4,12,44,25,67,0,0,0,26,18,41,7,9,10,31,24,58,0,0,0,26,10,32,9,0,15,33,9,41,0,0,0,12,3,16,11,0,11,25,3,28,22,9,31,753,263,1010,651,173,831,1428,445,1874,0,0,0,10,3,13,3,0,3,12,3,14,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0
IARE502003,169,167,337,2381,2158,4538,433,369,808,2980,2696,5679,21,12,34,80,98,180,18,26,42,122,134,257,33,37,77,273,224,494,64,43,108,367,308,674,26,16,42,178,145,316,26,47,70,225,205,434,31,31,65,407,421,830,87,82,168,528,533,1066,35,37,77,794,732,1517,130,98,224,959,870,1824,15,19,34,654,545,1199,102,80,185,778,641,1417,154,164,320,2135,1967,4101,355,351,710,2646,2481,5129,0,0,0,18,12,26,0,0,6,18,12,27,0,0,0,40,33,72,4,7,10,45,38,81,0,0,0,53,52,102,6,4,10,60,53,113,0,0,0,37,37,80,8,0,14,49,36,89,0,0,0,31,30,58,4,6,5,33,31,67,18,15,31,572,573,1140,107,98,202,697,687,1380,0,0,0,6,3,10,0,0,4,8,9,13,0,0,0,3,3,3,0,0,0,3,3,3,0,0,0,0,0,3,0,0
IARE502004,1821,1906,3736,15508,16102,31608,1703,1549,3250,19039,19561,38595,186,183,371,877,860,1741,89,107,199,1155,1150,2306,451,418,871,2085,1992,4083,243,240,484,2781,2654,5436,330,331,662,1754,1715,3471,191,169,362,2276,2218,4489,438,450,893,3657,3920,7576,482,425,902,4578,4798,9375,313,374,687,4262,4483,8739,477,342,815,5050,5192,10245,109,152,256,2865,3127,5999,221,268,486,3195,3545,6745,1702,1798,3496,14384,15270,29654,1273,1333,2604,17359,18402,35758,3,7,7,33,30,64,4,0,6,42,37,80,0,0,0,36,37,72,6,0,10,37,39,79,0,0,4,45,34,85,5,0,4,49,38,89,5,0,5,43,36,79,11,3,14,56,43,99,5,0,4,26,25,50,0,6,4,28,27,61,150,148,299,725,719,1445,179,141,320,1059,1007,2070,0,0,0,15,15,33,0,4,6,21,15,36,0,0,0,3,3,10,3,3,4,7,9,16,0,0,0,0,0,0,0,0
IARE502005,168,196,361,3176,2955,6135,602,463,1061,3945,3611,7554,10,23,32,151,144,291,17,24,37,181,181,363,30,34,64,317,317,635,69,59,133,420,409,832,33,39,69,243,189,435,53,41,90,332,267,600,38,39,75,551,583,1131,138,100,233,728,720,1444,36,46,84,973,893,1868,196,120,316,1201,1054,2260,17,20,38,941,833,1778,128,119,247,1087,974,2057,156,176,333,2865,2700,5564,525,420,946,3543,3300,6843,0,0,0,18,11,35,0,0,0,22,11,36,0,0,0,10,9,14,0,3,3,10,9,18,0,0,0,11,10,23,3,0,6,19,11,25,0,0,0,10,10,29,12,3,14,21,21,40,0,0,0,11,6,14,4,0,4,14,7,21,14,12,28,623,371,992,346,134,478,977,516,1494,0,0,0,4,0,10,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
IARE502006,212,237,449,341,159,499,163,95,258,717,485,1200,29,19,47,10,4,15,5,7,17,43,32,72,39,41,79,6,8,14,0,0,9,47,49,100,38,55,95,28,8,39,21,16,34,92,74,165,49,61,107,147,71,221,81,32,111,280,159,443,43,48,92,96,53,151,41,30,68,179,124,308,10,20,27,50,11,61,15,9,21,74,36,113,198,226,418,321,144,461,158,87,246,673,453,1124,3,5,6,0,6,4,0,0,3,4,7,11,0,0,0,8,8,9,0,0,3,12,3,16,0,0,0,13,5,17,3,0,3,13,5,17,0,0,0,8,4,10,0,0,0,16,4,14,0,0,0,10,0,4,4,4,5,16,5,17,23,10,30,565,169,734,311,73,386,899,245,1144,0,0,0,4,6,15,0,0,0,8,7,13,0,0,0,4,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0
IARE502007,125,84,207,577,596,1173,100,94,198,805,772,1571,15,4,25,27,32,59,4,3,12,51,46,99,21,15,40,51,47,99,11,9,25,87,79,162,10,13,25,37,55,98,6,12,15,53,87,139,25,12,35,181,203,384,22,30,50,224,240,463,39,19,63,158,159,318,31,30,61,234,204,437,14,7,20,114,99,209,25,10,33,146,120,268,116,69,187,508,537,1045,85,87,175,708,699,1407,4,0,6,13,13,26,0,0,0,19,15,32,0,3,3,70,64,137,11,13,28,88,81,163,0,0,0,100,108,206,19,23,49,121,130,254,0,3,5,60,57,125,9,9,26,75,73,146,0,0,0,52,44,91,8,7,17,58,55,115,12,5,17,1402,1280,2683,200,181,381,1611,1472,3078,0,0,3,20,14,30,0,3,4,19,13,40,0,0,0,7,9,11,0,0,3,11,3,17,0,0,0,0,0,3,0,0
IARE503001,347,339,684,6894,6797,13686,854,742,1600,8093,7881,15970,57,38,91,396,398,793,38,41,81,490,479,969,75,63,135,890,870,1764,119,122,240,1081,1061,2145,71,66,135,703,624,1325,99,68,172,872,760,1632,59,78,132,1591,1659,3254,189,182,370,1839,1915,3757,58,72,128,1988,1858,3837,256,185,440,2298,2110,4410,29,27,57,1324,1383,2709,151,143,295,1508,1560,3062,318,304,625,6280,6267,12546,714,661,1377,7314,7235,14551,3,6,3,26,25,57,5,5,9,31,35,70,3,0,3,36,28,58,11,8,18,45,35,80,0,0,0,22,18,41,0,3,8,30,19,47,0,0,0,29,19,47,9,0,6,38,15,58,0,0,0,19,8,27,0,0,4,20,14,35,61,65,123,805,379,1186,216,68,285,1082,503,1590,0,0,0,3,0,8,0,4,4,5,6,14,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,3,7,0,0
