IARE_CODE_2021,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,1_149_M,1_149_F,1_149_P,150_299_M,150_299_F,150_299_P,300_399_M,300_399_F,300_399_P,400_499_M,400_499_F,400_499_P,500_649_M,500_649_F,500_649_P,650_799_M,650_799_F,650_799_P,800_999_M,800_999_F,800_999_P,1000_1249_M,1000_1249_F,1000_1249_P,1250_1499_M,1250_1499_F,1250_1499_P,1500_1749_M,1500_1749_F,1500_1749_P,1750_1999_M,1750_1999_F,1750_1999_P,2000_or_more_M,2000_or_more_F,2000_or_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
IARE501001,116,104,217,25,42,67,81,101,186,135,188,319,66,98,170,61,102,167,40,56,96,50,70,121,74,77,148,53,78,138,80,86,163,57,42,96,99,87,182,156,94,249,1087,1224,2309
IARE501002,45,47,90,16,28,40,113,98,213,99,124,226,18,37,59,16,28,45,27,32,55,21,21,43,18,17,37,12,12,17,3,5,6,0,0,0,14,12,19,47,39,81,454,492,951
IARE502001,23,25,47,7,8,18,50,51,92,48,59,105,33,33,64,18,31,49,6,20,31,6,21,30,8,26,31,11,15,20,7,11,20,4,13,18,14,5,24,26,22,46,270,332,599
IARE502002,5,3,7,0,0,3,5,4,7,9,4,16,7,6,12,5,16,19,4,5,6,9,3,6,3,8,9,5,0,3,0,3,5,3,0,6,11,4,14,8,0,8,73,61,130
IARE502003,9,13,23,6,4,3,21,14,30,19,18,38,11,12,28,3,11,17,4,10,9,6,15,20,3,3,9,0,4,8,9,4,13,3,3,4,10,0,9,7,4,14,115,113,227
IARE502004,165,135,302,44,48,92,115,103,220,127,164,288,71,170,246,63,144,207,56,110,164,60,107,170,57,77,139,44,56,101,51,38,92,34,19,51,108,48,159,195,77,272,1188,1311,2503
IARE502005,9,18,31,4,10,7,12,21,28,17,17,31,16,20,34,10,19,28,5,15,18,6,11,16,16,9,23,10,0,5,9,0,8,5,0,5,10,3,11,6,4,10,125,138,264
IARE502006,15,21,37,0,0,0,32,27,61,17,20,35,14,22,34,10,18,24,3,9,11,0,7,13,12,4,18,0,3,5,3,7,10,0,0,4,9,0,7,28,31,61,143,177,321
IARE502007,11,12,26,0,0,0,13,8,24,7,3,11,11,7,23,4,3,5,4,8,10,6,9,15,8,5,10,3,0,3,0,0,0,0,0,5,9,3,11,10,0,8,88,56,142
IARE503001,37,25,67,7,13,24,9,22,30,22,28,52,18,26,44,13,30,48,8,19,30,11,10,24,11,15,29,5,14,20,7,8,18,11,5,14,24,6,36,23,9,30,216,237,456
