IARE_CODE_2021,One_f_h_N_pe_UR_One_ATSIF,One_f_h_N_pe_UR_Two_ATSIF,One_f_h_N_pe_UR_Three_ATSIF,One_f_h_N_pe_UR_Four_ATSIF,One_f_h_N_pe_UR_Five_ATSIF,One_f_h_N_pe_UR_Six_m_ATSIF,One_f_h_Tot_ATSIF,Two_f_h_N_pe_UR_One_ATSIF,Two_f_h_N_pe_UR_Two_ATSIF,Two_f_h_N_pe_UR_Three_ATSIF,Two_f_h_N_pe_UR_Four_ATSIF,Two_f_h_N_pe_UR_Five_ATSIF,Two_f_h_N_pe_UR_Six_m_ATSIF,Two_f_h_Tot_ATSIF,Thr_m_f_h_N_pe_UR_One_ATSIF,Thr_m_f_h_N_pe_UR_Two_ATSIF,Thr_m_f_h_N_pe_UR_Three_ATSIF,Thr_m_f_h_N_pe_UR_Four_ATSIF,Thr_m_f_h_N_pe_UR_Five_ATSIF,Thr_m_f_h_N_pe_UR_Six_m_ATSIF,Thr_m_f_h_Tot_ATSIF,Tot_N_pe_UR_One_ATSIF,Tot_N_pe_UR_Two_ATSIF,Tot_N_pe_UR_Three_ATSIF,Tot_N_pe_UR_Four_ATSIF,Tot_N_pe_UR_Five_ATSIF,Tot_N_pe_UR_Six_m_ATSIF,Tot_Tot_ATSIF,One_f_h_N_pe_UR_One_Oth_f,One_f_h_N_pe_UR_Two_Oth_f,One_f_h_N_pe_UR_Three_Oth_f,One_f_h_N_pe_UR_Four_Oth_f,One_f_h_N_pe_UR_Five_Oth_f,One_f_h_N_pe_UR_Six_m_Oth_f,One_f_h_Tot_Oth_f,Two_f_h_N_pe_UR_One_Oth_f,Two_f_h_N_pe_UR_Two_Oth_f,Two_f_h_N_pe_UR_Three_Oth_f,Two_f_h_N_pe_UR_Four_Oth_f,Two_f_h_N_pe_UR_Five_Oth_f,Two_f_h_N_pe_UR_Six_m_Oth_f,Two_f_h_Tot_Oth_f,Thr_m_f_h_N_pe_UR_One_Oth_f,Thr_m_f_h_N_pe_UR_Two_Oth_f,Thr_m_f_h_N_pe_UR_Three_Oth_f,Thr_m_f_h_N_pe_UR_Four_Oth_f,Thr_m_f_h_N_pe_UR_Five_Oth_f,Thr_m_f_h_N_pe_UR_Six_m_Oth_f,Thr_m_f_h_Tot_Oth_f,Tot_N_pe_UR_One_Oth_f,Tot_N_pe_UR_Two_Oth_f,Tot_N_pe_UR_Three_Oth_f,Tot_N_pe_UR_Four_Oth_f,Tot_N_pe_UR_Five_Oth_f,Tot_N_pe_UR_Six_m_Oth_f,Tot_Tot_Oth_f
IARE501001,..,261,216,196,117,79,870,..,..,..,21,18,49,83,..,..,..,..,..,8,8,..,261,216,216,137,136,963,..,1038,459,557,209,62,2314,..,..,..,16,17,35,73,..,..,..,..,..,0,0,..,1038,459,570,231,98,2387
IARE501002,..,70,56,61,39,28,259,..,..,..,11,15,43,69,..,..,..,..,..,28,28,..,70,56,74,59,98,357,..,45,9,19,4,3,80,..,..,..,0,0,5,5,..,..,..,..,..,0,0,..,45,9,19,4,5,84
IARE502001,..,86,46,43,18,19,211,..,..,..,0,6,15,17,..,..,..,..,..,7,7,..,86,46,47,23,45,237,..,446,153,155,52,15,817,..,..,..,8,6,11,27,..,..,..,..,..,3,3,..,446,153,160,55,32,848
IARE502002,..,9,11,6,3,7,42,..,..,..,0,0,5,5,..,..,..,..,..,3,3,..,9,11,6,3,15,48,..,91,16,7,4,0,125,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,91,16,7,4,3,119
IARE502003,..,25,19,27,12,9,94,..,..,..,0,3,7,7,..,..,..,..,..,8,8,..,25,19,27,17,21,109,..,804,189,164,89,31,1276,..,..,..,14,3,28,42,..,..,..,..,..,0,0,..,804,189,176,95,55,1315
IARE502004,..,323,237,214,124,99,999,..,..,..,27,24,68,117,..,..,..,..,..,12,12,..,323,237,242,149,173,1126,..,4303,1778,1556,632,220,8497,..,..,..,93,91,103,288,..,..,..,..,..,4,4,..,4303,1778,1649,721,331,8789
IARE502005,..,48,31,15,14,4,116,..,..,..,0,0,10,12,..,..,..,..,..,0,0,..,48,31,19,14,22,126,..,1033,255,257,113,35,1694,..,..,..,18,12,14,46,..,..,..,..,..,0,0,..,1033,255,279,126,48,1741
IARE502006,..,34,28,14,8,14,95,..,..,..,3,0,14,21,..,..,..,..,..,0,0,..,34,28,13,10,20,114,..,36,12,3,4,0,62,..,..,..,4,4,3,3,..,..,..,..,..,0,0,..,36,12,5,3,3,65
IARE502007,..,32,7,13,0,9,58,..,..,..,0,0,5,5,..,..,..,..,..,4,4,..,32,7,13,0,12,63,..,139,30,35,15,10,229,..,..,..,4,0,7,13,..,..,..,..,..,0,0,..,139,30,35,15,19,237
IARE503001,..,93,47,39,29,14,227,..,..,..,4,5,3,13,..,..,..,..,..,0,0,..,93,47,44,33,26,241,..,1892,651,652,290,111,3594,..,..,..,33,23,45,96,..,..,..,..,..,3,3,..,1892,651,693,311,154,3695
