IARE_CODE_2021,Ofh_Cfnc_Np_UR_One_HATSIP,Ofh_Cfnc_Np_UR_Two_HATSIP,Ofh_Cfnc_Np_UR_Three_HATSIP,Ofh_Cfnc_Np_UR_Four_HATSIP,Ofh_Cfnc_Np_UR_Five_HATSIP,Ofh_Cfnc_Np_UR_Six_m_HATSIP,Ofh_Cfnc_Tot_HATSIP,Ofh_Cfc_Np_UR_One_HATSIP,Ofh_Cfc_Np_UR_Two_HATSIP,Ofh_Cfc_Np_UR_Three_HATSIP,Ofh_Cfc_Np_UR_Four_HATSIP,Ofh_Cfc_Np_UR_Five_HATSIP,Ofh_Cfc_Np_UR_Six_m_HATSIP,Ofh_Cfc_Tot_HATSIP,Ofh_Opf_Np_UR_One_HATSIP,Ofh_Opf_Np_UR_Two_HATSIP,Ofh_Opf_Np_UR_Three_HATSIP,Ofh_Opf_Np_UR_Four_HATSIP,Ofh_Opf_Np_UR_Five_HATSIP,Ofh_Opf_Np_UR_Six_m_HATSIP,Ofh_Opf_Tot_HATSIP,Ofh_Oth_f_Np_UR_One_HATSIP,Ofh_Oth_f_Np_UR_Two_HATSIP,Ofh_Oth_f_Np_UR_Three_HATSIP,Ofh_Oth_f_Np_UR_Four_HATSIP,Ofh_Oth_f_Np_UR_Five_HATSIP,Ofh_Oth_f_Np_UR_Six_m_HATSIP,Ofh_Oth_f_Tot_HATSIP,Ofh_Tot_Np_UR_One_HATSIP,Ofh_Tot_Np_UR_Two_HATSIP,Ofh_Tot_Np_UR_Three_HATSIP,Ofh_Tot_Np_UR_Four_HATSIP,Ofh_Tot_Np_UR_Five_HATSIP,Ofh_Tot_Np_UR_Six_m_HATSIP,Ofh_Tot_Tot_HATSIP,Mul_fh_Np_UR_One_HATSIP,Mul_fh_Np_UR_Two_HATSIP,Mul_fh_Np_UR_Three_HATSIP,Mul_fh_Np_UR_Four_HATSIP,Mul_fh_Np_UR_Five_HATSIP,Mul_fh_Np_UR_Six_m_HATSIP,Mul_fh_Tot_HATSIP,Tot_fh_Np_UR_One_HATSIP,Tot_fh_Np_UR_Two_HATSIP,Tot_fh_Np_UR_Three_HATSIP,Tot_fh_Np_UR_Four_HATSIP,Tot_fh_Np_UR_Five_HATSIP,Tot_fh_Np_UR_Six_m_HATSIP,Tot_fh_Tot_HATSIP,Lone_ph_Np_UR_One_HATSIP,Lone_ph_Np_UR_Two_HATSIP,Lone_ph_Np_UR_Three_HATSIP,Lone_ph_Np_UR_Four_HATSIP,Lone_ph_Np_UR_Five_HATSIP,Lone_ph_Np_UR_Six_m_HATSIP,Lone_ph_Tot_HATSIP,Group_h_Np_UR_One_HATSIP,Group_h_Np_UR_Two_HATSIP,Group_h_Np_UR_Three_HATSIP,Group_h_Np_UR_Four_HATSIP,Group_h_Np_UR_Five_HATSIP,Group_h_Np_UR_Six_m_HATSIP,Group_h_Tot_HATSIP,Tot_Np_UR_One_HATSIP,Tot_Np_UR_Two_HATSIP,Tot_Np_UR_Three_HATSIP,Tot_Np_UR_Four_HATSIP,Tot_Np_UR_Five_HATSIP,Tot_Np_UR_Six_m_HATSIP,Tot_Tot_HATSIP,Ofh_Cfnc_Np_UR_One_Oth_h,Ofh_Cfnc_Np_UR_Two_Oth_h,Ofh_Cfnc_Np_UR_Three_Oth_h,Ofh_Cfnc_Np_UR_Four_Oth_h,Ofh_Cfnc_Np_UR_Five_Oth_h,Ofh_Cfnc_Np_UR_Six_m_Oth_h,Ofh_Cfnc_Tot_Oth_h,Ofh_Cfc_Np_UR_One_Oth_h,Ofh_Cfc_Np_UR_Two_Oth_h,Ofh_Cfc_Np_UR_Three_Oth_h,Ofh_Cfc_Np_UR_Four_Oth_h,Ofh_Cfc_Np_UR_Five_Oth_h,Ofh_Cfc_Np_UR_Six_m_Oth_h,Ofh_Cfc_Tot_Oth_h,Ofh_Opf_Np_UR_One_Oth_h,Ofh_Opf_Np_UR_Two_Oth_h,Ofh_Opf_Np_UR_Three_Oth_h,Ofh_Opf_Np_UR_Four_Oth_h,Ofh_Opf_Np_UR_Five_Oth_h,Ofh_Opf_Np_UR_Six_m_Oth_h,Ofh_Opf_Tot_Oth_h,Ofh_Oth_f_Np_UR_One_Oth_h,Ofh_Oth_f_Np_UR_Two_Oth_h,Ofh_Oth_f_Np_UR_Three_Oth_h,Ofh_Oth_f_Np_UR_Four_Oth_h,Ofh_Oth_f_Np_UR_Five_Oth_h,Ofh_Oth_f_Np_UR_Six_m_Oth_h,Ofh_Oth_f_Tot_Oth_h,Ofh_Tot_Np_UR_One_Oth_h,Ofh_Tot_Np_UR_Two_Oth_h,Ofh_Tot_Np_UR_Three_Oth_h,Ofh_Tot_Np_UR_Four_Oth_h,Ofh_Tot_Np_UR_Five_Oth_h,Ofh_Tot_Np_UR_Six_m_Oth_h,Ofh_Tot_Tot_Oth_h,Mul_fh_Np_UR_One_Oth_h,Mul_fh_Np_UR_Two_Oth_h,Mul_fh_Np_UR_Three_Oth_h,Mul_fh_Np_UR_Four_Oth_h,Mul_fh_Np_UR_Five_Oth_h,Mul_fh_Np_UR_Six_m_Oth_h,Mul_fh_Tot_Oth_h,Tot_fh_Np_UR_One_Oth_h,Tot_fh_Np_UR_Two_Oth_h,Tot_fh_Np_UR_Three_Oth_h,Tot_fh_Np_UR_Four_Oth_h,Tot_fh_Np_UR_Five_Oth_h,Tot_fh_Np_UR_Six_m_Oth_h,Tot_fh_Tot_Oth_h,Lone_ph_Np_UR_One_Oth_h,Lone_ph_Np_UR_Two_Oth_h,Lone_ph_Np_UR_Three_Oth_h,Lone_ph_Np_UR_Four_Oth_h,Lone_ph_Np_UR_Five_Oth_h,Lone_ph_Np_UR_Six_m_Oth_h,Lone_ph_Tot_Oth_h,Group_h_Np_UR_One_Oth_h,Group_h_Np_UR_Two_Oth_h,Group_h_Np_UR_Three_Oth_h,Group_h_Np_UR_Four_Oth_h,Group_h_Np_UR_Five_Oth_h,Group_h_Np_UR_Six_m_Oth_h,Group_h_Tot_Oth_h,Tot_Np_UR_One_Oth_h,Tot_Np_UR_Two_Oth_h,Tot_Np_UR_Three_Oth_h,Tot_Np_UR_Four_Oth_h,Tot_Np_UR_Five_Oth_h,Tot_Np_UR_Six_m_Oth_h,Tot_Tot_Oth_h
IARE501001,..,141,20,4,0,0,170,..,..,92,118,92,51,351,..,103,94,72,28,26,321,..,19,12,0,0,0,33,..,266,215,199,120,77,872,..,..,..,9,10,32,50,..,266,215,204,129,102,919,245,..,..,..,..,..,245,..,23,9,4,0,0,31,245,285,221,211,129,102,1196,..,906,55,14,6,0,983,..,..,323,500,188,52,1065,..,118,79,39,13,0,257,..,12,3,3,0,0,19,..,1040,458,553,204,61,2322,..,..,..,9,7,18,35,..,1040,458,567,215,78,2357,881,..,..,..,..,..,881,..,133,52,13,4,6,206,881,1174,513,578,217,80,3440
IARE501002,..,26,6,0,0,0,30,..,..,23,41,31,26,116,..,33,28,22,10,3,104,..,12,5,0,0,0,15,..,73,60,59,45,30,262,..,..,..,6,8,27,42,..,73,60,66,53,62,304,68,..,..,..,..,..,68,..,4,0,0,0,0,8,68,77,60,66,51,62,380,..,46,0,0,0,0,49,..,..,4,14,3,4,21,..,0,4,3,0,0,8,..,0,0,0,0,0,0,..,43,9,16,3,4,81,..,..,..,0,0,6,6,..,43,9,16,3,3,85,65,..,..,..,..,..,65,..,8,0,0,0,0,8,65,52,10,16,3,3,152
IARE502001,..,54,0,4,0,0,59,..,..,17,27,12,17,71,..,27,27,15,9,10,82,..,4,0,0,0,0,10,..,81,44,42,24,23,209,..,..,..,4,0,11,13,..,81,44,43,22,35,223,86,..,..,..,..,..,86,..,6,4,0,0,0,6,86,83,48,43,22,35,318,..,382,22,8,0,0,403,..,..,103,145,48,13,305,..,59,29,5,4,4,100,..,11,0,0,0,0,13,..,449,152,155,50,19,828,..,..,..,6,0,6,16,..,449,152,161,52,23,838,451,..,..,..,..,..,451,..,40,3,0,6,0,53,451,491,161,161,58,23,1340
IARE502002,..,7,0,0,0,0,8,..,..,4,3,3,0,12,..,8,7,4,0,0,16,..,0,0,0,0,0,0,..,12,11,6,5,5,43,..,..,..,0,0,5,5,..,12,11,6,5,11,45,14,..,..,..,..,..,14,..,0,0,0,0,0,0,14,12,11,6,5,11,60,..,78,9,0,0,0,83,..,..,10,3,3,0,20,..,10,4,3,0,0,16,..,0,0,0,0,0,0,..,88,16,5,3,0,121,..,..,..,0,0,0,0,..,88,16,5,3,4,121,125,..,..,..,..,..,125,..,18,5,0,0,0,15,125,105,17,5,3,4,260
IARE502003,..,15,3,0,0,0,20,..,..,9,22,12,6,42,..,6,10,10,4,3,32,..,0,0,0,0,0,0,..,24,21,33,10,9,96,..,..,..,0,4,6,8,..,24,21,33,15,14,105,31,..,..,..,..,..,31,..,3,0,0,0,0,3,31,26,21,33,15,14,135,..,736,26,3,0,0,760,..,..,137,154,91,26,411,..,67,23,13,0,0,101,..,8,0,0,0,0,14,..,809,190,169,92,28,1286,..,..,..,5,0,10,17,..,809,190,176,91,41,1305,539,..,..,..,..,..,539,..,34,4,0,0,0,35,539,843,185,176,91,41,1883
IARE502004,..,196,20,9,0,0,222,..,..,91,110,84,69,361,..,99,108,101,42,30,389,..,25,13,0,0,0,39,..,327,234,217,131,105,1012,..,..,..,17,19,47,74,..,327,234,231,141,144,1083,256,..,..,..,..,..,256,..,39,9,0,0,0,49,256,363,244,231,141,147,1391,..,3575,159,17,0,0,3749,..,..,1179,1401,597,197,3379,..,649,422,143,38,22,1274,..,103,13,0,0,0,117,..,4330,1771,1560,635,217,8518,..,..,..,48,43,48,137,..,4330,1771,1604,677,268,8652,3644,..,..,..,..,..,3644,..,286,41,4,0,0,336,3644,4615,1819,1614,677,268,12631
IARE502005,..,30,0,0,0,0,36,..,..,15,13,8,4,36,..,15,19,6,0,0,37,..,4,0,0,0,0,4,..,48,33,20,12,8,116,..,..,..,0,0,5,8,..,48,33,23,12,10,126,34,..,..,..,..,..,34,..,5,0,0,0,0,5,34,53,33,23,12,10,163,..,941,22,0,0,0,964,..,..,181,236,111,29,565,..,90,49,19,7,0,160,..,10,4,0,0,0,8,..,1041,255,254,115,29,1700,..,..,..,12,9,10,20,..,1041,255,265,117,42,1727,853,..,..,..,..,..,853,..,29,0,0,0,0,30,853,1076,253,266,122,42,2610
IARE502006,..,23,0,0,0,0,20,..,..,13,11,0,8,26,..,4,18,7,6,3,36,..,12,0,0,0,0,11,..,35,24,18,10,12,94,..,..,..,0,0,5,7,..,35,24,12,12,15,99,28,..,..,..,..,..,28,..,7,0,0,0,0,7,28,39,28,12,9,15,135,..,40,3,0,0,0,42,..,..,7,3,0,0,14,..,0,0,0,0,0,6,..,0,0,0,0,0,0,..,40,11,4,0,0,64,..,..,..,0,0,0,4,..,40,11,7,3,4,64,74,..,..,..,..,..,74,..,0,0,0,0,0,0,74,41,11,7,3,4,138
IARE502007,..,19,0,0,0,0,21,..,..,3,11,0,6,21,..,5,0,0,0,0,8,..,5,0,0,0,0,7,..,33,4,13,0,8,62,..,..,..,0,0,4,4,..,33,4,13,0,9,66,29,..,..,..,..,..,29,..,0,0,0,0,0,0,29,33,4,13,0,9,88,..,130,9,0,0,0,132,..,..,25,38,16,9,80,..,11,3,0,0,0,16,..,0,0,0,0,0,0,..,137,35,38,16,11,234,..,..,..,0,0,6,0,..,137,35,39,16,14,239,179,..,..,..,..,..,179,..,20,0,0,0,0,21,179,158,34,39,16,14,438
IARE503001,..,60,3,0,0,0,67,..,..,29,27,17,10,85,..,24,18,9,15,10,75,..,4,0,0,0,0,6,..,91,51,37,33,16,232,..,..,..,4,6,4,5,..,91,51,42,35,21,242,46,..,..,..,..,..,46,..,11,0,0,0,0,11,46,99,50,42,35,21,296,..,1629,47,6,0,0,1680,..,..,464,595,265,101,1429,..,234,132,51,23,11,449,..,43,0,0,0,0,50,..,1907,647,651,286,110,3604,..,..,..,18,11,24,51,..,1907,647,670,295,129,3652,1678,..,..,..,..,..,1678,..,127,18,4,0,0,148,1678,2028,665,672,299,129,5482
