IARE_CODE_2021,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
IARE501001,0,28,60,92,179,111,289,77,55,134,896,925,1819,1155,1094,2242,686,659,1347,1091,1295,2385,910,936,1849,2688,2893,5585
IARE501002,0,5,3,4,41,51,87,9,7,14,46,42,94,98,99,195,222,222,439,36,39,73,50,42,92,308,305,608
IARE502001,0,9,9,16,25,31,51,44,27,71,428,354,779,498,412,906,119,135,254,317,293,609,432,360,788,868,778,1653
IARE502002,0,4,4,12,3,4,4,13,0,20,332,184,515,352,185,536,32,19,54,38,33,68,332,186,514,400,232,634
IARE502003,0,4,9,17,9,9,17,51,38,86,394,336,732,447,388,833,53,53,106,407,405,816,399,341,744,862,806,1671
IARE502004,6,109,148,262,219,103,326,197,153,355,1566,1389,2952,1987,1641,3628,824,708,1534,3567,3981,7551,1589,1412,3003,5976,6106,12083
IARE502005,0,13,23,32,10,9,20,56,47,106,563,425,989,621,481,1111,44,67,116,520,567,1093,565,430,994,1131,1065,2200
IARE502006,0,3,0,3,17,33,55,4,4,7,155,82,234,179,117,293,72,84,154,25,20,51,153,83,237,244,189,436
IARE502007,0,4,0,8,6,0,6,15,17,34,89,90,179,117,109,221,35,24,59,92,106,198,89,91,183,218,219,438
IARE503001,0,25,42,67,21,8,29,104,109,218,785,653,1442,913,767,1688,136,118,257,1445,1592,3042,801,671,1471,2382,2384,4766
IARE503002,0,3,16,21,14,10,23,37,20,56,525,391,916,575,421,995,48,56,106,292,294,588,536,394,929,869,747,1620
IARE503003,0,106,124,237,244,100,351,193,143,337,1334,1061,2392,1770,1308,3079,554,419,970,3114,3135,6253,1346,1068,2408,5010,4624,9629
IARE503004,0,0,0,4,22,20,39,4,3,10,385,130,510,413,151,567,154,138,288,38,19,55,391,130,515,575,288,862
IARE503005,0,8,4,10,9,9,9,24,4,30,470,150,620,497,163,658,40,38,77,122,96,218,470,150,620,632,282,912
IARE503006,0,0,0,0,5,3,13,0,0,0,9,12,15,10,14,23,49,38,88,3,5,8,9,12,15,62,54,116
IARE503007,0,6,4,8,4,4,5,4,0,6,117,43,157,125,47,174,22,24,43,18,16,35,117,43,157,162,86,241
IARE504001,0,0,0,0,0,3,4,0,0,0,30,29,57,32,34,68,70,72,140,5,7,15,30,29,57,99,115,212
