IARE_CODE_2021,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
IARE501001,370,2013,10,2394,141,405,5,552,284,814,12,1109,65,128,4,198,45,77,0,116,18,13,4,38,114,88,712,914,1039,3540,748,5323,457,2791,12,3265,194,333,4,532,259,557,7,824,75,71,0,145,52,40,0,93,12,15,0,27,92,79,755,931,1153,3883,777,5807,827,4810,24,5656,340,741,6,1091,544,1372,17,1929,145,200,4,345,89,118,0,206,37,28,4,63,211,165,1468,1847,2183,7426,1526,11130
IARE501002,119,110,0,233,86,18,0,102,143,36,5,185,29,11,0,39,27,13,0,37,8,0,0,8,26,3,42,72,433,196,46,674,153,139,0,295,104,17,0,124,138,32,0,169,28,5,0,36,21,0,0,25,4,0,0,4,23,4,43,68,478,198,48,721,276,256,0,526,190,36,0,226,277,64,3,354,51,20,0,75,46,11,0,58,14,0,0,14,47,3,84,140,910,393,89,1391
IARE502001,53,533,7,589,32,174,0,209,76,428,6,507,36,93,0,131,27,102,0,123,3,19,0,21,31,41,358,424,252,1381,372,2007,62,620,9,690,56,147,0,199,104,300,8,405,33,53,0,91,31,65,0,98,6,14,0,27,31,30,290,353,326,1233,304,1861,112,1152,12,1277,86,317,8,402,180,726,10,913,66,150,0,217,53,162,0,221,14,34,0,44,63,71,646,780,574,2612,678,3868
IARE502002,10,184,0,195,8,47,0,57,31,94,0,127,12,33,0,43,5,14,0,22,0,0,0,5,0,18,302,318,69,404,302,770,15,123,0,140,11,32,0,44,22,61,0,77,4,15,0,18,0,10,0,11,0,0,0,0,3,4,153,166,59,246,154,460,28,306,0,339,18,83,0,103,47,156,0,206,14,49,0,64,13,23,0,35,5,0,0,7,3,27,450,486,129,649,455,1229
IARE502003,31,725,10,757,18,227,0,248,37,709,10,753,21,153,4,173,7,106,0,115,0,10,0,10,6,47,324,381,104,1978,346,2430,21,870,10,899,19,237,0,261,38,486,5,528,11,88,3,101,11,74,0,83,0,5,0,6,7,34,282,330,113,1797,305,2212,50,1590,20,1658,36,469,4,509,69,1197,14,1285,27,241,3,268,19,174,0,195,0,16,0,16,16,84,609,709,216,3772,650,4641
IARE502004,302,5052,23,5370,132,1653,8,1791,419,3797,23,4240,84,695,3,785,66,554,8,627,22,71,0,92,68,226,1305,1595,1093,12036,1369,14499,369,6396,31,6804,232,1698,10,1942,385,3243,25,3649,94,581,6,686,43,443,10,498,18,88,0,104,78,246,1120,1445,1224,12696,1195,15114,667,11445,54,12168,364,3351,12,3731,806,7039,45,7885,177,1277,8,1472,116,993,17,1126,43,155,0,196,151,469,2425,3042,2316,24734,2566,29612
IARE502005,30,1010,4,1050,16,320,0,337,36,880,11,919,11,203,3,221,11,137,4,151,0,5,0,3,6,82,483,577,115,2634,512,3254,47,1112,7,1167,18,325,5,347,50,726,8,780,9,134,0,142,7,78,4,87,0,10,0,10,6,63,362,428,136,2445,381,2954,79,2124,10,2211,34,645,9,683,85,1601,15,1706,17,337,3,360,16,218,6,242,0,9,0,14,15,143,846,1006,248,5079,885,6214
IARE502006,15,151,3,174,16,41,0,54,43,100,4,145,15,15,0,28,23,9,0,37,0,6,0,6,23,5,148,178,129,332,156,617,43,83,0,129,22,20,0,43,49,27,0,76,7,9,0,15,16,0,0,16,3,0,0,3,27,0,81,108,166,140,80,388,60,236,7,300,38,59,0,101,95,127,4,227,23,25,0,39,38,15,0,52,3,6,0,5,49,8,226,284,296,473,236,1003
IARE502007,13,229,0,247,13,52,0,65,30,156,0,194,10,25,0,37,14,18,0,26,0,0,0,0,11,5,76,89,90,492,79,662,15,298,0,314,12,48,0,63,19,119,0,138,6,19,0,25,0,15,0,15,0,0,0,0,0,9,75,84,52,507,75,636,26,526,3,553,25,102,3,131,51,278,0,336,14,42,0,59,14,28,0,44,0,4,0,4,9,13,150,174,142,996,159,1295
IARE503001,43,2314,9,2369,27,698,9,733,75,1681,15,1764,17,328,6,353,15,213,0,234,0,16,0,16,16,159,652,832,196,5405,690,6288,79,2777,18,2882,43,729,5,779,58,1231,15,1297,11,274,0,287,4,174,3,185,6,11,0,15,12,130,531,664,216,5326,577,6117,128,5092,28,5249,73,1430,20,1512,130,2906,26,3061,30,601,8,643,25,388,9,419,6,24,0,28,22,287,1186,1497,413,10728,1267,12407
