IARE_CODE_2021,Ind_15_19_PD_GD_GCL_M,Ind_15_19_BDL_M,Ind_15_19_ADip_DipL_M,Ind_15_19_Ct_III_IV_M,Ind_15_19_Ct_I_II_M,Ind_15_19_CL_nfd_M,Ind_15_19_LoE_NS_M,Ind_15_19_Tot_M,Ind_20_24_PD_GD_GCL_M,Ind_20_24_BDL_M,Ind_20_24_ADip_DipL_M,Ind_20_24_Ct_III_IV_M,Ind_20_24_Ct_I_II_M,Ind_20_24_CL_nfd_M,Ind_20_24_LoE_NS_M,Ind_20_24_Tot_M,Ind_25_34_PD_GD_GCL_M,Ind_25_34_BDL_M,Ind_25_34_ADip_DipL_M,Ind_25_34_Ct_III_IV_M,Ind_25_34_Ct_I_II_M,Ind_25_34_CL_nfd_M,Ind_25_34_LoE_NS_M,Ind_25_34_Tot_M,Ind_35_44_PD_GD_GCL_M,Ind_35_44_BDL_M,Ind_35_44_ADip_DipL_M,Ind_35_44_Ct_III_IV_M,Ind_35_44_Ct_I_II_M,Ind_35_44_CL_nfd_M,Ind_35_44_LoE_NS_M,Ind_35_44_Tot_M,Ind_45_54_PD_GD_GCL_M,Ind_45_54_BDL_M,Ind_45_54_ADip_DipL_M,Ind_45_54_Ct_III_IV_M,Ind_45_54_Ct_I_II_M,Ind_45_54_CL_nfd_M,Ind_45_54_LoE_NS_M,Ind_45_54_Tot_M,Ind_55_64_PD_GD_GCL_M,Ind_55_64_BDL_M,Ind_55_64_ADip_DipL_M,Ind_55_64_Ct_III_IV_M,Ind_55_64_Ct_I_II_M,Ind_55_64_CL_nfd_M,Ind_55_64_LoE_NS_M,Ind_55_64_Tot_M,Ind_65ov_PtgdDe_GdDp_GdCt_M,Ind_65ov_BDL_M,Ind_65ov_ADip_DipL_M,Ind_65ov_Ct_III_IV_M,Ind_65ov_Ct_I_II_M,Ind_65ov_CL_nfd_M,Ind_65ov_LoE_NS_M,Ind_65ov_Tot_M,Ind_Tot_PD_GD_GCL_M,Ind_Tot_BDL_M,Ind_Tot_ADip_DipL_M,Ind_Tot_Ct_III_IV_M,Ind_Tot_Ct_I_II_M,Ind_tot_CL_nfd_M,Ind_Tot_LoE_NS_M,Ind_Tot_Tot_M,NonI_15_19_PD_GD_GCL_M,NonI_15_19_BDL_M,NonI_15_19_ADip_DipL_M,NonI_15_19_Ct_III_IV_M,NonI_15_19_Ct_I_II_M,NonI_15_19_CL_nfd_M,NonI_15_19_LoE_NS_M,NonI_15_19_Tot_M,NonI_20_24_PD_GD_GCL_M,NonI_20_24_BDL_M,NonI_20_24_ADip_DipL_M,NonI_20_24_Ct_III_IV_M,NonI_20_24_Ct_I_II_M,NonI_20_24_CL_nfd_M,NonI_20_24_LoE_NS_M,NonI_20_24_Tot_M,NonI_25_34_PD_GD_GCL_M,NonI_25_34_BDL_M,NonI_25_34_ADip_DipL_M,NonI_25_34_Ct_III_IV_M,NonI_25_34_Ct_I_II_M,NonI_25_34_CL_nfd_M,NonI_25_34_LoE_NS_M,NonI_25_34_Tot_M,NonI_35_44_PD_GD_GCL_M,NonI_35_44_BDL_M,NonI_35_44_ADip_DipL_M,NonI_35_44_Ct_III_IV_M,NonI_35_44_Ct_I_II_M,NonI_35_44_CL_nfd_M,NonI_35_44_LoE_NS_M,NonI_35_44_Tot_M,NonI_45_54_PD_GD_GCL_M,NonI_45_54_BDL_M,NonI_45_54_ADip_DipL_M,NonI_45_54_Ct_III_IV_M,NonI_45_54_Ct_I_II_M,NonI_45_54_CL_nfd_M,NonI_45_54_LoE_NS_M,NonI_45_54_Tot_M,NonI_55_64_PD_GD_GCL_M,NonI_55_64_BDL_M,NonI_55_64_ADip_DipL_M,NonI_55_64_Ct_III_IV_M,NonI_55_64_Ct_I_II_M,NonI_55_64_CL_nfd_M,NonI_55_64_LoE_NS_M,NonI_55_64_Tot_M,NonI_65ov_PtgdDe_GdDp_GdCt_M,NonI_65ov_BDL_M,NonI_65ov_ADip_DipL_M,NonI_65ov_Ct_III_IV_M,NonI_65ov_Ct_I_II_M,NonI_65ov_CL_nfd_M,NonI_65ov_LoE_NS_M,NonI_65ov_Tot_M,NonI_Tot_PD_GD_GCL_M,NonI_Tot_BDL_M,NonI_Tot_ADip_DipL_M,NonI_Tot_Ct_III_IV_M,NonI_Tot_Ct_I_II_M,NonI_tot_CL_nfd_M,NonI_Tot_LoE_NS_M,NonI_Tot_Tot_M,IS_NS_15_19_PD_GD_GCL_M,IS_NS_15_19_BDL_M,IS_NS_15_19_ADip_DipL_M,IS_NS_15_19_Ct_III_IV_M,IS_NS_15_19_Ct_I_II_M,IS_NS_15_19_CL_nfd_M,IS_NS_15_19_LoE_NS_M,IS_NS_15_19_Tot_M,IS_NS_20_24_PD_GD_GCL_M,IS_NS_20_24_BDL_M,IS_NS_20_24_ADip_DipL_M,IS_NS_20_24_Ct_III_IV_M,IS_NS_20_24_Ct_I_II_M,IS_NS_20_24_CL_nfd_M,IS_NS_20_24_LoE_NS_M,IS_NS_20_24_Tot_M,IS_NS_25_34_PD_GD_GCL_M,IS_NS_25_34_BDL_M,IS_NS_25_34_ADip_DipL_M,IS_NS_25_34_Ct_III_IV_M,IS_NS_25_34_Ct_I_II_M,IS_NS_25_34_CL_nfd_M,IS_NS_25_34_LoE_NS_M,IS_NS_25_34_Tot_M,IS_NS_35_44_PD_GD_GCL_M,IS_NS_35_44_BDL_M,IS_NS_35_44_ADip_DipL_M,IS_NS_35_44_Ct_III_IV_M,IS_NS_35_44_Ct_I_II_M,IS_NS_35_44_CL_nfd_M,IS_NS_35_44_LoE_NS_M,IS_NS_35_44_Tot_M,IS_NS_45_54_PD_GD_GCL_M,IS_NS_45_54_BDL_M,IS_NS_45_54_ADip_DipL_M,IS_NS_45_54_Ct_III_IV_M,IS_NS_45_54_Ct_I_II_M,IS_NS_45_54_CL_nfd_M,IS_NS_45_54_LoE_NS_M,IS_NS_45_54_Tot_M,IS_NS_55_64_PD_GD_GCL_M,IS_NS_55_64_BDL_M,IS_NS_55_64_ADip_DipL_M,IS_NS_55_64_Ct_III_IV_M,IS_NS_55_64_Ct_I_II_M,IS_NS_55_64_CL_nfd_M,IS_NS_55_64_LoE_NS_M,IS_NS_55_64_Tot_M,IS_NS_65ov_PtgdDe_GdDp_GdCt_M,IS_NS_65ov_BDL_M,IS_NS_65ov_ADip_DipL_M,IS_NS_65ov_Ct_III_IV_M,IS_NS_65ov_Ct_I_II_M,IS_NS_65ov_CL_nfd_M,IS_NS_65ov_LoE_NS_M,IS_NS_65ov_Tot_M,IS_NS_Tot_PD_GD_GCL_M,IS_NS_Tot_BDL_M,IS_NS_Tot_ADip_DipL_M,IS_NS_Tot_Ct_III_IV_M,IS_NS_Tot_Ct_I_II_M,IS_NS_tot_CL_nfd_M,IS_NS_Tot_LoE_NS_M,IS_NS_Tot_Tot_M,Tot_15_19_PD_GD_GCL_M,Tot_15_19_BDL_M,Tot_15_19_ADip_DipL_M,Tot_15_19_Ct_III_IV_M,Tot_15_19_Ct_I_II_M,Tot_15_19_CL_nfd_M,Tot_15_19_LoE_NS_M,Tot_15_19_Tot_M
IARE501001,0,0,0,4,3,0,21,29,0,0,0,21,5,0,16,56,5,11,3,74,5,4,25,123,8,5,14,58,6,5,24,111,0,3,7,42,0,3,25,79,3,0,4,15,4,0,23,54,0,4,9,18,0,0,9,41,10,25,36,228,20,14,146,492,0,0,4,8,9,3,5,26,3,17,16,65,12,3,9,127,63,174,65,220,8,11,32,566,62,153,103,287,3,7,27,639,44,101,89,282,9,16,30,575,22,66,57,198,8,15,24,382,18,47,37,120,3,11,39,274,213,552,367,1170,55,70,166,2592,0,0,0,0,0,0,50,50,0,0,0,0,0,0,50,55,0,0,0,0,0,0,149,153,0,0,0,0,0,0,126,130,0,0,0,0,0,0,161,160,0,0,0,3,0,0,118,116,0,0,0,0,0,0,68,71,0,3,0,11,0,0,720,732,0,0,4,12,12,3,79,105
IARE501002,0,0,0,0,0,0,13,11,0,0,0,4,0,4,5,9,0,4,0,15,4,0,22,34,0,0,3,15,0,0,17,36,0,0,0,7,3,0,7,22,0,0,4,6,0,0,0,19,0,0,0,0,0,0,0,6,3,3,5,53,11,9,60,134,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,4,13,7,12,0,0,4,40,0,9,3,13,0,0,0,27,3,3,0,7,0,0,0,20,4,0,4,11,0,0,0,19,0,0,9,11,0,0,6,21,11,33,30,56,0,5,11,135,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,5,5,0,0,0,0,0,0,8,9,0,0,0,5,0,0,40,46,0,0,0,0,3,0,13,15
IARE502001,0,0,0,4,0,0,4,10,0,0,0,0,0,0,0,8,0,0,0,11,4,0,8,17,0,0,0,9,0,0,3,18,0,0,3,5,0,0,5,20,0,0,0,9,0,0,12,21,0,0,0,3,0,0,5,13,0,0,3,42,6,5,45,100,0,0,0,0,3,0,4,10,0,4,0,25,12,0,0,43,3,25,11,76,0,5,5,135,7,17,21,63,0,3,11,118,12,13,15,90,3,3,4,140,5,13,10,99,0,0,8,141,5,14,31,70,0,11,27,153,38,91,88,411,31,27,59,740,0,0,0,0,0,0,27,27,0,0,0,0,0,0,38,38,0,0,0,0,0,0,77,83,0,0,0,0,0,0,52,55,0,0,0,0,0,0,67,70,0,0,0,0,0,0,44,44,0,0,0,0,0,0,50,56,0,0,0,4,0,0,360,364,0,0,0,3,4,0,43,49
IARE502002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,12,0,0,0,0,3,0,0,3,0,3,0,9,0,0,0,17,0,3,7,38,0,0,4,58,4,8,3,22,0,0,3,38,4,12,3,19,0,0,10,46,0,3,3,24,0,0,0,38,0,7,4,22,5,0,14,49,7,30,24,141,11,0,27,237,0,0,0,0,0,0,7,7,0,0,0,0,0,0,28,28,0,0,0,0,0,0,77,77,0,0,0,0,0,0,55,55,0,0,0,0,0,0,56,56,0,0,0,0,0,0,37,37,0,0,0,0,0,0,42,42,0,0,0,0,0,0,302,302,0,0,0,0,3,0,7,13
IARE502003,0,0,0,0,0,0,4,7,0,0,0,4,0,0,0,5,0,0,0,4,0,0,0,10,0,0,0,4,0,0,0,4,0,0,0,6,0,0,0,12,0,0,0,4,0,0,0,3,0,0,0,0,0,0,3,7,0,0,4,25,6,4,11,47,0,0,0,4,3,0,4,11,0,3,0,30,0,0,4,44,0,19,8,69,4,0,9,106,6,11,17,85,4,0,3,128,5,32,23,105,3,3,14,192,6,20,21,129,3,7,17,214,6,23,40,177,5,15,35,292,24,117,105,596,27,25,88,992,0,0,0,0,0,0,11,11,0,0,0,0,0,0,12,12,0,0,0,0,0,0,32,35,0,0,0,0,0,0,55,55,0,0,0,0,0,0,60,61,0,0,0,0,0,0,58,55,0,0,0,0,0,0,102,98,0,0,0,0,0,0,327,337,0,0,0,3,0,0,21,33
IARE502004,0,0,0,8,6,0,9,27,0,0,0,20,9,0,7,36,0,3,0,68,5,0,19,102,0,10,3,41,5,0,11,70,3,5,13,31,4,3,19,80,0,0,10,21,0,0,9,43,0,0,6,10,0,0,20,36,5,26,38,194,30,9,99,392,0,0,0,74,49,0,10,133,5,21,19,252,56,7,17,382,49,161,109,836,54,15,57,1269,95,208,174,743,33,36,54,1344,103,198,181,804,20,28,62,1393,76,137,208,732,30,40,75,1295,57,131,197,734,21,56,187,1385,379,857,894,4170,261,180,462,7200,0,0,0,0,0,0,110,110,0,0,0,0,0,0,81,83,0,0,0,4,0,0,225,229,0,0,0,5,0,0,246,248,0,0,0,0,0,0,242,253,0,0,0,9,0,0,211,217,0,0,0,8,0,0,199,210,0,0,3,28,0,0,1312,1341,0,0,4,80,54,0,130,269
IARE502005,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,3,0,0,0,5,0,0,10,7,0,0,0,6,0,0,0,6,0,0,0,4,0,0,4,6,0,0,0,8,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,21,0,0,11,39,0,0,0,8,5,3,11,20,0,5,5,42,4,0,0,58,6,28,10,95,4,3,3,151,6,29,19,122,4,7,14,198,11,33,31,142,7,6,14,237,10,22,40,171,4,9,18,269,16,19,50,238,7,18,76,419,47,133,157,805,40,47,133,1356,0,0,0,0,0,0,30,30,0,0,0,0,0,0,21,21,0,0,0,0,0,0,50,50,0,0,0,0,0,0,79,79,0,0,0,0,0,0,77,77,0,0,0,4,0,0,107,115,0,0,0,0,0,0,118,118,0,0,0,5,0,0,488,493,0,0,0,8,5,3,37,52
IARE502006,0,0,0,0,0,0,11,10,0,0,0,4,0,0,3,6,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,6,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,14,0,0,35,47,0,0,0,0,0,0,0,0,0,4,0,6,0,0,3,15,4,16,6,38,0,0,0,65,3,3,6,21,0,3,0,37,0,0,5,12,0,0,0,19,0,0,5,22,0,0,0,27,0,0,3,9,0,0,0,18,9,23,21,103,9,3,10,185,0,0,0,0,0,0,6,6,0,0,0,0,0,0,13,13,0,0,0,0,0,0,49,55,0,0,0,0,0,0,30,29,0,0,0,0,0,0,27,21,0,0,0,0,0,0,15,19,0,0,0,0,0,0,15,15,0,0,4,3,0,0,150,152,0,0,0,0,0,0,13,17
IARE502007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,10,0,0,0,3,0,0,0,8,0,0,0,6,0,0,5,11,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,3,0,0,3,23,3,0,8,37,0,0,0,0,0,0,0,0,0,4,0,10,3,0,0,20,5,23,12,27,0,0,0,68,5,23,8,30,0,4,3,65,4,6,7,26,0,0,3,48,0,9,14,32,3,0,4,61,0,8,11,29,0,0,4,48,10,64,50,160,9,6,15,312,0,0,0,0,0,0,6,6,0,0,0,0,0,0,4,4,0,0,0,0,0,0,5,5,0,0,0,0,0,0,16,16,0,0,0,0,0,0,11,11,0,0,0,0,0,0,17,20,0,0,0,0,0,0,16,17,0,0,0,0,0,0,76,81,0,0,0,0,0,0,3,6
IARE503001,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,12,0,0,4,8,0,0,0,13,0,0,0,4,0,0,0,13,0,0,0,9,0,0,0,13,0,0,0,11,0,0,4,12,0,0,3,6,0,0,4,13,0,4,8,42,6,3,19,83,0,0,0,27,12,0,15,58,0,13,3,113,21,4,16,172,16,85,35,357,24,8,20,544,33,75,62,334,11,5,24,539,22,91,79,307,9,13,42,565,27,53,65,304,0,16,38,505,20,66,97,247,5,14,96,547,116,384,340,1690,88,56,253,2934,0,0,0,0,0,0,46,46,0,0,0,0,0,0,48,53,0,0,0,0,0,0,93,91,0,0,0,0,0,0,81,87,0,0,0,5,0,0,136,135,0,0,0,4,0,0,108,110,0,0,4,0,0,0,140,145,0,0,4,14,0,0,656,679,0,0,0,25,18,0,60,105
