IARE_CODE_2021,NsQ_Cer_III_IV_IndSt_nsP,NsQ_Cer_III_IV_TotM,NsQ_Cer_III_IV_TotF,NsQ_Cer_III_IV_TotP,NsQ_Cer_I_II_Ind_M,NsQ_Cer_I_II_Ind_F,NsQ_Cer_I_II_Ind_P,NsQ_Cer_I_II_No_In_M,NsQ_Cer_I_II_No_In_F,NsQ_Cer_I_II_No_In_P,NsQ_Cer_I_II_Ind_s_nsM,NsQ_Cer_I_II_Ind_s_nsF,NsQ_Cer_I_II_Ind_s_nsP,NsQ_Cer_I_II_TotM,NsQ_Cer_I_II_TotF,NsQ_Cer_I_II_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
IARE501001,16,1411,647,2063,20,60,83,55,75,130,0,0,0,74,140,214,1218,1342,2560,3497,3545,7039,38,42,83,4756,4933,9689,281,307,588,986,1291,2283,5,7,13,1271,1610,2879,731,809,1539,1901,1847,3741,29,26,48,2655,2678,5333,590,694,1287,2316,2735,5057,16,20,36,2926,3444,6374
IARE501002,5,105,62,171,11,15,28,0,0,4,0,0,0,13,20,34,576,610,1181,148,117,268,0,0,5,722,725,1450,58,63,118,72,104,177,0,0,4,128,166,299,457,480,934,89,69,161,0,0,0,550,550,1097,129,120,252,117,135,252,3,0,3,247,260,502
IARE502001,8,455,192,650,6,5,9,31,37,65,0,0,0,36,43,76,306,386,691,1353,1172,2531,25,11,34,1682,1575,3252,51,43,94,271,269,536,5,5,10,325,318,645,189,260,448,921,747,1674,16,9,24,1128,1020,2147,117,134,251,624,616,1243,13,6,18,746,754,1509
IARE502002,0,142,53,195,0,4,5,11,12,15,0,0,0,12,11,19,82,66,143,334,218,547,0,5,3,415,277,694,12,9,27,89,50,130,0,4,4,99,62,167,65,49,119,221,122,343,0,0,0,287,171,466,22,15,39,179,131,310,0,5,5,204,152,351
IARE502003,0,624,271,891,6,0,7,27,34,57,0,0,0,30,35,71,134,140,274,2004,1825,3834,27,26,56,2174,1987,4161,30,26,57,303,279,584,3,0,0,336,303,643,88,105,186,1564,1385,2951,19,14,32,1672,1508,3173,57,49,100,666,629,1296,8,6,8,725,683,1407
IARE502004,36,4389,2367,6751,30,84,115,261,407,667,0,0,0,294,489,783,1322,1470,2799,12870,13300,26163,82,91,177,14274,14859,29133,246,325,571,2246,2438,4688,13,10,31,2512,2776,5282,726,782,1504,8766,8969,17730,69,58,131,9557,9806,19365,675,830,1502,5562,6008,11571,25,38,62,6267,6875,13136
IARE502005,5,835,355,1194,0,7,3,40,74,112,0,0,0,39,79,119,116,150,262,2695,2478,5178,22,23,46,2834,2654,5481,41,34,74,381,387,776,4,3,9,425,425,852,75,93,164,2012,1784,3797,15,19,35,2108,1890,3995,73,77,151,932,968,1901,3,3,7,1009,1051,2058
IARE502006,3,115,25,148,0,7,9,9,3,6,0,0,0,6,6,13,151,156,312,236,108,348,6,5,13,400,274,673,23,37,66,90,43,130,0,0,0,114,82,200,89,95,185,142,56,198,6,5,13,240,158,396,61,89,145,176,86,265,0,0,0,237,173,410
IARE502007,3,183,71,256,3,0,8,9,12,17,0,0,0,12,13,22,102,64,163,422,416,843,10,8,15,533,489,1019,17,12,32,129,157,289,0,0,0,143,168,315,57,37,92,239,226,465,7,3,7,305,266,573,47,31,81,292,312,607,0,0,0,340,348,690
IARE503001,18,1742,854,2600,6,18,19,88,154,241,0,0,0,89,166,257,246,252,498,5619,5548,11175,44,55,96,5917,5858,11772,77,72,154,1075,1063,2134,6,6,14,1156,1141,2297,139,133,273,3839,3702,7544,34,45,72,4008,3871,7885,135,159,295,2505,2558,5066,14,12,29,2660,2732,5387
IARE503002,13,462,187,647,3,0,5,23,32,51,0,0,0,25,38,59,133,131,264,1252,1032,2286,31,20,54,1414,1189,2600,47,73,123,333,247,578,0,3,3,384,326,710,84,67,155,850,669,1519,19,14,28,953,751,1710,86,117,203,646,542,1193,7,8,15,742,673,1406
