IARE_CODE_2021,No_bed_ne_sp_Hw_ATSIP,No_bed_ne_sp_Oth_h,No_bed_ne_sp_Tot,One_m_bn_One_ebn_Hw_ATSIP,One_m_bn_One_ebn_Oth_h,One_m_bn_One_ebn_Tot,One_m_bn_Two_ebn_Hw_ATSIP,One_m_bn_Two_ebn_Oth_h,One_m_bn_Two_ebn_Tot,One_m_bn_Thr_ebn_Hw_ATSIP,One_m_bn_Thr_ebn_Oth_h,One_m_bn_Thr_ebn_Tot,One_m_bn_Fou_m_ebn_Hw_ATSIP,One_m_bn_Fou_m_ebn_Oth_h,One_m_bn_Fou_m_ebn_Tot,One_m_bn_Tot_Hw_ATSIP,One_m_bn_Tot_Oth_h,One_m_bn_Tot_Tot,One_m_bs_One_bs_Hw_ATSIP,One_m_bs_One_bs_Oth_h,One_m_bs_One_bs_Tot,One_m_bs_Two_bs_Hw_ATSIP,One_m_bs_Two_bs_Oth_h,One_m_bs_Two_bs_Tot,One_m_bs_Thr_bs_Hw_ATSIP,One_m_bs_Thr_bs_Oth_h,One_m_bs_Thr_bs_Tot,One_m_bs_Fou_m_bs_Hw_ATSIP,One_m_bs_Fou_m_bs_Oth_h,One_m_bs_Fou_m_bs_Tot,One_m_bs_Tot_Hw_ATSIP,One_m_bs_Tot_Oth_h,One_m_bs_Tot_Tot,Tot_Hw_ATSIP,Tot_Oth_h,Tot_Tot
IARE501001,374,641,1014,91,93,183,33,10,49,10,3,16,3,3,9,137,109,257,321,1007,1329,184,981,1170,48,408,452,3,46,57,556,2442,3008,1196,3440,4636
IARE501002,116,41,157,51,8,56,17,0,19,9,10,17,7,0,7,84,18,99,112,51,160,39,17,64,11,6,19,0,3,3,162,77,246,380,152,533
IARE502001,88,233,321,27,38,64,9,9,17,0,0,0,3,0,3,39,47,84,81,352,432,78,452,531,9,136,149,0,28,30,168,968,1142,318,1340,1662
IARE502002,11,45,50,9,4,10,0,0,0,3,0,3,0,0,0,12,4,13,13,63,82,14,87,100,5,18,18,0,18,18,32,186,218,60,260,319
IARE502003,28,226,251,10,20,28,3,3,6,0,0,0,3,0,0,16,23,34,35,491,527,36,665,697,0,295,294,0,65,61,71,1516,1579,135,1883,2020
IARE502004,281,1215,1497,95,134,229,26,13,40,13,0,17,3,0,3,137,147,289,411,3406,3815,306,4647,4954,121,2358,2474,13,229,241,851,10640,11484,1391,12631,14020
IARE502005,26,237,263,11,28,38,0,4,6,0,0,0,3,0,3,14,32,47,47,590,640,50,997,1053,14,486,498,3,76,77,114,2149,2268,163,2610,2778
IARE502006,39,22,63,11,0,12,10,0,10,0,0,0,4,0,4,25,0,26,37,32,71,25,43,68,8,19,21,0,11,7,70,105,167,135,138,276
IARE502007,20,123,139,0,11,12,5,5,6,0,0,4,0,4,3,5,20,25,25,94,120,30,105,137,7,41,46,0,12,14,62,252,317,88,438,531
IARE503001,69,651,721,10,68,75,6,6,15,0,3,3,0,0,0,16,77,93,85,1434,1521,70,1959,2025,32,863,896,0,139,142,187,4395,4584,296,5482,5777
IARE503002,38,157,197,8,15,26,0,6,3,0,0,3,0,0,0,8,21,32,48,333,379,43,480,524,15,131,143,0,22,22,106,966,1068,182,1220,1401
IARE503003,158,1280,1436,50,140,190,8,23,36,4,4,7,0,0,0,62,167,233,214,2613,2826,189,3170,3358,60,1304,1361,8,158,165,471,7245,7710,776,9199,9975
IARE503004,63,14,76,40,0,35,10,0,10,10,0,10,10,0,10,70,0,65,53,32,84,54,42,97,12,19,32,0,7,7,119,100,220,263,131,389
IARE503005,13,55,70,10,9,15,0,0,3,4,0,4,0,0,0,14,9,22,21,89,111,12,92,100,3,23,26,3,6,4,39,210,241,71,310,385
IARE503006,16,4,23,23,5,23,15,0,15,0,0,0,4,0,4,42,5,42,27,16,44,13,11,24,0,0,0,0,0,0,40,27,68,98,34,129
IARE503007,9,13,17,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,10,12,24,4,14,18,0,4,4,0,0,3,14,30,49,39,49,84
IARE504001,37,24,58,18,0,24,15,0,18,10,0,10,7,0,7,50,0,59,18,3,21,15,6,19,0,0,4,0,0,0,33,9,44,124,53,183
IARE504002,45,22,67,30,0,29,23,0,23,11,0,11,11,0,11,75,0,74,43,11,63,20,9,28,3,0,8,0,0,0,66,20,99,194,52,251
IARE504003,82,18,96,39,5,46,23,0,23,13,0,13,12,0,12,87,5,94,87,48,132,25,36,65,14,8,17,0,0,3,126,92,217,316,150,460
IARE504004,27,4,32,11,0,12,8,0,8,4,0,4,0,0,0,23,0,24,17,3,19,8,4,13,6,0,4,0,0,0,31,7,36,90,15,106
IARE504005,16,0,18,17,0,17,8,0,8,3,0,3,0,0,0,28,0,28,12,4,12,9,7,14,6,0,10,0,0,0,27,11,36,68,14,85
IARE504006,105,194,305,48,23,74,19,8,27,5,0,7,10,0,10,82,31,118,105,286,392,58,295,352,14,96,111,5,8,5,182,685,860,407,993,1397
IARE504007,24,64,83,4,14,21,5,0,8,3,0,3,0,0,0,12,14,32,11,58,66,9,41,57,3,34,37,0,12,16,23,145,176,72,248,322
IARE504008,39,19,54,12,0,12,5,0,5,6,0,6,0,0,0,23,0,23,43,29,71,25,25,49,3,3,3,0,0,0,71,57,123,142,78,226
IARE505001,253,3324,3578,76,508,580,16,72,91,4,18,23,5,5,9,101,603,703,361,8757,9119,271,11826,12098,93,4898,4994,10,506,517,735,25987,26728,1182,31370,32549
IARE505002,42,773,815,13,85,99,4,6,13,0,3,3,0,0,0,17,94,115,62,2003,2063,34,2277,2312,8,688,693,0,82,81,104,5050,5149,176,6164,6350
IARE505003,131,3964,4097,30,448,478,6,78,85,0,12,12,0,5,3,36,543,578,180,8838,9021,103,8881,8985,31,3043,3078,0,315,320,314,21077,21404,533,26684,27221
IARE505004,152,3213,3367,34,414,444,8,44,53,0,9,12,0,3,7,42,470,516,177,5324,5495,119,5136,5256,20,1449,1462,3,118,122,319,12027,12335,549,16465,17018
IARE505005,134,4492,4630,35,707,739,5,139,144,4,27,33,0,7,8,44,880,924,173,9503,9674,150,10593,10741,33,5000,5029,6,723,733,362,25819,26177,589,32680,33271
IARE505006,206,4758,4958,57,498,558,15,71,84,8,9,16,0,5,8,80,583,666,315,12143,12453,247,14781,15026,73,7011,7088,4,560,565,639,34495,35132,1005,41798,42804
IARE505007,122,3205,3329,20,227,247,3,24,28,3,3,6,0,0,0,26,254,281,91,5707,5793,48,4502,4543,10,1182,1195,0,168,170,149,11559,11701,325,15736,16062
IARE505008,261,5187,5454,75,956,1026,19,226,247,9,63,69,3,14,17,106,1259,1359,374,11714,12090,334,14365,14693,102,6444,6537,14,537,550,824,33060,33870,1309,41369,42675
IARE505009,91,4202,4293,24,319,345,9,57,63,0,4,11,0,0,0,33,380,419,213,14105,14320,216,20612,20823,94,13268,13364,20,1607,1631,543,49592,50138,702,56819,57522
IARE505010,104,1743,1850,31,214,244,5,45,49,0,16,16,0,0,0,36,275,309,184,5273,5450,144,7540,7691,70,4267,4335,9,619,629,407,17699,18105,584,20662,21248
IARE505011,135,1707,1838,41,258,305,8,55,68,6,13,13,0,0,0,55,326,386,192,4316,4513,167,5362,5528,58,2318,2374,3,173,179,420,12169,12594,657,15009,15666
IARE505012,114,4094,4204,25,304,329,6,37,41,0,12,11,0,0,0,31,353,381,152,11853,12001,115,13164,13277,34,6966,7000,9,1065,1077,310,33048,33355,473,38986,39453
IARE505013,92,1284,1372,14,125,148,5,21,21,0,3,9,0,0,0,19,149,178,129,3312,3445,119,5031,5148,29,2998,3026,0,449,451,277,11790,12070,425,13892,14325
IARE505014,225,14839,15069,22,1151,1171,0,103,106,0,10,14,0,0,3,22,1264,1294,207,20665,20867,79,13923,14001,13,4729,4745,6,1128,1136,305,40445,40749,587,58863,59446
