IARE_CODE_2021,IS_NS_25_34_PD_GD_GCL_F,IS_NS_25_34_BDL_F,IS_NS_25_34_ADip_DipL_F,IS_NS_25_34_Ct_III_IV_F,IS_NS_25_34_Ct_I_II_F,IS_NS_25_34_CL_nfd_F,IS_NS_25_34_LoE_NS_F,IS_NS_25_34_Tot_F,IS_NS_35_44_PD_GD_GCL_F,IS_NS_35_44_BDL_F,IS_NS_35_44_ADip_DipL_F,IS_NS_35_44_Ct_III_IV_F,IS_NS_35_44_Ct_I_II_F,IS_NS_35_44_CL_nfd_F,IS_NS_35_44_LoE_NS_F,IS_NS_35_44_Tot_F,IS_NS_45_54_PD_GD_GCL_F,IS_NS_45_54_BDL_F,IS_NS_45_54_ADip_DipL_F,IS_NS_45_54_Ct_III_IV_F,IS_NS_45_54_Ct_I_II_F,IS_NS_45_54_CL_nfd_F,IS_NS_45_54_LoE_NS_F,IS_NS_45_54_Tot_F,IS_NS_55_64_PD_GD_GCL_F,IS_NS_55_64_BDL_F,IS_NS_55_64_ADip_DipL_F,IS_NS_55_64_Ct_III_IV_F,IS_NS_55_64_Ct_I_II_F,IS_NS_55_64_CL_nfd_F,IS_NS_55_64_LoE_NS_F,IS_NS_55_64_Tot_F,IS_NS_65ov_PtgdDe_GdDp_GdCt_F,IS_NS_65ov_BDL_F,IS_NS_65ov_ADip_DipL_F,IS_NS_65ov_Ct_III_IV_F,IS_NS_65ov_Ct_I_II_F,IS_NS_65ov_CL_nfd_F,IS_NS_65ov_LoE_NS_F,IS_NS_65ov_Tot_F,IS_NS_Tot_PD_GD_GCL_F,IS_NS_Tot_BDL_F,IS_NS_Tot_ADip_DipL_F,IS_NS_Tot_Ct_III_IV_F,IS_NS_Tot_Ct_I_II_F,IS_NS_tot_CL_nfd_F,IS_NS_Tot_LoE_NS_F,IS_NS_Tot_Tot_F,Tot_15_19_PD_GD_GCL_F,Tot_15_19_BDL_F,Tot_15_19_ADip_DipL_F,Tot_15_19_Ct_III_IV_F,Tot_15_19_Ct_I_II_F,Tot_15_19_CL_nfd_F,Tot_15_19_LoE_NS_F,Tot_15_19_Tot_F,Tot_20_24_PD_GD_GCL_F,Tot_20_24_BDL_F,Tot_20_24_ADip_DipL_F,Tot_20_24_Ct_III_IV_F,Tot_20_24_Ct_I_II_F,Tot_20_24_CL_nfd_F,Tot_20_24_LoE_NS_F,Tot_20_24_Tot_F,Tot_25_34_PD_GD_GCL_F,Tot_25_34_BDL_F,Tot_25_34_ADip_DipL_F,Tot_25_34_Ct_III_IV_F,Tot_25_34_Ct_I_II_F,Tot_25_34_CL_nfd_F,Tot_25_34_LoE_NS_F,Tot_25_34_Tot_F,Tot_35_44_PD_GD_GCL_F,Tot_35_44_BDL_F,Tot_35_44_ADip_DipL_F,Tot_35_44_Ct_III_IV_F,Tot_35_44_Ct_I_II_F,Tot_35_44_CL_nfd_F,Tot_35_44_LoE_NS_F,Tot_35_44_Tot_F,Tot_45_54_PD_GD_GCL_F,Tot_45_54_BDL_F,Tot_45_54_ADip_DipL_F,Tot_45_54_Ct_III_IV_F,Tot_45_54_Ct_I_II_F,Tot_45_54_CL_nfd_F,Tot_45_54_LoE_NS_F,Tot_45_54_Tot_F,Tot_55_64_PD_GD_GCL_F,Tot_55_64_BDL_F,Tot_55_64_ADip_DipL_F,Tot_55_64_Ct_III_IV_F,Tot_55_64_Ct_I_II_F,Tot_55_64_CL_nfd_F,Tot_55_64_LoE_NS_F,Tot_55_64_Tot_F,Tot_65ov_PtgdDe_GdDp_GdCt_F,Tot_65ov_BDL_F,Tot_65ov_ADip_DipL_F,Tot_65ov_Ct_III_IV_F,Tot_65ov_Ct_I_II_F,Tot_65ov_CL_nfd_F,Tot_65ov_LoE_NS_F,Tot_65ov_Tot_F,Tot_Tot_PD_GD_GCL_F,Tot_Tot_BDL_F,Tot_Tot_ADip_DipL_F,Tot_Tot_Ct_III_IV_F,Tot_Tot_Ct_I_II_F,Tot_tot_CL_nfd_F,Tot_Tot_LoE_NS_F,Tot_Tot_Tot_F,Ind_15_19_PD_GD_GCL_P,Ind_15_19_BDL_P,Ind_15_19_ADip_DipL_P,Ind_15_19_Ct_III_IV_P,Ind_15_19_Ct_I_II_P,Ind_15_19_CL_nfd_P,Ind_15_19_LoE_NS_P,Ind_15_19_Tot_P,Ind_20_24_PD_GD_GCL_P,Ind_20_24_BDL_P,Ind_20_24_ADip_DipL_P,Ind_20_24_Ct_III_IV_P,Ind_20_24_Ct_I_II_P,Ind_20_24_CL_nfd_P,Ind_20_24_LoE_NS_P,Ind_20_24_Tot_P,Ind_25_34_PD_GD_GCL_P,Ind_25_34_BDL_P,Ind_25_34_ADip_DipL_P,Ind_25_34_Ct_III_IV_P,Ind_25_34_Ct_I_II_P,Ind_25_34_CL_nfd_P,Ind_25_34_LoE_NS_P,Ind_25_34_Tot_P,Ind_35_44_PD_GD_GCL_P,Ind_35_44_BDL_P,Ind_35_44_ADip_DipL_P,Ind_35_44_Ct_III_IV_P,Ind_35_44_Ct_I_II_P,Ind_35_44_CL_nfd_P,Ind_35_44_LoE_NS_P,Ind_35_44_Tot_P,Ind_45_54_PD_GD_GCL_P,Ind_45_54_BDL_P,Ind_45_54_ADip_DipL_P,Ind_45_54_Ct_III_IV_P,Ind_45_54_Ct_I_II_P,Ind_45_54_CL_nfd_P,Ind_45_54_LoE_NS_P,Ind_45_54_Tot_P,Ind_55_64_PD_GD_GCL_P,Ind_55_64_BDL_P,Ind_55_64_ADip_DipL_P,Ind_55_64_Ct_III_IV_P,Ind_55_64_Ct_I_II_P,Ind_55_64_CL_nfd_P,Ind_55_64_LoE_NS_P,Ind_55_64_Tot_P,Ind_65ov_PtgdDe_GdDp_GdCt_P,Ind_65ov_BDL_P,Ind_65ov_ADip_DipL_P,Ind_65ov_Ct_III_IV_P,Ind_65ov_Ct_I_II_P,Ind_65ov_CL_nfd_P,Ind_65ov_LoE_NS_P,Ind_65ov_Tot_P,Ind_Tot_PD_GD_GCL_P,Ind_Tot_BDL_P,Ind_Tot_ADip_DipL_P,Ind_Tot_Ct_III_IV_P,Ind_Tot_Ct_I_II_P,Ind_tot_CL_nfd_P,Ind_Tot_LoE_NS_P,Ind_Tot_Tot_P,NonI_15_19_PD_GD_GCL_P,NonI_15_19_BDL_P,NonI_15_19_ADip_DipL_P,NonI_15_19_Ct_III_IV_P,NonI_15_19_Ct_I_II_P,NonI_15_19_CL_nfd_P,NonI_15_19_LoE_NS_P,NonI_15_19_Tot_P,NonI_20_24_PD_GD_GCL_P,NonI_20_24_BDL_P,NonI_20_24_ADip_DipL_P,NonI_20_24_Ct_III_IV_P,NonI_20_24_Ct_I_II_P,NonI_20_24_CL_nfd_P,NonI_20_24_LoE_NS_P,NonI_20_24_Tot_P,NonI_25_34_PD_GD_GCL_P,NonI_25_34_BDL_P,NonI_25_34_ADip_DipL_P,NonI_25_34_Ct_III_IV_P,NonI_25_34_Ct_I_II_P,NonI_25_34_CL_nfd_P,NonI_25_34_LoE_NS_P,NonI_25_34_Tot_P
IARE501001,0,0,0,0,0,0,196,198,0,0,0,0,0,0,142,149,0,0,0,0,0,0,145,145,0,0,0,0,0,0,95,100,0,0,0,0,0,0,70,77,4,0,0,3,0,0,757,764,0,0,0,21,24,0,78,130,5,52,21,64,15,4,65,233,152,388,136,163,33,16,268,1165,173,304,169,162,37,20,199,1074,94,204,128,128,12,28,185,776,73,117,108,75,13,22,153,560,44,60,49,37,0,13,115,311,541,1131,618,647,140,98,1073,4252,0,0,0,5,12,0,37,65,0,0,3,44,17,4,32,97,15,25,24,127,24,7,50,284,17,26,46,96,15,7,48,257,11,20,20,61,9,3,38,166,8,18,29,30,6,3,46,143,8,12,10,18,0,6,23,79,54,111,123,384,83,45,281,1082,0,0,3,20,23,5,15,72,7,63,38,106,28,3,18,273,199,543,182,331,18,21,74,1375
IARE501002,0,0,0,0,0,0,16,16,0,0,0,0,0,0,5,5,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,48,46,0,0,0,0,0,0,3,9,0,4,0,10,0,7,8,31,9,29,11,17,7,3,28,111,12,13,9,16,9,0,24,74,3,14,5,6,3,5,18,50,5,10,8,4,0,0,16,44,0,5,6,0,0,3,11,24,23,76,33,62,20,18,102,334,0,0,0,0,0,0,12,20,0,0,0,11,0,10,7,27,0,0,3,25,9,3,32,75,0,0,8,29,3,0,25,72,0,3,5,11,5,3,18,40,0,0,4,16,6,5,7,34,0,0,0,0,0,0,3,8,10,13,14,91,28,16,109,276,0,0,0,0,0,0,3,4,0,10,6,6,0,0,0,16,10,47,18,15,4,0,4,96
IARE502001,0,0,0,0,0,0,62,62,0,0,0,0,0,0,49,49,0,0,0,0,0,0,52,54,0,0,0,0,0,0,39,40,0,0,0,0,0,0,38,35,0,0,0,0,0,0,290,296,0,0,0,3,5,0,26,30,0,12,5,15,11,5,37,88,21,46,15,45,9,3,75,222,13,51,29,29,5,3,67,201,10,44,20,42,0,4,68,205,6,32,23,39,3,11,52,165,9,15,16,22,6,0,75,142,69,208,118,192,43,30,400,1056,0,0,0,4,0,0,11,24,0,0,0,3,0,4,4,16,0,0,0,13,3,0,14,35,0,3,0,14,0,3,9,26,0,4,4,17,3,0,14,44,5,0,4,9,0,4,15,37,0,0,4,3,0,0,19,28,5,6,13,71,9,11,83,208,0,0,0,6,7,0,4,15,0,16,9,39,24,0,4,87,30,74,30,108,12,7,17,282
IARE502002,0,0,0,0,0,0,24,24,0,0,0,0,0,0,33,33,0,0,0,0,0,0,30,29,0,0,0,0,0,0,29,29,0,0,0,0,0,0,15,15,0,0,0,0,0,0,153,154,0,0,0,0,0,0,9,9,0,3,0,3,0,0,14,22,0,3,3,9,4,3,23,50,0,6,3,11,0,0,43,70,0,4,10,12,0,0,31,55,4,9,8,9,4,4,29,66,0,3,0,10,0,6,24,49,16,37,25,53,11,9,177,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,8,0,0,4,5,0,0,0,8,0,3,0,4,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,17,5,0,10,37,0,0,0,0,3,0,0,3,0,4,0,15,3,0,0,25,7,9,10,44,6,3,3,82
IARE502003,0,0,0,0,0,0,24,28,0,0,0,0,0,0,45,52,0,0,0,0,0,0,37,37,0,0,0,0,0,0,52,52,0,0,0,0,0,0,74,79,0,6,0,0,0,0,289,291,0,0,0,8,4,0,30,40,3,8,0,17,4,0,26,55,6,41,21,47,3,5,32,154,19,56,28,57,4,3,58,224,18,62,36,56,11,9,55,245,20,46,48,51,4,13,71,249,13,46,52,35,4,12,120,291,73,258,189,271,35,39,392,1259,0,0,0,0,0,0,4,7,0,0,0,6,0,0,0,4,0,0,5,5,4,0,0,18,0,0,3,7,0,0,0,12,0,0,5,5,0,0,6,19,0,7,0,3,0,0,3,15,0,3,4,4,3,0,5,16,0,4,9,35,7,4,25,85,0,0,4,9,4,0,11,35,3,14,0,43,7,0,4,74,8,54,25,114,7,6,13,228
IARE502004,0,0,0,0,0,0,194,194,0,4,3,0,0,0,215,226,0,0,0,0,0,0,180,183,0,0,0,0,0,0,142,144,0,0,0,5,0,0,245,248,0,3,3,11,0,0,1132,1153,0,0,17,76,71,8,105,273,15,110,81,217,104,16,114,650,145,434,249,499,102,32,235,1710,189,456,291,489,69,46,281,1827,162,428,320,504,65,79,260,1814,106,227,284,372,43,63,247,1350,72,195,254,214,29,66,617,1447,687,1848,1499,2367,489,317,1862,9071,0,0,0,13,28,0,27,70,0,4,8,50,23,0,15,98,0,9,23,118,26,5,30,206,0,25,20,91,12,4,29,179,0,19,33,70,15,7,30,172,7,19,29,44,12,8,27,135,3,8,19,13,0,0,46,89,17,75,128,383,115,25,204,950,0,0,13,145,100,8,23,291,22,127,95,437,147,24,34,884,188,593,338,1287,140,41,93,2679
IARE502005,0,0,0,0,0,0,44,44,0,0,0,0,0,0,57,58,0,0,0,0,0,0,47,51,0,0,0,0,0,0,67,63,0,0,0,0,0,0,111,111,0,0,0,0,0,0,364,365,0,0,0,12,9,0,29,55,5,4,10,33,8,3,22,72,18,49,20,68,13,3,48,212,23,79,36,67,16,7,71,298,16,57,63,75,8,5,56,286,25,31,52,63,12,14,88,295,22,46,68,48,16,21,206,431,101,280,253,355,79,53,522,1643,0,0,0,0,3,0,4,4,0,0,0,6,0,0,7,13,0,0,0,4,0,0,10,16,0,0,3,14,0,5,0,17,0,3,0,6,0,0,4,11,3,3,0,10,4,0,0,23,0,0,0,3,0,0,5,12,3,5,10,39,3,5,29,93,0,0,0,18,10,0,11,41,5,8,16,68,16,3,6,115,22,69,24,158,15,7,15,314
IARE502006,0,0,0,0,0,0,22,22,0,0,0,0,0,0,12,12,0,0,0,0,0,0,10,16,0,0,0,0,0,0,9,9,0,0,0,0,0,0,7,7,0,0,0,0,0,0,77,81,0,0,0,0,0,0,8,9,0,0,0,0,4,4,14,19,7,22,4,3,4,0,28,74,0,4,0,8,5,0,15,34,0,4,0,3,0,0,24,37,3,8,9,3,0,0,18,38,0,0,3,0,0,0,12,20,11,38,20,25,6,7,114,226,0,0,0,0,0,0,11,11,0,0,0,5,4,4,12,13,0,0,0,9,4,0,16,28,0,0,0,4,0,0,9,14,0,0,0,0,0,0,8,12,0,5,3,8,0,0,11,23,0,0,3,0,0,0,7,9,0,5,3,20,9,6,69,116,0,0,0,0,0,0,0,0,0,4,0,11,0,0,3,19,11,36,9,41,5,0,0,101
IARE502007,0,0,0,0,0,0,14,14,0,0,0,0,0,0,14,14,0,0,0,0,0,0,5,5,0,0,0,0,0,0,12,18,0,0,0,0,0,0,10,10,0,0,0,0,0,0,78,77,0,0,0,7,0,0,5,15,3,6,4,11,4,0,7,32,14,35,15,14,5,8,19,105,3,22,16,12,0,0,13,71,11,16,6,13,3,3,11,57,3,16,5,11,0,5,14,52,11,9,11,3,0,0,25,56,38,101,53,71,13,9,106,392,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,13,0,0,4,7,0,0,0,4,0,0,0,8,0,0,4,15,3,0,0,3,0,0,0,8,0,0,0,3,0,0,0,6,4,0,0,29,8,0,12,50,0,0,0,9,5,0,0,5,3,11,3,17,8,0,4,43,14,60,28,43,4,5,10,156
IARE503001,0,0,0,0,0,0,72,72,0,0,0,0,0,0,102,97,0,0,0,0,0,0,88,90,0,0,0,0,0,0,77,84,0,0,3,0,0,0,119,125,0,5,3,10,0,0,531,546,0,0,0,24,23,4,49,106,4,30,16,87,25,4,42,210,42,210,80,198,41,13,95,675,59,185,98,176,31,19,123,691,51,147,122,179,21,33,123,673,37,100,126,114,11,30,131,543,36,110,119,78,17,21,291,665,227,784,555,854,166,127,849,3563,0,0,0,5,8,0,8,20,0,0,0,3,4,0,7,19,0,0,4,22,4,0,3,40,0,0,8,16,3,3,3,33,0,4,9,10,0,0,7,29,0,0,0,11,0,0,8,27,0,0,3,10,0,0,4,17,4,15,18,77,19,9,43,179,0,0,0,51,35,9,23,119,8,44,17,199,42,9,19,342,56,294,116,546,60,17,35,1128
