IARE_CODE_2021,PreSch_Indig_M,PreSch_Indig_F,PreSch_Indig_P,PreSch_NonInd_M,PreSch_NonInd_F,PreSch_NonInd_P,PreSch_Indig_st_nsM,PreSch_Indig_st_nsF,PreSch_Indig_st_nsP,PreSch_TotM,PreSch_TotF,PreSch_TotP,Prim_Indig_M,Prim_Indig_F,Prim_Indig_P,Prim_NonInd_M,Prim_NonInd_F,Prim_NonInd_P,Prim_Indig_st_nsM,Prim_Indig_st_nsF,Prim_Indig_st_nsP,Prim_TotM,Prim_TotF,Prim_TotP,Sec_Indig_M,Sec_Indig_F,Sec_Indig_P,Sec_NonInd_M,Sec_NonInd_F,Sec_NonInd_P,Sec_Indig_st_nsM,Sec_Indig_st_nsF,Sec_Indig_st_nsP,Sec_TotM,Sec_TotF,Sec_TotP,TVE_TAFE_ptp_FT_15_24_Ind_M,TVE_TAFE_ptp_FT_15_24_Ind_F,TVE_TAFE_ptp_FT_15_24_Ind_P,TVE_TAFE_ptp_FT_15_24_NoInd_M,TVE_TAFE_ptp_FT_15_24_NoInd_F,TVE_TAFE_ptp_FT_15_24_NoInd_P,TVE_TAFE_ptp_FT_15_24_In_ns_M,TVE_TAFE_ptp_FT_15_24_In_ns_F,TVE_TAFE_ptp_FT_15_24_In_ns_P,TVE_TAFE_ptp_FT_15_24_Tot_M,TVE_TAFE_ptp_FT_15_24_Tot_F,TVE_TAFE_ptp_FT_15_24_Tot_P,TVE_TAFE_ptp_FT_25_ov_Ind_M,TVE_TAFE_ptp_FT_25_ov_Ind_F,TVE_TAFE_ptp_FT_25_ov_Ind_P,TVE_TAFE_ptp_FT_25_ov_NoInd_M,TVE_TAFE_ptp_FT_25_ov_NoInd_F,TVE_TAFE_ptp_FT_25_ov_NoInd_P,TVE_TAFE_ptp_FT_25_ov_In_ns_M,TVE_TAFE_ptp_FT_25_ov_In_ns_F,TVE_TAFE_ptp_FT_25_ov_In_ns_P,TVE_TAFE_ptp_FT_25_ov_Tot_M,TVE_TAFE_ptp_FT_25_ov_Tot_F,TVE_TAFE_ptp_FT_25_ov_Tot_P,TVE_TAFE_ptp_PT_15_24_Ind_M,TVE_TAFE_ptp_PT_15_24_Ind_F,TVE_TAFE_ptp_PT_15_24_Ind_P,TVE_TAFE_ptp_PT_15_24_NoInd_M,TVE_TAFE_ptp_PT_15_24_NoInd_F,TVE_TAFE_ptp_PT_15_24_NoInd_P,TVE_TAFE_ptp_PT_15_24_In_ns_M,TVE_TAFE_ptp_PT_15_24_In_ns_F,TVE_TAFE_ptp_PT_15_24_In_ns_P,TVE_TAFE_ptp_PT_15_24_Tot_M,TVE_TAFE_ptp_PT_15_24_Tot_F,TVE_TAFE_ptp_PT_15_24_Tot_P,TVE_TAFE_ptp_PT_25_ov_Ind_M,TVE_TAFE_ptp_PT_25_ov_Ind_F,TVE_TAFE_ptp_PT_25_ov_Ind_P,TVE_TAFE_ptp_PT_25_ov_NoInd_M,TVE_TAFE_ptp_PT_25_ov_NoInd_F,TVE_TAFE_ptp_PT_25_ov_NoInd_P,TVE_TAFE_ptp_PT_25_ov_In_ns_M,TVE_TAFE_ptp_PT_25_ov_In_ns_F,TVE_TAFE_ptp_PT_25_ov_In_ns_P,TVE_TAFE_ptp_PT_25_ov_Tot_M,TVE_TAFE_ptp_PT_25_ov_Tot_F,TVE_TAFE_ptp_PT_25_ov_Tot_P,TVE_TAFE_ptp_FT_PT_Ind_M,TVE_TAFE_ptp_FT_PT_Ind_F,TVE_TAFE_ptp_FT_PT_Ind_P,TVE_TAFE_ptp_FT_PT_NoInd_M,TVE_TAFE_ptp_FT_PT_NoInd_F,TVE_TAFE_ptp_FT_PT_NoInd_P,TVE_TAFE_ptp_FT_PT_In_ns_M,TVE_TAFE_ptp_FT_PT_In_ns_F,TVE_TAFE_ptp_FT_PT_In_ns_P,TVE_TAFE_ptp_FT_PT_Tot_M,TVE_TAFE_ptp_FT_PT_Tot_F,TVE_TAFE_ptp_FT_PT_Tot_P,TVE_TAFE_ptp_TVETAFE_Ind_M,TVE_TAFE_ptp_TVETAFE_Ind_F,TVE_TAFE_ptp_TVETAFE_Ind_P,TVE_TAFE_ptp_TVETAFE_NoInd_M,TVE_TAFE_ptp_TVETAFE_NoInd_F,TVE_TAFE_ptp_TVETAFE_NoInd_P,TVE_TAFE_ptp_TVETAFE_In_ns_M,TVE_TAFE_ptp_TVETAFE_In_ns_F,TVE_TAFE_ptp_TVETAFE_In_ns_P,TVE_TAFE_ptp_TVETAFE_Tot_M,TVE_TAFE_ptp_TVETAFE_Tot_F,TVE_TAFE_ptp_TVETAFE_Tot_P,Uni_he_FT_15_24_Ind_M,Uni_he_FT_15_24_Ind_F,Uni_he_FT_15_24_Ind_P,Uni_he_FT_15_24_NoInd_M,Uni_he_FT_15_24_NoInd_F,Uni_he_FT_15_24_NoInd_P,Uni_he_FT_15_24_In_ns_M,Uni_he_FT_15_24_In_ns_F,Uni_he_FT_15_24_In_ns_P,Uni_he_FT_15_24_Tot_M,Uni_he_FT_15_24_Tot_F,Uni_he_FT_15_24_Tot_P,Uni_he_FT_25_ov_Ind_M,Uni_he_FT_25_ov_Ind_F,Uni_he_FT_25_ov_Ind_P,Uni_he_FT_25_ov_NoInd_M,Uni_he_FT_25_ov_NoInd_F,Uni_he_FT_25_ov_NoInd_P,Uni_he_FT_25_ov_In_ns_M,Uni_he_FT_25_ov_In_ns_F,Uni_he_FT_25_ov_In_ns_P,Uni_he_FT_25_ov_Tot_M,Uni_he_FT_25_ov_Tot_F,Uni_he_FT_25_ov_Tot_P,Uni_he_PT_15_24_Ind_M,Uni_he_PT_15_24_Ind_F,Uni_he_PT_15_24_Ind_P,Uni_he_PT_15_24_NoInd_M,Uni_he_PT_15_24_NoInd_F,Uni_he_PT_15_24_NoInd_P,Uni_he_PT_15_24_In_ns_M,Uni_he_PT_15_24_In_ns_F,Uni_he_PT_15_24_In_ns_P,Uni_he_PT_15_24_Tot_M,Uni_he_PT_15_24_Tot_F,Uni_he_PT_15_24_Tot_P,Uni_he_PT_25_ov_Ind_M,Uni_he_PT_25_ov_Ind_F,Uni_he_PT_25_ov_Ind_P,Uni_he_PT_25_ov_NoInd_M,Uni_he_PT_25_ov_NoInd_F,Uni_he_PT_25_ov_NoInd_P,Uni_he_PT_25_ov_In_ns_M,Uni_he_PT_25_ov_In_ns_F,Uni_he_PT_25_ov_In_ns_P,Uni_he_PT_25_ov_Tot_M,Uni_he_PT_25_ov_Tot_F,Uni_he_PT_25_ov_Tot_P,Uni_he_FTPT_ss_ns_Ind_M,Uni_he_FTPT_ss_ns_Ind_F,Uni_he_FTPT_ss_ns_Ind_P,Uni_he_FTPT_ss_ns_NoInd_M,Uni_he_FTPT_ss_ns_NoInd_F,Uni_he_FTPT_ss_ns_NoInd_P,Uni_he_FTPT_ss_ns_In_ns_M,Uni_he_FTPT_ss_ns_In_ns_F,Uni_he_FTPT_ss_ns_In_ns_P,Uni_he_FTPT_ss_ns_Tot_M,Uni_he_FTPT_ss_ns_Tot_F,Uni_he_FTPT_ss_ns_Tot_P,Uni_he_Tot_Uni_he_Ind_M,Uni_he_Tot_Uni_he_Ind_F,Uni_he_Tot_Uni_he_Ind_P,Uni_he_Tot_Uni_he_NoInd_M,Uni_he_Tot_Uni_he_NoInd_F,Uni_he_Tot_Uni_he_NoInd_P,Uni_he_Tot_Uni_he_In_ns_M,Uni_he_Tot_Uni_he_In_ns_F,Uni_he_Tot_Uni_he_In_ns_P,Uni_he_Tot_Uni_he_Tot_M,Uni_he_Tot_Uni_he_Tot_F,Uni_he_Tot_Uni_he_Tot_P,Ter_Tot_Ter_Ind_M,Ter_Tot_Ter_Ind_F,Ter_Tot_Ter_Ind_P,Ter_Tot_Ter_NonInd_M,Ter_Tot_Ter_NonInd_F,Ter_Tot_Ter_NonInd_P,Ter_Tot_Ter_IndSt_ns_M,Ter_Tot_Ter_IndSt_ns_F,Ter_Tot_Ter_IndSt_ns_P,Ter_Tot_Ter_Tot_M,Ter_Tot_Ter_Tot_F,Ter_Tot_Ter_Tot_P,OEI_Ind_M,OEI_Ind_F,OEI_Ind_P,OEI_NonInd_M,OEI_NonInd_F,OEI_NonInd_P,OEI_IndSt_nsM,OEI_IndSt_nsF
IARE501001,42,35,80,86,77,160,3,0,3,132,113,237,264,231,493,452,438,888,7,6,12,729,670,1393,149,192,340,294,308,600,4,9,10,448,503,954,8,9,12,6,4,14,0,0,0,12,16,29,0,0,0,13,7,26,0,0,0,13,16,26,15,4,14,20,26,46,0,0,0,37,35,71,11,26,37,48,119,164,3,0,3,63,138,204,0,0,0,0,0,0,0,0,0,0,0,0,31,46,72,89,157,249,3,0,3,119,205,327,4,12,18,12,25,36,0,0,0,19,35,52,4,12,15,14,43,55,0,0,0,20,54,76,0,0,0,0,24,23,0,0,0,0,23,24,5,15,19,39,128,167,0,0,0,44,140,185,0,0,0,0,0,0,0,0,0,0,0,0,19,40,50,70,216,286,0,0,0,83,254,341,45,80,124,160,378,541,3,0,3,209,458,665,10,11,19,20,44,68,0,0
IARE501002,16,18,29,0,0,0,0,0,0,13,18,35,107,102,212,16,12,24,0,0,0,127,117,241,55,44,101,7,0,13,0,0,0,63,51,112,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,3,8,0,3,3,0,0,0,0,0,0,0,3,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,5,8,0,0,0,3,11,15,0,7,7,4,12,12,0,0,0,4,19,25,0,0,0,4,0,3,0,0
IARE502001,11,11,16,31,38,63,0,0,0,36,48,84,48,58,111,121,97,218,0,4,3,169,160,329,33,28,57,84,62,146,3,0,0,116,85,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,6,4,0,0,0,9,6,18,0,0,0,10,6,18,5,0,3,8,27,32,0,0,0,12,27,36,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,22,40,60,0,0,0,26,39,64,0,0,0,4,4,4,0,0,0,4,0,4,0,0,0,3,3,3,0,0,0,3,8,4,0,0,0,5,0,3,0,0,0,5,0,3,0,0,3,3,17,23,0,0,0,4,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,27,42,0,0,0,14,30,41,4,6,9,31,62,99,0,0,0,39,70,107,4,3,7,7,5,14,0,0
IARE502002,0,0,3,0,8,9,0,0,0,0,8,8,13,11,25,10,6,14,0,0,0,25,19,45,9,3,11,4,0,6,0,0,0,14,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,6,0,0,0,0,9,13,0,0,0,10,11,12,0,0,0,7,11,19,7,0,7,0,4,10,0,0
IARE502003,7,5,8,33,28,57,0,0,0,45,31,74,23,26,52,170,159,335,0,0,5,199,191,389,15,8,24,127,96,225,0,0,0,142,106,250,0,0,5,6,9,16,0,0,0,4,10,10,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,3,14,0,0,0,4,6,11,0,0,0,3,27,28,0,0,0,3,27,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,43,57,0,0,0,18,45,63,0,0,0,0,7,13,0,0,0,0,10,14,0,0,0,0,11,12,0,0,0,0,9,11,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,18,22,0,0,0,4,18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,39,45,0,0,0,10,41,50,0,3,3,22,77,107,0,0,0,24,82,113,0,0,0,4,10,15,0,0
IARE502004,52,51,104,278,278,561,0,0,0,338,330,670,275,245,519,1363,1293,2658,13,4,27,1649,1550,3198,210,210,415,1098,1124,2219,7,13,16,1311,1345,2653,6,8,17,56,86,143,0,0,0,63,97,158,6,11,18,34,66,101,0,0,0,42,78,119,11,12,26,143,110,253,0,0,0,158,124,283,5,16,23,143,305,454,0,0,0,149,327,475,0,0,0,0,0,3,0,0,0,0,5,8,33,50,85,378,569,949,0,0,0,410,623,1037,3,7,9,27,73,103,0,0,0,33,78,111,0,5,8,25,93,115,0,0,0,23,97,126,0,7,7,20,33,57,0,0,0,20,45,62,3,12,18,89,228,321,0,4,4,92,244,336,0,0,0,0,0,0,0,0,0,0,0,0,9,32,40,163,431,590,0,4,4,168,465,634,45,85,126,546,1005,1547,0,4,4,587,1088,1673,19,25,44,88,128,214,6,0
IARE502005,4,7,5,35,42,80,0,0,0,38,48,84,23,19,42,219,208,424,0,0,0,236,237,474,14,18,31,161,145,303,0,0,0,177,161,340,0,0,0,7,12,16,0,0,0,7,12,16,0,0,0,0,5,6,0,0,0,0,8,11,5,0,0,13,5,20,0,0,0,20,10,24,0,0,0,9,29,38,0,0,0,9,29,38,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,31,55,87,0,0,0,34,60,89,0,3,3,4,8,12,0,0,0,4,15,18,0,0,0,0,14,14,0,0,0,0,16,13,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,6,21,28,0,0,0,6,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,49,61,0,0,0,12,54,71,5,5,9,44,107,148,0,0,0,42,116,160,0,0,0,13,20,33,0,0
IARE502006,3,4,7,0,0,0,0,0,0,5,6,9,20,32,47,6,6,7,0,0,0,26,31,62,23,17,40,0,0,0,0,0,0,23,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10,0,0,0,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,11,0,0,0,4,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,11,0,0,0,4,4,12,0,0,0,13,13,23,0,0,0,13,13,20,0,0,0,3,0,3,0,0
IARE502007,3,0,4,9,7,13,0,0,0,11,4,15,15,18,32,42,33,74,0,0,0,58,49,109,3,5,11,12,19,30,0,0,0,12,23,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,7,7,18,0,0,0,9,7,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,7,7,18,0,0,0,14,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,9,14,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,0,0,0,0,15,21,5,0,3,13,25,39,0,0,0,15,25,45,0,0,0,5,0,3,0,0
IARE503001,12,15,26,115,122,235,0,0,0,132,134,266,40,41,79,597,596,1196,6,5,15,640,644,1288,51,41,87,445,439,887,8,8,11,498,486,985,0,3,3,23,16,36,0,0,0,24,19,36,0,0,0,7,0,9,0,0,0,7,4,11,0,0,3,44,37,85,0,0,0,49,38,89,0,0,6,35,112,144,0,0,0,36,114,148,0,0,0,0,3,3,0,0,0,0,3,3,3,8,11,108,172,275,0,0,0,116,175,290,0,0,0,11,32,44,0,0,0,7,33,47,0,0,0,13,23,35,0,0,0,13,23,35,0,0,0,6,7,16,0,0,0,6,8,19,0,0,0,24,59,81,0,0,0,24,59,83,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,50,120,170,0,0,0,53,127,180,10,8,19,160,288,446,0,0,0,164,305,473,4,0,9,26,37,64,0,0
